Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,18:40:00,60.755,60.870,60.755,60.870,1300,0
2015-02-02,18:45:00,60.88,60.885,60.83,60.88,1100,0
2015-02-02,18:50:00,60.84,60.84,60.56,60.59,2820,0
2015-02-02,18:55:00,60.62,60.62,60.52,60.6,1400,0
2015-02-02,19:00:00,60.5401,60.8,60.5401,60.8,1200,0
2015-02-02,19:05:00,60.76,60.85,60.73,60.85,300,0
2015-02-02,19:10:00,60.84,60.95,60.81,60.85,3500,0
2015-02-02,19:15:00,60.86,60.86,60.85,60.86,400,0
2015-02-02,19:20:00,60.83,60.83,60.78,60.82,1000,0
2015-02-02,19:25:00,60.96,61.03,60.96,61.03,1400,0
2015-02-02,19:30:00,60.96,60.97,60.91,60.954,900,0
2015-02-02,19:35:00,60.98,60.98,60.86,60.86,1000,0
2015-02-02,19:40:00,60.83,60.9599,60.8,60.8,1500,0
2015-02-02,19:45:00,60.74,60.743,60.69,60.743,700,0
2015-02-02,19:50:00,60.74,60.75,60.68,60.69,2100,0
2015-02-02,19:55:00,60.69,60.69,60.57,60.57,1100,0
2015-02-02,20:00:00,60.53,60.54,60.46,60.47,2100,0
2015-02-02,20:05:00,60.39,60.51,60.371,60.51,3300,0
2015-02-02,20:10:00,60.59,60.8,60.52,60.8,3600,0
2015-02-02,20:15:00,60.74,60.8,60.59,60.6,5500,0
2015-02-02,20:20:00,60.62,60.775,60.6,60.775,600,0
2015-02-02,20:25:00,60.735,60.79,60.73,60.77,900,0
2015-02-02,20:30:00,60.73,60.73,60.62,60.62,1550,0
2015-02-02,20:35:00,60.588,60.69,60.588,60.69,3200,0
2015-02-02,20:40:00,60.705,60.775,60.62,60.62,2700,0
2015-02-02,20:45:00,60.74,60.76,60.72,60.735,800,0
2015-02-02,20:50:00,60.71,60.735,60.56,60.57,2800,0
2015-02-02,20:55:00,60.55,60.79,60.55,60.79,1500,0
2015-02-02,21:00:00,60.77,60.77,60.64,60.7,2648,0
2015-02-02,21:05:00,60.66,60.66,60.66,60.66,1300,0
2015-02-02,21:10:00,60.77,60.81,60.653,60.653,6900,0
2015-02-02,21:15:00,60.695,60.8,60.66,60.77,7400,0
2015-02-02,21:20:00,60.76,60.76,60.51,60.55,4900,0
2015-02-02,21:25:00,60.54,60.64,60.54,60.64,2100,0
2015-02-02,21:30:00,60.81,60.83,60.65,60.75,3400,0
2015-02-02,21:35:00,60.74,60.8,60.7,60.75,2100,0
2015-02-02,21:40:00,60.76,61.11,60.72,61.11,3400,0
2015-02-02,21:45:00,61.085,61.22,61.05,61.05,7720,0
2015-02-02,21:50:00,61.04,61.09,60.88,60.96,7100,0
2015-02-02,21:55:00,61.01,61.07,60.93,61.05,10754,0
2015-02-02,22:00:00,61.04,61.12,60.95,61.07,16216,0
2015-02-03,15:35:00,61.35,61.53,61.345,61.345,1872,0
2015-02-03,15:40:00,61.09,61.09,61.09,61.09,300,0
2015-02-03,15:45:00,61.26,61.26,60.74,60.98,2100,0
2015-02-03,15:50:00,60.99,61.0,60.935,60.99,1500,0
2015-02-03,15:55:00,61.2,61.2,60.92,60.92,1856,0
2015-02-03,16:00:00,60.845,61.13,60.845,61.125,3618,0
2015-02-03,16:05:00,61.42,61.42,60.91,61.03,4200,0
2015-02-03,16:10:00,61.0,61.0,60.89,60.89,2200,0
2015-02-03,16:15:00,60.8,61.02,60.73,61.02,2773,0
2015-02-03,16:20:00,60.99,60.99,60.93,60.93,3100,0
2015-02-03,16:25:00,60.82,61.04,60.8,60.88,5900,0
2015-02-03,16:30:00,60.965,61.0,60.83,60.83,6600,0
2015-02-03,16:35:00,60.8275,60.8275,60.69,60.8,6300,0
2015-02-03,16:40:00,60.84,60.94,60.8,60.81,2700,0
2015-02-03,16:45:00,60.8625,60.94,60.86,60.86,2300,0
2015-02-03,16:50:00,60.79,60.79,60.71,60.76,1700,0
2015-02-03,16:55:00,60.665,60.72,60.665,60.6885,1850,0
2015-02-03,17:00:00,60.78,60.78,60.67,60.71,2500,0
2015-02-03,17:05:00,60.85,60.92,60.81,60.81,2920,0
2015-02-03,17:10:00,60.77,60.78,60.77,60.78,700,0
2015-02-03,17:15:00,60.8,60.83,60.72,60.72,3000,0
2015-02-03,17:25:00,60.698,60.772,60.69,60.772,2421,0
2015-02-03,17:30:00,60.82,60.82,60.61,60.61,2200,0
2015-02-03,17:35:00,60.6,60.64,60.59,60.64,1540,0
2015-02-03,17:40:00,60.72,60.83,60.72,60.73,2500,0
2015-02-03,17:45:00,60.625,60.82,60.625,60.82,2800,0
2015-02-03,17:50:00,60.82,60.82,60.75,60.75,1300,0
2015-02-03,17:55:00,60.7,60.72,60.51,60.55,3536,0
2015-02-03,18:00:00,60.54,60.54,60.436,60.46,1300,0
2015-02-03,18:05:00,60.48,60.48,60.4075,60.4075,200,0
2015-02-03,18:10:00,60.425,60.62,60.425,60.62,2300,0
2015-02-03,18:15:00,60.63,60.73,60.42,60.57,4500,0
2015-02-03,18:20:00,60.56,60.6395,60.56,60.59,1200,0
2015-02-03,18:25:00,60.625,60.75,60.6,60.75,1400,0
2015-02-03,18:30:00,60.67,60.69,60.59,60.69,1600,0
2015-02-03,18:35:00,60.69,60.69,60.69,60.69,300,0
2015-02-03,18:40:00,60.6275,60.63,60.6275,60.63,1000,0
2015-02-03,18:45:00,60.85,60.85,60.61,60.63,3914,0
2015-02-03,18:55:00,60.68,60.74,60.61,60.61,2500,0
2015-02-03,19:00:00,60.635,60.6749,60.62,60.6749,1600,0
2015-02-03,19:05:00,60.68,60.73,60.625,60.72,2900,0
2015-02-03,19:10:00,60.76,60.76,60.67,60.7,4188,0
2015-02-03,19:15:00,60.68,60.68,60.68,60.68,500,0
2015-02-03,19:20:00,60.67,60.725,60.67,60.725,200,0
2015-02-03,19:25:00,60.73,60.83,60.7,60.71,800,0
2015-02-03,19:30:00,60.79,60.85,60.76,60.76,1280,0
2015-02-03,19:35:00,60.82,60.86,60.79,60.85,3404,0
2015-02-03,19:40:00,60.84,60.84,60.66,60.67,3113,0
2015-02-03,19:45:00,60.58,60.6,60.52,60.52,800,0
2015-02-03,19:50:00,60.57,60.6208,60.5,60.5,2003,0
2015-02-03,19:55:00,60.47,60.48,60.41,60.47,1800,0
2015-02-03,20:00:00,60.4,60.4,60.4,60.4,700,0
2015-02-03,20:05:00,60.39,60.4,60.33,60.33,3300,0
2015-02-03,20:10:00,60.36,60.36,60.27,60.27,2000,0
2015-02-03,20:15:00,60.26,60.26,60.18,60.222,7200,0
2015-02-03,20:20:00,60.25,60.27,60.14,60.1968,5198,0
2015-02-03,20:25:00,60.1501,60.29,60.12,60.23,11668,0
2015-02-03,20:30:00,60.17,60.21,60.15,60.21,700,0
2015-02-03,20:35:00,60.1,60.14,60.1,60.1,1400,0
2015-02-03,20:40:00,60.14,60.17,60.05,60.17,1800,0
2015-02-03,20:45:00,60.23,60.25,60.18,60.185,3568,0
2015-02-03,20:50:00,60.25,60.25,60.17,60.24,4000,0
2015-02-03,20:55:00,60.32,60.41,60.24,60.29,6397,0
2015-02-03,21:00:00,60.35,60.35,60.35,60.35,200,0
2015-02-03,21:05:00,60.335,60.38,60.28,60.29,3100,0
2015-02-03,21:10:00,60.27,60.27,60.23,60.245,2500,0
2015-02-03,21:15:00,60.23,60.23,60.15,60.15,3814,0
2015-02-03,21:20:00,60.17,60.21,60.12,60.155,1900,0
2015-02-03,21:25:00,60.15,60.19,60.07,60.11,7400,0
2015-02-03,21:30:00,60.07,60.07,59.77,59.85,8200,0
2015-02-03,21:35:00,59.85,59.859,59.55,59.55,7362,0
2015-02-03,21:40:00,59.56,59.56,59.37,59.51,11290,0
2015-02-03,21:45:00,59.59,59.62,59.46,59.46,7000,0
2015-02-03,21:50:00,59.44,59.51,59.31,59.44,10100,0
2015-02-03,21:55:00,59.52,59.75,59.46,59.63,17445,0
2015-02-03,22:00:00,59.64,59.68,59.39,59.47,42750,0
2015-02-04,15:35:00,59.07,59.25,59.07,59.25,5127,0
2015-02-04,15:40:00,59.17,59.18,58.85,58.85,2100,0
2015-02-04,15:45:00,58.86,58.86,58.78,58.86,300,0
2015-02-04,15:50:00,58.88,58.99,58.76,58.98,1916,0
2015-02-04,15:55:00,58.97,58.97,58.6,58.6226,4050,0
2015-02-04,16:00:00,58.75,58.75,58.4,58.4,8352,0
2015-02-04,16:05:00,58.3246,58.5,58.3246,58.35,7367,0
2015-02-04,16:10:00,58.5,58.5,58.44,58.5,1900,0
2015-02-04,16:15:00,58.41,58.5,58.41,58.5,1100,0
2015-02-04,16:20:00,58.49,58.5,58.4001,58.5,2025,0
2015-02-04,16:25:00,58.5,58.5,58.46,58.46,900,0
2015-02-04,16:30:00,58.4991,58.95,58.47,58.66,9100,0
2015-02-04,16:35:00,58.73,58.765,58.49,58.51,4322,0
2015-02-04,16:40:00,58.46,58.515,58.35,58.43,7000,0
2015-02-04,16:45:00,58.41,58.7,58.36,58.67,9300,0
2015-02-04,16:50:00,58.565,58.6,58.52,58.57,2600,0
2015-02-04,16:55:00,58.54,58.5501,58.47,58.5,4000,0
2015-02-04,17:00:00,58.55,58.55,58.4,58.495,1600,0
2015-02-04,17:05:00,58.46,58.4825,58.4,58.43,6600,0
2015-02-04,17:10:00,58.43,58.65,58.4,58.47,8700,0
2015-02-04,17:15:00,58.51,58.66,58.405,58.65,9575,0
2015-02-04,17:20:00,58.66,58.66,58.37,58.4,9340,0
2015-02-04,17:25:00,58.48,58.57,58.47,58.495,2400,0
2015-02-04,17:30:00,58.5,58.67,58.47,58.67,5100,0
2015-02-04,17:35:00,58.76,59.09,58.76,58.89,2500,0
2015-02-04,17:40:00,58.91,59.09,58.82,59.09,2200,0
2015-02-04,17:45:00,59.09,59.145,58.865,58.99,5900,0
2015-02-04,17:50:00,59.0,59.035,58.81,58.81,3000,0
2015-02-04,17:55:00,58.85,59.06,58.85,59.06,700,0
2015-02-04,18:00:00,59.06,59.28,59.06,59.23,3900,0
2015-02-04,18:05:00,59.105,59.145,58.9,58.9,3000,0
2015-02-04,18:10:00,58.815,59.0,58.815,58.985,900,0
2015-02-04,18:15:00,58.95,59.0,58.95,58.98,1900,0
2015-02-04,18:20:00,58.98,59.01,58.87,58.87,2800,0
2015-02-04,18:25:00,58.8,58.8,58.59,58.59,3600,0
2015-02-04,18:30:00,58.59,58.63,58.5,58.56,2400,0
2015-02-04,18:35:00,58.56,58.56,58.56,58.56,600,0
2015-02-04,18:40:00,58.59,58.63,58.54,58.54,600,0
2015-02-04,18:45:00,58.54,58.54,58.42,58.42,1800,0
2015-02-04,18:50:00,58.49,58.51,58.43,58.43,600,0
2015-02-04,18:55:00,58.52,58.71,58.52,58.57,1700,0
2015-02-04,19:00:00,58.55,58.6,58.5,58.6,600,0
2015-02-04,19:05:00,58.71,58.71,58.71,58.71,400,0
2015-02-04,19:10:00,58.73,58.74,58.62,58.64,1600,0
2015-02-04,19:15:00,58.81,58.855,58.6,58.675,2084,0
