Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:45:00,19.170,19.180,19.110,19.110,5300,0
2015-02-03,16:50:00,19.12,19.12,19.07,19.1,6500,0
2015-02-03,16:55:00,19.08,19.13,19.055,19.13,3000,0
2015-02-03,17:00:00,19.11,19.11,19.04,19.04,3600,0
2015-02-03,17:05:00,19.05,19.15,19.05,19.05,4500,0
2015-02-03,17:10:00,19.04,19.13,19.01,19.13,1900,0
2015-02-03,17:15:00,19.1,19.11,19.0401,19.11,2100,0
2015-02-03,17:20:00,19.091,19.19,19.091,19.16,8100,0
2015-02-03,17:25:00,19.13,19.17,19.12,19.12,2300,0
2015-02-03,17:30:00,19.14,19.14,19.08,19.1,3800,0
2015-02-03,17:35:00,19.09,19.17,19.09,19.15,4188,0
2015-02-03,17:40:00,19.13,19.19,19.09,19.17,2300,0
2015-02-03,17:45:00,19.15,19.19,19.15,19.17,4395,0
2015-02-03,17:50:00,19.14,19.14,19.03,19.1,4800,0
2015-02-03,17:55:00,19.1,19.11,19.0601,19.07,3183,0
2015-02-03,18:00:00,19.04,19.12,19.03,19.06,7100,0
2015-02-03,18:05:00,19.07,19.09,19.07,19.08,1300,0
2015-02-03,18:10:00,19.08,19.13,19.08,19.13,4386,0
2015-02-03,18:15:00,19.12,19.13,19.07,19.11,3600,0
2015-02-03,18:20:00,19.12,19.12,19.04,19.1,3400,0
2015-02-03,18:25:00,19.1,19.13,19.06,19.06,2662,0
2015-02-03,18:30:00,19.07,19.12,19.06,19.06,4032,0
2015-02-03,18:35:00,19.07,19.07,19.04,19.07,2700,0
2015-02-03,18:40:00,19.06,19.095,19.04,19.06,11545,0
2015-02-03,18:45:00,19.06,19.08,19.06,19.06,2500,0
2015-02-03,18:50:00,19.1,19.1,19.0,19.0,6400,0
2015-02-03,18:55:00,19.01,19.06,19.0,19.04,4500,0
2015-02-03,19:00:00,19.11,19.11,19.05,19.05,4100,0
2015-02-03,19:05:00,19.05,19.09,19.04,19.09,2400,0
2015-02-03,19:10:00,19.07,19.0892,19.04,19.08,2785,0
2015-02-03,19:15:00,19.05,19.1,19.04,19.05,4800,0
2015-02-03,19:20:00,19.075,19.09,19.06,19.07,1600,0
2015-02-03,19:25:00,19.08,19.11,19.055,19.06,5470,0
2015-02-03,19:30:00,19.08,19.12,19.08,19.11,2350,0
