Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-28,17:00:00,22.915,22.925,22.915,22.925,2131,0
2014-10-28,18:00:00,22.915,22.915,22.915,22.915,406,0
2014-10-28,18:10:00,22.922,22.922,22.922,22.922,254,0
2014-10-28,18:15:00,22.901,22.901,22.901,22.901,319,0
2014-10-28,18:45:00,22.925,22.925,22.925,22.925,101,0
2014-10-28,18:55:00,22.925,22.925,22.925,22.925,406,0
2014-10-28,19:10:00,22.964,22.964,22.964,22.964,304,0
2014-10-29,15:55:00,22.984,22.998,22.984,22.998,1420,0
2014-10-29,17:05:00,22.984,22.984,22.984,22.984,913,0
2014-10-29,18:20:00,22.994,22.994,22.994,22.994,507,0
2014-10-29,18:40:00,22.984,22.984,22.984,22.984,1015,0
2014-10-29,19:05:00,22.915,22.915,22.915,22.915,203,0
2014-10-29,20:30:00,22.747,22.747,22.747,22.747,506,0
2014-10-30,14:45:00,22.767,22.767,22.767,22.767,101,0
2014-10-30,14:55:00,22.783,22.783,22.783,22.783,1218,0
2014-10-30,19:50:00,22.994,22.994,22.994,22.994,1192,0
2014-10-30,20:15:00,22.935,22.935,22.935,22.935,101,0
2014-10-30,20:50:00,22.954,22.954,22.954,22.954,4160,0
2014-10-30,20:55:00,22.954,22.954,22.954,22.954,812,0
2014-10-31,14:35:00,23.23,23.23,23.23,23.23,1635,0
2014-10-31,18:05:00,23.285,23.318,23.285,23.318,1199,0
2014-10-31,18:55:00,23.289,23.289,23.289,23.289,4160,0
2014-10-31,20:35:00,23.299,23.299,23.299,23.299,394,0
2014-11-03,15:35:00,23.004,23.004,23.004,23.004,30224,0
2014-11-03,15:40:00,23.053,23.053,23.053,23.053,609,0
2014-11-03,15:45:00,23.063,23.082,23.053,23.082,6088,0
2014-11-03,15:50:00,23.082,23.082,23.063,23.063,304,0
2014-11-03,15:55:00,23.063,23.063,23.063,23.063,507,0
2014-11-03,16:05:00,23.092,23.092,23.047,23.092,1553,0
2014-11-03,16:10:00,23.023,23.023,23.023,23.023,101,0
2014-11-03,16:15:00,23.023,23.023,23.023,23.023,609,0
2014-11-03,16:20:00,23.023,23.023,23.023,23.023,203,0
2014-11-03,16:25:00,23.073,23.073,23.023,23.023,203,0
2014-11-03,16:30:00,23.023,23.023,23.023,23.023,101,0
2014-11-03,16:50:00,23.023,23.023,23.004,23.004,1420,0
2014-11-03,17:00:00,23.004,23.004,23.004,23.004,101,0
2014-11-03,17:05:00,23.013,23.063,23.013,23.063,304,0
2014-11-03,17:30:00,23.013,23.013,23.013,23.013,273,0
2014-11-03,18:00:00,23.053,23.053,23.053,23.053,1015,0
2014-11-03,18:35:00,23.023,23.023,23.023,23.023,507,0
2014-11-03,18:40:00,23.033,23.033,23.033,23.033,812,0
2014-11-03,19:00:00,23.043,23.053,23.043,23.053,4261,0
2014-11-03,19:10:00,23.151,23.151,23.151,23.151,203,0
2014-11-03,20:10:00,23.101,23.101,23.101,23.101,1035,0
2014-11-03,20:50:00,23.099,23.099,23.099,23.099,228,0
2014-11-03,21:00:00,23.106,23.106,23.106,23.106,547,0
2014-11-03,21:10:00,23.122,23.122,23.122,23.122,304,0
2014-11-03,21:25:00,23.092,23.092,23.092,23.092,203,0
2014-11-03,21:40:00,23.092,23.092,23.092,23.092,507,0
2014-11-03,21:50:00,23.082,23.092,23.082,23.082,2029,0
2014-11-03,21:55:00,23.092,23.092,23.092,23.092,101,0
2014-11-03,22:00:00,23.092,23.102,23.092,23.092,1319,0
2014-11-04,19:20:00,22.895,22.895,22.895,22.895,406,0
2014-11-04,19:40:00,22.885,22.885,22.885,22.885,203,0
2014-11-04,19:55:00,22.895,22.895,22.895,22.895,507,0
2014-11-04,20:00:00,22.895,22.895,22.895,22.895,913,0
2014-11-04,20:40:00,22.901,22.901,22.901,22.901,101,0
2014-11-04,21:40:00,22.925,22.925,22.925,22.925,254,0
2014-11-05,15:35:00,22.944,22.944,22.944,22.944,128,0
2014-11-05,15:50:00,22.985,22.985,22.985,22.985,1309,0
2014-11-05,19:00:00,23.122,23.122,23.122,23.122,101,0
2014-11-06,17:25:00,22.994,22.994,22.994,22.994,203,0
2014-11-06,19:15:00,22.955,22.955,22.955,22.955,871,0
2014-11-07,17:00:00,22.919,22.919,22.919,22.919,163,0
2014-11-07,18:45:00,22.918,22.918,22.918,22.918,871,0
2014-11-07,21:10:00,22.905,22.905,22.905,22.905,152,0
2014-11-07,21:20:00,22.909,22.909,22.909,22.909,254,0
2014-11-07,21:40:00,22.927,22.935,22.927,22.934,1948,0
2014-11-10,18:00:00,23.065,23.065,23.065,23.065,223,0
2014-11-10,20:40:00,23.063,23.063,23.024,23.024,710,0
2014-11-11,17:55:00,23.142,23.142,23.112,23.112,812,0
2014-11-11,18:00:00,23.142,23.142,23.142,23.142,250,0
2014-11-11,18:35:00,23.142,23.142,23.112,23.142,3881,0
2014-11-11,19:20:00,23.151,23.151,23.151,23.151,367,0
2014-11-11,21:35:00,23.193,23.2,23.191,23.2,467,0
2014-11-11,21:40:00,23.201,23.201,23.193,23.201,1684,0
2014-11-12,16:05:00,23.013,23.013,23.013,23.013,406,0
2014-11-12,17:00:00,23.033,23.033,23.033,23.033,609,0
2014-11-12,19:05:00,23.013,23.013,22.986,22.986,761,0
2014-11-12,20:20:00,22.944,22.944,22.944,22.944,421,0
2014-11-12,21:00:00,22.935,22.935,22.935,22.935,699,0
2014-11-12,21:40:00,23.004,23.004,23.004,23.004,101,0
2014-11-13,20:10:00,22.998,22.998,22.998,22.998,355,0
2014-11-13,20:25:00,23.004,23.004,22.98,22.98,1713,0
2014-11-13,20:35:00,22.984,22.985,22.984,22.985,1015,0
2014-11-13,20:45:00,22.985,22.985,22.985,22.985,523,0
2014-11-13,21:25:00,23.058,23.058,23.058,23.058,558,0
2014-11-13,21:30:00,23.051,23.063,23.051,23.051,2634,0
2014-11-14,15:40:00,22.95,22.95,22.95,22.95,323,0
2014-11-14,16:05:00,22.964,22.964,22.964,22.964,8546,0
2014-11-14,17:35:00,23.014,23.014,23.013,23.013,1522,0
2014-11-14,18:05:00,23.063,23.063,23.053,23.053,1826,0
2014-11-14,19:35:00,23.112,23.112,23.112,23.112,203,0
2014-11-14,20:10:00,23.112,23.112,23.112,23.112,203,0
2014-11-14,20:20:00,23.122,23.122,23.122,23.122,203,0
2014-11-14,20:50:00,23.122,23.122,23.122,23.122,101,0
2014-11-14,20:55:00,23.116,23.116,23.116,23.116,155,0
2014-11-14,21:05:00,23.112,23.112,23.112,23.112,507,0
2014-11-14,21:25:00,23.122,23.122,23.122,23.122,249,0
2014-11-14,21:45:00,23.122,23.122,23.122,23.122,304,0
2014-11-14,21:50:00,23.121,23.121,23.104,23.104,812,0
2014-11-14,21:55:00,23.122,23.122,23.106,23.106,1478,0
2014-11-17,16:15:00,23.043,23.043,23.043,23.043,406,0
2014-11-17,19:50:00,23.151,23.151,23.102,23.151,1949,0
2014-11-17,20:10:00,23.151,23.151,23.151,23.151,279,0
2014-11-17,20:15:00,23.151,23.151,23.151,23.151,507,0
2014-11-17,20:45:00,23.137,23.161,23.122,23.122,2953,0
2014-11-17,20:50:00,23.161,23.161,23.161,23.161,3291,0
2014-11-17,21:50:00,23.139,23.139,23.139,23.139,112,0
2014-11-17,21:55:00,23.136,23.136,23.132,23.132,3044,0
2014-11-18,15:35:00,23.181,23.181,23.181,23.181,603,0
2014-11-18,20:45:00,23.362,23.362,23.362,23.362,864,0
2014-11-18,21:40:00,23.339,23.339,23.339,23.339,101,0
2014-11-18,21:45:00,23.358,23.358,23.354,23.354,658,0
2014-11-19,15:35:00,23.447,23.447,23.447,23.447,1907,0
2014-11-19,18:05:00,23.319,23.319,23.319,23.319,609,0
2014-11-19,18:40:00,23.318,23.318,23.318,23.318,107,0
2014-11-19,19:50:00,23.329,23.339,23.329,23.335,1999,0
2014-11-19,20:15:00,23.368,23.378,23.368,23.378,1764,0
2014-11-19,20:25:00,23.358,23.358,23.358,23.358,203,0
2014-11-19,21:45:00,23.309,23.309,23.309,23.309,101,0
2014-11-19,22:00:00,23.329,23.329,23.329,23.329,101,0
2014-11-20,16:50:00,23.24,23.24,23.24,23.24,2480,0
2014-11-20,18:00:00,23.201,23.201,23.201,23.201,507,0
2014-11-20,21:40:00,23.22,23.22,23.22,23.22,101,0
2014-11-21,19:40:00,23.368,23.368,23.368,23.368,66798,0
2014-11-21,21:15:00,23.461,23.467,23.461,23.461,2988,0
