Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,15:45:00,46.740,46.740,46.650,46.690,19770,0
2015-02-03,15:50:00,46.66,46.67,46.58,46.59,5600,0
2015-02-03,15:55:00,46.57,46.68,46.55,46.61,10056,0
2015-02-03,16:00:00,46.64,46.69,46.62,46.63,7401,0
2015-02-03,16:05:00,46.69,46.83,46.655,46.78,8849,0
2015-02-03,16:10:00,46.83,46.86,46.78,46.82,3800,0
2015-02-03,16:15:00,46.78,46.78,46.67,46.67,2400,0
2015-02-03,16:20:00,46.705,46.75,46.66,46.72,5600,0
2015-02-03,16:25:00,46.69,46.695,46.56,46.61,8803,0
2015-02-03,16:30:00,46.57,46.8,46.57,46.78,5900,0
2015-02-03,16:35:00,46.81,46.815,46.73,46.76,3900,0
2015-02-03,16:40:00,46.81,46.81,46.73,46.775,4100,0
2015-02-03,16:45:00,46.748,46.78,46.73,46.74,1300,0
2015-02-03,16:50:00,46.74,46.74,46.63,46.65,3500,0
2015-02-03,16:55:00,46.68,46.71,46.56,46.59,4001,0
2015-02-03,17:00:00,46.67,46.7,46.66,46.7,1100,0
2015-02-03,17:05:00,46.68,46.71,46.63,46.63,4400,0
2015-02-03,17:10:00,46.62,46.64,46.54,46.64,1500,0
2015-02-03,17:15:00,46.69,46.69,46.55,46.55,2300,0
2015-02-03,17:20:00,46.54,46.62,46.51,46.6,4921,0
2015-02-03,17:25:00,46.6,46.63,46.4705,46.49,13094,0
2015-02-03,17:30:00,46.47,46.52,46.33,46.33,5100,0
2015-02-03,17:35:00,46.295,46.39,46.295,46.39,4200,0
2015-02-03,17:40:00,46.34,46.37,46.3,46.32,2100,0
2015-02-03,17:45:00,46.37,46.46,46.37,46.37,3100,0
2015-02-03,17:50:00,46.5,46.5,46.5,46.5,1100,0
2015-02-03,17:55:00,46.57,46.57,46.57,46.57,700,0
2015-02-03,18:00:00,46.69,46.7,46.51,46.55,10992,0
2015-02-03,18:05:00,46.46,46.46,46.32,46.32,1050,0
2015-02-03,18:10:00,46.415,46.58,46.415,46.58,1100,0
2015-02-03,18:20:00,46.615,46.66,46.615,46.645,1500,0
2015-02-03,18:25:00,46.69,46.69,46.485,46.49,2900,0
2015-02-03,18:30:00,46.49,46.61,46.445,46.5649,1700,0
2015-02-03,18:35:00,46.55,46.6,46.5201,46.6,800,0
2015-02-03,18:40:00,46.61,46.61,46.61,46.61,1700,0
2015-02-03,18:45:00,46.615,46.68,46.61,46.65,3800,0
2015-02-03,18:50:00,46.645,46.68,46.645,46.68,1200,0
2015-02-03,18:55:00,46.665,46.665,46.615,46.615,6400,0
2015-02-03,19:00:00,46.627,46.627,46.53,46.57,3100,0
2015-02-03,19:05:00,46.56,46.63,46.56,46.63,500,0
2015-02-03,19:10:00,46.59,46.65,46.59,46.6,800,0
2015-02-03,19:15:00,46.59,46.66,46.53,46.65,4200,0
2015-02-03,19:20:00,46.65,46.65,46.625,46.64,1400,0
2015-02-03,19:25:00,46.64,46.72,46.64,46.675,2300,0
2015-02-03,19:30:00,46.655,46.7195,46.655,46.675,2000,0
2015-02-03,19:35:00,46.675,46.68,46.6489,46.68,400,0
2015-02-03,19:40:00,46.67,46.79,46.66,46.76,2250,0
2015-02-03,19:45:00,46.775,46.81,46.692,46.73,2100,0
2015-02-03,19:50:00,46.76,46.76,46.68,46.68,3600,0
2015-02-03,19:55:00,46.7,46.75,46.66,46.75,3964,0
2015-02-03,20:05:00,46.775,46.795,46.739,46.795,801,0
2015-02-03,20:10:00,46.775,46.8,46.75,46.755,4500,0
2015-02-03,20:15:00,46.77,46.77,46.69,46.69,2100,0
2015-02-03,20:20:00,46.69,46.69,46.368,46.368,6403,0
2015-02-03,20:25:00,46.35,46.38,46.31,46.31,5100,0
2015-02-03,20:30:00,46.3,46.3,46.12,46.12,5700,0
2015-02-03,20:35:00,46.13,46.21,46.13,46.17,4700,0
2015-02-03,20:40:00,46.09,46.09,45.9,45.98,5400,0
2015-02-03,20:45:00,46.134,46.18,46.134,46.18,520,0
2015-02-03,20:50:00,46.18,46.19,46.16,46.16,1800,0
2015-02-03,20:55:00,46.21,46.53,46.21,46.38,13049,0
2015-02-03,21:00:00,46.44,46.55,46.435,46.54,2700,0
2015-02-03,21:05:00,46.595,46.63,46.35,46.41,12300,0
2015-02-03,21:10:00,46.4,46.6055,46.395,46.51,4761,0
2015-02-03,21:15:00,46.48,46.55,46.34,46.44,5428,0
2015-02-03,21:20:00,46.55,46.55,46.44,46.535,6212,0
