Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:20:00,4.800,4.830,4.800,4.830,8550,0
2015-02-03,16:25:00,4.82,4.82,4.81,4.82,2800,0
2015-02-03,16:30:00,4.82,4.82,4.81,4.81,6400,0
2015-02-03,16:35:00,4.82,4.82,4.81,4.81,3895,0
2015-02-03,16:40:00,4.8,4.82,4.8,4.8,9200,0
2015-02-03,16:45:00,4.8001,4.81,4.8,4.805,11810,0
2015-02-03,16:50:00,4.8,4.8,4.8,4.8,300,0
2015-02-03,16:55:00,4.8,4.81,4.8,4.81,8125,0
2015-02-03,17:00:00,4.81,4.81,4.8,4.8,18646,0
2015-02-03,17:05:00,4.8001,4.81,4.8,4.8,15423,0
2015-02-03,17:10:00,4.8,4.8099,4.8,4.8,6296,0
2015-02-03,17:15:00,4.8,4.8099,4.8,4.8,13518,0
2015-02-03,17:20:00,4.8,4.81,4.8,4.8,1000,0
2015-02-03,17:25:00,4.805,4.81,4.8,4.81,7258,0
2015-02-03,17:30:00,4.81,4.81,4.73,4.75,27250,0
2015-02-03,17:35:00,4.7599,4.76,4.735,4.735,66400,0
2015-02-03,17:40:00,4.74,4.74,4.73,4.735,16400,0
2015-02-03,17:45:00,4.74,4.76,4.735,4.76,9900,0
2015-02-03,17:50:00,4.77,4.78,4.72,4.73,46346,0
2015-02-03,17:55:00,4.72,4.73,4.72,4.73,6508,0
2015-02-03,18:00:00,4.73,4.73,4.71,4.71,1000,0
2015-02-03,18:05:00,4.715,4.73,4.715,4.73,4230,0
2015-02-03,18:10:00,4.73,4.74,4.72,4.7299,7550,0
2015-02-03,18:15:00,4.72,4.73,4.72,4.73,200,0
2015-02-03,18:20:00,4.73,4.74,4.73,4.74,500,0
2015-02-03,18:25:00,4.74,4.74,4.73,4.74,500,0
2015-02-03,18:30:00,4.74,4.75,4.74,4.75,1400,0
2015-02-03,18:35:00,4.75,4.75,4.74,4.75,1400,0
2015-02-03,18:40:00,4.74,4.75,4.74,4.75,2000,0
2015-02-03,18:45:00,4.75,4.76,4.75,4.76,2411,0
2015-02-03,18:50:00,4.76,4.765,4.72,4.73,30700,0
2015-02-03,18:55:00,4.73,4.73,4.725,4.729,5464,0
2015-02-03,19:00:00,4.73,4.76,4.725,4.74,6720,0
2015-02-03,19:05:00,4.74,4.74,4.73,4.73,3700,0
2015-02-03,19:10:00,4.74,4.74,4.72,4.73,5376,0
2015-02-03,19:15:00,4.72,4.73,4.72,4.73,500,0
2015-02-03,19:20:00,4.73,4.73,4.72,4.72,680,0
2015-02-03,19:25:00,4.73,4.73,4.73,4.73,2600,0
2015-02-03,19:30:00,4.74,4.75,4.74,4.75,4280,0
2015-02-03,19:35:00,4.75,4.75,4.74,4.75,800,0
2015-02-03,19:40:00,4.74,4.745,4.725,4.74,21824,0
2015-02-03,19:45:00,4.74,4.74,4.74,4.74,1500,0
2015-02-03,19:50:00,4.75,4.75,4.745,4.75,3062,0
2015-02-03,19:55:00,4.76,4.76,4.75,4.759,5000,0
2015-02-03,20:00:00,4.7548,4.765,4.75,4.755,9352,0
2015-02-03,20:05:00,4.76,4.77,4.74,4.75,17085,0
2015-02-03,20:10:00,4.75,4.75,4.74,4.74,1700,0
2015-02-03,20:15:00,4.74,4.74,4.73,4.73,1005,0
2015-02-03,20:20:00,4.735,4.74,4.72,4.73,14420,0
2015-02-03,20:25:00,4.72,4.72,4.69,4.69,9973,0
2015-02-03,20:30:00,4.69,4.69,4.67,4.67,6000,0
2015-02-03,20:35:00,4.67,4.68,4.67,4.67,1050,0
2015-02-03,20:40:00,4.675,4.68,4.67,4.67,5550,0
2015-02-03,20:45:00,4.675,4.71,4.67,4.71,16208,0
2015-02-03,20:50:00,4.705,4.74,4.705,4.74,6590,0
2015-02-03,20:55:00,4.75,4.77,4.75,4.765,5651,0
2015-02-03,21:00:00,4.77,4.77,4.76,4.76,2000,0
2015-02-03,21:05:00,4.76,4.765,4.74,4.75,8200,0
2015-02-03,21:10:00,4.75,4.765,4.74,4.765,8150,0
2015-02-03,21:15:00,4.765,4.765,4.745,4.75,4100,0
2015-02-03,21:20:00,4.745,4.75,4.745,4.745,500,0
2015-02-03,21:25:00,4.745,4.76,4.745,4.76,3200,0
2015-02-03,21:30:00,4.76,4.76,4.755,4.755,1900,0
2015-02-03,21:35:00,4.76,4.76,4.75,4.76,13198,0
2015-02-03,21:40:00,4.76,4.77,4.76,4.77,17319,0
2015-02-03,21:45:00,4.77,4.77,4.7601,4.77,6404,0
2015-02-03,21:50:00,4.77,4.77,4.75,4.755,34864,0
2015-02-03,21:55:00,4.76,4.77,4.755,4.77,15568,0
2015-02-03,22:00:00,4.77,4.79,4.76,4.79,135125,0
2015-02-04,15:35:00,4.79,4.8099,4.788,4.788,2697,0
2015-02-04,15:40:00,4.765,4.8,4.76,4.8,2830,0
2015-02-04,15:45:00,4.8,4.84,4.8,4.81,8321,0
2015-02-04,15:50:00,4.7801,4.7801,4.7801,4.7801,310,0
2015-02-04,15:55:00,4.78,4.83,4.78,4.82,13413,0
2015-02-04,16:00:00,4.8101,4.82,4.8,4.8,5782,0
