Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,26.250,26.250,26.170,26.190,7943,0
2015-02-03,16:55:00,26.19,26.21,26.15,26.21,20202,0
2015-02-03,17:00:00,26.21,26.22,26.13,26.13,10000,0
2015-02-03,17:05:00,26.138,26.21,26.13,26.15,9304,0
2015-02-03,17:10:00,26.14,26.22,26.12,26.19,17200,0
2015-02-03,17:15:00,26.17,26.21,26.15,26.21,6168,0
2015-02-03,17:20:00,26.21,26.25,26.21,26.24,8532,0
2015-02-03,17:25:00,26.24,26.29,26.24,26.26,19800,0
2015-02-03,17:30:00,26.251,26.27,26.2,26.21,9458,0
2015-02-03,17:35:00,26.19,26.21,26.19,26.2,5224,0
2015-02-03,17:40:00,26.19,26.24,26.17,26.22,18700,0
2015-02-03,17:45:00,26.22,26.25,26.22,26.25,8755,0
2015-02-03,17:50:00,26.25,26.26,26.22,26.24,14946,0
2015-02-03,17:55:00,26.25,26.25,26.2,26.2,14089,0
2015-02-03,18:00:00,26.21,26.27,26.19,26.26,24400,0
2015-02-03,18:05:00,26.25,26.265,26.24,26.25,10800,0
2015-02-03,18:10:00,26.25,26.25,26.21,26.21,9100,0
2015-02-03,18:15:00,26.21,26.24,26.2,26.24,6300,0
2015-02-03,18:20:00,26.24,26.25,26.19,26.2,9800,0
2015-02-03,18:25:00,26.21,26.23,26.21,26.22,5800,0
2015-02-03,18:30:00,26.22,26.255,26.21,26.25,8362,0
2015-02-03,18:35:00,26.255,26.28,26.23,26.28,7000,0
2015-02-03,18:40:00,26.29,26.33,26.29,26.33,21874,0
2015-02-03,18:45:00,26.34,26.365,26.34,26.35,10718,0
2015-02-03,18:50:00,26.35,26.44,26.35,26.44,24626,0
2015-02-03,18:55:00,26.45,26.46,26.42,26.45,9069,0
2015-02-03,19:00:00,26.445,26.48,26.44,26.47,12733,0
2015-02-03,19:05:00,26.46,26.49,26.43,26.47,16787,0
2015-02-03,19:10:00,26.47,26.49,26.45,26.47,9136,0
2015-02-03,19:15:00,26.46,26.49,26.44,26.48,17785,0
2015-02-03,19:20:00,26.49,26.53,26.4899,26.52,13417,0
2015-02-03,19:25:00,26.52,26.56,26.52,26.54,17640,0
2015-02-03,19:30:00,26.55,26.55,26.51,26.51,13452,0
2015-02-03,19:35:00,26.515,26.52,26.49,26.51,17336,0
2015-02-03,19:40:00,26.51,26.515,26.5,26.51,12096,0
2015-02-03,19:45:00,26.52,26.57,26.515,26.57,11950,0
2015-02-03,19:50:00,26.58,26.62,26.58,26.59,11618,0
2015-02-03,19:55:00,26.59,26.65,26.58,26.64,12849,0
2015-02-03,20:00:00,26.64,26.65,26.61,26.61,6600,0
2015-02-03,20:05:00,26.615,26.67,26.61,26.62,19701,0
2015-02-03,20:10:00,26.61,26.65,26.61,26.65,23060,0
2015-02-03,20:15:00,26.64,26.65,26.61,26.65,15387,0
2015-02-03,20:20:00,26.65,26.66,26.63,26.64,14043,0
2015-02-03,20:25:00,26.64,26.66,26.62,26.625,13638,0
2015-02-03,20:30:00,26.62,26.65,26.62,26.63,27217,0
2015-02-03,20:35:00,26.65,26.655,26.635,26.655,19202,0
2015-02-03,20:40:00,26.63,26.655,26.6,26.62,22097,0
