Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-23,19:50:00,27.09,27.09,27.09,27.09,700,0
2014-12-23,20:00:00,26.94,26.94,26.94,26.94,100,0
2014-12-23,20:05:00,27.14,27.14,27.14,27.14,200,0
2014-12-23,20:35:00,27.01,27.01,27.01,27.01,600,0
2014-12-23,21:15:00,27.04,27.04,27.04,27.04,200,0
2014-12-23,21:25:00,27.04,27.04,27.04,27.04,400,0
2014-12-23,21:35:00,26.9401,26.9401,26.9401,26.9401,624,0
2014-12-23,21:45:00,27.0399,27.0399,26.992,26.992,892,0
2014-12-23,21:55:00,26.89,27.04,26.89,27.03,1000,0
2014-12-23,22:00:00,27.05,27.13,27.05,27.06,4942,0
2014-12-24,15:35:00,27.14,27.14,27.14,27.14,200,0
2014-12-24,15:45:00,26.76,26.76,26.76,26.76,200,0
2014-12-24,15:50:00,26.86,26.86,26.86,26.86,300,0
2014-12-24,16:05:00,26.82,26.82,26.82,26.82,300,0
2014-12-24,16:25:00,27.0,27.0,27.0,27.0,400,0
2014-12-24,17:10:00,27.0001,27.0001,27.0001,27.0001,830,0
2014-12-24,17:30:00,27.12,27.12,27.12,27.12,200,0
2014-12-24,17:35:00,27.11,27.11,27.11,27.11,100,0
2014-12-24,17:40:00,27.0201,27.0201,27.0201,27.0201,660,0
2014-12-24,17:55:00,27.12,27.12,27.12,27.12,100,0
2014-12-24,18:00:00,27.13,27.13,27.13,27.13,100,0
2014-12-24,18:05:00,27.12,27.12,27.12,27.12,200,0
2014-12-24,18:10:00,27.03,27.03,27.03,27.03,200,0
2014-12-24,18:20:00,27.03,27.03,27.03,27.03,900,0
2014-12-24,19:00:00,27.11,27.11,27.07,27.07,1400,0
2014-12-26,15:35:00,27.13,27.13,27.13,27.13,945,0
2014-12-26,15:55:00,27.08,27.08,27.08,27.08,100,0
2014-12-26,16:25:00,27.09,27.11,27.09,27.11,500,0
2014-12-26,17:10:00,27.12,27.12,27.12,27.12,200,0
2014-12-26,17:45:00,27.055,27.055,27.055,27.055,1500,0
2014-12-26,18:15:00,27.06,27.06,27.06,27.06,768,0
2014-12-26,19:15:00,27.13,27.13,27.13,27.13,1100,0
2014-12-26,19:25:00,27.13,27.13,27.13,27.13,500,0
2014-12-26,19:40:00,27.15,27.15,27.15,27.15,300,0
2014-12-26,19:45:00,27.15,27.15,27.14,27.15,1750,0
2014-12-26,20:15:00,27.13,27.13,27.13,27.13,200,0
2014-12-26,20:20:00,27.13,27.13,27.13,27.13,1200,0
2014-12-26,20:45:00,27.1,27.1,27.1,27.1,300,0
2014-12-26,21:10:00,27.16,27.16,27.16,27.16,200,0
2014-12-26,21:20:00,27.137,27.137,27.137,27.137,416,0
2014-12-26,21:35:00,27.14,27.14,27.14,27.14,300,0
2014-12-26,21:40:00,27.14,27.14,27.14,27.14,1200,0
2014-12-26,21:50:00,27.05,27.17,27.05,27.17,700,0
2014-12-29,15:35:00,27.19,27.2,27.18,27.2,985,0
2014-12-29,15:40:00,27.19,27.26,27.174,27.26,1856,0
2014-12-29,15:55:00,27.269,27.27,27.19,27.24,900,0
2014-12-29,16:05:00,27.23,27.23,27.23,27.23,400,0
2014-12-29,16:10:00,27.23,27.25,27.23,27.25,1340,0
2014-12-29,16:25:00,27.3,27.3,27.27,27.27,500,0
