Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-22,20:45:00,7.580,7.620,7.410,7.620,1800,0
2014-12-22,21:05:00,7.555,7.565,7.555,7.565,800,0
2014-12-22,21:30:00,7.625,7.625,7.5652,7.625,700,0
2014-12-22,21:40:00,7.79,7.79,7.79,7.79,100,0
2014-12-22,21:50:00,7.79,7.8,7.79,7.8,300,0
2014-12-22,21:55:00,7.8,7.81,7.7904,7.7988,8300,0
2014-12-22,22:00:00,7.81,7.81,7.48,7.81,1866,0
2014-12-23,15:35:00,7.37,7.37,7.37,7.37,520,0
2014-12-23,15:50:00,7.3701,7.8,7.3701,7.8,1500,0
2014-12-23,16:00:00,7.9,7.9,7.87,7.87,200,0
2014-12-23,16:05:00,7.7776,7.785,7.7776,7.785,500,0
2014-12-23,16:15:00,7.9,7.98,7.9,7.98,2100,0
2014-12-23,16:20:00,7.9,7.98,7.9,7.97,4100,0
2014-12-23,16:30:00,7.97,7.97,7.97,7.97,400,0
2014-12-23,16:35:00,8.0,8.0,8.0,8.0,900,0
2014-12-23,16:40:00,7.873,7.873,7.84,7.84,200,0
2014-12-23,16:50:00,7.89,7.89,7.89,7.89,200,0
2014-12-23,17:05:00,7.79,7.79,7.79,7.79,200,0
2014-12-23,17:40:00,7.738,7.738,7.738,7.738,400,0
2014-12-23,17:45:00,7.73,7.73,7.73,7.73,100,0
2014-12-23,18:00:00,7.9,7.9,7.9,7.9,100,0
2014-12-23,18:05:00,7.8965,7.8965,7.8965,7.8965,800,0
2014-12-23,18:10:00,7.9,7.95,7.9,7.95,3709,0
2014-12-23,18:15:00,8.0,8.0,8.0,8.0,350,0
2014-12-23,18:25:00,8.0,8.1,7.95,8.0965,1249,0
2014-12-23,18:35:00,8.08,8.08,8.08,8.08,100,0
2014-12-23,18:45:00,7.97,7.978,7.97,7.978,200,0
2014-12-23,18:50:00,7.97,7.97,7.95,7.96,4100,0
2014-12-23,19:10:00,8.068,8.068,8.068,8.068,600,0
2014-12-23,19:15:00,8.068,8.068,8.068,8.068,600,0
2014-12-23,19:45:00,8.08,8.13,8.08,8.13,600,0
2014-12-23,20:00:00,8.29,8.47,8.29,8.47,1050,0
2014-12-23,20:20:00,8.12,8.12,8.04,8.04,1200,0
2014-12-23,20:25:00,8.13,8.13,8.13,8.13,145,0
2014-12-23,20:30:00,8.292,8.292,8.292,8.292,300,0
2014-12-23,20:55:00,8.21,8.21,8.08,8.13,700,0
2014-12-23,21:15:00,8.34,8.4,8.32,8.4,3708,0
2014-12-23,21:20:00,8.35,8.35,8.31,8.34,600,0
2014-12-23,21:30:00,8.175,8.2065,8.175,8.2065,400,0
2014-12-23,21:45:00,8.4,8.4,8.4,8.4,100,0
2014-12-23,22:00:00,8.39,8.4,8.02,8.02,1609,0
2014-12-24,15:35:00,8.08,8.08,8.08,8.08,600,0
2014-12-24,15:45:00,8.1399,8.1399,8.1399,8.1399,250,0
2014-12-24,15:55:00,8.05,8.05,8.05,8.05,180,0
2014-12-24,16:05:00,8.0,8.0,8.0,8.0,400,0
2014-12-24,16:35:00,7.941,7.941,7.941,7.941,600,0
2014-12-24,16:50:00,7.87,8.13,7.87,8.13,700,0
2014-12-24,17:30:00,8.0,8.0,8.0,8.0,400,0
2014-12-24,18:00:00,7.81,7.81,7.81,7.81,100,0
2014-12-24,18:25:00,7.922,7.97,7.922,7.94,2400,0
2014-12-24,18:30:00,7.98,8.0,7.98,7.98,900,0
2014-12-24,18:40:00,8.0,8.0,7.93,7.93,1000,0
2014-12-24,18:50:00,7.9661,7.9661,7.9661,7.9661,1500,0
2014-12-24,18:55:00,7.99,7.99,7.82,7.82,200,0
2014-12-24,19:00:00,7.95,7.95,7.95,7.95,100,0
2014-12-26,15:35:00,7.87,7.87,7.84,7.84,2700,0
2014-12-26,15:40:00,7.3275,7.3275,7.2655,7.2655,700,0
2014-12-26,16:00:00,7.98,7.98,7.98,7.98,300,0
2014-12-26,16:05:00,8.0304,8.0304,8.0304,8.0304,200,0
2014-12-26,16:30:00,8.03,8.04,8.0,8.01,2392,0
2014-12-26,17:25:00,8.01,8.01,8.01,8.01,100,0
2014-12-26,17:35:00,8.01,8.01,8.01,8.01,100,0
2014-12-26,17:40:00,8.01,8.01,8.01,8.01,100,0
2014-12-26,17:50:00,8.01,8.01,8.01,8.01,100,0
2014-12-26,17:55:00,8.01,8.01,8.0,8.0,200,0
2014-12-26,18:00:00,8.0,8.0,7.93,7.93,1680,0
2014-12-26,18:10:00,7.69,7.69,7.69,7.69,500,0
2014-12-26,18:25:00,7.73,7.73,7.73,7.73,500,0
2014-12-26,18:30:00,7.68,7.68,7.68,7.68,100,0
2014-12-26,18:35:00,7.735,7.96,7.67,7.96,3700,0
2014-12-26,18:50:00,7.75,7.75,7.7325,7.75,1776,0
2014-12-26,19:05:00,7.65,7.7,7.5,7.7,3500,0
2014-12-26,19:55:00,7.65,7.7,7.65,7.7,1300,0
2014-12-26,20:00:00,7.68,7.7,7.68,7.7,1100,0
2014-12-26,20:35:00,7.5301,7.7,7.5301,7.7,2300,0
2014-12-26,20:40:00,7.7,7.7,7.7,7.7,300,0
2014-12-26,20:50:00,7.62,7.7,7.62,7.7,2880,0
2014-12-26,20:55:00,7.7,7.7,7.7,7.7,500,0
2014-12-26,21:05:00,7.7,7.7,7.7,7.7,100,0
2014-12-26,21:10:00,7.69,7.7,7.6728,7.6728,800,0
2014-12-26,21:15:00,7.65,7.75,7.65,7.75,1258,0
2014-12-26,21:20:00,7.75,7.75,7.75,7.75,300,0
2014-12-26,21:25:00,7.75,7.75,7.75,7.75,1000,0
2014-12-26,21:30:00,7.7,7.75,7.7,7.725,815,0
2014-12-26,21:40:00,7.75,7.75,7.75,7.75,300,0
2014-12-26,21:45:00,7.75,7.75,7.75,7.75,700,0
2014-12-26,21:55:00,7.75,7.75,7.75,7.75,100,0
2014-12-26,22:00:00,7.75,7.99,7.75,7.99,1083,0
2014-12-29,15:35:00,7.8,7.8,7.8,7.8,200,0
2014-12-29,16:15:00,7.8999,7.8999,7.87,7.87,2000,0
2014-12-29,16:30:00,7.81,7.83,7.81,7.83,1800,0
2014-12-29,16:40:00,7.73,7.73,7.73,7.73,3600,0
2014-12-29,17:45:00,7.775,7.82,7.775,7.82,200,0
2014-12-29,18:30:00,7.775,7.775,7.72,7.72,200,0
2014-12-29,19:05:00,7.72,7.76,7.72,7.76,500,0
2014-12-29,19:30:00,7.76,7.77,7.76,7.77,500,0
2014-12-29,19:35:00,7.77,7.82,7.77,7.82,700,0
2014-12-29,20:00:00,7.9925,7.9925,7.9925,7.9925,100,0
2014-12-29,20:15:00,8.0,8.0,8.0,8.0,100,0
2014-12-29,20:25:00,8.0,8.0,8.0,8.0,300,0
2014-12-29,20:30:00,8.0,8.0,8.0,8.0,100,0
2014-12-29,20:35:00,8.0,8.0,7.99,7.99,1000,0
2014-12-29,20:55:00,7.99,8.0,7.82,7.82,2500,0
2014-12-29,21:15:00,7.99,7.99,7.99,7.99,100,0
2014-12-29,21:20:00,7.99,7.99,7.99,7.99,100,0
2014-12-29,21:30:00,7.99,7.99,7.84,7.84,200,0
2014-12-29,21:35:00,7.99,7.99,7.99,7.99,200,0
2014-12-29,21:40:00,7.99,7.99,7.99,7.99,100,0
2014-12-29,21:45:00,7.99,7.99,7.99,7.99,100,0
2014-12-29,21:50:00,7.83,7.83,7.83,7.83,600,0
2014-12-29,21:55:00,7.85,7.85,7.83,7.83,800,0
2014-12-29,22:00:00,7.8501,7.86,7.82,7.85,2939,0
2014-12-30,15:35:00,7.93,7.93,7.93,7.93,200,0
2014-12-30,16:10:00,7.87,8.23,7.87,8.23,600,0
