Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-26,19:10:00,0.9194,0.9194,0.9190,0.9194,5991,0
2015-01-26,19:15:00,0.9142,0.9142,0.9142,0.9142,2000,0
2015-01-26,19:25:00,0.917,0.917,0.917,0.917,200,0
2015-01-26,19:30:00,0.919,0.919,0.9181,0.9181,1200,0
2015-01-26,19:45:00,0.9193,0.9194,0.915,0.915,1775,0
2015-01-26,19:50:00,0.9194,0.9194,0.9194,0.9194,100,0
2015-01-26,19:55:00,0.9194,0.9194,0.9163,0.9163,700,0
2015-01-26,20:05:00,0.9193,0.9194,0.9193,0.9194,550,0
2015-01-26,20:10:00,0.9194,0.9194,0.9194,0.9194,100,0
2015-01-26,20:15:00,0.9193,0.9193,0.9193,0.9193,800,0
2015-01-26,20:20:00,0.9151,0.9151,0.9151,0.9151,600,0
2015-01-26,20:30:00,0.9151,0.9151,0.91,0.91,10000,0
2015-01-26,20:35:00,0.9155,0.9194,0.9155,0.9194,1000,0
2015-01-26,20:45:00,0.9194,0.9194,0.9194,0.9194,100,0
2015-01-26,20:55:00,0.9194,0.9194,0.9194,0.9194,100,0
2015-01-26,21:00:00,0.9194,0.9194,0.9194,0.9194,100,0
2015-01-26,21:05:00,0.9194,0.92,0.9194,0.92,2000,0
2015-01-26,21:10:00,0.92,0.92,0.92,0.92,100,0
2015-01-26,21:15:00,0.92,0.92,0.9151,0.9151,900,0
2015-01-26,21:20:00,0.92,0.92,0.92,0.92,900,0
2015-01-26,21:25:00,0.92,0.92,0.92,0.92,900,0
2015-01-26,21:30:00,0.92,0.92,0.9151,0.9151,1000,0
2015-01-26,21:35:00,0.9151,0.9151,0.9151,0.9151,200,0
2015-01-26,21:40:00,0.92,0.92,0.92,0.92,100,0
2015-01-26,21:50:00,0.92,0.92,0.9152,0.9152,3000,0
2015-01-26,21:55:00,0.92,0.95,0.92,0.95,15952,0
2015-01-26,22:00:00,0.95,0.96,0.9401,0.95,4046,0
2015-01-27,15:35:00,0.9101,0.9165,0.9101,0.9165,1400,0
2015-01-27,15:40:00,0.94,0.94,0.94,0.94,200,0
2015-01-27,15:50:00,0.93,0.93,0.92,0.92,6000,0
2015-01-27,15:55:00,0.95,0.95,0.95,0.95,1000,0
2015-01-27,16:00:00,0.95,0.95,0.95,0.95,200,0
2015-01-27,16:10:00,0.9599,0.9599,0.9599,0.9599,200,0
2015-01-27,16:20:00,0.9599,0.9599,0.9599,0.9599,100,0
2015-01-27,16:25:00,0.9599,0.96,0.939,0.96,1962,0
2015-01-27,16:40:00,0.9479,0.95,0.9479,0.95,1100,0
2015-01-27,16:45:00,0.95,0.96,0.9449,0.95,4209,0
2015-01-27,16:55:00,0.95,0.95,0.95,0.95,100,0
2015-01-27,17:00:00,0.9497,0.9497,0.9497,0.9497,1000,0
2015-01-27,17:05:00,0.94,0.94,0.9302,0.94,2358,0
2015-01-27,17:10:00,0.9478,0.9478,0.9478,0.9478,1000,0
2015-01-27,17:15:00,0.95,0.95,0.95,0.95,100,0
2015-01-27,17:20:00,0.95,0.95,0.95,0.95,1300,0
2015-01-27,17:25:00,0.95,0.96,0.95,0.96,800,0
2015-01-27,17:40:00,0.96,0.96,0.96,0.96,100,0
2015-01-27,17:50:00,0.9593,0.9593,0.9325,0.9325,9564,0
2015-01-27,17:55:00,0.9468,0.9468,0.9339,0.9339,3200,0
2015-01-27,18:00:00,0.95,0.95,0.95,0.95,100,0
2015-01-27,18:05:00,0.9301,0.9301,0.9301,0.9301,308,0
2015-01-27,18:35:00,0.9279,0.928,0.9279,0.928,1750,0
2015-01-27,18:45:00,0.9505,0.9505,0.9505,0.9505,100,0
2015-01-27,19:05:00,0.96,0.96,0.96,0.96,100,0
2015-01-27,19:10:00,0.96,0.96,0.96,0.96,200,0
2015-01-27,19:15:00,0.9571,0.9571,0.9571,0.9571,200,0
2015-01-27,19:25:00,0.96,0.96,0.96,0.96,200,0
2015-01-27,19:30:00,0.96,0.96,0.96,0.96,1000,0
2015-01-27,19:35:00,0.9499,0.9499,0.9499,0.9499,1000,0
2015-01-27,19:50:00,0.9301,0.95,0.9301,0.95,2100,0
2015-01-27,19:55:00,0.9476,0.9476,0.9476,0.9476,100,0
2015-01-27,20:00:00,0.95,0.95,0.95,0.95,100,0
2015-01-27,20:10:00,0.95,0.95,0.922,0.95,10000,0
2015-01-27,20:20:00,0.946,0.946,0.946,0.946,1039,0
2015-01-27,20:30:00,0.922,0.922,0.922,0.922,800,0
2015-01-27,20:50:00,0.9407,0.9407,0.9407,0.9407,500,0
2015-01-27,20:55:00,0.9505,0.9505,0.95,0.95,500,0
2015-01-27,21:00:00,0.95,0.9598,0.95,0.9598,600,0
2015-01-27,21:10:00,0.95,0.95,0.95,0.95,400,0
2015-01-27,21:15:00,0.95,0.95,0.95,0.95,900,0
2015-01-27,21:25:00,0.96,0.96,0.9597,0.9597,200,0
2015-01-27,21:30:00,0.95,0.95,0.95,0.95,300,0
2015-01-27,21:35:00,0.95,0.95,0.95,0.95,500,0
2015-01-27,21:40:00,0.9497,0.95,0.941,0.95,1500,0
2015-01-27,21:45:00,0.95,0.95,0.95,0.95,600,0
2015-01-27,21:50:00,0.95,0.95,0.95,0.95,500,0
2015-01-27,22:00:00,0.96,0.96,0.959,0.96,15800,0
2015-01-28,15:35:00,0.95,0.96,0.95,0.96,10850,0
