Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,12.76,12.84,12.76,12.78,5708,0
2015-02-03,16:55:00,12.79,12.8,12.76,12.8,9697,0
2015-02-03,17:00:00,12.81,12.83,12.76,12.8,5500,0
2015-02-03,17:05:00,12.8,12.8,12.76,12.785,1300,0
2015-02-03,17:10:00,12.8,12.85,12.78,12.85,8281,0
2015-02-03,17:15:00,12.85,12.8801,12.85,12.8801,1100,0
2015-02-03,17:20:00,12.925,12.95,12.85,12.91,14690,0
2015-02-03,17:25:00,12.91,12.91,12.894,12.9,7900,0
2015-02-03,17:30:00,12.89,12.89,12.87,12.88,1850,0
2015-02-03,17:35:00,12.8807,12.8807,12.85,12.86,2070,0
2015-02-03,17:40:00,12.85,12.85,12.8301,12.85,2334,0
2015-02-03,17:45:00,12.86,12.96,12.8419,12.93,4400,0
2015-02-03,17:50:00,12.91,12.91,12.85,12.86,3000,0
2015-02-03,17:55:00,12.88,12.885,12.85,12.85,2693,0
2015-02-03,18:00:00,12.85,12.91,12.85,12.9,4000,0
2015-02-03,18:05:00,12.88,12.89,12.854,12.854,7392,0
2015-02-03,18:10:00,12.86,12.98,12.85,12.87,18040,0
2015-02-03,18:15:00,12.865,12.88,12.86,12.861,8900,0
2015-02-03,18:20:00,12.87,12.88,12.85,12.86,2900,0
2015-02-03,18:25:00,12.8313,12.86,12.8306,12.845,3290,0
2015-02-03,18:30:00,12.83,12.86,12.83,12.86,2300,0
2015-02-03,18:35:00,12.86,12.86,12.83,12.8301,1100,0
2015-02-03,18:40:00,12.845,12.86,12.83,12.845,2500,0
2015-02-03,18:45:00,12.86,12.86,12.83,12.85,15027,0
2015-02-03,18:50:00,12.86,12.91,12.86,12.88,6628,0
2015-02-03,18:55:00,12.8884,12.92,12.88,12.9,2400,0
2015-02-03,19:00:00,12.94,13.0,12.9,12.99,9140,0
2015-02-03,19:05:00,13.0,13.04,12.99,13.02,4257,0
2015-02-03,19:10:00,13.0108,13.07,13.0108,13.07,8824,0
2015-02-03,19:15:00,13.06,13.128,13.05,13.12,3700,0
2015-02-03,19:20:00,13.12,13.15,13.12,13.138,8600,0
2015-02-03,19:25:00,13.14,13.22,13.125,13.218,15726,0
2015-02-03,19:30:00,13.2,13.2,13.16,13.19,3458,0
2015-02-03,19:35:00,13.165,13.28,13.165,13.276,4200,0
2015-02-03,19:40:00,13.27,13.27,13.21,13.21,12800,0
2015-02-03,19:45:00,13.2,13.21,13.17,13.182,9999,0
2015-02-03,19:50:00,13.19,13.26,13.19,13.24,6941,0
2015-02-03,19:55:00,13.26,13.28,13.24,13.265,7200,0
2015-02-03,20:00:00,13.275,13.34,13.27,13.31,7600,0
2015-02-03,20:05:00,13.34,13.47,13.34,13.395,8981,0
2015-02-03,20:10:00,13.4001,13.42,13.35,13.39,11100,0
2015-02-03,20:15:00,13.4,13.46,13.4,13.44,3000,0
2015-02-03,20:20:00,13.39,13.46,13.33,13.37,23240,0
2015-02-03,20:25:00,13.39,13.45,13.38,13.41,5901,0
2015-02-03,20:30:00,13.415,13.42,13.39,13.4,8210,0
2015-02-03,20:35:00,13.41,13.42,13.4,13.41,5550,0
2015-02-03,20:40:00,13.41,13.4425,13.41,13.435,3900,0
2015-02-03,20:45:00,13.43,13.44,13.37,13.44,7400,0
2015-02-03,20:50:00,13.44,13.53,13.44,13.53,11797,0
2015-02-03,20:55:00,13.53,13.54,13.44,13.465,16211,0
2015-02-03,21:00:00,13.46,13.54,13.46,13.53,6100,0
2015-02-03,21:05:00,13.535,13.73,13.5325,13.65,53248,0
2015-02-03,21:10:00,13.6501,13.7,13.61,13.7,10650,0
2015-02-03,21:15:00,13.68,13.7,13.67,13.7,6377,0
2015-02-03,21:20:00,13.68,13.69,13.601,13.68,33890,0
2015-02-03,21:25:00,13.68,13.79,13.68,13.75,13900,0
2015-02-03,21:30:00,13.75,13.786,13.71,13.72,10500,0
2015-02-03,21:35:00,13.725,13.74,13.6701,13.715,21090,0
2015-02-03,21:40:00,13.715,13.75,13.68,13.68,23500,0
2015-02-03,21:45:00,13.68,13.7,13.6,13.7,12150,0
2015-02-03,21:50:00,13.67,13.7,13.65,13.65,14783,0
2015-02-03,21:55:00,13.68,13.73,13.68,13.71,15254,0
2015-02-03,22:00:00,13.7,13.736,13.65,13.67,38252,0
2015-02-04,15:35:00,13.52,13.53,13.2901,13.32,9920,0
2015-02-04,15:40:00,13.295,13.45,13.18,13.45,13347,0
2015-02-04,15:45:00,13.46,13.47,13.37,13.42,10926,0
2015-02-04,15:50:00,13.45,13.45,13.29,13.32,7100,0
2015-02-04,15:55:00,13.286,13.32,13.26,13.32,4679,0
2015-02-04,16:00:00,13.32,13.43,13.305,13.305,6900,0
2015-02-04,16:05:00,13.29,13.395,13.29,13.315,12903,0
2015-02-04,16:10:00,13.28,13.39,13.28,13.372,2500,0
2015-02-04,16:15:00,13.38,13.39,13.37,13.38,33828,0
2015-02-04,16:20:00,13.3899,13.3899,13.355,13.37,5000,0
2015-02-04,16:25:00,13.375,13.375,13.32,13.35,3400,0
2015-02-04,16:30:00,13.33,13.34,13.21,13.23,8110,0
2015-02-04,16:35:00,13.19,13.19,13.075,13.075,5670,0
2015-02-04,16:40:00,13.075,13.17,13.075,13.17,10217,0
2015-02-04,16:45:00,13.21,13.27,13.2,13.25,3200,0
2015-02-04,16:50:00,13.24,13.24,13.124,13.124,3470,0
2015-02-04,16:55:00,13.12,13.21,13.09,13.21,9497,0
2015-02-04,17:00:00,13.2799,13.2799,13.24,13.25,4400,0
2015-02-04,17:05:00,13.23,13.34,13.21,13.3,5800,0
2015-02-04,17:10:00,13.31,13.31,13.25,13.31,5000,0
2015-02-04,17:15:00,13.3295,13.3295,13.26,13.26,1900,0
2015-02-04,17:20:00,13.26,13.27,13.24,13.25,5600,0
2015-02-04,17:25:00,13.25,13.415,13.25,13.4001,7275,0
2015-02-04,17:30:00,13.43,13.44,13.36,13.39,5483,0
2015-02-04,17:35:00,13.395,13.5,13.37,13.5,10500,0
2015-02-04,17:40:00,13.49,13.61,13.43,13.435,38448,0
2015-02-04,17:45:00,13.45,13.51,13.45,13.47,1600,0
2015-02-04,17:50:00,13.43,13.44,13.4,13.4,800,0
2015-02-04,17:55:00,13.4101,13.4101,13.3875,13.395,2634,0
2015-02-04,18:00:00,13.3904,13.41,13.37,13.37,5105,0
2015-02-04,18:05:00,13.375,13.375,13.35,13.35,2974,0
2015-02-04,18:10:00,13.33,13.33,13.25,13.25,900,0
2015-02-04,18:15:00,13.25,13.25,13.17,13.19,9886,0
2015-02-04,18:20:00,13.22,13.27,13.19,13.26,2900,0
2015-02-04,18:25:00,13.26,13.26,13.25,13.26,3100,0
2015-02-04,18:30:00,13.26,13.26,13.21,13.225,5221,0
2015-02-04,18:35:00,13.22,13.28,13.22,13.2375,6200,0
2015-02-04,18:40:00,13.245,13.31,13.24,13.31,5067,0
2015-02-04,18:45:00,13.35,13.36,13.29,13.29,1200,0
2015-02-04,18:50:00,13.26,13.3,13.26,13.3,10200,0
2015-02-04,18:55:00,13.33,13.33,13.25,13.31,3189,0
2015-02-04,19:00:00,13.3,13.32,13.28,13.29,4800,0
2015-02-04,19:05:00,13.31,13.31,13.29,13.3,700,0
2015-02-04,19:10:00,13.31,13.31,13.25,13.275,3140,0
2015-02-04,19:15:00,13.275,13.275,13.245,13.255,1200,0
2015-02-04,19:20:00,13.245,13.3,13.23,13.29,5158,0
2015-02-04,19:25:00,13.27,13.27,13.25,13.25,1300,0
2015-02-04,19:30:00,13.26,13.32,13.26,13.31,6652,0
2015-02-04,19:35:00,13.33,13.33,13.32,13.32,2200,0
2015-02-04,19:40:00,13.32,13.34,13.3,13.3,1200,0
2015-02-04,19:45:00,13.26,13.275,13.245,13.275,5000,0
2015-02-04,19:50:00,13.26,13.26,13.25,13.26,1000,0
2015-02-04,19:55:00,13.25,13.27,13.25,13.26,3600,0
2015-02-04,20:00:00,13.27,13.28,13.26,13.27,2450,0
2015-02-04,20:05:00,13.26,13.28,13.2402,13.28,16133,0
2015-02-04,20:10:00,13.28,13.3,13.23,13.29,6900,0
2015-02-04,20:15:00,13.3,13.3,13.28,13.28,1500,0
2015-02-04,20:20:00,13.27,13.28,13.25,13.26,2525,0
2015-02-04,20:25:00,13.26,13.26,13.15,13.2,24500,0
2015-02-04,20:30:00,13.2,13.23,13.18,13.2001,7617,0
2015-02-04,20:35:00,13.2,13.2078,13.19,13.195,9300,0
2015-02-04,20:40:00,13.195,13.29,13.195,13.265,6400,0
2015-02-04,20:45:00,13.27,13.288,13.22,13.22,3100,0
2015-02-04,20:50:00,13.22,13.235,13.1701,13.21,9505,0
2015-02-04,20:55:00,13.2,13.225,13.2,13.2,5134,0
2015-02-04,21:00:00,13.2,13.22,13.2,13.21,2700,0
2015-02-04,21:05:00,13.2,13.2,13.17,13.19,5868,0
2015-02-04,21:10:00,13.19,13.26,13.19,13.26,16500,0
2015-02-04,21:15:00,13.27,13.32,13.27,13.31,4500,0
2015-02-04,21:20:00,13.29,13.31,13.27,13.27,3700,0
2015-02-04,21:25:00,13.27,13.32,13.27,13.29,11200,0
2015-02-04,21:30:00,13.29,13.32,13.27,13.3,6730,0
2015-02-04,21:35:00,13.3,13.32,13.28,13.3052,31934,0
2015-02-04,21:40:00,13.285,13.29,13.25,13.255,19904,0
2015-02-04,21:45:00,13.255,13.255,13.22,13.23,6750,0
2015-02-04,21:50:00,13.23,13.26,13.2,13.23,7425,0
2015-02-04,21:55:00,13.23,13.24,13.12,13.12,12400,0
2015-02-04,22:00:00,13.13,13.17,13.12,13.12,40318,0
2015-02-05,15:35:00,13.342,13.41,13.2,13.41,15052,0
2015-02-05,15:40:00,13.39,13.42,13.372,13.42,10189,0
2015-02-05,15:45:00,13.41,13.42,13.345,13.37,2800,0
2015-02-05,15:50:00,13.35,13.47,13.34,13.416,8463,0
2015-02-05,15:55:00,13.41,13.51,13.37,13.42,13000,0
2015-02-05,16:00:00,13.43,13.54,13.41,13.45,12900,0
2015-02-05,16:05:00,13.41,13.42,13.39,13.42,1650,0
2015-02-05,16:10:00,13.38,13.42,13.34,13.35,6000,0
2015-02-05,16:15:00,13.33,13.41,13.33,13.35,3000,0
2015-02-05,16:20:00,13.34,13.42,13.33,13.42,4655,0
2015-02-05,16:25:00,13.42,13.42,13.38,13.38,2400,0
2015-02-05,16:30:00,13.37,13.44,13.35,13.42,11886,0
2015-02-05,16:35:00,13.39,13.39,13.35,13.37,13088,0
2015-02-05,16:40:00,13.39,13.41,13.34,13.35,5991,0
2015-02-05,16:45:00,13.35,13.39,13.28,13.34,30480,0
