Date,Time,Open,High,Low,Close,Volume,OpenInt
2011-02-04,16:25:00,2.300,2.300,2.300,2.300,300,0
2011-02-04,16:25:00,2.3,2.3,2.3,2.3,300,0
2011-02-04,17:10:00,2.29,2.29,2.29,2.29,2000,0
2011-02-04,17:40:00,2.25,2.3,2.25,2.25,18700,0
2011-02-04,17:45:00,2.35,2.4,2.35,2.4,2000,0
2011-02-04,18:30:00,2.41,2.5,2.39,2.49,11600,0
2011-02-04,19:20:00,2.49,2.49,2.49,2.49,4000,0
2011-02-04,21:50:00,2.41,2.45,2.41,2.45,2000,0
2011-02-07,18:10:00,2.42,2.5,2.42,2.48,5400,0
2011-02-07,20:30:00,2.47,2.47,2.47,2.47,300,0
2011-02-07,20:40:00,2.45,2.45,2.45,2.45,200,0
2011-02-07,20:55:00,2.42,2.46,2.42,2.46,400,0
2011-02-07,21:30:00,2.45,2.45,2.45,2.45,1700,0
2011-02-07,21:40:00,2.43,2.43,2.43,2.43,1000,0
2011-02-07,21:45:00,2.43,2.43,2.43,2.43,1300,0
2011-02-07,21:50:00,2.45,2.47,2.45,2.47,2700,0
2011-02-07,22:00:00,2.46,2.46,2.43,2.43,3400,0
2011-02-08,19:45:00,2.45,2.45,2.45,2.45,2500,0
2011-02-08,21:35:00,2.45,2.45,2.45,2.45,1000,0
2011-02-09,17:40:00,2.5,3.59,2.5,3.59,6400,0
2011-02-09,17:55:00,2.61,2.61,2.6,2.6,1100,0
2011-02-09,18:00:00,2.56,2.56,2.56,2.56,400,0
2011-02-10,15:55:00,2.41,2.41,2.41,2.41,100,0
2011-02-10,18:00:00,2.44,2.45,2.44,2.45,700,0
2011-02-11,15:35:00,2.5,2.5,2.5,2.5,2000,0
2011-02-11,17:40:00,2.6,2.6,2.6,2.6,2000,0
2011-02-11,18:55:00,2.68,2.68,2.68,2.68,200,0
2011-02-11,20:30:00,2.7,2.7,2.7,2.7,200,0
2011-02-15,18:05:00,2.8,2.8,2.8,2.8,1950,0
2011-02-15,18:30:00,2.8,2.8,2.8,2.8,200,0
2011-02-15,19:35:00,2.8,2.8,2.8,2.8,200,0
2011-02-15,20:15:00,2.8,2.8,2.8,2.8,100,0
2011-02-15,20:35:00,2.8,2.8,2.8,2.8,100,0
2011-02-15,20:50:00,2.8,2.8,2.8,2.8,800,0
2011-02-17,17:50:00,2.61,2.75,2.6,2.6,30800,0
2011-02-17,19:25:00,2.65,2.65,2.65,2.65,100,0
2011-02-17,20:05:00,2.65,2.65,2.65,2.65,100,0
2011-02-17,20:40:00,2.65,2.65,2.65,2.65,100,0
2011-02-17,21:05:00,2.65,2.65,2.65,2.65,100,0
2011-02-17,21:20:00,2.65,2.65,2.65,2.65,300,0
2011-02-17,21:30:00,2.65,2.65,2.65,2.65,400,0
2011-02-17,21:45:00,2.65,2.65,2.65,2.65,100,0
2011-02-17,21:55:00,2.64,2.64,2.61,2.61,5100,0
2011-02-17,22:00:00,2.64,2.64,2.64,2.64,5000,0
2011-02-18,19:15:00,2.75,2.75,2.75,2.75,6800,0
2011-02-18,20:50:00,2.69,2.69,2.69,2.69,9000,0
2011-02-22,18:20:00,2.63,2.63,2.61,2.61,5100,0
2011-02-22,18:45:00,2.61,2.61,2.61,2.61,10400,0
2011-02-22,19:20:00,2.61,2.61,2.61,2.61,5500,0
2011-02-24,17:40:00,2.61,2.61,2.61,2.61,4900,0
2011-02-24,17:50:00,2.61,2.61,2.61,2.61,3400,0
2011-02-24,18:10:00,2.61,2.61,2.61,2.61,2200,0
2011-02-24,18:35:00,2.61,2.61,2.61,2.61,6700,0
2011-02-24,21:20:00,2.909,2.91,2.89,2.91,5000,0
2011-02-28,20:55:00,2.62,2.62,2.62,2.62,1950,0
2011-02-28,21:50:00,2.57,2.57,2.55,2.55,7300,0
2011-03-01,15:35:00,2.73,2.73,2.73,2.73,100,0
2011-03-01,18:35:00,2.73,2.74,2.73,2.74,1000,0
2011-03-02,15:45:00,2.49,2.5,2.49,2.5,500,0
2011-03-02,16:20:00,2.4,2.4,2.4,2.4,100,0
2011-03-02,16:25:00,2.4,2.4,2.4,2.4,200,0
2011-03-02,17:10:00,2.4,2.4,2.4,2.4,20600,0
2011-03-02,18:55:00,2.49,2.49,2.4604,2.4604,450,0
2011-03-02,21:55:00,2.49,2.5,2.49,2.5,2050,0
2011-03-03,21:20:00,2.69,2.69,2.69,2.69,200,0
2011-03-07,15:50:00,2.69,2.69,2.69,2.69,1000,0
2011-03-07,17:00:00,2.71,2.72,2.71,2.71,6500,0
2011-03-08,17:40:00,2.66,2.7,2.66,2.7,2900,0
2011-03-08,19:55:00,2.7,2.71,2.7,2.71,900,0
2011-03-08,21:25:00,2.71,2.71,2.71,2.71,100,0
2011-03-08,21:30:00,2.75,2.75,2.75,2.75,2000,0
2011-03-15,17:25:00,2.68,2.68,2.68,2.68,2200,0
2011-03-23,19:55:00,2.51,2.53,2.5,2.5,3450,0
2011-03-23,20:00:00,2.5,2.5,2.5,2.5,6521,0
2011-03-23,20:05:00,2.5,2.5,2.5,2.5,600,0
2011-03-28,15:35:00,2.46,2.46,2.43,2.43,2800,0
2011-03-28,19:25:00,2.35,2.35,2.35,2.35,2500,0
2011-03-30,18:15:00,2.63,2.65,2.63,2.65,1000,0
2011-03-31,18:05:00,2.59,2.59,2.59,2.59,600,0
2011-03-31,18:25:00,2.6,2.6,2.6,2.6,800,0
2011-03-31,18:30:00,2.6,2.6,2.59,2.59,1000,0
2011-03-31,18:35:00,2.6,2.6,2.6,2.6,100,0
2011-03-31,19:20:00,2.65,2.65,2.65,2.65,2100,0
2011-04-06,21:30:00,2.7,2.7,2.7,2.7,6000,0
2011-04-07,16:00:00,2.75,2.75,2.75,2.75,600,0
2011-04-08,17:15:00,2.8,2.8,2.8,2.8,3000,0
2011-04-08,20:00:00,2.6,2.6,2.6,2.6,1450,0
2011-04-11,17:25:00,2.56,2.56,2.56,2.56,400,0
2011-04-11,18:40:00,2.47,2.47,2.47,2.47,3000,0
2011-04-13,18:30:00,2.37,2.37,2.36,2.36,1800,0
2011-04-20,18:05:00,2.6,2.62,2.6,2.62,1500,0
2011-04-20,18:55:00,2.6199,2.6199,2.6199,2.6199,170,0
2011-04-28,16:25:00,2.38,2.38,2.38,2.38,1000,0
2011-04-28,17:35:00,2.38,2.38,2.38,2.38,500,0
2011-04-28,17:40:00,2.38,2.38,2.38,2.38,2000,0
2011-05-16,21:15:00,2.15,2.15,2.15,2.15,100,0
2011-05-17,18:30:00,2.14,2.14,2.14,2.14,100,0
2011-05-26,19:10:00,2.22,2.22,2.22,2.22,200,0
2011-05-26,20:10:00,2.17,2.17,2.17,2.17,200,0
2011-05-26,20:25:00,2.17,2.17,2.17,2.17,2600,0
2011-05-26,20:35:00,2.16,2.16,2.16,2.16,2700,0
2011-05-26,20:45:00,2.19,2.19,2.19,2.19,400,0
2011-05-26,21:00:00,2.19,2.19,2.19,2.19,600,0
2011-06-06,18:30:00,1.95,2.0,1.95,2.0,200,0
2011-06-06,21:55:00,2.0,2.0,2.0,2.0,200,0
2011-06-08,19:45:00,1.95,1.95,1.95,1.95,200,0
2011-06-13,19:50:00,2.0,2.0,2.0,2.0,200,0
2011-06-17,16:00:00,2.42,2.42,2.42,2.42,1000,0
2011-06-17,17:10:00,2.3799,2.3799,2.3799,2.3799,123,0
2011-06-17,20:35:00,2.1,2.1,2.0,2.0,3500,0
2011-06-17,21:55:00,1.9901,1.9901,1.9901,1.9901,123,0
2011-06-23,16:55:00,1.96,1.96,1.95,1.95,2500,0
2011-06-23,17:55:00,1.91,1.91,1.91,1.91,400,0
2011-06-23,18:15:00,1.9,1.9,1.9,1.9,9700,0
2011-06-27,20:05:00,1.9,1.9,1.9,1.9,100,0
2011-06-30,19:05:00,2.1,2.1,2.1,2.1,200,0
2011-07-01,18:25:00,2.2,2.2,2.2,2.2,200,0
2011-07-01,18:50:00,2.18,2.18,2.18,2.18,300,0
2011-07-19,20:20:00,1.8,1.8,1.8,1.8,200,0
2011-07-20,16:30:00,1.75,1.75,1.75,1.75,100,0
2011-07-21,19:00:00,2.21,2.21,2.21,2.21,250,0
2011-07-21,19:05:00,2.19,2.19,2.19,2.19,316,0
2011-07-21,20:20:00,2.1499,2.15,2.1499,2.15,400,0
2011-07-22,15:50:00,1.7501,1.7501,1.75,1.75,632,0
2011-07-22,16:15:00,1.75,1.7501,1.75,1.7501,400,0
2011-07-22,17:15:00,1.9865,1.9865,1.9865,1.9865,100,0
2011-07-28,15:35:00,2.8,2.8,2.7,2.7,3500,0
2011-07-28,15:55:00,2.22,2.22,2.22,2.22,600,0
2011-07-28,16:50:00,2.45,2.45,2.45,2.45,200,0
2011-07-28,17:15:00,2.56,2.56,2.56,2.56,100,0
2011-07-28,17:25:00,2.5,2.5,2.5,2.5,200,0
2011-07-28,17:55:00,2.58,2.58,2.51,2.51,2400,0
2011-07-28,18:00:00,2.58,2.58,2.51,2.51,200,0
2011-07-28,18:55:00,2.5799,2.58,2.5,2.5,6000,0
2011-07-28,19:15:00,2.38,2.3801,2.38,2.3801,4000,0
2011-07-28,19:55:00,2.66,2.66,2.66,2.66,100,0
2011-07-28,20:35:00,2.42,2.42,2.4,2.4,1300,0
2011-07-28,21:55:00,2.4767,2.5,2.4767,2.5,850,0
2011-07-29,19:35:00,2.5,2.5,2.5,2.5,130,0
2011-08-02,15:35:00,2.8,2.8,2.8,2.8,205,0
2011-08-02,16:35:00,2.5,2.5,2.4999,2.4999,2000,0
2011-08-09,17:15:00,2.27,2.27,2.25,2.25,900,0
2011-08-10,18:25:00,2.0,2.0,2.0,2.0,200,0
2011-08-10,21:25:00,1.74,1.74,1.74,1.74,100,0
2011-08-11,20:30:00,1.82,1.84,1.82,1.84,1600,0
2011-08-11,20:35:00,1.9,1.9,1.9,1.9,1000,0
2011-08-15,17:05:00,1.6,1.6,1.6,1.6,50000,0
2011-08-15,21:40:00,1.83,1.83,1.8,1.8,1500,0
2011-08-16,22:00:00,2.12,2.12,2.12,2.12,700,0
2011-08-19,16:30:00,2.36,2.39,2.36,2.39,500,0
2011-08-19,18:10:00,2.3899,2.39,2.3899,2.3899,800,0
2011-08-19,20:30:00,1.94,1.94,1.9399,1.9399,200,0
2011-08-22,15:55:00,1.6,1.6001,1.6,1.6001,200,0
2011-08-22,18:00:00,1.6,1.6,1.6,1.6,13000,0
2011-08-22,21:35:00,1.45,1.4501,1.45,1.4501,200,0
2011-08-23,18:50:00,1.82,1.85,1.82,1.85,600,0
2011-08-23,21:40:00,1.95,1.95,1.95,1.95,100,0
2011-08-29,17:15:00,2.09,2.09,2.09,2.09,100,0
2011-09-01,17:55:00,2.0,2.0,2.0,2.0,200,0
2011-09-09,16:15:00,1.73,1.73,1.7,1.7,1000,0
