Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:45:00,19.120,19.140,19.060,19.060,8112,0
2015-02-03,16:50:00,19.05,19.09,19.04,19.09,3500,0
2015-02-03,16:55:00,19.09,19.13,19.09,19.13,6200,0
2015-02-03,17:00:00,19.13,19.14,19.05,19.065,6600,0
2015-02-03,17:05:00,19.07,19.1,19.055,19.08,4800,0
2015-02-03,17:10:00,19.07,19.1,19.035,19.0975,5808,0
2015-02-03,17:15:00,19.09,19.13,19.07,19.11,6508,0
2015-02-03,17:20:00,19.12,19.15,19.12,19.14,3568,0
2015-02-03,17:25:00,19.16,19.16,19.13,19.13,5100,0
2015-02-03,17:30:00,19.14,19.16,19.1,19.1,6100,0
2015-02-03,17:35:00,19.11,19.165,19.1,19.165,3700,0
2015-02-03,17:40:00,19.15,19.15,19.12,19.145,3100,0
2015-02-03,17:45:00,19.1575,19.17,19.1375,19.14,6300,0
2015-02-03,17:50:00,19.13,19.13,19.08,19.09,5700,0
2015-02-03,17:55:00,19.07,19.07,18.97,18.97,8959,0
2015-02-03,18:00:00,18.97,19.03,18.96,19.03,13168,0
2015-02-03,18:05:00,19.03,19.04,19.0031,19.04,9048,0
2015-02-03,18:10:00,19.04,19.04,19.03,19.03,1800,0
2015-02-03,18:15:00,19.03,19.11,19.02,19.11,8300,0
2015-02-03,18:20:00,19.09,19.12,19.09,19.11,65100,0
2015-02-03,18:25:00,19.11,19.12,19.1,19.1,7000,0
2015-02-03,18:30:00,19.1,19.11,19.09,19.1,7301,0
2015-02-03,18:35:00,19.1,19.1,19.08,19.08,9700,0
2015-02-03,18:40:00,19.08,19.1,19.04,19.1,10801,0
2015-02-03,18:45:00,19.11,19.12,19.09,19.1,12095,0
2015-02-03,18:50:00,19.1,19.1,19.09,19.1,8394,0
2015-02-03,18:55:00,19.1,19.1,19.065,19.065,10043,0
2015-02-03,19:00:00,19.07,19.09,19.05,19.05,3300,0
2015-02-03,19:05:00,19.05,19.1,19.05,19.09,8184,0
2015-02-03,19:10:00,19.09,19.09,19.06,19.08,7859,0
2015-02-03,19:15:00,19.06,19.12,19.03,19.09,12556,0
2015-02-03,19:20:00,19.08,19.1,19.07,19.1,2800,0
2015-02-03,19:25:00,19.1,19.12,19.1,19.11,10509,0
2015-02-03,19:30:00,19.12,19.17,19.11,19.17,4184,0
2015-02-03,19:35:00,19.17,19.19,19.16,19.19,10200,0
2015-02-03,19:40:00,19.19,19.19,19.16,19.18,6850,0
2015-02-03,19:45:00,19.18,19.19,19.145,19.15,9835,0
2015-02-03,19:50:00,19.145,19.15,19.135,19.14,7359,0
2015-02-03,19:55:00,19.14,19.18,19.135,19.18,8014,0
2015-02-03,20:00:00,19.18,19.19,19.175,19.185,7503,0
2015-02-03,20:05:00,19.19,19.2,19.13,19.14,19849,0
2015-02-03,20:10:00,19.15,19.17,19.145,19.15,7413,0
2015-02-03,20:15:00,19.132,19.16,19.1,19.15,15600,0
2015-02-03,20:20:00,19.15,19.16,19.12,19.13,12377,0
2015-02-03,20:25:00,19.12,19.15,19.11,19.15,5552,0
2015-02-03,20:30:00,19.13,19.18,19.12,19.15,10558,0
2015-02-03,20:35:00,19.16,19.1603,19.14,19.1603,6675,0
2015-02-03,20:40:00,19.16,19.17,19.14,19.17,8695,0
2015-02-03,20:45:00,19.18,19.2,19.1703,19.19,12434,0
2015-02-03,20:50:00,19.19,19.2,19.1101,19.2,27750,0
2015-02-03,20:55:00,19.2,19.2,19.15,19.19,13752,0
2015-02-03,21:00:00,19.18,19.18,19.1,19.11,36745,0
2015-02-03,21:05:00,19.12,19.14,19.1,19.14,12513,0
2015-02-03,21:10:00,19.135,19.15,19.11,19.15,13824,0
2015-02-03,21:15:00,19.145,19.16,19.13,19.16,12045,0
2015-02-03,21:20:00,19.18,19.215,19.14,19.2,308758,0
2015-02-03,21:25:00,19.19,19.21,19.19,19.2,13978,0
2015-02-03,21:30:00,19.19,19.24,19.185,19.21,24812,0
2015-02-03,21:35:00,19.21,19.3,19.2,19.29,14823,0
2015-02-03,21:40:00,19.26,19.365,19.25,19.36,28488,0
2015-02-03,21:45:00,19.36,19.38,19.34,19.36,15130,0
2015-02-03,21:50:00,19.37,19.38,19.3199,19.32,14014,0
2015-02-03,21:55:00,19.33,19.4,19.33,19.4,32946,0
2015-02-03,22:00:00,19.41,19.41,19.29,19.3,82503,0
2015-02-04,15:35:00,19.3,19.3,19.29,19.29,3432,0
2015-02-04,15:40:00,19.29,19.33,19.28,19.32,3200,0
2015-02-04,15:45:00,19.35,19.36,19.33,19.36,6758,0
2015-02-04,15:50:00,19.36,19.42,19.36,19.3999,4300,0
2015-02-04,15:55:00,19.38,19.39,19.35,19.35,3600,0
2015-02-04,16:00:00,19.36,19.41,19.36,19.41,4024,0
2015-02-04,16:05:00,19.41,19.425,19.39,19.4,4500,0
2015-02-04,16:10:00,19.41,19.43,19.36,19.36,33077,0
2015-02-04,16:15:00,19.35,19.4,19.32,19.32,4200,0
2015-02-04,16:20:00,19.34,19.36,19.33,19.34,6811,0
2015-02-04,16:25:00,19.34,19.35,19.31,19.32,3300,0
2015-02-04,16:30:00,19.301,19.31,19.28,19.31,3710,0
2015-02-04,16:35:00,19.315,19.34,19.26,19.27,22167,0
2015-02-04,16:40:00,19.27,19.27,19.18,19.23,9400,0
2015-02-04,16:45:00,19.25,19.3,19.25,19.29,6900,0
2015-02-04,16:50:00,19.3,19.305,19.29,19.29,700,0
2015-02-04,16:55:00,19.29,19.3,19.25,19.25,18630,0
2015-02-04,17:00:00,19.25,19.31,19.25,19.31,1800,0
2015-02-04,17:05:00,19.3,19.43,19.3,19.415,8758,0
2015-02-04,17:10:00,19.41,19.42,19.385,19.41,8800,0
2015-02-04,17:15:00,19.41,19.45,19.38,19.45,9200,0
2015-02-04,17:20:00,19.45,19.45,19.42,19.42,6000,0
2015-02-04,17:25:00,19.43,19.435,19.42,19.42,1229,0
2015-02-04,17:30:00,19.435,19.45,19.41,19.41,16436,0
2015-02-04,17:35:00,19.42,19.48,19.41,19.48,7464,0
2015-02-04,17:40:00,19.5,19.55,19.48,19.48,7000,0
2015-02-04,17:45:00,19.49,19.51,19.49,19.4905,6910,0
2015-02-04,17:50:00,19.48,19.48,19.46,19.46,400,0
