Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,19:00:00,12.93,12.94,12.93,12.94,400,0
2015-02-02,19:05:00,12.91,12.91,12.91,12.91,100,0
2015-02-02,19:10:00,12.9,12.94,12.9,12.93,4399,0
2015-02-02,19:15:00,12.91,12.92,12.89,12.9,2200,0
2015-02-02,19:20:00,12.9099,12.92,12.89,12.9,3600,0
2015-02-02,19:25:00,12.9,12.94,12.9,12.94,1500,0
2015-02-02,19:30:00,12.92,12.9299,12.91,12.9299,500,0
2015-02-02,19:35:00,12.93,12.93,12.91,12.92,1300,0
2015-02-02,19:40:00,12.9,12.9,12.89,12.8999,400,0
2015-02-02,19:45:00,12.84,12.84,12.83,12.84,1100,0
2015-02-02,19:50:00,12.85,12.85,12.83,12.838,822,0
2015-02-02,19:55:00,12.83,12.83,12.795,12.795,1100,0
2015-02-02,20:00:00,12.79,12.79,12.75,12.75,2485,0
2015-02-02,20:05:00,12.76,12.79,12.76,12.79,1600,0
2015-02-02,20:10:00,12.82,12.83,12.81,12.82,800,0
2015-02-02,20:15:00,12.8,12.81,12.79,12.81,2354,0
2015-02-02,20:20:00,12.82,12.86,12.82,12.86,1500,0
2015-02-02,20:25:00,12.86,12.86,12.86,12.86,1500,0
2015-02-02,20:30:00,12.86,12.89,12.84,12.89,2900,0
2015-02-02,20:35:00,12.89,12.89,12.89,12.89,200,0
2015-02-02,20:40:00,12.89,12.89,12.85,12.85,1549,0
2015-02-02,20:45:00,12.8303,12.85,12.8303,12.85,300,0
2015-02-02,20:50:00,12.83,12.83,12.8,12.8,800,0
2015-02-02,20:55:00,12.8,12.87,12.8,12.84,10400,0
2015-02-02,21:00:00,12.85,12.85,12.83,12.84,3994,0
2015-02-02,21:05:00,12.85,12.865,12.85,12.855,2550,0
2015-02-02,21:10:00,12.86,12.865,12.85,12.865,1900,0
2015-02-02,21:15:00,12.87,12.91,12.87,12.89,3897,0
2015-02-02,21:20:00,12.92,12.92,12.88,12.89,5412,0
2015-02-02,21:25:00,12.91,12.94,12.895,12.92,5200,0
2015-02-02,21:30:00,12.93,12.96,12.93,12.96,2200,0
2015-02-02,21:35:00,12.95,12.96,12.95,12.96,1200,0
2015-02-02,21:40:00,12.95,13.05,12.94,13.05,11772,0
2015-02-02,21:45:00,13.04,13.06,13.03,13.03,6934,0
2015-02-02,21:50:00,13.05,13.05,13.0,13.01,4100,0
2015-02-02,21:55:00,13.03,13.05,13.02,13.02,3300,0
2015-02-02,22:00:00,13.04,13.1,13.03,13.07,107001,0
2015-02-03,15:35:00,13.12,13.18,13.08,13.18,5682,0
2015-02-03,15:40:00,13.2,13.29,13.2,13.2415,8032,0
2015-02-03,15:45:00,13.245,13.3,13.245,13.272,3674,0
2015-02-03,15:50:00,13.29,13.33,13.2401,13.27,6080,0
2015-02-03,15:55:00,13.29,13.3,13.2501,13.3,1850,0
2015-02-03,16:00:00,13.29,13.33,13.29,13.33,2866,0
2015-02-03,16:05:00,13.35,13.44,13.35,13.36,5500,0
2015-02-03,16:10:00,13.36,13.37,13.28,13.3215,2772,0
2015-02-03,16:15:00,13.31,13.33,13.31,13.33,1600,0
2015-02-03,16:20:00,13.31,13.32,13.3,13.308,1173,0
2015-02-03,16:25:00,13.296,13.31,13.27,13.28,3318,0
2015-02-03,16:30:00,13.3,13.38,13.3,13.35,3291,0
2015-02-03,16:35:00,13.36,13.36,13.36,13.36,100,0
2015-02-03,16:40:00,13.33,13.36,13.3,13.3,2400,0
2015-02-03,16:45:00,13.24,13.24,13.22,13.22,900,0
2015-02-03,16:50:00,13.24,13.24,13.2,13.22,1700,0
2015-02-03,16:55:00,13.17,13.2,13.1669,13.2,998,0
2015-02-03,17:00:00,13.22,13.22,13.16,13.17,2111,0
2015-02-03,17:05:00,13.195,13.25,13.195,13.22,1300,0
2015-02-03,17:10:00,13.175,13.2,13.17,13.2,6000,0
2015-02-03,17:20:00,13.16,13.26,13.16,13.25,1200,0
2015-02-03,17:25:00,13.24,13.28,13.23,13.23,8752,0
2015-02-03,17:30:00,13.259,13.27,13.22,13.23,4294,0
2015-02-03,17:40:00,13.19,13.2,13.19,13.1901,902,0
2015-02-03,17:45:00,13.2,13.25,13.2,13.24,2100,0
2015-02-03,17:50:00,13.22,13.22,13.21,13.22,1700,0
2015-02-03,17:55:00,13.21,13.21,13.19,13.2,1100,0
2015-02-03,18:00:00,13.2,13.22,13.2,13.22,800,0
2015-02-03,18:05:00,13.2,13.24,13.2,13.24,11530,0
2015-02-03,18:10:00,13.25,13.29,13.25,13.29,1200,0
2015-02-03,18:15:00,13.28,13.3,13.28,13.29,2500,0
2015-02-03,18:20:00,13.29,13.29,13.25,13.2744,1700,0
2015-02-03,18:30:00,13.23,13.25,13.23,13.25,2700,0
2015-02-03,18:35:00,13.24,13.25,13.214,13.214,500,0
2015-02-03,18:40:00,13.22,13.25,13.205,13.21,4400,0
2015-02-03,18:50:00,13.22,13.25,13.21,13.22,4850,0
2015-02-03,19:00:00,13.23,13.24,13.21,13.24,900,0
2015-02-03,19:05:00,13.225,13.24,13.2,13.21,3600,0
2015-02-03,19:10:00,13.2,13.205,13.15,13.175,9000,0
2015-02-03,19:15:00,13.15,13.175,13.15,13.155,4700,0
2015-02-03,19:20:00,13.15,13.197,13.15,13.17,5316,0
2015-02-03,19:25:00,13.17,13.21,13.15,13.185,10500,0
2015-02-03,19:30:00,13.21,13.21,13.21,13.21,600,0
2015-02-03,19:35:00,13.21,13.25,13.21,13.25,3500,0
2015-02-03,19:40:00,13.25,13.27,13.23,13.23,2500,0
2015-02-03,19:45:00,13.24,13.251,13.24,13.25,2100,0
2015-02-03,19:50:00,13.2501,13.28,13.2501,13.27,1800,0
2015-02-03,19:55:00,13.2552,13.27,13.24,13.245,2984,0
2015-02-03,20:00:00,13.24,13.24,13.23,13.23,1300,0
2015-02-03,20:05:00,13.216,13.22,13.18,13.18,5379,0
2015-02-03,20:10:00,13.17,13.17,13.16,13.16,400,0
2015-02-03,20:15:00,13.16,13.18,13.16,13.17,7700,0
2015-02-03,20:20:00,13.17,13.2,13.17,13.2,1000,0
2015-02-03,20:25:00,13.195,13.195,13.16,13.175,4600,0
2015-02-03,20:30:00,13.17,13.18,13.155,13.16,1900,0
2015-02-03,20:35:00,13.16,13.18,13.16,13.17,1003,0
2015-02-03,20:40:00,13.175,13.205,13.155,13.205,6300,0
2015-02-03,20:45:00,13.2,13.22,13.2,13.2,2700,0
2015-02-03,20:50:00,13.19,13.19,13.16,13.19,2727,0
2015-02-03,20:55:00,13.2,13.215,13.17,13.19,9040,0
2015-02-03,21:00:00,13.19,13.2,13.18,13.2,1400,0
2015-02-03,21:05:00,13.22,13.22,13.2,13.2,2000,0
2015-02-03,21:10:00,13.21,13.21,13.15,13.18,5500,0
2015-02-03,21:15:00,13.18,13.21,13.18,13.21,300,0
2015-02-03,21:20:00,13.1863,13.21,13.16,13.16,3100,0
2015-02-03,21:25:00,13.17,13.18,13.15,13.18,4700,0
2015-02-03,21:30:00,13.17,13.19,13.17,13.18,1366,0
2015-02-03,21:35:00,13.17,13.19,13.17,13.17,5173,0
2015-02-03,21:40:00,13.165,13.17,13.155,13.17,5056,0
2015-02-03,21:45:00,13.17,13.19,13.09,13.19,59232,0
2015-02-03,21:50:00,13.18,13.2,13.18,13.19,8059,0
2015-02-03,21:55:00,13.22,13.23,13.19,13.22,20334,0
2015-02-03,22:00:00,13.22,13.235,13.15,13.17,60259,0
2015-02-04,15:35:00,13.12,13.15,13.12,13.15,5757,0
2015-02-04,15:40:00,13.16,13.2,13.1,13.2,8572,0
2015-02-04,15:45:00,13.19,13.19,13.19,13.19,500,0
2015-02-04,15:50:00,13.19,13.24,13.19,13.24,13603,0
2015-02-04,15:55:00,13.25,13.27,13.25,13.2556,2362,0
2015-02-04,16:00:00,13.28,13.28,13.28,13.28,200,0
2015-02-04,16:05:00,13.27,13.34,13.27,13.33,8151,0
2015-02-04,16:10:00,13.29,13.29,13.27,13.28,2200,0
2015-02-04,16:15:00,13.27,13.28,13.22,13.24,4419,0
2015-02-04,16:20:00,13.24,13.26,13.24,13.26,900,0
2015-02-04,16:30:00,13.27,13.27,13.235,13.25,500,0
2015-02-04,16:35:00,13.24,13.25,13.24,13.25,900,0
2015-02-04,16:40:00,13.26,13.26,13.2,13.2,3152,0
2015-02-04,16:45:00,13.2,13.23,13.2,13.23,900,0
