Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-10-23,16:35:00,1.5600,1.5600,1.5600,1.5600,100,0
2014-10-23,16:40:00,1.55,1.57,1.55,1.57,4512,0
2014-10-23,17:55:00,1.61,1.61,1.56,1.56,4000,0
2014-10-23,18:05:00,1.65,1.65,1.63,1.63,1100,0
2014-10-23,19:00:00,1.625,1.625,1.625,1.625,200,0
2014-10-23,19:10:00,1.63,1.63,1.57,1.57,8565,0
2014-10-23,20:45:00,1.57,1.5707,1.57,1.5707,1200,0
2014-10-23,21:00:00,1.61,1.62,1.61,1.62,700,0
2014-10-23,21:15:00,1.6204,1.6204,1.6204,1.6204,3000,0
2014-10-23,21:55:00,1.62,1.63,1.58,1.62,5400,0
2014-10-23,22:00:00,1.58,1.62,1.58,1.58,1000,0
2014-10-24,15:35:00,1.58,1.6108,1.57,1.6108,2293,0
2014-10-24,16:45:00,1.61,1.61,1.5701,1.6,610,0
2014-10-24,17:00:00,1.59,1.59,1.59,1.59,200,0
2014-10-24,17:05:00,1.59,1.591,1.59,1.591,500,0
2014-10-24,17:10:00,1.6,1.6,1.6,1.6,1750,0
2014-10-24,18:40:00,1.58,1.58,1.58,1.58,100,0
2014-10-24,19:45:00,1.6,1.6,1.6,1.6,400,0
2014-10-24,20:45:00,1.61,1.62,1.61,1.62,4490,0
2014-10-24,21:00:00,1.64,1.64,1.64,1.64,100,0
2014-10-24,21:30:00,1.61,1.61,1.58,1.58,1100,0
2014-10-24,21:35:00,1.58,1.58,1.57,1.57,1310,0
2014-10-24,21:50:00,1.6,1.6204,1.6,1.6204,200,0
2014-10-27,14:35:00,1.51,1.5305,1.5,1.5305,1721,0
2014-10-27,14:45:00,1.46,1.46,1.46,1.46,200,0
2014-10-27,15:10:00,1.565,1.565,1.5,1.5,1150,0
2014-10-27,15:25:00,1.4601,1.47,1.46,1.46,1665,0
2014-10-27,15:30:00,1.41,1.41,1.41,1.41,100,0
2014-10-27,15:35:00,1.41,1.41,1.41,1.41,1600,0
2014-10-27,15:40:00,1.41,1.41,1.41,1.41,100,0
2014-10-27,15:45:00,1.4,1.4,1.4,1.4,2600,0
2014-10-27,16:55:00,1.493,1.493,1.42,1.42,2200,0
2014-10-27,17:10:00,1.42,1.42,1.42,1.42,200,0
2014-10-27,17:15:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,17:20:00,1.45,1.45,1.42,1.42,200,0
2014-10-27,17:25:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,17:30:00,1.42,1.5,1.42,1.5,200,0
2014-10-27,17:35:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,17:40:00,1.43,1.43,1.42,1.42,300,0
2014-10-27,17:45:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,17:50:00,1.44,1.44,1.44,1.44,100,0
2014-10-27,18:10:00,1.44,1.44,1.44,1.44,2800,0
2014-10-27,18:20:00,1.43,1.43,1.43,1.43,2000,0
2014-10-27,18:45:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,19:00:00,1.42,1.42,1.42,1.42,400,0
2014-10-27,19:15:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,19:30:00,1.42,1.42,1.42,1.42,450,0
2014-10-27,19:45:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,19:55:00,1.42,1.42,1.42,1.42,300,0
2014-10-27,20:10:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,20:25:00,1.42,1.42,1.42,1.42,100,0
2014-10-27,20:35:00,1.4501,1.4501,1.4501,1.4501,1000,0
2014-10-27,20:40:00,1.45,1.45,1.45,1.45,100,0
2014-10-27,20:55:00,1.44,1.44,1.44,1.44,100,0
2014-10-27,21:00:00,1.43,1.43,1.43,1.43,100,0
2014-10-28,14:35:00,1.38,1.38,1.38,1.38,1220,0
2014-10-28,15:15:00,1.41,1.41,1.39,1.392,1800,0
2014-10-28,17:05:00,1.42,1.42,1.39,1.39,900,0
2014-10-28,17:55:00,1.4,1.4,1.4,1.4,500,0
2014-10-28,18:00:00,1.4,1.4,1.4,1.4,350,0
2014-10-28,18:45:00,1.39,1.39,1.39,1.39,200,0
2014-10-28,18:55:00,1.39,1.39,1.39,1.39,500,0
2014-10-28,19:05:00,1.4,1.4,1.4,1.4,100,0
2014-10-28,19:45:00,1.3984,1.3984,1.3984,1.3984,100,0
2014-10-28,19:50:00,1.3984,1.3984,1.3984,1.3984,300,0
2014-10-28,20:00:00,1.39,1.39,1.39,1.39,2300,0
2014-10-28,20:05:00,1.38,1.38,1.38,1.38,200,0
2014-10-28,20:45:00,1.38,1.39,1.38,1.39,316,0
2014-10-29,16:40:00,1.4112,1.4112,1.4112,1.4112,400,0
2014-10-29,16:45:00,1.41,1.41,1.41,1.41,200,0
