Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-16,19:20:00,13.68,13.68,13.68,13.68,100,0
2015-01-16,19:25:00,13.68,13.68,13.68,13.68,700,0
2015-01-16,20:10:00,13.68,13.73,13.68,13.73,401,0
2015-01-16,20:15:00,13.68,13.68,13.68,13.68,300,0
2015-01-16,20:20:00,13.65,13.65,13.63,13.63,500,0
2015-01-16,20:45:00,13.6,13.64,13.59,13.64,600,0
2015-01-16,20:50:00,13.6548,13.66,13.6001,13.63,1770,0
2015-01-16,20:55:00,13.6001,13.66,13.6001,13.6599,1559,0
2015-01-16,21:00:00,13.6527,13.67,13.6527,13.67,819,0
2015-01-16,21:15:00,13.664,13.67,13.664,13.67,1500,0
2015-01-16,21:20:00,13.68,13.75,13.68,13.75,1650,0
2015-01-16,21:30:00,13.77,13.79,13.77,13.79,200,0
2015-01-16,21:40:00,13.79,13.8,13.79,13.8,954,0
2015-01-16,21:50:00,13.8699,13.94,13.8699,13.94,2100,0
2015-01-16,21:55:00,13.87,13.87,13.79,13.83,2624,0
2015-01-16,22:00:00,13.84,13.91,13.82,13.83,6965,0
2015-01-20,15:35:00,13.76,13.76,13.75,13.75,1100,0
2015-01-20,15:40:00,13.75,13.75,13.75,13.75,1300,0
2015-01-20,15:55:00,13.61,13.62,13.61,13.6101,400,0
2015-01-20,16:00:00,13.67,13.67,13.58,13.58,200,0
2015-01-20,16:05:00,13.59,13.59,13.55,13.55,900,0
2015-01-20,16:10:00,13.63,13.63,13.63,13.63,300,0
2015-01-20,16:30:00,13.65,13.6595,13.65,13.6595,500,0
2015-01-20,16:35:00,13.58,13.6,13.58,13.6,1400,0
2015-01-20,16:40:00,13.59,13.6,13.58,13.6,600,0
2015-01-20,16:45:00,13.58,13.62,13.58,13.62,600,0
2015-01-20,16:55:00,13.6,13.6,13.6,13.6,700,0
2015-01-20,17:00:00,13.6,13.6,13.6,13.6,400,0
2015-01-20,17:05:00,13.58,13.62,13.58,13.58,900,0
2015-01-20,17:10:00,13.6,13.6,13.6,13.6,400,0
2015-01-20,17:15:00,13.58,13.61,13.58,13.58,5234,0
2015-01-20,17:20:00,13.54,13.54,13.54,13.54,924,0
2015-01-20,17:25:00,13.56,13.58,13.56,13.56,3222,0
2015-01-20,17:40:00,13.6,13.61,13.6,13.61,400,0
2015-01-20,17:45:00,13.61,13.65,13.61,13.65,500,0
2015-01-20,17:50:00,13.649,13.649,13.626,13.626,730,0
2015-01-20,17:55:00,13.659,13.66,13.65,13.66,500,0
2015-01-20,18:05:00,13.61,13.61,13.61,13.61,100,0
2015-01-20,18:10:00,13.65,13.65,13.65,13.65,200,0
2015-01-20,18:20:00,13.69,13.71,13.69,13.71,200,0
2015-01-20,18:25:00,13.729,13.75,13.694,13.75,700,0
2015-01-20,18:30:00,13.75,13.77,13.75,13.75,980,0
2015-01-20,18:35:00,13.77,13.8,13.74,13.7475,400,0
2015-01-20,18:40:00,13.68,13.68,13.68,13.68,200,0
2015-01-20,18:45:00,13.75,13.75,13.75,13.75,200,0
2015-01-20,19:00:00,13.7498,13.7498,13.7498,13.7498,600,0
2015-01-20,19:05:00,13.7899,13.7899,13.77,13.77,1400,0
2015-01-20,19:20:00,13.7799,13.8,13.7799,13.8,1033,0
2015-01-20,19:25:00,13.809,13.809,13.805,13.805,500,0
2015-01-20,19:30:00,13.81,13.82,13.81,13.82,600,0
2015-01-20,19:35:00,13.85,13.93,13.8499,13.93,2087,0
2015-01-20,20:00:00,13.85,13.94,13.85,13.94,4200,0
2015-01-20,20:10:00,13.91,13.91,13.91,13.91,800,0
2015-01-20,20:15:00,13.9642,13.9642,13.91,13.95,2950,0
2015-01-20,20:20:00,13.95,13.95,13.9404,13.9404,800,0
2015-01-20,20:25:00,13.92,13.95,13.9,13.95,1042,0
2015-01-20,20:40:00,13.92,13.93,13.89,13.89,2740,0
2015-01-20,20:45:00,13.93,13.93,13.93,13.93,500,0
2015-01-20,20:50:00,13.94,13.94,13.94,13.94,100,0
2015-01-20,20:55:00,13.95,13.95,13.91,13.91,318,0
2015-01-20,21:00:00,13.91,13.91,13.9,13.9,400,0
2015-01-20,21:10:00,13.95,14.0,13.9,13.95,16431,0
2015-01-20,21:15:00,13.97,13.97,13.97,13.97,100,0
2015-01-20,21:20:00,13.95,13.99,13.95,13.99,600,0
2015-01-20,21:30:00,13.99,14.0,13.99,14.0,400,0
2015-01-20,21:35:00,14.0,14.0,13.99,13.99,1100,0
2015-01-20,21:40:00,13.99,13.99,13.97,13.97,900,0
2015-01-20,21:45:00,13.98,13.98,13.98,13.98,600,0
2015-01-20,21:50:00,13.98,13.98,13.98,13.98,1100,0
2015-01-20,21:55:00,13.99,13.99,13.89,13.89,1400,0
2015-01-20,22:00:00,13.89,13.94,13.89,13.91,6415,0
2015-01-21,15:35:00,13.82,13.82,13.3,13.69,1954,0
2015-01-21,15:40:00,13.71,13.77,13.71,13.77,500,0
2015-01-21,15:45:00,13.8,13.8,13.8,13.8,100,0
2015-01-21,15:50:00,13.8,13.8,13.8,13.8,300,0
2015-01-21,15:55:00,13.72,13.76,13.72,13.76,200,0
2015-01-21,16:00:00,13.73,13.73,13.73,13.73,600,0
2015-01-21,17:00:00,13.79,13.83,13.79,13.83,600,0
2015-01-21,17:15:00,13.733,13.733,13.733,13.733,3315,0
2015-01-21,17:30:00,13.82,13.84,13.82,13.84,400,0
2015-01-21,17:50:00,13.75,13.75,13.71,13.71,500,0
2015-01-21,18:50:00,13.74,13.75,13.74,13.75,300,0
2015-01-21,19:00:00,13.72,13.72,13.6901,13.6901,1416,0
2015-01-21,19:05:00,13.68,13.7,13.68,13.7,600,0
2015-01-21,19:10:00,13.7,13.7,13.7,13.7,400,0
2015-01-21,19:15:00,13.69,13.69,13.69,13.69,300,0
2015-01-21,19:30:00,13.66,13.66,13.63,13.63,300,0
2015-01-21,19:35:00,13.62,13.62,13.6,13.6,300,0
2015-01-21,19:50:00,13.62,13.62,13.62,13.62,200,0
2015-01-21,20:00:00,13.6,13.6,13.6,13.6,600,0
2015-01-21,20:05:00,13.6,13.64,13.6,13.62,700,0
2015-01-21,20:15:00,13.61,13.63,13.61,13.62,500,0
2015-01-21,20:20:00,13.66,13.66,13.66,13.66,300,0
2015-01-21,20:30:00,13.63,13.64,13.62,13.64,500,0
2015-01-21,20:35:00,13.669,13.67,13.669,13.67,200,0
2015-01-21,20:40:00,13.67,13.67,13.67,13.67,100,0
2015-01-21,20:45:00,13.64,13.66,13.64,13.66,900,0
2015-01-21,20:50:00,13.65,13.67,13.65,13.67,300,0
2015-01-21,21:00:00,13.652,13.7,13.652,13.7,2800,0
2015-01-21,21:05:00,13.7,13.74,13.7,13.72,4734,0
2015-01-21,21:10:00,13.72,13.74,13.72,13.73,1600,0
2015-01-21,21:15:00,13.72,13.75,13.7,13.72,2300,0
2015-01-21,21:20:00,13.76,13.76,13.69,13.69,1800,0
2015-01-21,21:25:00,13.7,13.72,13.69,13.72,1000,0
2015-01-21,21:30:00,13.8,13.82,13.79,13.79,400,0
2015-01-21,21:40:00,13.77,13.77,13.76,13.77,700,0
2015-01-21,21:50:00,13.75,13.77,13.75,13.77,400,0
2015-01-21,21:55:00,13.75,13.76,13.75,13.75,2674,0
2015-01-21,22:00:00,13.75,13.8,13.73,13.77,4496,0
2015-01-22,15:35:00,13.79,13.79,13.79,13.79,100,0
2015-01-22,15:55:00,13.719,13.72,13.71,13.72,800,0
2015-01-22,16:00:00,13.75,13.8,13.75,13.8,600,0
2015-01-22,16:10:00,13.81,13.81,13.81,13.81,400,0
2015-01-22,16:25:00,13.85,13.86,13.85,13.86,600,0
2015-01-22,16:30:00,13.95,13.95,13.95,13.95,200,0
2015-01-22,16:35:00,13.92,13.92,13.91,13.91,300,0
2015-01-22,16:40:00,13.83,13.83,13.83,13.83,100,0
2015-01-22,16:50:00,13.903,13.91,13.9,13.9,500,0
2015-01-22,16:55:00,13.92,13.92,13.83,13.88,800,0
2015-01-22,17:00:00,13.88,13.88,13.88,13.88,400,0
2015-01-22,17:10:00,13.81,13.81,13.8,13.8,800,0
2015-01-22,17:15:00,13.77,13.79,13.77,13.79,600,0
2015-01-22,17:25:00,13.81,13.83,13.8,13.83,800,0
2015-01-22,17:35:00,13.87,13.87,13.87,13.87,800,0
2015-01-22,17:40:00,13.87,13.87,13.805,13.805,700,0
2015-01-22,17:45:00,13.738,13.76,13.738,13.76,200,0
2015-01-22,17:50:00,13.73,13.79,13.73,13.76,500,0
2015-01-22,17:55:00,13.755,13.755,13.73,13.73,1539,0
2015-01-22,18:00:00,13.75,13.76,13.75,13.76,400,0
2015-01-22,18:05:00,13.76,13.76,13.745,13.745,700,0
2015-01-22,18:10:00,13.76,13.76,13.755,13.755,600,0
2015-01-22,18:15:00,13.76,13.87,13.755,13.87,2000,0
2015-01-22,18:20:00,13.87,13.87,13.8592,13.8592,900,0
2015-01-22,18:30:00,13.87,13.895,13.824,13.895,3000,0
2015-01-22,18:35:00,13.86,13.93,13.86,13.93,1002,0
2015-01-22,18:45:00,13.86,13.94,13.86,13.94,1700,0
2015-01-22,18:50:00,13.94,14.0,13.94,13.96,1999,0
2015-01-22,18:55:00,13.93,13.93,13.88,13.88,400,0
2015-01-22,19:00:00,13.81,13.81,13.81,13.81,200,0
2015-01-22,19:05:00,13.85,13.85,13.81,13.81,300,0
2015-01-22,19:10:00,13.78,13.79,13.767,13.79,600,0
2015-01-22,19:15:00,13.8,13.84,13.76,13.76,1100,0
2015-01-22,19:20:00,13.79,13.79,13.74,13.74,200,0
2015-01-22,19:25:00,13.76,13.76,13.74,13.74,800,0
2015-01-22,19:30:00,13.757,13.757,13.61,13.61,700,0
2015-01-22,19:35:00,13.61,13.61,13.61,13.61,100,0
2015-01-22,19:40:00,13.65,13.65,13.61,13.61,700,0
2015-01-22,19:45:00,13.63,13.63,13.615,13.615,700,0
2015-01-22,19:50:00,13.59,13.61,13.58,13.58,639,0
2015-01-22,19:55:00,13.61,13.61,13.58,13.58,400,0
2015-01-22,20:00:00,13.595,13.595,13.58,13.58,700,0
2015-01-22,20:05:00,13.61,13.61,13.61,13.61,600,0
2015-01-22,20:10:00,13.62,13.62,13.62,13.62,300,0
2015-01-22,20:15:00,13.66,13.66,13.63,13.63,1000,0
2015-01-22,20:20:00,13.63,13.66,13.63,13.645,1100,0
2015-01-22,20:25:00,13.66,13.66,13.66,13.66,100,0
2015-01-22,20:30:00,13.7,13.7,13.7,13.7,600,0
2015-01-22,20:35:00,13.74,13.769,13.74,13.767,1000,0
2015-01-22,20:40:00,13.77,13.79,13.77,13.79,1000,0
2015-01-22,20:45:00,13.83,13.83,13.83,13.83,100,0
2015-01-22,20:55:00,13.78,13.785,13.78,13.785,200,0
2015-01-22,21:00:00,13.79,13.79,13.79,13.79,600,0
2015-01-22,21:05:00,13.78,13.79,13.78,13.78,700,0
2015-01-22,21:10:00,13.79,13.82,13.79,13.82,600,0
2015-01-22,21:15:00,13.84,13.84,13.84,13.84,400,0
2015-01-22,21:20:00,13.84,13.84,13.83,13.84,500,0
2015-01-22,21:25:00,13.83,13.85,13.83,13.85,1600,0
2015-01-22,21:30:00,13.854,13.87,13.854,13.855,1100,0
2015-01-22,21:35:00,13.84,13.84,13.84,13.84,200,0
2015-01-22,21:40:00,13.84,13.87,13.84,13.84,1125,0
2015-01-22,21:45:00,13.84,13.86,13.79,13.79,2577,0
2015-01-22,21:50:00,13.79,13.83,13.79,13.821,1608,0
2015-01-22,21:55:00,13.83,13.8301,13.787,13.8,3494,0
2015-01-22,22:00:00,13.8,13.9,13.8,13.9,12051,0
2015-01-23,15:40:00,13.815,13.815,13.815,13.815,100,0
2015-01-23,15:45:00,13.81,13.81,13.705,13.71,2000,0
2015-01-23,15:50:00,13.73,13.73,13.7,13.7,500,0
2015-01-23,15:55:00,13.68,13.68,13.68,13.68,100,0
2015-01-23,16:00:00,13.67,13.68,13.67,13.68,800,0
2015-01-23,16:05:00,13.76,13.76,13.69,13.69,200,0
2015-01-23,16:10:00,13.72,13.72,13.72,13.72,200,0
2015-01-23,16:15:00,13.71,13.77,13.68,13.77,400,0
2015-01-23,16:20:00,13.68,13.68,13.68,13.68,700,0
2015-01-23,16:30:00,13.68,13.68,13.68,13.68,900,0
2015-01-23,16:35:00,13.6807,13.8,13.6807,13.8,500,0
2015-01-23,16:40:00,13.69,13.69,13.69,13.69,100,0
2015-01-23,16:45:00,13.68,13.6801,13.68,13.68,2400,0
2015-01-23,16:50:00,13.68,13.68,13.68,13.68,300,0
2015-01-23,16:55:00,13.68,13.68,13.68,13.68,100,0
2015-01-23,17:00:00,13.69,13.69,13.69,13.69,400,0
2015-01-23,17:05:00,13.68,13.68,13.68,13.68,100,0
2015-01-23,17:10:00,13.69,13.69,13.69,13.69,100,0
2015-01-23,17:15:00,13.68,13.68,13.68,13.68,1326,0
