Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:45:00,158.13,158.55,157.60,157.75,46714,0
2015-02-03,16:50:00,157.74,157.75,157.59,157.62,9304,0
2015-02-03,16:55:00,157.75,157.815,157.61,157.75,15534,0
2015-02-03,17:00:00,157.75,157.75,157.21,157.37,12520,0
2015-02-03,17:05:00,157.42,157.93,157.29,157.9,30418,0
2015-02-03,17:10:00,157.79,158.0,157.585,158.0,12449,0
2015-02-03,17:15:00,158.01,158.01,157.85,157.85,24093,0
2015-02-03,17:20:00,157.86,158.0,157.78,157.78,10743,0
2015-02-03,17:25:00,157.69,158.0,157.69,158.0,9830,0
2015-02-03,17:30:00,158.0,158.0,157.77,157.9,12734,0
2015-02-03,17:35:00,157.9,157.9,157.62,157.75,19900,0
2015-02-03,17:40:00,157.68,158.0,157.68,157.91,10616,0
2015-02-03,17:45:00,157.98,157.98,157.63,157.89,10800,0
2015-02-03,17:50:00,157.92,157.96,157.715,157.9,11700,0
2015-02-03,17:55:00,157.83,157.83,157.6,157.66,23722,0
2015-02-03,18:00:00,157.55,157.81,157.34,157.81,7900,0
2015-02-03,18:05:00,157.78,157.78,157.47,157.48,7328,0
2015-02-03,18:10:00,157.5,158.0,157.5,157.925,6812,0
2015-02-03,18:15:00,157.925,158.0,157.77,158.0,15843,0
2015-02-03,18:20:00,157.95,158.0,157.81,158.0,14664,0
2015-02-03,18:25:00,158.0,158.0,157.89,157.92,14498,0
2015-02-03,18:30:00,157.93,158.255,157.76,157.9,30558,0
2015-02-03,18:35:00,157.82,157.86,157.51,157.79,12924,0
2015-02-03,18:40:00,157.87,157.94,157.78,157.91,10940,0
2015-02-03,18:45:00,157.94,158.0,157.9,158.0,8750,0
2015-02-03,18:50:00,158.0,158.0,157.86,157.99,52922,0
2015-02-03,18:55:00,158.0,158.27,157.95,157.975,38602,0
2015-02-03,19:00:00,157.99,158.14,157.82,158.13,21486,0
2015-02-03,19:05:00,158.07,158.32,157.995,158.32,9600,0
2015-02-03,19:10:00,158.38,158.43,158.24,158.36,8100,0
2015-02-03,19:15:00,158.37,158.62,158.2346,158.495,14000,0
2015-02-03,19:20:00,158.6,158.72,158.33,158.33,11900,0
2015-02-03,19:25:00,158.23,158.5,158.22,158.24,17276,0
2015-02-03,19:30:00,158.27,158.3,158.065,158.195,20644,0
2015-02-03,19:35:00,158.25,158.26,157.965,158.185,24427,0
2015-02-03,19:40:00,158.29,158.3325,157.91,157.92,21059,0
2015-02-03,19:45:00,157.8001,158.0,157.8001,157.9,8900,0
2015-02-03,19:50:00,157.92,158.0,157.81,157.93,21591,0
2015-02-03,19:55:00,157.92,158.0,157.82,157.99,40180,0
2015-02-03,20:00:00,157.98,158.2,157.92,158.2,23785,0
2015-02-03,20:05:00,158.11,158.485,158.055,158.13,37931,0
2015-02-03,20:10:00,158.24,158.25,158.07,158.245,31782,0
2015-02-03,20:15:00,158.18,158.2,158.13,158.14,4742,0
2015-02-03,20:20:00,158.155,158.25,158.11,158.14,10112,0
2015-02-03,20:25:00,158.17,158.39,158.05,158.05,41030,0
2015-02-03,20:30:00,158.05,158.15,157.955,158.14,9657,0
2015-02-03,20:35:00,158.12,158.21,158.11,158.21,5800,0
2015-02-03,20:40:00,158.22,158.4,158.13,158.27,18988,0
2015-02-03,20:45:00,158.26,158.26,158.15,158.25,7700,0
2015-02-03,20:50:00,158.22,158.4,158.22,158.29,28579,0
2015-02-03,20:55:00,158.255,158.41,158.255,158.4,13845,0
2015-02-03,21:00:00,158.4,158.4,158.29,158.32,24990,0
2015-02-03,21:05:00,158.32,158.4,158.31,158.38,25635,0
2015-02-03,21:10:00,158.4,158.4,158.24,158.35,20939,0
2015-02-03,21:15:00,158.36,158.37,157.95,158.0,45794,0
2015-02-03,21:20:00,157.995,158.0,157.89,157.93,60465,0
2015-02-03,21:25:00,157.95,158.0,157.93,157.99,41661,0
2015-02-03,21:30:00,157.99,158.22,157.81,157.86,49119,0
2015-02-03,21:35:00,157.99,158.02,157.66,157.8,34549,0
2015-02-03,21:40:00,157.66,158.0,157.66,158.0,54770,0
2015-02-03,21:45:00,157.99,158.01,157.91,157.98,78879,0
2015-02-03,21:50:00,157.97,158.28,157.89,157.99,84864,0
2015-02-03,21:55:00,158.0,158.0175,157.96,157.99,86062,0
2015-02-03,22:00:00,157.99,158.31,157.9,157.97,161347,0
2015-02-04,15:35:00,157.512,159.96,157.512,159.93,8500,0
2015-02-04,15:40:00,159.9,160.0,159.68,159.92,15900,0
2015-02-04,15:45:00,159.83,160.19,159.66,159.95,26450,0
2015-02-04,15:50:00,159.83,160.385,159.73,160.29,19603,0
2015-02-04,15:55:00,160.29,160.435,159.9,160.06,22308,0
2015-02-04,16:00:00,160.09,160.505,160.08,160.095,13351,0
2015-02-04,16:05:00,160.11,160.45,159.88,160.08,31278,0
2015-02-04,16:10:00,160.09,160.15,159.95,160.06,70330,0
2015-02-04,16:15:00,160.04,160.385,159.92,160.11,40714,0
2015-02-04,16:20:00,160.04,160.21,159.92,160.0,46276,0
2015-02-04,16:25:00,159.99,160.05,159.915,159.97,62982,0
2015-02-04,16:30:00,160.0,160.095,159.9,159.93,71565,0
