Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,18:50:00,17.25,17.27,17.25,17.25,4746,0
2015-01-29,18:55:00,17.25,17.25,17.25,17.25,800,0
2015-01-29,19:00:00,17.25,17.25,17.25,17.25,300,0
2015-01-29,19:10:00,17.25,17.27,17.24,17.27,2700,0
2015-01-29,19:15:00,17.2506,17.27,17.25,17.26,1938,0
2015-01-29,19:20:00,17.29,17.31,17.29,17.31,200,0
2015-01-29,19:25:00,17.3,17.3,17.27,17.27,2200,0
2015-01-29,19:30:00,17.28,17.28,17.27,17.27,200,0
2015-01-29,19:35:00,17.31,17.31,17.31,17.31,100,0
2015-01-29,19:40:00,17.31,17.33,17.31,17.33,400,0
2015-01-29,19:45:00,17.34,17.4,17.34,17.35,1002,0
2015-01-29,19:50:00,17.37,17.41,17.37,17.4,1300,0
2015-01-29,19:55:00,17.45,17.47,17.42,17.42,2000,0
2015-01-29,20:00:00,17.41,17.41,17.4,17.4,200,0
2015-01-29,20:05:00,17.39,17.39,17.39,17.39,1400,0
2015-01-29,20:10:00,17.45,17.45,17.45,17.45,400,0
2015-01-29,20:20:00,17.43,17.43,17.43,17.43,200,0
2015-01-29,20:30:00,17.45,17.47,17.44,17.47,2300,0
2015-01-29,20:50:00,17.48,17.48,17.47,17.47,500,0
2015-01-29,20:55:00,17.47,17.47,17.47,17.47,300,0
2015-01-29,21:05:00,17.47,17.47,17.46,17.46,700,0
2015-01-29,21:10:00,17.45,17.52,17.45,17.52,1700,0
2015-01-29,21:15:00,17.524,17.56,17.524,17.56,800,0
2015-01-29,21:25:00,17.53,17.53,17.53,17.53,100,0
2015-01-29,21:35:00,17.6,17.6,17.49,17.49,1465,0
2015-01-29,21:40:00,17.53,17.53,17.4902,17.4902,800,0
2015-01-29,21:45:00,17.49,17.53,17.49,17.5,1200,0
2015-01-29,21:50:00,17.47,17.47,17.38,17.38,2776,0
2015-01-29,21:55:00,17.41,17.48,17.41,17.47,2100,0
2015-01-29,22:00:00,17.47,17.54,17.45,17.53,7949,0
2015-01-30,15:35:00,18.0,18.0,18.0,18.0,800,0
2015-01-30,15:50:00,17.37,17.37,17.37,17.37,400,0
2015-01-30,15:55:00,17.404,17.404,17.3129,17.33,590,0
2015-01-30,16:00:00,17.3201,17.36,17.3201,17.35,2300,0
2015-01-30,16:05:00,17.25,17.28,17.25,17.28,600,0
2015-01-30,16:10:00,17.36,17.41,17.33,17.33,1034,0
2015-01-30,16:15:00,17.31,17.31,17.24,17.27,2400,0
2015-01-30,16:20:00,17.27,17.34,17.27,17.3399,1300,0
2015-01-30,16:25:00,17.34,17.34,17.3,17.3,700,0
2015-01-30,16:35:00,17.29,17.29,17.24,17.29,3100,0
2015-01-30,16:50:00,17.32,17.34,17.3,17.315,1600,0
2015-01-30,16:55:00,17.3,17.3,17.3,17.3,200,0
2015-01-30,17:00:00,17.29,17.35,17.29,17.35,800,0
2015-01-30,17:05:00,17.32,17.38,17.31,17.32,1100,0
2015-01-30,17:10:00,17.35,17.35,17.35,17.35,100,0
2015-01-30,17:15:00,17.3073,17.3073,17.3073,17.3073,750,0
2015-01-30,17:20:00,17.34,17.34,17.26,17.26,1000,0
2015-01-30,17:25:00,17.27,17.27,17.25,17.25,300,0
2015-01-30,17:30:00,17.25,17.2707,17.25,17.2707,1810,0
2015-01-30,17:35:00,17.31,17.31,17.31,17.31,400,0
2015-01-30,17:40:00,17.34,17.34,17.31,17.315,500,0
2015-01-30,17:45:00,17.31,17.31,17.31,17.31,300,0
2015-01-30,17:50:00,17.35,17.35,17.35,17.35,100,0
2015-01-30,18:05:00,17.33,17.37,17.31,17.32,1200,0
2015-01-30,18:10:00,17.31,17.35,17.31,17.31,1700,0
2015-01-30,18:15:00,17.31,17.34,17.3,17.3,300,0
2015-01-30,18:20:00,17.36,17.36,17.26,17.295,800,0
2015-01-30,18:30:00,17.26,17.26,17.25,17.25,200,0
2015-01-30,18:35:00,17.3,17.32,17.3,17.32,448,0
2015-01-30,18:45:00,17.3,17.3,17.3,17.3,100,0
2015-01-30,18:50:00,17.26,17.26,17.26,17.26,100,0
2015-01-30,19:00:00,17.26,17.27,17.26,17.27,200,0
2015-01-30,19:10:00,17.27,17.285,17.26,17.26,1000,0
2015-01-30,19:15:00,17.28,17.2999,17.28,17.2999,700,0
2015-01-30,19:20:00,17.26,17.26,17.24,17.25,6111,0
2015-01-30,19:25:00,17.26,17.27,17.25,17.27,900,0
2015-01-30,19:30:00,17.25,17.28,17.25,17.28,1904,0
2015-01-30,19:40:00,17.28,17.32,17.28,17.32,800,0
2015-01-30,19:45:00,17.31,17.32,17.31,17.32,500,0
2015-01-30,19:50:00,17.33,17.34,17.31,17.34,600,0
2015-01-30,19:55:00,17.37,17.37,17.32,17.32,500,0
2015-01-30,20:05:00,17.34,17.34,17.34,17.34,100,0
2015-01-30,20:10:00,17.38,17.38,17.31,17.38,1259,0
2015-01-30,20:15:00,17.37,17.37,17.37,17.37,100,0
2015-01-30,20:20:00,17.38,17.38,17.38,17.38,200,0
2015-01-30,20:25:00,17.35,17.35,17.35,17.35,700,0
2015-01-30,20:30:00,17.37,17.38,17.37,17.37,700,0
2015-01-30,20:35:00,17.37,17.37,17.36,17.36,300,0
2015-01-30,20:40:00,17.33,17.36,17.33,17.36,400,0
2015-01-30,20:45:00,17.37,17.4,17.37,17.4,1200,0
2015-01-30,20:50:00,17.37,17.37,17.31,17.31,1452,0
2015-01-30,21:00:00,17.31,17.31,17.31,17.31,300,0
2015-01-30,21:05:00,17.34,17.34,17.27,17.27,1100,0
2015-01-30,21:10:00,17.27,17.27,17.27,17.27,100,0
2015-01-30,21:15:00,17.278,17.3,17.278,17.29,1300,0
2015-01-30,21:20:00,17.28,17.28,17.24,17.25,5002,0
2015-01-30,21:25:00,17.25,17.29,17.24,17.29,3600,0
2015-01-30,21:30:00,17.26,17.32,17.26,17.32,2800,0
2015-01-30,21:35:00,17.32,17.32,17.32,17.32,900,0
2015-01-30,21:40:00,17.29,17.32,17.29,17.3,2000,0
2015-01-30,21:45:00,17.28,17.28,17.25,17.26,1900,0
2015-01-30,21:50:00,17.3,17.3,17.26,17.26,1525,0
2015-01-30,21:55:00,17.28,17.28,17.25,17.25,3405,0
2015-01-30,22:00:00,17.25,17.26,17.23,17.23,29204,0
2015-02-02,15:35:00,17.26,17.4382,17.26,17.4382,3161,0
2015-02-02,15:40:00,17.25,17.26,17.25,17.26,1100,0
2015-02-02,15:50:00,17.24,17.29,17.24,17.24,1400,0
2015-02-02,15:55:00,17.24,17.27,17.24,17.26,3035,0
2015-02-02,16:00:00,17.25,17.28,17.21,17.24,6000,0
2015-02-02,16:05:00,17.24,17.26,17.1,17.1,4511,0
2015-02-02,16:10:00,17.08,17.08,16.98,16.98,800,0
2015-02-02,16:15:00,17.01,17.05,17.01,17.05,1185,0
2015-02-02,16:20:00,17.05,17.05,17.05,17.05,100,0
2015-02-02,16:25:00,17.02,17.02,17.02,17.02,300,0
2015-02-02,16:30:00,17.06,17.06,17.05,17.05,1400,0
2015-02-02,16:35:00,17.06,17.06,17.06,17.06,600,0
2015-02-02,16:40:00,17.02,17.07,17.02,17.07,300,0
2015-02-02,16:45:00,17.08,17.08,17.05,17.05,400,0
2015-02-02,16:50:00,17.02,17.05,17.01,17.05,800,0
2015-02-02,16:55:00,17.02,17.03,17.02,17.03,400,0
2015-02-02,17:00:00,17.02,17.02,16.98,17.0,3600,0
2015-02-02,17:05:00,17.06,17.06,17.06,17.06,100,0
2015-02-02,17:10:00,17.08,17.08,17.08,17.08,300,0
2015-02-02,17:15:00,17.1,17.13,17.1,17.11,600,0
2015-02-02,17:25:00,17.16,17.16,17.14,17.14,600,0
2015-02-02,17:30:00,17.13,17.21,17.08,17.204,4647,0
2015-02-02,17:35:00,17.21,17.21,17.21,17.21,200,0
2015-02-02,17:45:00,17.27,17.27,17.2401,17.2401,201,0
2015-02-02,17:50:00,17.28,17.28,17.25,17.25,600,0
2015-02-02,17:55:00,17.26,17.26,17.26,17.26,200,0
2015-02-02,18:00:00,17.26,17.26,17.21,17.21,600,0
2015-02-02,18:05:00,17.23,17.23,17.23,17.23,100,0
2015-02-02,18:10:00,17.2,17.2,17.1,17.1,500,0
2015-02-02,18:20:00,17.09,17.09,17.09,17.09,300,0
2015-02-02,18:25:00,17.13,17.13,17.13,17.13,100,0
2015-02-02,18:30:00,17.16,17.17,17.16,17.17,500,0
2015-02-02,18:35:00,17.13,17.14,17.13,17.14,500,0
2015-02-02,18:45:00,17.17,17.17,17.16,17.16,300,0
2015-02-02,18:50:00,17.16,17.16,17.12,17.15,508,0
2015-02-02,18:55:00,17.13,17.13,17.13,17.13,500,0
2015-02-02,19:10:00,17.16,17.16,17.15,17.16,400,0
2015-02-02,19:15:00,17.16,17.16,17.16,17.16,200,0
2015-02-02,19:20:00,17.17,17.18,17.1,17.1,800,0
2015-02-02,19:35:00,17.13,17.13,17.08,17.11,500,0
2015-02-02,19:40:00,17.04,17.04,17.04,17.04,100,0
2015-02-02,19:45:00,17.05,17.06,17.03,17.03,700,0
2015-02-02,19:50:00,17.04,17.04,17.0,17.0,1100,0
2015-02-02,19:55:00,17.0,17.08,17.0,17.08,500,0
2015-02-02,20:00:00,17.07,17.07,17.07,17.07,200,0
2015-02-02,20:10:00,17.07,17.07,17.07,17.07,600,0
2015-02-02,20:15:00,17.0699,17.08,17.03,17.08,989,0
2015-02-02,20:25:00,17.15,17.15,17.09,17.13,1600,0
2015-02-02,20:30:00,17.14,17.16,17.14,17.16,500,0
2015-02-02,20:40:00,17.15,17.15,17.1,17.1,700,0
2015-02-02,20:50:00,17.1,17.11,17.09,17.1,1100,0
2015-02-02,20:55:00,17.11,17.13,17.11,17.13,500,0
2015-02-02,21:00:00,17.13,17.13,17.13,17.13,200,0
2015-02-02,21:05:00,17.13,17.17,17.13,17.17,300,0
2015-02-02,21:10:00,17.17,17.24,17.17,17.24,2139,0
2015-02-02,21:15:00,17.21,17.24,17.21,17.21,500,0
2015-02-02,21:20:00,17.24,17.24,17.22,17.23,700,0
2015-02-02,21:25:00,17.22,17.27,17.2,17.27,3894,0
2015-02-02,21:30:00,17.25,17.29,17.25,17.29,700,0
2015-02-02,21:35:00,17.29,17.31,17.26,17.31,1100,0
2015-02-02,21:40:00,17.335,17.42,17.32,17.41,2600,0
2015-02-02,21:45:00,17.47,17.5,17.45,17.47,2400,0
2015-02-02,21:50:00,17.45,17.48,17.4,17.42,1200,0
