Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,16:50:00,23.09,23.09,22.97,23.03,3134,0
2015-02-02,16:55:00,23.03,23.185,23.03,23.175,2900,0
2015-02-02,17:00:00,23.13,23.13,23.05,23.1,4094,0
2015-02-02,17:05:00,23.14,23.265,23.1,23.265,1800,0
2015-02-02,17:10:00,23.21,23.288,23.21,23.28,1880,0
2015-02-02,17:15:00,23.33,23.485,23.33,23.43,7804,0
2015-02-02,17:20:00,23.485,23.6,23.45,23.59,5300,0
2015-02-02,17:25:00,23.58,23.635,23.48,23.58,11251,0
2015-02-02,17:30:00,23.56,23.59,23.51,23.59,5535,0
2015-02-02,17:35:00,23.55,23.7,23.55,23.7,2914,0
2015-02-02,17:40:00,23.64,23.7,23.64,23.68,4300,0
2015-02-02,17:45:00,23.67,23.67,23.59,23.63,2002,0
2015-02-02,17:50:00,23.61,23.62,23.61,23.62,500,0
2015-02-02,17:55:00,23.61,23.68,23.61,23.66,1700,0
2015-02-02,18:00:00,23.64,23.68,23.64,23.68,1800,0
2015-02-02,18:05:00,23.665,23.67,23.63,23.64,5612,0
2015-02-02,18:10:00,23.66,23.68,23.63,23.68,1400,0
2015-02-02,18:15:00,23.64,23.66,23.64,23.66,800,0
2015-02-02,18:20:00,23.66,23.74,23.65,23.73,7850,0
2015-02-02,18:25:00,23.76,23.76,23.73,23.75,1000,0
2015-02-02,18:30:00,23.74,23.77,23.71,23.77,3361,0
2015-02-02,18:35:00,23.78,23.81,23.78,23.8,4460,0
2015-02-02,18:40:00,23.81,23.87,23.81,23.82,5400,0
2015-02-02,18:45:00,23.84,23.84,23.78,23.8,1500,0
2015-02-02,18:50:00,23.78,23.78,23.72,23.72,2500,0
2015-02-02,18:55:00,23.75,23.75,23.735,23.735,1455,0
2015-02-02,19:00:00,23.72,23.77,23.72,23.77,1600,0
2015-02-02,19:05:00,23.79,23.79,23.69,23.69,3100,0
2015-02-02,19:10:00,23.72,23.73,23.68,23.7,2500,0
2015-02-02,19:15:00,23.7,23.7,23.6,23.61,2600,0
2015-02-02,19:20:00,23.6,23.63,23.56,23.56,3900,0
2015-02-02,19:25:00,23.58,23.6199,23.55,23.58,2100,0
2015-02-02,19:30:00,23.59,23.61,23.58,23.58,1800,0
2015-02-02,19:35:00,23.57,23.57,23.53,23.53,2000,0
2015-02-02,19:40:00,23.53,23.53,23.48,23.52,2200,0
2015-02-02,19:45:00,23.49,23.49,23.44,23.45,2900,0
2015-02-02,19:50:00,23.4275,23.4275,23.36,23.38,3020,0
2015-02-02,19:55:00,23.38,23.47,23.38,23.4599,3203,0
2015-02-02,20:00:00,23.42,23.42,23.35,23.38,7550,0
2015-02-02,20:05:00,23.39,23.48,23.36,23.47,5840,0
2015-02-02,20:10:00,23.4595,23.51,23.44,23.48,3750,0
2015-02-02,20:15:00,23.43,23.47,23.43,23.43,1900,0
2015-02-02,20:20:00,23.46,23.5,23.45,23.5,1000,0
2015-02-02,20:25:00,23.49,23.55,23.49,23.54,2200,0
2015-02-02,20:30:00,23.53,23.55,23.49,23.55,2726,0
2015-02-02,20:35:00,23.54,23.58,23.52,23.55,2300,0
2015-02-02,20:40:00,23.54,23.57,23.51,23.51,2300,0
2015-02-02,20:45:00,23.52,23.53,23.43,23.49,6442,0
2015-02-02,20:50:00,23.5,23.55,23.48,23.55,10626,0
2015-02-02,20:55:00,23.53,23.62,23.53,23.62,1349,0
2015-02-02,21:00:00,23.625,23.6299,23.52,23.55,5286,0
2015-02-02,21:05:00,23.58,23.585,23.58,23.585,1400,0
2015-02-02,21:10:00,23.59,23.65,23.59,23.65,9056,0
2015-02-02,21:15:00,23.68,23.71,23.68,23.7,1600,0
2015-02-02,21:20:00,23.71,23.71,23.64,23.64,3900,0
2015-02-02,21:25:00,23.64,23.73,23.64,23.7299,1990,0
2015-02-02,21:30:00,23.73,23.75,23.73,23.745,1016,0
2015-02-02,21:35:00,23.745,23.82,23.745,23.785,5273,0
2015-02-02,21:40:00,23.78,23.87,23.76,23.84,9200,0
2015-02-02,21:45:00,23.83,23.885,23.79,23.885,6372,0
2015-02-02,21:50:00,23.82,23.84,23.75,23.78,11400,0
2015-02-02,21:55:00,23.795,23.84,23.78,23.82,16362,0
2015-02-02,22:00:00,23.83,23.93,23.82,23.9,41087,0
2015-02-03,15:35:00,23.87,23.97,23.87,23.97,11574,0
2015-02-03,15:40:00,23.99,24.15,23.95,24.15,3375,0
