Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,17:50:00,2.720,2.720,2.720,2.720,100,0
2015-01-29,17:55:00,2.72,2.72,2.72,2.72,200,0
2015-01-29,18:00:00,2.72,2.73,2.72,2.73,300,0
2015-01-29,18:05:00,2.73,2.78,2.73,2.76,3500,0
2015-01-29,18:10:00,2.76,2.78,2.74,2.74,2100,0
2015-01-29,18:15:00,2.74,2.75,2.74,2.75,1200,0
2015-01-29,18:20:00,2.74,2.75,2.721,2.75,5000,0
2015-01-29,18:25:00,2.7401,2.75,2.701,2.7418,23540,0
2015-01-29,18:30:00,2.74,2.75,2.74,2.75,800,0
2015-01-29,18:35:00,2.75,2.75,2.73,2.75,3577,0
2015-01-29,18:40:00,2.751,2.762,2.72,2.738,18911,0
2015-01-29,19:05:00,2.707,2.707,2.707,2.707,100,0
2015-01-29,19:10:00,2.69,2.69,2.69,2.69,200,0
2015-01-29,19:20:00,2.6994,2.6994,2.69,2.69,2100,0
2015-01-29,19:25:00,2.69,2.69,2.69,2.69,100,0
2015-01-29,19:30:00,2.7,2.7,2.69,2.69,3100,0
2015-01-29,19:40:00,2.69,2.7,2.69,2.7,700,0
2015-01-29,19:50:00,2.71,2.71,2.71,2.71,200,0
2015-01-29,19:55:00,2.71,2.71,2.7,2.7,500,0
2015-01-29,20:00:00,2.7,2.71,2.7,2.71,200,0
2015-01-29,20:10:00,2.69,2.69,2.69,2.69,200,0
2015-01-29,20:15:00,2.69,2.69,2.69,2.69,200,0
2015-01-29,20:25:00,2.6942,2.6942,2.69,2.6912,2600,0
2015-01-29,20:35:00,2.69,2.7,2.69,2.7,4600,0
2015-01-29,20:40:00,2.7,2.7001,2.7,2.7,1100,0
2015-01-29,20:45:00,2.701,2.71,2.7,2.71,1600,0
2015-01-29,20:50:00,2.7099,2.7099,2.7099,2.7099,2000,0
2015-01-29,20:55:00,2.71,2.7199,2.71,2.71,12600,0
2015-01-29,21:00:00,2.7,2.7,2.7,2.7,800,0
2015-01-29,21:10:00,2.68,2.689,2.66,2.688,5800,0
2015-01-29,21:15:00,2.67,2.69,2.67,2.69,400,0
2015-01-29,21:20:00,2.67,2.67,2.67,2.67,400,0
2015-01-29,21:25:00,2.67,2.688,2.67,2.68,900,0
2015-01-29,21:30:00,2.68,2.68,2.67,2.67,300,0
2015-01-29,21:35:00,2.66,2.68,2.66,2.68,3900,0
2015-01-29,21:40:00,2.68,2.71,2.68,2.7,16550,0
2015-01-29,21:45:00,2.69,2.71,2.69,2.7088,1800,0
2015-01-29,21:50:00,2.69,2.72,2.69,2.715,6500,0
2015-01-29,21:55:00,2.75,2.756,2.72,2.72,38266,0
2015-01-29,22:00:00,2.74,2.75,2.7,2.75,10212,0
2015-01-30,15:35:00,2.8,2.8,2.7486,2.7486,9092,0
2015-01-30,15:40:00,2.76,2.77,2.75,2.75,1300,0
2015-01-30,15:45:00,2.76,2.76,2.75,2.76,5276,0
2015-01-30,15:50:00,2.77,2.77,2.75,2.755,2700,0
2015-01-30,15:55:00,2.76,2.76,2.75,2.75,600,0
2015-01-30,16:15:00,2.71,2.71,2.695,2.695,200,0
2015-01-30,16:25:00,2.68,2.69,2.68,2.69,516,0
2015-01-30,16:30:00,2.68,2.68,2.68,2.68,200,0
2015-01-30,16:35:00,2.673,2.673,2.635,2.635,3100,0
2015-01-30,16:40:00,2.6654,2.6654,2.6654,2.6654,200,0
2015-01-30,16:45:00,2.684,2.698,2.68,2.68,2500,0
2015-01-30,16:55:00,2.6892,2.6892,2.6892,2.6892,500,0
2015-01-30,17:00:00,2.672,2.6734,2.66,2.6734,7484,0
2015-01-30,17:05:00,2.67,2.68,2.67,2.676,1600,0
2015-01-30,17:10:00,2.6811,2.6811,2.6811,2.6811,2000,0
2015-01-30,17:20:00,2.68,2.68,2.68,2.68,1300,0
2015-01-30,17:25:00,2.69,2.69,2.685,2.69,700,0
2015-01-30,17:35:00,2.69,2.69,2.68,2.68,800,0
2015-01-30,17:40:00,2.672,2.682,2.67,2.682,1343,0
2015-01-30,17:45:00,2.684,2.684,2.669,2.669,4600,0
2015-01-30,18:05:00,2.675,2.68,2.675,2.68,300,0
2015-01-30,18:15:00,2.7,2.7,2.67,2.67,1300,0
2015-01-30,18:20:00,2.675,2.675,2.675,2.675,194,0
2015-01-30,18:25:00,2.68,2.68,2.68,2.68,100,0
2015-01-30,18:35:00,2.6884,2.6965,2.68,2.68,2400,0
2015-01-30,18:40:00,2.67,2.67,2.67,2.67,100,0
2015-01-30,19:05:00,2.6601,2.67,2.6601,2.67,3300,0
2015-01-30,19:15:00,2.66,2.666,2.66,2.66,5350,0
2015-01-30,19:20:00,2.656,2.66,2.65,2.65,2700,0
2015-01-30,19:25:00,2.6599,2.6599,2.6599,2.6599,1880,0
2015-01-30,19:30:00,2.65,2.65,2.63,2.63,600,0
2015-01-30,19:35:00,2.63,2.63,2.63,2.63,600,0
2015-01-30,19:50:00,2.65,2.65,2.65,2.65,200,0
2015-01-30,19:55:00,2.64,2.66,2.64,2.655,5084,0
2015-01-30,20:00:00,2.64,2.64,2.64,2.64,100,0
2015-01-30,20:15:00,2.64,2.65,2.64,2.645,800,0
2015-01-30,20:20:00,2.649,2.65,2.64,2.645,1900,0
2015-01-30,20:25:00,2.64,2.65,2.64,2.645,1600,0
2015-01-30,20:30:00,2.64,2.65,2.64,2.65,600,0
2015-01-30,20:35:00,2.645,2.65,2.63,2.63,4700,0
2015-01-30,20:40:00,2.63,2.63,2.63,2.63,500,0
2015-01-30,20:45:00,2.621,2.621,2.61,2.61,1500,0
2015-01-30,20:50:00,2.62,2.62,2.62,2.62,300,0
2015-01-30,20:55:00,2.61,2.62,2.61,2.6101,4300,0
2015-01-30,21:00:00,2.6112,2.62,2.61,2.61,2950,0
2015-01-30,21:05:00,2.615,2.62,2.61,2.61,3600,0
2015-01-30,21:10:00,2.61,2.61,2.57,2.592,12236,0
2015-01-30,21:15:00,2.58,2.58,2.55,2.58,2800,0
2015-01-30,21:20:00,2.57,2.58,2.5601,2.5608,3200,0
2015-01-30,21:25:00,2.57,2.57,2.57,2.57,104,0
2015-01-30,21:30:00,2.5723,2.5723,2.56,2.56,3196,0
2015-01-30,21:35:00,2.56,2.5601,2.5502,2.5502,3100,0
2015-01-30,21:40:00,2.55,2.56,2.545,2.55,2400,0
2015-01-30,21:45:00,2.55,2.56,2.55,2.56,4423,0
2015-01-30,21:50:00,2.57,2.57,2.55,2.55,500,0
2015-01-30,21:55:00,2.56,2.57,2.54,2.55,2263,0
2015-01-30,22:00:00,2.56,2.57,2.54,2.57,11666,0
2015-02-02,15:35:00,2.52,2.57,2.51,2.57,4200,0
2015-02-02,15:50:00,2.5699,2.5699,2.5401,2.5401,5000,0
2015-02-02,15:55:00,2.555,2.555,2.5201,2.5201,2700,0
2015-02-02,16:00:00,2.53,2.548,2.5,2.53,3941,0
2015-02-02,16:05:00,2.5356,2.5356,2.5356,2.5356,1025,0
2015-02-02,16:10:00,2.54,2.54,2.54,2.54,300,0
2015-02-02,16:20:00,2.5499,2.5499,2.545,2.545,360,0
2015-02-02,16:25:00,2.545,2.545,2.545,2.545,100,0
2015-02-02,16:35:00,2.545,2.546,2.46,2.48,29600,0
2015-02-02,16:40:00,2.48,2.49,2.48,2.49,1300,0
2015-02-02,16:45:00,2.49,2.49,2.49,2.49,2500,0
2015-02-02,16:50:00,2.489,2.489,2.489,2.489,1200,0
2015-02-02,16:55:00,2.485,2.485,2.42,2.45,11261,0
2015-02-02,17:00:00,2.445,2.445,2.4,2.445,6600,0
2015-02-02,17:05:00,2.445,2.45,2.43,2.43,6000,0
2015-02-02,17:10:00,2.43,2.43,2.43,2.43,100,0
2015-02-02,17:15:00,2.44,2.45,2.44,2.45,1100,0
2015-02-02,17:20:00,2.4597,2.46,2.45,2.4501,2800,0
2015-02-02,17:25:00,2.455,2.455,2.455,2.455,100,0
2015-02-02,17:30:00,2.452,2.455,2.44,2.44,1600,0
2015-02-02,17:35:00,2.43,2.44,2.43,2.43,1100,0
2015-02-02,17:40:00,2.44,2.44,2.431,2.431,700,0
2015-02-02,17:45:00,2.45,2.45,2.43,2.45,5900,0
2015-02-02,17:50:00,2.44,2.45,2.44,2.4493,3800,0
2015-02-02,17:55:00,2.44,2.44,2.44,2.44,100,0
2015-02-02,18:00:00,2.435,2.435,2.435,2.435,100,0
2015-02-02,18:05:00,2.43,2.44,2.43,2.44,500,0
2015-02-02,18:10:00,2.44,2.44,2.44,2.44,1100,0
2015-02-02,18:25:00,2.4387,2.4387,2.4387,2.4387,700,0
2015-02-02,18:30:00,2.44,2.44,2.44,2.44,600,0
2015-02-02,18:45:00,2.4499,2.45,2.4499,2.4499,1100,0
2015-02-02,18:50:00,2.4499,2.4499,2.4499,2.4499,1100,0
2015-02-02,19:00:00,2.45,2.45,2.45,2.45,600,0
2015-02-02,19:05:00,2.4477,2.45,2.44,2.44,836,0
2015-02-02,19:10:00,2.45,2.48,2.45,2.48,13571,0
2015-02-02,19:20:00,2.51,2.522,2.49,2.49,8000,0
2015-02-02,19:25:00,2.491,2.491,2.49,2.49,10200,0
2015-02-02,19:30:00,2.49,2.49,2.48,2.48,200,0
2015-02-02,19:35:00,2.485,2.5,2.485,2.5,1100,0
2015-02-02,19:40:00,2.5,2.5,2.4901,2.4901,700,0
2015-02-02,19:45:00,2.5,2.51,2.49,2.51,800,0
2015-02-02,19:50:00,2.505,2.51,2.5,2.5,4100,0
2015-02-02,19:55:00,2.5001,2.5001,2.47,2.47,1100,0
2015-02-02,20:00:00,2.485,2.49,2.485,2.49,300,0
2015-02-02,20:05:00,2.49,2.49,2.49,2.49,100,0
2015-02-02,20:15:00,2.49,2.49,2.47,2.48,3400,0
2015-02-02,20:20:00,2.46,2.488,2.46,2.488,900,0
2015-02-02,20:30:00,2.48,2.48,2.48,2.48,300,0
2015-02-02,20:50:00,2.5,2.51,2.49,2.49,2746,0
2015-02-02,20:55:00,2.505,2.505,2.49,2.5,900,0
2015-02-02,21:00:00,2.49,2.49,2.49,2.49,600,0
2015-02-02,21:20:00,2.495,2.495,2.48,2.48,200,0
2015-02-02,21:25:00,2.47,2.47,2.47,2.47,800,0
2015-02-02,21:30:00,2.4926,2.4926,2.485,2.485,400,0
2015-02-02,21:35:00,2.5,2.5,2.48,2.48,4300,0
2015-02-02,21:40:00,2.5,2.51,2.5,2.5097,2000,0
2015-02-02,21:45:00,2.51,2.57,2.49,2.55,19580,0
2015-02-02,21:50:00,2.53,2.57,2.52,2.5697,3500,0
2015-02-02,21:55:00,2.57,2.58,2.56,2.56,5387,0
2015-02-02,22:00:00,2.59,2.6,2.55,2.57,14337,0
2015-02-03,15:35:00,2.42,2.42,2.4,2.4,1640,0
2015-02-03,15:40:00,2.55,2.55,2.55,2.55,500,0
2015-02-03,15:45:00,2.535,2.555,2.535,2.555,1860,0
2015-02-03,15:50:00,2.54,2.541,2.54,2.54,540,0
2015-02-03,15:55:00,2.525,2.529,2.52,2.529,1450,0
2015-02-03,16:00:00,2.5299,2.5299,2.52,2.52,2600,0
2015-02-03,16:05:00,2.52,2.53,2.52,2.52,1560,0
2015-02-03,16:15:00,2.518,2.518,2.5,2.5,2678,0
2015-02-03,16:20:00,2.5,2.5,2.5,2.5,500,0
2015-02-03,16:25:00,2.5005,2.51,2.5,2.51,7200,0
2015-02-03,16:35:00,2.5,2.5,2.5,2.5,100,0
2015-02-03,16:40:00,2.5,2.5,2.5,2.5,300,0
2015-02-03,16:45:00,2.5,2.51,2.5,2.5,500,0
2015-02-03,16:50:00,2.51,2.51,2.5,2.5,600,0
2015-02-03,16:55:00,2.5,2.52,2.5,2.52,5150,0
2015-02-03,17:00:00,2.51,2.51,2.51,2.51,1300,0
2015-02-03,17:05:00,2.51,2.51,2.51,2.51,600,0
2015-02-03,17:20:00,2.5001,2.5001,2.46,2.49,7200,0
2015-02-03,17:25:00,2.5,2.51,2.5,2.5,4700,0
2015-02-03,17:35:00,2.5,2.5099,2.5,2.5099,1898,0
2015-02-03,17:40:00,2.5,2.5,2.49,2.5,1400,0
2015-02-03,17:45:00,2.5,2.5,2.5,2.5,100,0
2015-02-03,17:50:00,2.5099,2.5099,2.5099,2.5099,500,0
2015-02-03,18:00:00,2.5,2.51,2.49,2.51,4730,0
2015-02-03,18:05:00,2.51,2.51,2.5,2.51,1600,0
2015-02-03,18:10:00,2.5,2.51,2.5,2.51,400,0
2015-02-03,18:15:00,2.51,2.52,2.505,2.51,6535,0
2015-02-03,18:25:00,2.51,2.511,2.51,2.51,1165,0
2015-02-03,18:30:00,2.51,2.51,2.51,2.51,600,0
2015-02-03,18:40:00,2.51,2.52,2.5,2.51,4040,0
2015-02-03,18:50:00,2.51,2.51,2.51,2.51,100,0
2015-02-03,18:55:00,2.52,2.52,2.51,2.51,400,0
2015-02-03,19:00:00,2.5161,2.5161,2.5161,2.5161,400,0
2015-02-03,19:05:00,2.52,2.53,2.52,2.53,700,0
2015-02-03,19:10:00,2.53,2.53,2.525,2.53,2000,0
2015-02-03,19:20:00,2.53,2.53,2.53,2.53,100,0
2015-02-03,19:30:00,2.53,2.53,2.53,2.53,200,0
2015-02-03,19:35:00,2.53,2.53,2.53,2.53,360,0
2015-02-03,19:40:00,2.53,2.53,2.53,2.53,100,0
2015-02-03,19:55:00,2.53,2.53,2.53,2.53,700,0
2015-02-03,20:00:00,2.5279,2.53,2.5279,2.53,2168,0
2015-02-03,20:05:00,2.53,2.53,2.53,2.53,200,0
2015-02-03,20:10:00,2.53,2.53,2.53,2.53,1200,0
2015-02-03,20:15:00,2.54,2.54,2.53,2.53,2200,0
2015-02-03,20:20:00,2.53,2.5399,2.53,2.5399,2130,0
2015-02-03,20:25:00,2.53,2.5366,2.53,2.53,2450,0
2015-02-03,20:30:00,2.53,2.53,2.53,2.53,900,0
2015-02-03,20:35:00,2.5301,2.54,2.53,2.54,2027,0
2015-02-03,20:40:00,2.54,2.54,2.54,2.54,400,0
2015-02-03,20:50:00,2.541,2.541,2.49,2.49,13500,0
2015-02-03,20:55:00,2.5,2.5,2.49,2.49,300,0
2015-02-03,21:05:00,2.48,2.51,2.48,2.51,2900,0
2015-02-03,21:10:00,2.5,2.508,2.5,2.508,400,0
2015-02-03,21:15:00,2.5,2.5,2.49,2.5,800,0
2015-02-03,21:20:00,2.495,2.495,2.495,2.495,100,0
2015-02-03,21:25:00,2.5068,2.5068,2.5,2.5,400,0
2015-02-03,21:30:00,2.5,2.5,2.5,2.5,2300,0
2015-02-03,21:35:00,2.5,2.5,2.5,2.5,2840,0
2015-02-03,21:40:00,2.4999,2.4999,2.49,2.49,300,0
2015-02-03,21:55:00,2.46,2.46,2.46,2.46,200,0
2015-02-03,22:00:00,2.46,2.49,2.46,2.48,4050,0
2015-02-04,15:35:00,2.55,2.59,2.55,2.59,4800,0
2015-02-04,15:40:00,2.57,2.57,2.52,2.547,5158,0
