Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:30:00,56.510,56.720,56.510,56.610,4100,0
2015-02-03,16:35:00,56.6,56.6,56.39,56.4197,10298,0
2015-02-03,16:40:00,56.45,56.45,56.1802,56.32,22958,0
2015-02-03,16:45:00,56.33,56.41,56.22,56.3,4863,0
2015-02-03,16:50:00,56.23,56.31,56.125,56.1514,12706,0
2015-02-03,16:55:00,56.2,56.33,56.12,56.28,9772,0
2015-02-03,17:00:00,56.3,56.34,56.21,56.25,6600,0
2015-02-03,17:05:00,56.28,56.35,56.24,56.25,6700,0
2015-02-03,17:10:00,56.25,56.27,56.21,56.24,20120,0
2015-02-03,17:15:00,56.25,56.26,56.1,56.12,29578,0
2015-02-03,17:20:00,56.1,56.12,56.02,56.05,10000,0
2015-02-03,17:25:00,56.06,56.08,55.98,55.98,8500,0
2015-02-03,17:30:00,55.98,56.02,55.88,55.94,9400,0
2015-02-03,17:35:00,55.94,55.95,55.92,55.94,3000,0
2015-02-03,17:40:00,55.94,56.13,55.925,56.11,14198,0
2015-02-03,17:45:00,56.09,56.11,56.02,56.05,4100,0
2015-02-03,17:50:00,56.05,56.05,55.94,56.03,13500,0
2015-02-03,17:55:00,56.0,56.0,55.82,55.82,6891,0
2015-02-03,18:00:00,55.84,55.89,55.792,55.87,7480,0
2015-02-03,18:05:00,55.85,55.875,55.716,55.78,7500,0
2015-02-03,18:10:00,55.79,55.87,55.73,55.73,8706,0
2015-02-03,18:15:00,55.74,55.81,55.74,55.79,8800,0
2015-02-03,18:20:00,55.77,55.785,55.4901,55.53,18777,0
2015-02-03,18:25:00,55.52,55.56,55.51,55.52,4317,0
2015-02-03,18:30:00,55.55,55.57,55.5,55.515,3000,0
2015-02-03,18:35:00,55.51,55.52,55.445,55.48,4300,0
2015-02-03,18:40:00,55.5,55.6,55.5,55.6,4900,0
2015-02-03,18:45:00,55.6,55.79,55.6,55.79,2700,0
2015-02-03,18:50:00,55.76,55.76,55.61,55.61,3544,0
2015-02-03,18:55:00,55.58,55.58,55.54,55.58,3300,0
2015-02-03,19:00:00,55.6,55.67,55.53,55.57,3400,0
2015-02-03,19:05:00,55.58,55.67,55.57,55.63,3475,0
2015-02-03,19:10:00,55.61,55.61,55.49,55.52,20100,0
2015-02-03,19:15:00,55.49,55.5,55.43,55.48,7497,0
2015-02-03,19:20:00,55.49,55.6,55.49,55.6,3500,0
2015-02-03,19:25:00,55.62,55.78,55.61,55.78,2900,0
2015-02-03,19:30:00,55.76,55.87,55.76,55.85,8100,0
2015-02-03,19:35:00,55.85,55.93,55.81,55.93,5824,0
2015-02-03,19:40:00,55.96,56.0,55.95,55.99,7808,0
2015-02-03,19:45:00,56.0,56.02,55.97,56.015,3755,0
2015-02-03,19:50:00,56.0,56.08,55.985,56.03,5800,0
2015-02-03,19:55:00,56.04,56.14,56.0201,56.12,5322,0
