Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-23,21:45:00,2.800,2.800,2.800,2.800,1200,0
2015-01-23,21:55:00,2.8,2.8,2.8,2.8,1300,0
2015-01-23,22:00:00,2.81,2.85,2.81,2.84,4000,0
2015-01-26,15:35:00,2.8315,2.8315,2.8315,2.8315,500,0
2015-01-26,15:45:00,2.84,2.84,2.84,2.84,11172,0
2015-01-26,15:55:00,2.8799,2.8799,2.8799,2.8799,4000,0
2015-01-26,16:00:00,2.8401,2.8401,2.8401,2.8401,100,0
2015-01-26,16:05:00,2.8499,2.88,2.8499,2.88,16400,0
2015-01-26,16:10:00,2.909,2.91,2.909,2.91,18000,0
2015-01-26,16:15:00,2.91,2.91,2.84,2.85,17600,0
2015-01-26,16:20:00,2.87,2.87,2.87,2.87,1351,0
2015-01-26,16:25:00,2.9,2.91,2.9,2.91,12549,0
2015-01-26,16:30:00,2.91,2.91,2.9,2.9,5780,0
2015-01-26,16:40:00,2.86,2.86,2.86,2.86,3000,0
2015-01-26,16:45:00,2.89,2.89,2.89,2.89,460,0
2015-01-26,16:50:00,2.89,2.91,2.89,2.89,1700,0
2015-01-26,16:55:00,2.907,2.91,2.907,2.91,13000,0
2015-01-26,17:05:00,2.89,2.9,2.88,2.89,3100,0
2015-01-26,17:10:00,2.85,2.85,2.85,2.85,700,0
2015-01-26,17:20:00,2.878,2.878,2.878,2.878,3000,0
2015-01-26,17:35:00,2.8996,2.8996,2.8996,2.8996,500,0
2015-01-26,17:50:00,2.9,2.9,2.89,2.9,12200,0
2015-01-26,17:55:00,2.89,2.91,2.89,2.9,15720,0
2015-01-26,18:05:00,2.91,2.91,2.91,2.91,6100,0
2015-01-26,18:10:00,2.91,2.95,2.9,2.9399,103276,0
2015-01-26,18:15:00,2.91,2.91,2.91,2.91,9100,0
2015-01-26,18:25:00,2.92,2.92,2.92,2.92,300,0
2015-01-26,18:45:00,2.9201,2.9201,2.92,2.92,500,0
2015-01-26,18:50:00,2.93,2.93,2.9,2.915,91400,0
2015-01-26,18:55:00,2.91,2.91,2.91,2.91,800,0
2015-01-26,19:00:00,2.88,2.895,2.85,2.85,10575,0
2015-01-26,19:05:00,2.85,2.85,2.85,2.85,3225,0
2015-01-26,19:10:00,2.86,2.86,2.86,2.86,400,0
2015-01-26,19:20:00,2.86,2.86,2.85,2.85,7975,0
2015-01-26,19:45:00,2.83,2.83,2.83,2.83,100,0
2015-01-26,19:50:00,2.835,2.835,2.835,2.835,600,0
2015-01-26,19:55:00,2.84,2.89,2.84,2.86,66945,0
2015-01-26,20:00:00,2.875,2.9,2.875,2.875,34500,0
2015-01-26,20:05:00,2.885,2.885,2.885,2.885,400,0
2015-01-26,20:10:00,2.87,2.89,2.87,2.87,3700,0
2015-01-26,20:15:00,2.87,2.8799,2.85,2.85,14500,0
2015-01-26,20:20:00,2.8655,2.8655,2.84,2.84,545,0
2015-01-26,20:30:00,2.87,2.87,2.87,2.87,740,0
2015-01-26,20:45:00,2.8699,2.8699,2.8699,2.8699,1000,0
2015-01-26,21:00:00,2.845,2.85,2.845,2.85,700,0
2015-01-26,21:20:00,2.85,2.85,2.85,2.85,100,0
2015-01-26,21:40:00,2.83,2.83,2.8,2.8,25000,0
2015-01-26,21:45:00,2.78,2.78,2.75,2.75,3900,0
2015-01-26,21:50:00,2.76,2.7899,2.76,2.7899,6000,0
2015-01-26,21:55:00,2.8,2.8,2.8,2.8,700,0
2015-01-26,22:00:00,2.8,2.8001,2.78,2.78,6100,0
2015-01-27,15:35:00,2.8,2.8,2.78,2.78,2500,0
2015-01-27,15:45:00,2.77,2.77,2.77,2.77,200,0
2015-01-27,15:50:00,2.77,2.77,2.77,2.77,100,0
2015-01-27,15:55:00,2.8,2.82,2.8,2.82,18300,0
2015-01-27,16:10:00,2.8255,2.88,2.82,2.88,11000,0
2015-01-27,16:35:00,2.82,2.83,2.82,2.82,5600,0
2015-01-27,16:45:00,2.81,2.81,2.8048,2.8099,2725,0
2015-01-27,16:50:00,2.8,2.8,2.773,2.773,1300,0
2015-01-27,16:55:00,2.777,2.777,2.777,2.777,1000,0
2015-01-27,17:00:00,2.78,2.8,2.76,2.774,14627,0
2015-01-27,17:05:00,2.77,2.79,2.77,2.7899,3139,0
2015-01-27,17:45:00,2.77,2.785,2.767,2.767,9100,0
2015-01-27,17:50:00,2.79,2.79,2.7654,2.7654,1100,0
2015-01-27,18:05:00,2.79,2.79,2.79,2.79,1000,0
2015-01-27,18:30:00,2.7601,2.79,2.7601,2.79,9300,0
2015-01-27,18:50:00,2.78,2.8,2.78,2.8,5900,0
2015-01-27,19:30:00,2.7735,2.8,2.7735,2.8,1100,0
2015-01-27,19:40:00,2.7701,2.8,2.7701,2.8,3700,0
2015-01-27,19:50:00,2.78,2.8,2.78,2.8,1800,0
2015-01-27,20:00:00,2.8,2.8,2.8,2.8,1600,0
2015-01-27,20:05:00,2.8,2.8,2.8,2.8,2200,0
2015-01-27,20:15:00,2.7962,2.8,2.7962,2.8,400,0
2015-01-27,20:45:00,2.8,2.8,2.793,2.8,249733,0
2015-01-27,20:50:00,2.8,2.84,2.8,2.84,1300,0
2015-01-27,21:15:00,2.8399,2.84,2.8399,2.84,975,0
2015-01-27,21:20:00,2.84,2.84,2.8399,2.8399,4900,0
2015-01-27,21:25:00,2.84,2.85,2.83,2.83,16300,0
2015-01-27,21:30:00,2.82,2.825,2.82,2.825,8680,0
2015-01-27,21:35:00,2.8182,2.82,2.8182,2.82,3375,0
2015-01-27,21:40:00,2.82,2.82,2.8165,2.819,600,0
2015-01-27,21:45:00,2.82,2.9,2.82,2.9,36053,0
2015-01-27,21:50:00,2.89,2.9,2.87,2.9,29839,0
2015-01-27,21:55:00,2.8901,2.9,2.89,2.89,12223,0
2015-01-27,22:00:00,2.8795,2.8899,2.85,2.8799,21175,0
2015-01-28,15:35:00,2.93,2.95,2.93,2.94,9975,0
2015-01-28,15:40:00,2.9401,2.95,2.939,2.95,9200,0
2015-01-28,15:45:00,2.92,2.92,2.92,2.92,1000,0
2015-01-28,15:50:00,2.9099,2.9099,2.88,2.9,3920,0
2015-01-28,15:55:00,2.89,2.925,2.89,2.9,4660,0
2015-01-28,16:05:00,2.9,2.93,2.9,2.9101,4280,0
2015-01-28,16:10:00,2.9101,2.925,2.91,2.91,8500,0
2015-01-28,16:15:00,2.9052,2.91,2.9052,2.91,1000,0
2015-01-28,16:20:00,2.91,3.0399,2.9099,2.9849,24696,0
2015-01-28,16:25:00,2.985,2.9899,2.9689,2.9899,6250,0
2015-01-28,16:40:00,2.95,2.96,2.95,2.96,1700,0
2015-01-28,16:45:00,2.98,2.98,2.97,2.97,2100,0
2015-01-28,16:50:00,2.9701,2.99,2.9701,2.99,3200,0
2015-01-28,16:55:00,2.99,2.99,2.99,2.99,2000,0
2015-01-28,17:00:00,2.98,3.0468,2.98,3.04,26100,0
2015-01-28,17:05:00,3.03,3.03,3.0,3.009,9360,0
2015-01-28,17:10:00,3.015,3.015,3.015,3.015,100,0
2015-01-28,17:15:00,3.03,3.05,3.02,3.05,4540,0
2015-01-28,17:20:00,3.05,3.13,3.05,3.05,32399,0
2015-01-28,17:25:00,3.05,3.062,3.02,3.04,10700,0
2015-01-28,17:30:00,3.0606,3.09,3.0606,3.08,1400,0
2015-01-28,17:35:00,3.09,3.09,3.04,3.08,11154,0
2015-01-28,17:40:00,3.075,3.075,3.03,3.045,19824,0
2015-01-28,17:45:00,3.04,3.04,3.04,3.04,288,0
2015-01-28,17:50:00,3.05,3.05,3.05,3.05,350,0
2015-01-28,17:55:00,3.049,3.049,3.049,3.049,1000,0
2015-01-28,18:00:00,3.05,3.05,3.05,3.05,165,0
2015-01-28,18:05:00,3.04,3.04,3.04,3.04,1800,0
2015-01-28,18:10:00,3.035,3.04,3.0,3.01,4500,0
2015-01-28,18:15:00,3.015,3.015,2.9899,2.99,5400,0
2015-01-28,18:20:00,3.0,3.001,3.0,3.0,2186,0
2015-01-28,18:25:00,3.0,3.02,3.0,3.011,900,0
2015-01-28,18:30:00,3.02,3.02,3.0101,3.011,1000,0
2015-01-28,18:35:00,3.011,3.011,3.01,3.01,500,0
2015-01-28,18:40:00,3.02,3.03,3.01,3.011,5700,0
2015-01-28,18:45:00,3.01,3.02,3.01,3.01,2566,0
2015-01-28,18:50:00,3.01,3.0101,3.01,3.01,600,0
2015-01-28,18:55:00,3.011,3.0299,3.011,3.02,2400,0
2015-01-28,19:00:00,3.02,3.03,3.02,3.03,1500,0
2015-01-28,19:05:00,3.0499,3.0499,3.02,3.02,2000,0
2015-01-28,19:10:00,3.034,3.04,3.02,3.021,4900,0
2015-01-28,19:15:00,3.0201,3.0201,3.02,3.02,600,0
2015-01-28,19:20:00,3.02,3.02,3.0,3.0,39097,0
2015-01-28,19:30:00,3.0,3.0,3.0,3.0,400,0
2015-01-28,19:40:00,3.0,3.0,3.0,3.0,8000,0
2015-01-28,19:50:00,2.9999,2.9999,2.9999,2.9999,1000,0
2015-01-28,19:55:00,3.0,3.04,3.0,3.02,10100,0
2015-01-28,20:00:00,3.03,3.03,3.0,3.0,18365,0
2015-01-28,20:05:00,3.0,3.01,3.0,3.01,3200,0
2015-01-28,20:10:00,3.0101,3.025,3.0101,3.0101,1200,0
