Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,21:25:00,13.45,13.49,13.45,13.46,2400,0
2015-01-30,21:30:00,13.46,13.49,13.46,13.49,1700,0
2015-01-30,21:35:00,13.48,13.49,13.47,13.49,2800,0
2015-01-30,21:40:00,13.49,13.51,13.48,13.51,6820,0
2015-01-30,21:45:00,13.52,13.52,13.46,13.46,4900,0
2015-01-30,21:50:00,13.48,13.53,13.47,13.48,12347,0
2015-01-30,21:55:00,13.4,13.48,13.37,13.42,23269,0
2015-01-30,22:00:00,13.42,13.5,13.39,13.48,70612,0
2015-02-02,15:35:00,13.57,13.59,13.48,13.48,2781,0
2015-02-02,15:40:00,13.44,13.48,13.35,13.39,2713,0
2015-02-02,15:45:00,13.45,13.49,13.32,13.43,4075,0
2015-02-02,15:50:00,13.395,13.49,13.395,13.44,1300,0
2015-02-02,15:55:00,13.42,13.46,13.39,13.43,2200,0
2015-02-02,16:00:00,13.42,13.56,13.42,13.43,5300,0
2015-02-02,16:05:00,13.4,13.47,13.378,13.47,2126,0
2015-02-02,16:10:00,13.4,13.45,13.4,13.45,2532,0
2015-02-02,16:15:00,13.52,13.52,13.52,13.52,100,0
2015-02-02,16:25:00,13.57,13.84,13.57,13.65,3200,0
2015-02-02,16:30:00,13.64,13.67,13.625,13.625,1200,0
2015-02-02,16:40:00,13.685,13.685,13.66,13.66,800,0
2015-02-02,16:45:00,13.66,13.66,13.57,13.57,1250,0
2015-02-02,16:50:00,13.62,13.62,13.51,13.51,1000,0
2015-02-02,16:55:00,13.58,13.65,13.53,13.6,2900,0
2015-02-02,17:00:00,13.65,13.65,13.54,13.58,1300,0
2015-02-02,17:05:00,13.55,13.55,13.5,13.5,700,0
2015-02-02,17:10:00,13.55,13.62,13.54,13.61,3300,0
2015-02-02,17:15:00,13.62,13.62,13.62,13.62,1000,0
2015-02-02,17:20:00,13.62,13.64,13.62,13.63,2000,0
2015-02-02,17:25:00,13.65,13.67,13.6,13.65,2400,0
2015-02-02,17:30:00,13.615,13.64,13.59,13.64,1600,0
2015-02-02,17:35:00,13.59,13.69,13.59,13.68,3000,0
2015-02-02,17:40:00,13.69,13.7,13.69,13.7,300,0
2015-02-02,17:45:00,13.7216,13.76,13.7,13.75,1800,0
2015-02-02,17:50:00,13.75,13.83,13.73,13.785,3700,0
2015-02-02,17:55:00,13.77,13.78,13.73,13.74,1500,0
2015-02-02,18:00:00,13.72,13.74,13.72,13.73,1200,0
2015-02-02,18:05:00,13.73,13.73,13.73,13.73,1200,0
2015-02-02,18:10:00,13.755,13.755,13.7,13.7,1100,0
2015-02-02,18:15:00,13.7,13.7508,13.65,13.74,3776,0
2015-02-02,18:20:00,13.75,13.75,13.715,13.725,1400,0
2015-02-02,18:25:00,13.71,13.7397,13.71,13.73,906,0
2015-02-02,18:30:00,13.71,13.71,13.66,13.66,1400,0
2015-02-02,18:35:00,13.67,13.789,13.67,13.789,1188,0
2015-02-02,18:40:00,13.75,13.77,13.75,13.75,2115,0
2015-02-02,18:45:00,13.77,13.85,13.77,13.85,300,0
2015-02-02,18:50:00,13.814,13.814,13.72,13.72,2500,0
2015-02-02,18:55:00,13.72,13.73,13.72,13.72,2300,0
2015-02-02,19:00:00,13.77,13.82,13.75,13.78,600,0
2015-02-02,19:05:00,13.78,13.78,13.715,13.75,2400,0
2015-02-02,19:10:00,13.87,13.87,13.87,13.87,100,0
2015-02-02,19:15:00,13.87,13.87,13.82,13.82,2200,0
2015-02-02,19:20:00,13.86,13.87,13.82,13.82,1200,0
2015-02-02,19:25:00,13.82,13.825,13.79,13.79,2300,0
2015-02-02,19:30:00,13.77,13.77,13.71,13.73,1200,0
2015-02-02,19:35:00,13.75,13.83,13.74,13.82,3100,0
2015-02-02,19:40:00,13.75,13.75,13.73,13.73,600,0
2015-02-02,19:45:00,13.71,13.71,13.63,13.68,600,0
2015-02-02,19:50:00,13.64,13.64,13.63,13.63,300,0
2015-02-02,19:55:00,13.64,13.649,13.53,13.53,1600,0
2015-02-02,20:00:00,13.51,13.51,13.48,13.49,2600,0
2015-02-02,20:05:00,13.505,13.55,13.505,13.55,1300,0
2015-02-02,20:10:00,13.57,13.57,13.54,13.54,1600,0
2015-02-02,20:15:00,13.54,13.54,13.54,13.54,600,0
2015-02-02,20:20:00,13.53,13.62,13.52,13.62,2500,0
2015-02-02,20:25:00,13.6,13.625,13.6,13.625,400,0
2015-02-02,20:30:00,13.61,13.61,13.6,13.61,2600,0
2015-02-02,20:35:00,13.62,13.64,13.6,13.64,5000,0
2015-02-02,20:40:00,13.64,13.64,13.639,13.64,1600,0
2015-02-02,20:45:00,13.64,13.65,13.64,13.64,700,0
2015-02-02,20:50:00,13.62,13.63,13.62,13.6275,1400,0
2015-02-02,20:55:00,13.61,13.63,13.61,13.63,3693,0
2015-02-02,21:00:00,13.63,13.63,13.63,13.63,400,0
2015-02-02,21:05:00,13.63,13.63,13.58,13.6,2956,0
2015-02-02,21:10:00,13.62,13.65,13.605,13.65,2700,0
2015-02-02,21:15:00,13.645,13.67,13.645,13.66,600,0
2015-02-02,21:20:00,13.665,13.665,13.64,13.65,1600,0
2015-02-02,21:25:00,13.65,13.7,13.64,13.69,2100,0
2015-02-02,21:30:00,13.7,13.77,13.68,13.76,3700,0
2015-02-02,21:35:00,13.76,13.82,13.76,13.79,5600,0
2015-02-02,21:40:00,13.79,13.84,13.78,13.83,5200,0
2015-02-02,21:45:00,13.84,13.95,13.84,13.93,6100,0
2015-02-02,21:50:00,13.93,13.94,13.92,13.93,2900,0
2015-02-02,21:55:00,13.93,14.01,13.91,14.0,21772,0
2015-02-02,22:00:00,14.01,14.05,13.98,13.98,28301,0
2015-02-03,15:35:00,14.1503,14.1503,14.1503,14.1503,200,0
2015-02-03,15:40:00,14.109,14.11,13.98,13.995,7200,0
2015-02-03,15:45:00,14.1,14.11,13.99,14.11,500,0
2015-02-03,15:50:00,14.1,14.2,14.1,14.13,3000,0
2015-02-03,15:55:00,14.18,14.28,14.13,14.28,3100,0
2015-02-03,16:00:00,14.3,14.44,14.283,14.315,2360,0
2015-02-03,16:05:00,14.315,14.52,14.315,14.52,2900,0
2015-02-03,16:10:00,14.51,14.53,14.37,14.47,3500,0
2015-02-03,16:15:00,14.41,14.41,14.335,14.39,500,0
2015-02-03,16:20:00,14.38,14.4,14.38,14.4,910,0
2015-02-03,16:25:00,14.38,14.39,14.38,14.39,1500,0
2015-02-03,16:30:00,14.47,14.47,14.395,14.43,1300,0
2015-02-03,16:35:00,14.4649,14.52,14.445,14.48,2400,0
2015-02-03,16:40:00,14.49,14.59,14.48,14.53,2175,0
2015-02-03,16:45:00,14.56,14.71,14.56,14.61,3403,0
2015-02-03,16:50:00,14.63,14.63,14.54,14.54,1000,0
2015-02-03,16:55:00,14.54,14.55,14.54,14.548,400,0
2015-02-03,17:00:00,14.54,14.549,14.51,14.51,700,0
2015-02-03,17:05:00,14.52,14.57,14.52,14.57,1770,0
2015-02-03,17:10:00,14.58,14.58,14.53,14.57,1900,0
2015-02-03,17:15:00,14.63,14.63,14.63,14.63,400,0
2015-02-03,17:20:00,14.71,14.72,14.64,14.69,4700,0
2015-02-03,17:25:00,14.61,14.63,14.59,14.63,2706,0
2015-02-03,17:30:00,14.63,14.75,14.63,14.75,5008,0
2015-02-03,17:35:00,14.74,14.75,14.72,14.74,1900,0
2015-02-03,17:40:00,14.72,14.73,14.63,14.63,3300,0
2015-02-03,17:45:00,14.63,14.63,14.58,14.58,1600,0
2015-02-03,17:50:00,14.5835,14.5835,14.53,14.53,2630,0
2015-02-03,17:55:00,14.5,14.5,14.41,14.44,800,0
2015-02-03,18:00:00,14.41,14.41,14.37,14.39,1000,0
2015-02-03,18:05:00,14.38,14.38,14.31,14.31,1200,0
2015-02-03,18:10:00,14.293,14.301,14.245,14.29,6814,0
2015-02-03,18:15:00,14.28,14.29,14.28,14.28,1100,0
2015-02-03,18:20:00,14.281,14.3,14.281,14.285,1500,0
2015-02-03,18:25:00,14.295,14.295,14.25,14.28,3600,0
2015-02-03,18:30:00,14.31,14.31,14.31,14.31,200,0
2015-02-03,18:35:00,14.32,14.35,14.32,14.32,2400,0
2015-02-03,18:40:00,14.35,14.4,14.35,14.4,1752,0
2015-02-03,18:45:00,14.38,14.46,14.38,14.46,1300,0
