Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-27,19:30:00,10.890,10.900,10.890,10.900,200,0
2015-01-27,19:35:00,10.9,10.9,10.88,10.88,300,0
2015-01-27,19:40:00,10.85,10.85,10.85,10.85,100,0
2015-01-27,19:50:00,10.85,10.85,10.85,10.85,500,0
2015-01-27,19:55:00,10.86,10.86,10.86,10.86,100,0
2015-01-27,20:10:00,10.845,10.845,10.845,10.845,100,0
2015-01-27,20:15:00,10.83,10.83,10.83,10.83,200,0
2015-01-27,20:25:00,10.86,10.86,10.845,10.845,300,0
2015-01-27,20:30:00,10.845,10.85,10.83,10.83,2800,0
2015-01-27,20:45:00,10.8,10.86,10.8,10.86,1700,0
2015-01-27,20:50:00,10.85,10.85,10.85,10.85,600,0
2015-01-27,20:55:00,10.85,10.85,10.85,10.85,662,0
2015-01-27,21:10:00,10.855,10.86,10.855,10.855,3200,0
2015-01-27,21:15:00,10.86,10.86,10.855,10.86,1400,0
2015-01-27,21:20:00,10.88,10.88,10.88,10.88,200,0
2015-01-27,21:25:00,10.85,10.86,10.85,10.86,1200,0
2015-01-27,21:30:00,10.8548,10.8548,10.85,10.85,1015,0
2015-01-27,21:35:00,10.86,10.86,10.86,10.86,400,0
2015-01-27,21:40:00,10.85,10.855,10.82,10.83,4821,0
2015-01-27,21:45:00,10.79,10.79,10.77,10.77,300,0
2015-01-27,21:50:00,10.77,10.77,10.77,10.77,100,0
2015-01-27,21:55:00,10.79,10.79,10.78,10.79,1200,0
2015-01-27,22:00:00,10.8,10.82,10.77,10.77,17200,0
2015-01-28,15:35:00,10.65,10.65,10.65,10.65,300,0
2015-01-28,15:40:00,10.78,10.78,10.78,10.78,700,0
2015-01-28,15:50:00,10.72,10.7301,10.72,10.7301,300,0
2015-01-28,15:55:00,10.68,10.68,10.67,10.67,1084,0
2015-01-28,16:00:00,10.675,10.68,10.65,10.68,300,0
2015-01-28,16:05:00,10.59,10.65,10.59,10.65,600,0
2015-01-28,16:10:00,10.65,10.65,10.65,10.65,100,0
2015-01-28,16:15:00,10.6,10.66,10.6,10.66,400,0
2015-01-28,16:20:00,10.68,10.68,10.68,10.68,100,0
2015-01-28,16:25:00,10.65,10.68,10.65,10.68,400,0
2015-01-28,16:30:00,10.65,10.68,10.65,10.67,1568,0
2015-01-28,16:35:00,10.68,10.68,10.68,10.68,100,0
2015-01-28,16:40:00,10.62,10.65,10.5847,10.6,2516,0
2015-01-28,16:45:00,10.58,10.62,10.58,10.62,300,0
2015-01-28,16:50:00,10.595,10.61,10.595,10.61,300,0
2015-01-28,16:55:00,10.6,10.6,10.6,10.6,800,0
2015-01-28,17:00:00,10.57,10.6,10.57,10.6,2600,0
2015-01-28,17:05:00,10.65,10.69,10.65,10.69,300,0
2015-01-28,17:10:00,10.69,10.69,10.69,10.69,100,0
2015-01-28,17:15:00,10.72,10.76,10.7,10.74,2700,0
2015-01-28,17:20:00,10.755,10.77,10.74,10.77,900,0
2015-01-28,17:25:00,10.75,10.75,10.72,10.72,2500,0
2015-01-28,17:30:00,10.66,10.66,10.66,10.66,100,0
2015-01-28,17:35:00,10.69,10.7,10.6801,10.6801,300,0
2015-01-28,17:40:00,10.69,10.73,10.69,10.73,200,0
2015-01-28,17:45:00,10.73,10.76,10.73,10.76,300,0
2015-01-28,17:50:00,10.73,10.73,10.73,10.73,100,0
2015-01-28,17:55:00,10.73,10.77,10.73,10.74,300,0
2015-01-28,18:00:00,10.77,10.77,10.77,10.77,100,0
2015-01-28,18:05:00,10.74,10.74,10.74,10.74,100,0
2015-01-28,18:10:00,10.74,10.74,10.74,10.74,100,0
2015-01-28,18:15:00,10.775,10.775,10.775,10.775,100,0
2015-01-28,18:20:00,10.75,10.7501,10.72,10.73,1140,0
2015-01-28,18:25:00,10.72,10.72,10.72,10.72,100,0
2015-01-28,18:30:00,10.73,10.74,10.73,10.74,400,0
2015-01-28,18:45:00,10.75,10.75,10.74,10.74,200,0
2015-01-28,18:50:00,10.765,10.77,10.765,10.77,300,0
2015-01-28,18:55:00,10.76,10.775,10.76,10.775,300,0
2015-01-28,19:00:00,10.76,10.775,10.75,10.75,1400,0
2015-01-28,19:05:00,10.75,10.755,10.75,10.755,300,0
2015-01-28,19:10:00,10.74,10.755,10.74,10.75,400,0
2015-01-28,19:15:00,10.74,10.74,10.74,10.74,200,0
2015-01-28,19:25:00,10.73,10.73,10.73,10.73,100,0
2015-01-28,19:30:00,10.73,10.74,10.73,10.74,600,0
2015-01-28,19:40:00,10.72,10.72,10.72,10.72,100,0
2015-01-28,19:45:00,10.72,10.72,10.72,10.72,100,0
2015-01-28,19:50:00,10.72,10.74,10.72,10.74,400,0
2015-01-28,20:00:00,10.73,10.765,10.73,10.765,900,0
2015-01-28,20:05:00,10.73,10.73,10.73,10.73,200,0
2015-01-28,20:10:00,10.73,10.75,10.73,10.75,1000,0
2015-01-28,20:15:00,10.72,10.75,10.72,10.75,700,0
2015-01-28,20:20:00,10.73,10.75,10.73,10.75,300,0
2015-01-28,20:25:00,10.73,10.76,10.73,10.76,500,0
2015-01-28,20:30:00,10.73,10.74,10.72,10.74,1300,0
2015-01-28,20:35:00,10.72,10.72,10.69,10.69,3400,0
2015-01-28,20:40:00,10.675,10.675,10.675,10.675,300,0
2015-01-28,20:50:00,10.675,10.675,10.675,10.675,200,0
2015-01-28,20:55:00,10.69,10.72,10.69,10.72,300,0
2015-01-28,21:00:00,10.705,10.705,10.69,10.69,1700,0
2015-01-28,21:05:00,10.675,10.675,10.675,10.675,100,0
