Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-05-28,21:40:00,22.992,22.992,22.992,22.992,651,0
2014-05-28,21:55:00,22.992,22.992,22.992,22.992,101,0
2014-05-29,15:40:00,22.832,22.834,22.832,22.832,2418,0
2014-05-29,15:45:00,22.832,22.872,22.832,22.842,11993,0
2014-05-29,15:50:00,22.842,22.842,22.842,22.842,202,0
2014-05-29,15:55:00,22.842,22.842,22.832,22.832,3024,0
2014-05-29,16:05:00,22.832,22.832,22.823,22.823,1814,0
2014-05-29,16:10:00,22.823,22.942,22.773,22.773,3124,0
2014-05-29,16:15:00,22.793,22.813,22.763,22.763,4333,0
2014-05-29,16:20:00,22.763,22.763,22.753,22.753,1411,0
2014-06-04,15:35:00,22.852,22.852,22.852,22.852,595,0
2014-06-05,18:30:00,22.881,22.881,22.881,22.881,403,0
2014-06-05,21:30:00,22.892,22.892,22.891,22.891,706,0
2014-06-06,18:10:00,23.02,23.02,23.019,23.02,1209,0
2014-06-06,18:20:00,22.902,22.902,22.902,22.902,504,0
2014-06-06,20:40:00,22.882,22.892,22.882,22.892,1209,0
2014-06-06,20:45:00,22.981,22.981,22.981,22.981,1008,0
2014-06-09,16:35:00,22.842,22.842,22.842,22.842,1008,0
2014-06-09,16:40:00,22.723,22.723,22.723,22.723,303,0
2014-06-09,20:20:00,22.753,22.753,22.753,22.753,403,0
2014-06-10,15:35:00,22.942,22.942,22.942,22.942,1209,0
2014-06-10,16:05:00,22.922,22.932,22.922,22.932,706,0
2014-06-10,16:15:00,22.922,22.932,22.922,22.932,706,0
2014-06-10,17:35:00,23.02,23.02,23.02,23.02,872,0
2014-06-10,17:45:00,23.012,23.08,23.012,23.08,1008,0
2014-06-10,19:20:00,23.002,23.002,23.002,23.002,453,0
2014-06-10,21:20:00,22.973,22.973,22.973,22.973,403,0
2014-06-13,20:25:00,22.753,22.753,22.753,22.753,500,0
2014-06-13,20:30:00,22.753,22.823,22.753,22.823,1210,0
2014-06-13,20:35:00,22.803,22.803,22.773,22.773,2820,0
2014-06-16,19:10:00,22.824,22.824,22.824,22.824,101,0
