Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-22,15:40:00,8.14,8.14,8.02,8.02,3300,0
2015-01-22,15:45:00,8.0,8.0,8.0,8.0,4500,0
2015-01-22,15:50:00,7.94,7.94,7.88,7.92,2846,0
2015-01-22,16:05:00,8.06,8.1,8.05,8.1,700,0
2015-01-22,16:10:00,8.1,8.11,8.09,8.11,4419,0
2015-01-22,16:15:00,8.15,8.15,8.15,8.15,100,0
2015-01-22,16:25:00,8.22,8.22,8.22,8.22,100,0
2015-01-22,16:30:00,8.24,8.25,8.24,8.25,200,0
2015-01-22,16:55:00,8.24,8.24,8.24,8.24,1100,0
2015-01-22,17:00:00,8.24,8.27,8.24,8.26,700,0
2015-01-22,17:05:00,8.285,8.285,8.26,8.28,3000,0
2015-01-22,17:10:00,8.28,8.28,8.28,8.28,700,0
2015-01-22,17:15:00,8.28,8.28,8.28,8.28,400,0
2015-01-22,17:20:00,8.25,8.27,8.25,8.27,900,0
2015-01-22,17:25:00,8.27,8.32,8.27,8.29,1500,0
2015-01-22,17:35:00,8.33,8.33,8.33,8.33,600,0
2015-01-22,17:55:00,8.27,8.305,8.2405,8.293,5700,0
2015-01-22,18:05:00,8.35,8.35,8.31,8.32,700,0
2015-01-22,18:10:00,8.36,8.36,8.36,8.36,100,0
2015-01-22,18:15:00,8.33,8.33,8.33,8.33,100,0
2015-01-22,18:20:00,8.37,8.37,8.37,8.37,100,0
2015-01-22,18:30:00,8.38,8.38,8.38,8.38,100,0
2015-01-22,18:35:00,8.33,8.33,8.33,8.33,100,0
2015-01-22,18:40:00,8.34,8.34,8.34,8.34,100,0
2015-01-22,18:55:00,8.367,8.39,8.355,8.39,1900,0
2015-01-22,19:20:00,8.39,8.39,8.36,8.36,310,0
2015-01-22,19:25:00,8.36,8.39,8.36,8.39,200,0
2015-01-22,19:30:00,8.366,8.549,8.35,8.549,32356,0
2015-01-22,19:35:00,8.56,8.56,8.56,8.56,200,0
2015-01-22,19:40:00,8.57,8.61,8.55,8.61,1000,0
2015-01-22,19:45:00,8.61,8.67,8.61,8.61,1300,0
2015-01-22,19:50:00,8.66,8.66,8.66,8.66,200,0
2015-01-22,19:55:00,8.62,8.669,8.62,8.669,2700,0
2015-01-22,20:05:00,8.66,8.73,8.66,8.73,500,0
2015-01-22,20:10:00,8.73,8.73,8.66,8.66,500,0
2015-01-22,20:15:00,8.59,8.6,8.59,8.6,800,0
2015-01-22,20:20:00,8.62,8.66,8.62,8.66,400,0
2015-01-22,20:25:00,8.69,8.71,8.69,8.71,700,0
2015-01-22,20:35:00,8.66,8.66,8.66,8.66,400,0
2015-01-22,20:40:00,8.69,8.69,8.67,8.67,200,0
2015-01-22,20:45:00,8.7,8.7,8.66,8.66,300,0
2015-01-22,20:50:00,8.66,8.68,8.66,8.68,200,0
2015-01-22,20:55:00,8.67,8.71,8.67,8.7,800,0
2015-01-22,21:05:00,8.66,8.67,8.66,8.67,400,0
2015-01-22,21:10:00,8.67,8.69,8.66,8.67,3200,0
2015-01-22,21:15:00,8.65,8.67,8.65,8.65,1600,0
2015-01-22,21:25:00,8.65,8.65,8.65,8.65,300,0
2015-01-22,21:30:00,8.66,8.67,8.66,8.67,1800,0
2015-01-22,21:35:00,8.67,8.67,8.66,8.67,5600,0
2015-01-22,21:45:00,8.65,8.66,8.65,8.65,800,0
2015-01-22,21:50:00,8.65,8.65,8.65,8.65,900,0
2015-01-22,21:55:00,8.68,8.68,8.65,8.65,2700,0
2015-01-22,22:00:00,8.65,8.68,8.61,8.67,7940,0
2015-01-23,15:35:00,8.74,8.74,8.74,8.74,1467,0
2015-01-23,15:40:00,8.705,8.705,8.705,8.705,200,0
2015-01-23,15:45:00,8.68,8.68,8.68,8.68,300,0
2015-01-23,15:55:00,8.66,8.66,8.5801,8.5801,3200,0
2015-01-23,16:00:00,8.5601,8.5601,8.5601,8.5601,1700,0
2015-01-23,16:10:00,8.66,8.66,8.6,8.6,4100,0
2015-01-23,16:15:00,8.6,8.6,8.5,8.52,5995,0
2015-01-23,16:25:00,8.51,8.51,8.47,8.47,687,0
2015-01-23,16:45:00,8.41,8.41,8.39,8.39,600,0
2015-01-23,16:50:00,8.39,8.39,8.39,8.39,100,0
2015-01-23,16:55:00,8.38,8.38,8.38,8.38,1960,0
2015-01-23,17:00:00,8.4,8.4,8.4,8.4,400,0
2015-01-23,17:10:00,8.43,8.46,8.43,8.46,1422,0
2015-01-23,17:15:00,8.45,8.45,8.45,8.45,115,0
2015-01-23,17:20:00,8.475,8.515,8.475,8.515,2537,0
2015-01-23,17:25:00,8.57,8.57,8.57,8.57,200,0
2015-01-23,17:45:00,8.62,8.63,8.6,8.6,700,0
2015-01-23,17:55:00,8.56,8.56,8.56,8.56,100,0
2015-01-23,18:10:00,8.56,8.56,8.55,8.55,300,0
2015-01-23,18:15:00,8.56,8.59,8.55,8.56,3338,0
2015-01-23,18:30:00,8.51,8.51,8.49,8.49,200,0
2015-01-23,18:55:00,8.51,8.5101,8.51,8.51,600,0
2015-01-23,19:05:00,8.47,8.47,8.46,8.46,200,0
2015-01-23,19:20:00,8.45,8.45,8.45,8.45,100,0
2015-01-23,19:30:00,8.42,8.42,8.402,8.402,960,0
2015-01-23,19:40:00,8.39,8.39,8.34,8.34,300,0
2015-01-23,19:45:00,8.37,8.39,8.37,8.39,300,0
2015-01-23,19:50:00,8.45,8.45,8.45,8.45,100,0
2015-01-23,19:55:00,8.42,8.42,8.39,8.39,200,0
2015-01-23,20:05:00,8.43,8.43,8.43,8.43,100,0
2015-01-23,20:10:00,8.44,8.44,8.44,8.44,100,0
2015-01-23,20:15:00,8.405,8.405,8.38,8.38,400,0
2015-01-23,20:25:00,8.39,8.39,8.38,8.38,600,0
2015-01-23,20:50:00,8.38,8.38,8.38,8.38,1000,0
2015-01-23,21:05:00,8.41,8.41,8.41,8.41,200,0
2015-01-23,21:30:00,8.4,8.42,8.4,8.42,400,0
2015-01-23,21:40:00,8.451,8.46,8.42,8.46,600,0
2015-01-23,21:45:00,8.47,8.47,8.47,8.47,300,0
2015-01-23,21:50:00,8.51,8.54,8.48,8.5,1200,0
2015-01-23,21:55:00,8.54,8.57,8.53,8.56,900,0
2015-01-23,22:00:00,8.53,8.53,8.47,8.49,4337,0
2015-01-26,15:35:00,8.5,8.5,8.5,8.5,300,0
2015-01-26,15:40:00,8.53,8.53,8.51,8.51,500,0
2015-01-26,15:45:00,8.52,8.52,8.52,8.52,400,0
2015-01-26,15:50:00,8.46,8.46,8.46,8.46,100,0
2015-01-26,15:55:00,8.43,8.48,8.43,8.48,700,0
2015-01-26,16:00:00,8.5,8.52,8.5,8.52,400,0
2015-01-26,16:05:00,8.54,8.54,8.54,8.54,100,0
2015-01-26,16:25:00,8.57,8.57,8.57,8.57,100,0
2015-01-26,16:30:00,8.55,8.55,8.55,8.55,200,0
2015-01-26,16:40:00,8.55,8.55,8.55,8.55,100,0
2015-01-26,16:45:00,8.54,8.54,8.54,8.54,400,0
2015-01-26,16:50:00,8.54,8.54,8.54,8.54,100,0
2015-01-26,17:00:00,8.59,8.59,8.59,8.59,100,0
2015-01-26,17:25:00,8.54,8.54,8.54,8.54,100,0
2015-01-26,17:30:00,8.51,8.51,8.51,8.51,100,0
2015-01-26,17:50:00,8.5,8.51,8.5,8.51,200,0
2015-01-26,18:00:00,8.46,8.46,8.46,8.46,100,0
2015-01-26,18:10:00,8.49,8.49,8.49,8.49,700,0
2015-01-26,18:15:00,8.45,8.45,8.45,8.45,100,0
2015-01-26,18:30:00,8.45,8.45,8.45,8.45,100,0
2015-01-26,18:40:00,8.4575,8.48,8.4575,8.48,2800,0
