Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:40:00,7.97,8.00,7.97,8.00,16292,0
2015-02-02,21:45:00,7.99,8.01,7.98,7.99,53491,0
2015-02-02,21:50:00,7.995,8.009,7.995,8.0,34118,0
2015-02-02,21:55:00,8.0,8.01,8.0,8.0,15004,0
2015-02-02,22:00:00,8.0,8.01,7.96,7.97,66411,0
2015-02-03,15:35:00,8.04,8.05,7.8934,8.01,39456,0
2015-02-03,15:40:00,8.0,8.07,8.0,8.02,20100,0
2015-02-03,15:45:00,8.03,8.03,8.01,8.01,2700,0
2015-02-03,15:50:00,8.04,8.04,8.0,8.02,12900,0
2015-02-03,15:55:00,8.02,8.02,7.99,7.997,7736,0
2015-02-03,16:00:00,8.0,8.01,7.981,8.01,10331,0
2015-02-03,16:05:00,8.04,8.06,8.04,8.04,3600,0
2015-02-03,16:10:00,8.03,8.03,8.025,8.03,3924,0
2015-02-03,16:15:00,8.03,8.05,8.03,8.04,4352,0
2015-02-03,16:20:00,8.04,8.04,8.01,8.01,8853,0
2015-02-03,16:25:00,8.01,8.03,8.01,8.01,5500,0
2015-02-03,16:30:00,8.01,8.03,8.01,8.02,12800,0
2015-02-03,16:35:00,8.02,8.02,8.01,8.02,4800,0
2015-02-03,16:40:00,8.015,8.015,8.0,8.01,3600,0
2015-02-03,16:45:00,8.01,8.01,7.985,7.99,11197,0
2015-02-03,16:50:00,8.0,8.0,7.98,7.98,3300,0
2015-02-03,16:55:00,7.97,7.99,7.97,7.99,1600,0
2015-02-03,17:00:00,7.99,7.99,7.97,7.97,1800,0
2015-02-03,17:05:00,7.9699,7.99,7.9699,7.99,2000,0
2015-02-03,17:10:00,7.98,7.98,7.97,7.98,8064,0
2015-02-03,17:15:00,7.975,7.98,7.95,7.95,5284,0
2015-02-03,17:20:00,7.96,7.97,7.95,7.97,5500,0
2015-02-03,17:25:00,7.96,7.9601,7.953,7.96,2525,0
2015-02-03,17:30:00,7.97,7.97,7.96,7.96,1400,0
2015-02-03,17:35:00,7.96,7.96,7.96,7.96,900,0
2015-02-03,17:40:00,7.95,7.96,7.95,7.96,1506,0
2015-02-03,17:45:00,7.97,7.97,7.97,7.97,800,0
2015-02-03,17:50:00,7.98,7.98,7.97,7.97,2900,0
2015-02-03,17:55:00,7.97,7.97,7.97,7.97,1500,0
2015-02-03,18:00:00,7.965,7.98,7.965,7.98,1248,0
