Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-09-05,20:10:00,1.6300,1.6500,1.6100,1.6500,900,0
2014-09-05,20:15:00,1.62,1.65,1.58,1.65,5500,0
2014-09-05,20:25:00,1.65,1.6614,1.65,1.6614,5100,0
2014-09-05,20:30:00,1.66,1.68,1.66,1.68,400,0
2014-09-05,21:15:00,1.63,1.63,1.63,1.63,100,0
2014-09-05,21:55:00,1.6,1.6,1.6,1.6,100,0
2014-09-05,22:00:00,1.601,1.601,1.57,1.57,3800,0
2014-09-08,15:50:00,1.5424,1.5424,1.5424,1.5424,109,0
2014-09-08,16:05:00,1.5601,1.5601,1.5601,1.5601,100,0
2014-09-08,16:10:00,1.627,1.627,1.627,1.627,200,0
2014-09-08,16:45:00,1.58,1.58,1.58,1.58,100,0
2014-09-08,16:55:00,1.6015,1.6015,1.6015,1.6015,222,0
2014-09-08,17:55:00,1.57,1.57,1.57,1.57,100,0
2014-09-08,18:20:00,1.583,1.583,1.583,1.583,500,0
2014-09-08,20:25:00,1.6,1.6,1.6,1.6,200,0
2014-09-09,15:35:00,1.648,1.648,1.64,1.64,3200,0
2014-09-09,15:55:00,1.64,1.64,1.6397,1.6397,1000,0
2014-09-09,16:10:00,1.621,1.621,1.6,1.6,774,0
2014-09-09,17:05:00,1.58,1.58,1.58,1.58,100,0
2014-09-09,17:20:00,1.53,1.53,1.53,1.53,900,0
2014-09-09,18:00:00,1.559,1.559,1.55,1.55,4400,0
2014-09-09,18:25:00,1.57,1.57,1.57,1.57,200,0
2014-09-09,20:30:00,1.568,1.568,1.568,1.568,100,0
2014-09-09,21:05:00,1.55,1.55,1.55,1.55,500,0
2014-09-10,15:40:00,1.568,1.568,1.568,1.568,1054,0
2014-09-10,16:30:00,1.57,1.608,1.53,1.596,6300,0
2014-09-10,17:35:00,1.55,1.55,1.55,1.55,300,0
2014-09-10,19:05:00,1.56,1.56,1.56,1.56,150,0
2014-09-10,19:20:00,1.57,1.57,1.54,1.543,4609,0
2014-09-10,21:00:00,1.63,1.63,1.63,1.63,200,0
2014-09-10,21:10:00,1.57,1.57,1.57,1.57,100,0
2014-09-10,21:40:00,1.57,1.57,1.57,1.57,1000,0
2014-09-10,22:00:00,1.57,1.57,1.57,1.57,500,0
2014-09-11,16:10:00,1.5301,1.5301,1.5301,1.5301,700,0
2014-09-11,16:25:00,1.585,1.585,1.585,1.585,3000,0
2014-09-11,17:35:00,1.56,1.56,1.56,1.56,100,0
2014-09-11,18:55:00,1.57,1.57,1.56,1.56,1200,0
2014-09-11,19:30:00,1.56,1.56,1.56,1.56,100,0
2014-09-11,19:35:00,1.54,1.54,1.54,1.54,100,0
2014-09-11,21:10:00,1.586,1.586,1.586,1.586,126,0
2014-09-11,21:45:00,1.55,1.553,1.54,1.553,2300,0
2014-09-11,22:00:00,1.55,1.554,1.5,1.51,10569,0
2014-09-12,15:40:00,1.52,1.5201,1.52,1.5201,22800,0
2014-09-12,17:30:00,1.5435,1.5435,1.5435,1.5435,200,0
2014-09-12,18:05:00,1.56,1.57,1.55,1.57,3452,0
2014-09-12,18:30:00,1.57,1.57,1.57,1.57,100,0
2014-09-12,18:35:00,1.57,1.57,1.53,1.53,20896,0
2014-09-12,19:10:00,1.55,1.55,1.55,1.55,300,0
2014-09-12,19:30:00,1.54,1.54,1.52,1.5275,3856,0
2014-09-12,20:20:00,1.5201,1.5201,1.52,1.5201,7698,0
2014-09-12,21:15:00,1.51,1.51,1.51,1.51,700,0
2014-09-12,21:30:00,1.47,1.47,1.465,1.465,2800,0
2014-09-12,22:00:00,1.4701,1.4701,1.4701,1.4701,300,0
2014-09-15,16:00:00,1.53,1.71,1.53,1.71,23138,0
2014-09-15,16:05:00,1.49,1.49,1.49,1.49,100,0
2014-09-15,16:25:00,1.62,1.62,1.52,1.52,4600,0
2014-09-15,17:45:00,1.51,1.51,1.51,1.51,300,0
2014-09-15,18:15:00,1.5499,1.5499,1.5499,1.5499,4980,0
2014-09-15,18:30:00,1.54,1.54,1.52,1.52,1100,0
2014-09-15,18:35:00,1.52,1.52,1.5,1.5,7556,0
2014-09-15,18:55:00,1.51,1.52,1.51,1.52,300,0
2014-09-15,19:30:00,1.5221,1.5221,1.5221,1.5221,2000,0
2014-09-15,19:40:00,1.55,1.55,1.55,1.55,2365,0
2014-09-15,19:50:00,1.55,1.55,1.55,1.55,6400,0
2014-09-15,20:10:00,1.55,1.55,1.55,1.55,400,0
2014-09-15,20:15:00,1.55,1.55,1.55,1.55,2530,0
2014-09-15,20:35:00,1.56,1.56,1.56,1.56,1770,0
2014-09-15,21:40:00,1.54,1.54,1.53,1.53,500,0
2014-09-15,21:55:00,1.53,1.53,1.53,1.53,600,0
2014-09-16,15:35:00,1.56,1.56,1.5001,1.5001,3400,0
2014-09-16,15:50:00,1.51,1.51,1.51,1.51,100,0
2014-09-16,16:00:00,1.5,1.5,1.45,1.45,8500,0
2014-09-16,16:30:00,1.47,1.47,1.47,1.47,4000,0
2014-09-16,16:40:00,1.56,1.6,1.52,1.52,5850,0
2014-09-16,16:45:00,1.55,1.55,1.55,1.55,200,0
2014-09-16,19:35:00,1.57,1.57,1.57,1.57,100,0
2014-09-16,19:40:00,1.4944,1.4944,1.4944,1.4944,100,0
2014-09-16,19:45:00,1.489,1.489,1.489,1.489,2100,0
2014-09-16,20:45:00,1.56,1.57,1.56,1.57,300,0
2014-09-16,21:40:00,1.535,1.56,1.51,1.51,14000,0
2014-09-16,22:00:00,1.52,1.52,1.51,1.51,1410,0
2014-09-17,18:15:00,1.49,1.49,1.49,1.49,400,0
2014-09-17,21:55:00,1.53,1.53,1.53,1.53,100,0
2014-09-17,22:00:00,1.5,1.5,1.5,1.5,100,0
2014-09-18,15:35:00,1.49,1.49,1.49,1.49,250,0
2014-09-18,17:15:00,1.494,1.494,1.494,1.494,200,0
2014-09-18,17:20:00,1.53,1.53,1.53,1.53,900,0
2014-09-18,17:25:00,1.5,1.5001,1.47,1.47,5500,0
2014-09-18,17:30:00,1.47,1.47,1.46,1.47,1700,0
2014-09-18,17:35:00,1.47,1.47,1.47,1.47,1675,0
2014-09-18,17:40:00,1.47,1.47,1.45,1.45,4681,0
2014-09-18,18:25:00,1.5105,1.5105,1.5105,1.5105,100,0
2014-09-18,18:40:00,1.4707,1.4707,1.4707,1.4707,600,0
2014-09-18,19:00:00,1.5199,1.5199,1.5199,1.5199,200,0
2014-09-18,19:50:00,1.49,1.49,1.49,1.49,500,0
2014-09-18,21:50:00,1.48,1.48,1.48,1.48,100,0
2014-09-18,22:00:00,1.48,1.48,1.46,1.46,3800,0
2014-09-19,15:50:00,1.48,1.48,1.47,1.47,200,0
2014-09-19,15:55:00,1.47,1.47,1.47,1.47,100,0
2014-09-19,16:00:00,1.46,1.46,1.46,1.46,100,0
2014-09-19,16:10:00,1.47,1.47,1.47,1.47,300,0
2014-09-19,16:30:00,1.467,1.467,1.467,1.467,500,0
2014-09-19,16:35:00,1.48,1.48,1.48,1.48,1500,0
2014-09-19,16:55:00,1.4799,1.4799,1.46,1.46,2200,0
2014-09-19,17:20:00,1.4599,1.4599,1.4599,1.4599,500,0
