Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,78.46,78.60,78.28,78.53,80508,0
2015-02-03,16:55:00,78.53,78.8425,78.5,78.8425,60063,0
2015-02-03,17:00:00,78.86,78.98,78.84,78.94,29394,0
2015-02-03,17:05:00,78.94,79.01,78.84,78.99,46908,0
2015-02-03,17:10:00,78.95,78.95,78.78,78.85,26450,0
2015-02-03,17:15:00,78.89,79.04,78.84,78.98,30312,0
2015-02-03,17:20:00,79.01,79.03,78.88,78.94,42799,0
2015-02-03,17:25:00,78.94,78.96,78.87,78.9,66036,0
2015-02-03,17:30:00,78.915,78.94,78.83,78.9,42150,0
2015-02-03,17:35:00,78.9,79.0,78.78,78.82,30946,0
2015-02-03,17:40:00,78.83,79.0,78.79,78.91,28950,0
2015-02-03,17:45:00,78.9,79.0,78.825,79.0,30700,0
2015-02-03,17:50:00,78.98,78.99,78.84,78.84,31000,0
2015-02-03,17:55:00,78.83,78.83,78.5,78.5,46014,0
2015-02-03,18:00:00,78.5,78.6,78.5,78.58,24550,0
2015-02-03,18:05:00,78.57,78.6,78.43,78.5,31007,0
2015-02-03,18:10:00,78.53,78.8,78.53,78.69,82100,0
2015-02-03,18:15:00,78.69,78.7,78.56,78.59,46853,0
2015-02-03,18:20:00,78.57,78.74,78.56,78.69,17100,0
2015-02-03,18:25:00,78.68,78.69,78.6,78.6,24700,0
2015-02-03,18:30:00,78.61,78.64,78.52,78.57,19570,0
2015-02-03,18:35:00,78.55,78.58,78.48,78.52,37640,0
2015-02-03,18:40:00,78.53,78.635,78.52,78.595,18583,0
2015-02-03,18:45:00,78.595,78.845,78.56,78.82,23350,0
2015-02-03,18:50:00,78.82,78.91,78.8,78.85,17100,0
2015-02-03,18:55:00,78.85,78.85,78.74,78.75,20500,0
2015-02-03,19:00:00,78.74,78.84,78.65,78.655,33146,0
2015-02-03,19:05:00,78.655,78.66,78.55,78.66,38917,0
2015-02-03,19:10:00,78.645,78.65,78.51,78.52,33505,0
2015-02-03,19:15:00,78.53,78.68,78.48,78.68,39357,0
2015-02-03,19:20:00,78.68,78.71,78.53,78.58,32900,0
2015-02-03,19:25:00,78.58,78.77,78.58,78.76,30800,0
2015-02-03,19:30:00,78.77,78.86,78.74,78.76,35127,0
2015-02-03,19:35:00,78.76,78.94,78.74,78.922,42136,0
2015-02-03,19:40:00,78.93,78.96,78.88,78.9,27000,0
