Date,Time,Open,High,Low,Close,Volume,OpenInt
2013-08-05,18:40:00,49.525,49.525,49.525,49.525,102,0
2013-08-05,18:40:00,49.524,49.524,49.524,49.524,102,0
2013-08-07,17:05:00,48.978,48.978,48.971,48.971,307,0
2013-08-09,18:40:00,49.348,49.348,49.341,49.341,1439,0
2013-08-09,19:20:00,49.368,49.368,49.368,49.368,307,0
2013-08-09,19:40:00,49.397,49.397,49.397,49.397,102,0
2013-08-09,20:05:00,49.387,49.387,49.387,49.387,102,0
2013-08-09,20:30:00,49.368,49.368,49.368,49.368,206,0
2013-08-09,20:40:00,49.318,49.318,49.318,49.318,102,0
2013-08-09,20:45:00,49.318,49.318,49.318,49.318,102,0
2013-08-09,21:05:00,49.338,49.338,49.338,49.338,102,0
2013-08-09,21:20:00,49.318,49.318,49.318,49.318,102,0
2013-08-09,21:30:00,49.309,49.309,49.309,49.309,102,0
2013-08-09,21:35:00,49.28,49.28,49.28,49.28,102,0
2013-08-09,21:45:00,49.309,49.309,49.309,49.309,102,0
2013-08-09,21:55:00,49.27,49.27,49.27,49.27,102,0
2013-08-13,17:45:00,49.146,49.146,49.146,49.146,102,0
2013-08-20,17:10:00,48.101,48.101,48.101,48.101,1026,0
2013-08-21,15:50:00,48.043,48.043,48.043,48.043,206,0
2013-08-22,17:40:00,47.984,47.984,47.984,47.984,485,0
2013-08-23,22:00:00,48.403,48.403,48.403,48.403,513,0
2013-08-27,21:15:00,47.477,47.477,47.477,47.477,102,0
2013-08-27,21:55:00,47.469,47.469,47.449,47.45,11601,0
2013-08-30,21:10:00,47.419,47.419,47.419,47.419,206,0
2013-09-04,20:55:00,47.964,47.964,47.964,47.964,673,0
2013-09-05,22:00:00,48.014,48.014,48.014,48.014,2463,0
2013-09-17,18:10:00,49.27,49.27,49.27,49.27,206,0
2013-09-18,16:35:00,49.163,49.212,49.153,49.192,2976,0
2013-09-18,16:40:00,49.153,49.212,49.153,49.202,4312,0
2013-09-18,16:50:00,49.183,49.183,49.133,49.183,1233,0
2013-09-18,16:55:00,49.153,49.202,49.153,49.202,2463,0
2013-09-18,17:05:00,49.163,49.202,49.143,49.153,5749,0
2013-09-18,17:10:00,49.153,49.173,49.133,49.173,2874,0
2013-09-18,18:05:00,49.124,49.129,49.068,49.068,4312,0
2013-09-18,19:20:00,49.153,49.173,49.153,49.173,1539,0
2013-09-18,19:25:00,49.173,49.202,49.143,49.202,5095,0
2013-09-18,19:30:00,49.202,49.242,49.124,49.202,6198,0
2013-09-18,19:35:00,49.202,49.202,49.133,49.153,2668,0
2013-09-18,19:40:00,49.173,49.202,49.114,49.114,3594,0
2013-09-18,21:35:00,49.719,49.747,49.719,49.747,616,0
2013-09-18,21:50:00,49.767,49.767,49.729,49.729,206,0
2013-09-19,16:00:00,49.838,49.838,49.815,49.838,1848,0
2013-09-19,17:05:00,49.835,49.884,49.835,49.884,206,0
2013-09-19,19:40:00,49.66,49.719,49.66,49.719,206,0
2013-09-19,21:25:00,49.767,49.805,49.767,49.796,2566,0
2013-09-19,21:30:00,49.835,49.835,49.825,49.835,3389,0
2013-09-19,21:35:00,49.835,49.835,49.825,49.825,3079,0
2013-09-19,21:40:00,49.825,49.825,49.815,49.825,3079,0
2013-09-19,21:45:00,49.835,49.835,49.825,49.835,3079,0
2013-09-19,21:50:00,49.835,49.835,49.815,49.815,3389,0
2013-09-19,21:55:00,49.815,49.825,49.796,49.796,3389,0
2013-09-19,22:00:00,49.787,49.845,49.787,49.845,2668,0
2013-09-24,18:00:00,49.294,49.294,49.294,49.294,307,0
2013-09-24,18:45:00,49.264,49.264,49.264,49.264,102,0
2013-09-25,18:50:00,49.206,49.206,49.206,49.206,206,0
2013-09-25,21:25:00,48.933,48.933,48.933,48.933,102,0
2013-09-26,18:00:00,48.972,48.972,48.972,48.972,206,0
2013-09-26,19:00:00,49.118,49.118,49.118,49.118,102,0
2013-09-26,20:05:00,49.011,49.011,49.011,49.011,411,0
2013-09-27,18:40:00,49.002,49.002,49.002,49.002,206,0
2013-09-30,15:35:00,45.298,45.298,45.298,45.298,564,0
2013-09-30,15:40:00,48.554,48.554,48.554,48.554,102,0
2013-10-01,17:55:00,49.108,49.108,49.108,49.108,431,0
2013-10-02,15:35:00,49.021,49.021,49.021,49.021,102,0
2013-10-02,19:10:00,49.011,49.011,49.011,49.011,102,0
2013-10-03,19:55:00,48.797,48.797,48.797,48.797,206,0
2013-10-03,20:00:00,48.63,48.63,48.63,48.63,206,0
2013-10-04,16:50:00,48.808,48.808,48.808,48.808,102,0
2013-10-09,18:00:00,48.445,48.445,48.445,48.445,206,0
2013-10-09,18:15:00,48.368,48.368,48.368,48.368,102,0
2013-10-10,17:00:00,49.06,49.06,49.06,49.06,206,0
2013-10-11,19:15:00,49.499,49.499,49.499,49.499,206,0
2013-10-14,20:25:00,49.654,49.654,49.654,49.654,206,0
2013-10-14,20:50:00,49.547,49.547,49.547,49.547,206,0
2013-10-15,21:45:00,49.332,49.332,49.236,49.236,307,0
2013-10-16,16:00:00,49.762,49.762,49.762,49.762,102,0
2013-10-17,17:45:00,50.092,50.092,50.092,50.092,102,0
2013-10-17,18:40:00,50.092,50.092,50.092,50.092,102,0
2013-10-18,21:10:00,50.112,50.112,50.112,50.112,206,0
2013-10-22,15:45:00,50.142,50.142,50.142,50.142,102,0
2013-10-22,16:45:00,50.454,50.454,50.454,50.454,102,0
2013-10-23,21:15:00,50.181,50.181,50.181,50.181,612,0
2013-10-24,21:50:00,50.201,50.201,50.201,50.201,206,0
2013-10-25,15:35:00,50.122,50.122,50.122,50.122,2052,0
2013-10-29,14:50:00,50.513,50.513,50.513,50.513,206,0
2013-10-30,20:15:00,50.317,50.317,50.317,50.317,206,0
2013-10-31,20:05:00,50.219,50.219,50.219,50.219,206,0
2013-11-01,15:40:00,50.191,50.191,50.191,50.191,102,0
2013-11-04,20:30:00,50.434,50.434,50.434,50.434,206,0
2013-11-05,15:50:00,50.277,50.277,50.277,50.277,102,0
2013-11-06,16:15:00,50.668,50.668,50.668,50.668,102,0
2013-11-07,20:30:00,49.957,49.957,49.957,49.957,206,0
2013-11-08,16:45:00,50.132,50.132,50.132,50.132,206,0
2013-11-08,21:20:00,50.346,50.346,50.346,50.346,102,0
2013-11-11,15:45:00,50.531,50.531,50.531,50.531,307,0
2013-11-13,18:10:00,50.503,50.503,50.503,50.503,359,0
2013-11-14,16:20:00,50.971,50.971,50.971,50.971,206,0
2013-11-15,17:00:00,51.224,51.224,51.224,51.224,206,0
2013-11-18,20:10:00,51.252,51.252,51.252,51.252,102,0
2013-11-18,20:35:00,51.311,51.311,51.311,51.311,102,0
2013-11-19,20:30:00,50.853,50.853,50.853,50.853,206,0
2013-11-21,20:45:00,51.097,51.097,51.097,51.097,206,0
2013-11-21,22:00:00,51.009,51.009,51.009,51.009,206,0
2013-12-02,17:15:00,51.165,51.165,51.165,51.165,821,0
