Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-29,20:25:00,9.3700,9.3700,9.3383,9.3383,3400,0
2014-12-29,20:30:00,9.35,9.35,9.35,9.35,100,0
2014-12-29,20:35:00,9.34,9.34,9.33,9.33,400,0
2014-12-29,20:40:00,9.3,9.3,9.3,9.3,600,0
2014-12-29,20:45:00,9.3299,9.33,9.329,9.33,2800,0
2014-12-29,20:50:00,9.3299,9.33,9.329,9.33,7350,0
2014-12-29,20:55:00,9.32,9.33,9.3,9.33,4666,0
2014-12-29,21:00:00,9.32,9.33,9.32,9.33,200,0
2014-12-29,21:10:00,9.33,9.33,9.33,9.33,200,0
2014-12-29,21:15:00,9.33,9.33,9.33,9.33,200,0
2014-12-29,21:25:00,9.33,9.33,9.33,9.33,200,0
2014-12-29,21:30:00,9.33,9.33,9.33,9.33,200,0
2014-12-29,21:40:00,9.31,9.31,9.31,9.31,100,0
2014-12-29,21:45:00,9.31,9.31,9.31,9.31,100,0
2014-12-29,21:50:00,9.31,9.33,9.31,9.31,600,0
2014-12-29,22:00:00,9.32,9.39,9.31,9.37,2350,0
2014-12-30,15:35:00,9.29,9.29,9.29,9.29,2000,0
2014-12-30,16:00:00,9.3575,9.4,9.3575,9.4,600,0
2014-12-30,16:10:00,9.39,9.39,9.3899,9.3899,500,0
2014-12-30,16:40:00,9.41,9.41,9.41,9.41,100,0
2014-12-30,16:55:00,9.37,9.37,9.37,9.37,800,0
2014-12-30,17:50:00,9.31,9.31,9.3,9.3,700,0
2014-12-30,18:25:00,9.371,9.371,9.371,9.371,1000,0
2014-12-30,18:30:00,9.353,9.38,9.353,9.379,1900,0
2014-12-30,19:30:00,9.4,9.4,9.4,9.4,200,0
2014-12-30,20:40:00,9.385,9.43,9.385,9.385,950,0
2014-12-30,20:45:00,9.4252,9.4252,9.355,9.355,2700,0
2014-12-30,20:55:00,9.3748,9.3748,9.3748,9.3748,200,0
2014-12-30,21:10:00,9.47,9.47,9.47,9.47,500,0
2014-12-30,21:55:00,9.4,9.4,9.4,9.4,900,0
2014-12-30,22:00:00,9.39,9.39,9.39,9.39,900,0
2014-12-31,15:35:00,9.3,9.3,9.3,9.3,5000,0
2014-12-31,16:05:00,9.35,9.35,9.3,9.3,5839,0
2014-12-31,16:30:00,9.31,9.32,9.31,9.32,400,0
2014-12-31,16:35:00,9.32,9.32,9.29,9.29,800,0
2014-12-31,16:50:00,9.35,9.35,9.35,9.35,100,0
