Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-21,20:30:00,10.26,10.26,10.26,10.26,100,0
2014-03-25,15:35:00,10.41,10.41,10.41,10.41,200,0
2014-03-25,16:40:00,10.4001,10.4001,10.4001,10.4001,478,0
2014-03-25,17:30:00,10.5784,10.5784,10.5784,10.5784,385,0
2014-03-25,18:05:00,10.28,10.28,10.28,10.28,966,0
2014-03-25,18:10:00,10.31,10.31,10.31,10.31,250,0
2014-03-25,18:15:00,10.31,10.31,10.31,10.31,216,0
2014-03-26,17:30:00,10.23,10.26,10.23,10.26,800,0
2014-03-27,19:15:00,10.28,10.28,10.28,10.28,200,0
2014-03-28,16:25:00,10.31,10.31,10.31,10.31,300,0
2014-03-28,21:00:00,10.3,10.35,10.29,10.35,4400,0
2014-03-31,16:25:00,10.36,10.36,10.35,10.35,900,0
2014-03-31,21:00:00,10.32,10.32,10.32,10.32,502,0
2014-03-31,21:40:00,10.3324,10.3324,10.3324,10.3324,150,0
2014-03-31,22:00:00,10.34,10.3856,10.34,10.3856,287,0
2014-04-01,18:50:00,10.45,10.47,10.45,10.47,3375,0
2014-04-01,20:05:00,10.4699,10.47,10.44,10.47,4646,0
2014-04-01,20:30:00,10.36,10.42,10.3,10.4,1200,0
2014-04-02,21:15:00,10.22,10.22,10.2,10.2,526,0
2014-04-02,21:30:00,10.2,10.2,10.1979,10.1979,1674,0
2014-04-03,16:45:00,10.25,10.25,10.25,10.25,297,0
2014-04-04,20:15:00,10.31,10.31,10.1,10.1,5977,0
2014-04-07,18:25:00,10.111,10.13,10.11,10.11,1940,0
2014-04-07,19:40:00,10.111,10.111,10.11,10.11,550,0
2014-04-08,17:05:00,10.15,10.15,10.15,10.15,1800,0
2014-04-11,17:00:00,10.1,10.1,10.1,10.1,1800,0
2014-04-11,17:25:00,10.1,10.12,10.1,10.1,1700,0
2014-04-11,17:30:00,10.12,10.12,10.1186,10.12,1200,0
2014-04-11,17:35:00,10.12,10.14,10.12,10.14,400,0
2014-04-11,17:40:00,10.13,10.13,10.13,10.13,300,0
2014-04-11,18:10:00,10.13,10.15,10.13,10.15,1100,0
2014-04-11,18:30:00,10.15,10.16,10.15,10.16,400,0
2014-04-11,18:35:00,10.16,10.16,10.16,10.16,1200,0
2014-04-11,18:40:00,10.16,10.17,10.1,10.17,1500,0
2014-04-11,18:50:00,10.25,10.25,10.25,10.25,300,0
2014-04-11,18:55:00,10.25,10.25,10.25,10.25,100,0
2014-04-11,19:00:00,10.4,10.4,10.4,10.4,300,0
2014-04-11,19:05:00,10.3,10.4,10.3,10.33,800,0
2014-04-11,19:40:00,10.34,10.35,10.33,10.35,1200,0
2014-04-11,19:45:00,10.32,10.32,10.3,10.3,800,0
2014-04-11,19:55:00,10.3,10.3,10.3,10.3,1900,0
2014-04-11,20:20:00,10.29,10.29,10.29,10.29,700,0
2014-04-11,20:40:00,10.28,10.28,10.28,10.28,1800,0
2014-04-11,20:45:00,10.27,10.27,10.27,10.27,2400,0
2014-04-11,20:50:00,10.26,10.26,10.24,10.24,2300,0
2014-04-11,21:20:00,10.21,10.24,10.2,10.24,1300,0
2014-04-11,21:25:00,10.24,10.24,10.2,10.24,1500,0
2014-04-14,18:20:00,10.1501,10.1501,10.1501,10.1501,500,0
2014-04-14,19:10:00,10.19,10.19,10.19,10.19,20000,0
2014-04-14,19:45:00,10.11,10.11,10.11,10.11,300,0
2014-04-14,19:50:00,10.13,10.15,10.13,10.15,2000,0
2014-04-14,19:55:00,10.15,10.17,10.15,10.17,1500,0
2014-04-14,20:00:00,10.171,10.171,10.1701,10.1701,1123,0
2014-04-14,20:05:00,10.17,10.25,10.17,10.25,300,0
