Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-04-14,17:05:00,9.1069,9.1069,9.0582,9.1069,2764,0
2014-04-14,19:50:00,9.1557,9.1557,9.1557,9.1557,104,0
2014-04-14,21:20:00,9.1361,9.1361,9.1361,9.1361,308,0
2014-04-14,21:25:00,9.1361,9.1361,9.0874,9.0874,2361,0
2014-04-14,22:00:00,9.068,9.068,9.068,9.068,204,0
2014-04-15,21:45:00,9.0583,9.0583,9.0583,9.0583,1232,0
2014-04-16,15:35:00,9.1166,9.1166,9.1166,9.1166,104,0
2014-04-16,20:30:00,9.1069,9.1069,9.1069,9.1069,368,0
2014-04-16,20:40:00,9.1069,9.1361,9.1069,9.1361,760,0
2014-04-16,20:55:00,9.0874,9.0874,9.0874,9.0874,204,0
2014-04-16,21:10:00,9.0582,9.0582,9.0582,9.0582,308,0
2014-04-16,22:00:00,9.1068,9.1069,9.1067,9.1069,4282,0
2014-04-17,15:55:00,9.1069,9.1069,9.1069,9.1069,204,0
2014-04-17,18:35:00,9.1473,9.1473,9.1473,9.1473,412,0
2014-04-17,21:55:00,9.1265,9.1265,9.1265,9.1265,512,0
2014-04-21,19:30:00,9.321,9.321,9.321,9.321,204,0
2014-04-21,20:25:00,9.3504,9.3504,9.3504,9.3504,104,0
2014-04-21,21:10:00,9.1458,9.1458,9.1458,9.1458,104,0
2014-04-21,21:40:00,9.1458,9.1458,9.1265,9.1265,277,0
2014-04-21,21:45:00,9.1265,9.1265,9.1265,9.1265,104,0
2014-04-21,21:55:00,9.1557,9.1557,9.1557,9.1557,104,0
2014-04-22,16:00:00,9.1458,9.1547,9.1458,9.1547,1382,0
2014-04-22,16:10:00,9.1458,9.1557,9.1458,9.1557,1359,0
2014-04-22,19:35:00,9.107,9.107,9.0631,9.0631,1091,0
2014-04-22,21:55:00,9.0582,9.0582,9.0582,9.0582,104,0
2014-04-22,22:00:00,9.0582,9.068,9.0582,9.068,308,0
2014-04-23,18:40:00,9.1069,9.1069,9.1069,9.1069,2003,0
2014-04-23,18:45:00,9.1945,9.1945,9.1557,9.1557,616,0
2014-04-23,18:50:00,9.1557,9.1557,9.1557,9.1557,204,0
2014-04-23,18:55:00,9.1557,9.1557,9.1557,9.1557,308,0
2014-04-23,20:45:00,9.1166,9.3405,9.1074,9.3405,512,0
2014-04-23,22:00:00,9.2237,9.2237,9.2237,9.2237,104,0
2014-04-24,17:20:00,9.321,9.321,9.2433,9.2433,412,0
2014-04-28,18:00:00,9.0631,9.0631,9.0631,9.0631,412,0
2014-04-30,15:45:00,9.1069,9.1069,9.1069,9.1069,881,0
2014-04-30,21:20:00,9.1265,9.1265,9.1171,9.1171,308,0
2014-04-30,22:00:00,9.3405,9.3405,9.3405,9.3405,104,0
2014-05-02,21:15:00,9.3405,9.3405,9.3405,9.3405,308,0
2014-05-05,16:45:00,9.3484,9.3484,9.3484,9.3484,204,0
2014-05-05,16:50:00,9.3405,9.3504,9.3405,9.3504,2901,0
2014-05-05,17:30:00,9.3504,9.3504,9.3504,9.3504,412,0
2014-05-05,17:35:00,9.3989,9.3989,9.3989,9.3989,2392,0
2014-05-05,18:05:00,9.4574,9.4574,9.4574,9.4574,308,0
2014-05-05,21:00:00,9.575,9.575,9.575,9.575,104,0
2014-05-05,21:10:00,9.545,9.545,9.525,9.525,719,0
2014-05-05,21:20:00,9.506,9.506,9.506,9.506,204,0
2014-05-05,21:30:00,9.545,9.545,9.545,9.545,1006,0
2014-05-05,21:35:00,9.4962,9.4962,9.1458,9.1458,206,0
2014-05-05,22:00:00,9.2822,9.2822,9.2529,9.2725,1576,0
2014-05-07,16:05:00,9.2725,9.2822,9.2725,9.2822,4412,0
2014-05-07,16:15:00,9.4039,9.4039,9.4039,9.4039,242,0
2014-05-07,16:25:00,9.4674,9.4674,9.4674,9.4674,104,0
2014-05-07,16:30:00,9.4674,9.4674,9.4674,9.4674,2790,0
2014-05-07,16:35:00,9.4674,9.4674,9.3066,9.4386,1782,0
2014-05-07,16:40:00,9.4376,9.4386,9.4376,9.4386,2053,0
2014-05-08,16:40:00,9.253,9.292,9.2529,9.2822,1129,0
2014-05-08,16:45:00,9.506,9.506,9.3699,9.3989,1745,0
2014-05-08,16:50:00,9.3989,9.3989,9.3989,9.3989,616,0
2014-05-08,17:10:00,9.3601,9.3601,9.2529,9.2529,2771,0
2014-05-08,17:20:00,9.2529,9.2529,9.2529,9.2529,4784,0
2014-05-08,17:25:00,9.2433,9.2433,9.2433,9.2433,924,0
2014-05-08,17:40:00,9.2141,9.2141,9.2141,9.2141,204,0
2014-05-08,19:00:00,9.2043,9.2043,9.2043,9.2043,476,0
2014-05-08,20:20:00,9.2043,9.2043,9.2043,9.2043,125,0
2014-05-08,20:35:00,9.2043,9.2043,9.2043,9.2043,308,0
2014-05-09,16:40:00,9.2043,9.2043,9.2043,9.2043,1242,0
2014-05-09,20:50:00,9.2043,9.2043,9.2043,9.2043,104,0
2014-05-09,20:55:00,9.2043,9.2043,9.1557,9.1945,616,0
2014-05-09,21:25:00,9.1557,9.1557,9.1557,9.1557,4380,0
2014-05-09,21:40:00,9.1265,9.1265,9.1171,9.1171,616,0
2014-05-12,21:10:00,9.2336,9.2336,9.1945,9.1945,412,0
2014-05-13,15:35:00,9.1945,9.1945,9.1945,9.1945,188,0
2014-05-13,15:40:00,9.1945,9.1945,9.1945,9.1945,377,0
2014-05-13,15:45:00,9.1945,9.2043,9.1945,9.2043,616,0
2014-05-13,15:55:00,9.1945,9.1945,9.0582,9.0582,447,0
2014-05-13,16:15:00,9.2141,9.2141,9.2141,9.2141,309,0
2014-05-14,16:15:00,9.557,9.557,9.557,9.557,433,0
2014-05-14,21:25:00,9.3513,9.3708,9.3414,9.3414,854,0
2014-05-14,21:30:00,9.2729,9.2729,9.2729,9.2729,238,0
2014-05-15,16:30:00,9.1847,9.2141,9.1847,9.2141,781,0
2014-05-15,16:35:00,9.0886,9.0886,9.0866,9.0866,56604,0
2014-05-16,15:35:00,9.2043,9.2043,9.2043,9.2043,612,0
2014-05-19,16:00:00,9.597,9.597,9.597,9.597,409,0
2014-05-19,18:10:00,9.3219,9.3219,9.3219,9.3219,1304,0
2014-05-19,21:05:00,9.4099,9.4099,9.3999,9.4099,4625,0
2014-05-19,21:50:00,9.3121,9.3121,9.3121,9.3121,139,0
2014-05-20,15:50:00,9.547,9.567,9.547,9.567,642,0
2014-05-21,19:30:00,9.3023,9.312,9.3023,9.312,970,0
2014-05-23,15:35:00,9.312,9.312,9.312,9.312,1575,0
2014-05-23,16:30:00,9.4099,9.4396,9.3611,9.3611,612,0
2014-05-23,17:15:00,9.312,9.3317,9.312,9.312,2284,0
2014-05-23,17:30:00,9.3023,9.3023,9.3023,9.3023,203,0
2014-05-23,17:40:00,9.312,9.312,9.312,9.312,812,0
2014-05-27,15:50:00,9.165,9.165,9.165,9.165,378,0
2014-05-27,15:55:00,9.1553,9.1553,9.1553,9.1553,429,0
2014-05-27,16:05:00,9.1553,9.165,9.1543,9.1543,957,0
2014-05-27,16:45:00,9.1499,9.1499,9.1499,9.1499,203,0
2014-05-27,17:20:00,9.165,9.165,9.165,9.165,1186,0
2014-05-27,18:40:00,9.165,9.3513,9.1067,9.3513,1033,0
2014-05-27,22:00:00,9.2141,9.2141,9.1944,9.1944,479,0
2014-05-28,17:35:00,9.557,9.587,9.2043,9.2043,584,0
2014-05-28,17:50:00,9.3979,9.3979,9.3803,9.3803,203,0
2014-05-29,16:10:00,9.2141,9.2141,9.2141,9.2141,920,0
2014-05-29,18:25:00,9.2141,9.2141,9.2141,9.2141,103,0
2014-05-29,18:50:00,9.2141,9.2141,9.2141,9.2141,103,0
2014-05-29,19:45:00,9.2141,9.2141,9.2141,9.2141,409,0
2014-05-29,22:00:00,9.528,9.557,9.528,9.557,2040,0
2014-05-30,15:35:00,9.4793,9.4793,9.4793,9.4793,198,0
2014-05-30,15:40:00,9.2337,9.2337,9.2141,9.2141,1043,0
2014-05-30,18:35:00,9.2141,9.2141,9.2141,9.2141,409,0
2014-05-30,19:45:00,9.606,9.606,9.606,9.606,193,0
2014-06-02,16:55:00,9.2631,9.2631,9.2631,9.2631,606,0
2014-06-02,17:00:00,9.2631,9.2631,9.2631,9.2631,6936,0
2014-06-02,20:25:00,9.312,9.606,9.312,9.606,815,0
2014-06-02,21:35:00,9.4495,9.4495,9.4495,9.4495,103,0
2014-06-03,15:35:00,9.3414,9.3414,9.312,9.3121,2040,0
2014-06-03,15:50:00,9.4295,9.4295,9.4295,9.4295,203,0
2014-06-03,15:55:00,9.4295,9.4295,9.4295,9.4295,306,0
2014-06-03,16:00:00,9.508,9.508,9.508,9.508,606,0
2014-06-03,16:05:00,9.3428,9.508,9.3428,9.508,422,0
2014-06-03,19:00:00,9.3317,9.3317,9.3317,9.3317,103,0
2014-06-03,22:00:00,9.3219,9.3219,9.3219,9.3219,103,0
2014-06-04,18:10:00,9.4197,9.4694,9.4197,9.4495,2050,0
2014-06-04,18:15:00,9.3901,9.4495,9.3901,9.4295,306,0
2014-06-04,20:40:00,9.3901,9.606,9.3803,9.3901,2040,0
2014-06-04,20:45:00,9.3901,9.3999,9.3616,9.3616,2302,0
2014-06-04,21:00:00,9.518,9.518,9.518,9.518,103,0
2014-06-04,22:00:00,9.4099,9.4099,9.4099,9.4099,1530,0
2014-06-05,16:10:00,9.3999,9.3999,9.3999,9.3999,108,0
2014-06-06,16:00:00,9.312,9.3611,9.312,9.3611,2040,0
2014-06-06,16:20:00,9.3901,9.3901,9.3901,9.3901,103,0
2014-06-06,17:00:00,9.3611,9.3611,9.3611,9.3611,306,0
2014-06-06,17:10:00,9.361,9.4099,9.3317,9.4099,1633,0
2014-06-06,18:10:00,9.374,9.4099,9.2141,9.2141,1305,0
2014-06-06,18:25:00,9.3999,9.3999,9.3999,9.3999,203,0
2014-06-09,16:25:00,9.3334,9.3334,9.2141,9.2141,203,0
2014-06-09,17:50:00,9.4099,9.4099,9.3901,9.3999,1836,0
2014-06-09,19:40:00,9.2337,9.2385,9.2141,9.2141,306,0
2014-06-09,19:55:00,9.2141,9.2141,9.2141,9.2141,103,0
2014-06-09,21:30:00,9.2141,9.2141,9.2141,9.2141,103,0
2014-06-09,21:35:00,9.2337,9.2337,9.2337,9.2337,203,0
2014-06-09,21:50:00,9.2141,9.2337,9.2141,9.2337,306,0
2014-06-09,22:00:00,9.2435,9.2435,9.2141,9.2141,815,0
2014-06-10,16:10:00,9.2142,9.3023,9.2142,9.3023,958,0
2014-06-10,16:40:00,9.2141,9.2141,9.2141,9.2141,103,0
2014-06-10,16:45:00,9.2141,9.2925,9.2141,9.2925,306,0
2014-06-10,16:50:00,9.2141,9.312,9.2141,9.312,553,0
2014-06-10,17:00:00,9.2141,9.2729,9.2141,9.2729,918,0
2014-06-10,17:20:00,9.2141,9.2141,9.2141,9.2141,103,0
2014-06-10,17:45:00,9.2238,9.2238,9.2238,9.2238,203,0
2014-06-10,18:10:00,9.2238,9.2238,9.2238,9.2238,203,0
2014-06-10,18:35:00,9.2238,9.2238,9.2238,9.2238,203,0
2014-06-10,19:05:00,9.2238,9.2238,9.2238,9.2238,203,0
2014-06-10,19:30:00,9.2238,9.312,9.2238,9.312,577,0
2014-06-10,20:05:00,9.2238,9.2238,9.2238,9.2238,103,0
2014-06-10,20:30:00,9.2532,9.2532,9.2532,9.2532,103,0
2014-06-10,20:55:00,9.2532,9.2532,9.2532,9.2532,103,0
2014-06-10,21:15:00,9.2337,9.2337,9.2337,9.2337,103,0
2014-06-10,21:35:00,9.2337,9.2337,9.2337,9.2337,103,0
2014-06-10,22:00:00,9.2532,9.562,9.2435,9.2925,699,0
2014-06-11,15:50:00,9.2925,9.2925,9.2925,9.2925,7142,0
2014-06-11,15:55:00,9.2238,9.2238,9.2238,9.2238,103,0
2014-06-11,16:05:00,9.2238,9.2238,9.2238,9.2238,306,0
2014-06-11,16:20:00,9.2679,9.2679,9.2679,9.2679,8672,0
2014-06-11,16:25:00,9.2248,9.2631,9.2238,9.2238,1283,0
2014-06-11,16:30:00,9.1356,9.1356,9.1356,9.1356,103,0
2014-06-11,16:40:00,9.17,9.17,9.119,9.119,11835,0
2014-06-11,16:55:00,9.116,9.116,9.116,9.116,103,0
2014-06-11,17:15:00,9.1259,9.1259,9.116,9.116,203,0
2014-06-11,17:40:00,9.116,9.116,9.116,9.116,203,0
2014-06-11,17:55:00,9.2141,9.2631,9.116,9.2631,3679,0
2014-06-11,18:35:00,9.2925,9.2925,9.2925,9.2925,203,0
2014-06-11,18:45:00,9.2631,9.2631,9.2631,9.2631,103,0
2014-06-11,19:05:00,9.2729,9.2729,9.2631,9.2631,1266,0
2014-06-11,19:10:00,9.116,9.116,9.116,9.116,103,0
2014-06-11,19:25:00,9.165,9.165,9.165,9.165,103,0
2014-06-11,19:40:00,9.165,9.165,9.165,9.165,306,0
2014-06-11,20:10:00,9.165,9.165,9.165,9.165,409,0
2014-06-11,20:40:00,9.165,9.165,9.165,9.165,103,0
2014-06-11,20:55:00,9.165,9.165,9.165,9.165,203,0
2014-06-11,21:05:00,9.165,9.165,9.165,9.165,103,0
2014-06-11,21:15:00,9.1748,9.1748,9.1748,9.1748,306,0
2014-06-11,21:25:00,9.165,9.165,9.165,9.165,103,0
2014-06-11,21:45:00,9.165,9.165,9.165,9.165,227,0
2014-06-11,22:00:00,9.165,9.2141,9.165,9.165,1121,0
2014-06-12,16:10:00,9.1259,9.1259,9.1259,9.1259,103,0
2014-06-12,16:20:00,9.116,9.116,9.116,9.116,103,0
2014-06-12,16:30:00,9.116,9.116,9.116,9.116,306,0
2014-06-12,16:45:00,9.116,9.116,9.116,9.116,103,0
2014-06-12,16:50:00,9.116,9.116,9.116,9.116,103,0
2014-06-12,17:00:00,9.0572,9.0572,9.0572,9.0572,103,0
2014-06-12,17:05:00,9.214,9.2141,9.0572,9.1944,3437,0
2014-06-12,17:10:00,9.0572,9.0572,9.0572,9.0572,409,0
2014-06-12,17:30:00,9.0572,9.0572,9.0572,9.0572,203,0
2014-06-12,17:55:00,9.067,9.067,9.067,9.067,203,0
2014-06-12,18:10:00,9.0572,9.0572,9.0572,9.0572,306,0
2014-06-12,18:50:00,9.067,9.067,9.067,9.067,306,0
