Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-24,16:50:00,254.40,254.40,254.36,254.36,900,0
2014-12-24,17:05:00,255.0,255.0,255.0,255.0,1300,0
2014-12-24,17:20:00,255.05,256.17,255.0,256.17,900,0
2014-12-24,17:40:00,255.0,255.0,255.0,255.0,800,0
2014-12-24,17:55:00,255.04,255.04,254.82,254.82,1500,0
2014-12-24,18:00:00,255.0,255.0,254.8301,255.0,3070,0
2014-12-24,18:10:00,255.0,255.0,255.0,255.0,200,0
2014-12-24,18:15:00,254.99,254.99,254.99,254.99,400,0
2014-12-24,18:20:00,255.0,255.0,255.0,255.0,592,0
2014-12-24,18:30:00,254.86,254.87,254.86,254.87,200,0
2014-12-24,18:40:00,254.86,254.86,254.3,254.3,2000,0
2014-12-24,18:45:00,254.79,254.79,254.79,254.79,100,0
2014-12-24,18:50:00,254.53,254.53,254.53,254.53,100,0
2014-12-24,18:55:00,254.68,254.68,254.68,254.68,2200,0
2014-12-24,19:05:00,254.72,254.72,254.72,254.72,2661,0
2014-12-26,15:35:00,255.0,255.0,255.0,255.0,678,0
2014-12-26,16:10:00,251.025,253.1,251.025,253.1,400,0
2014-12-26,16:35:00,253.27,253.27,253.27,253.27,1125,0
2014-12-26,17:30:00,254.66,254.66,254.53,254.53,500,0
2014-12-26,17:45:00,254.07,254.07,254.07,254.07,800,0
2014-12-26,18:25:00,254.75,254.75,254.75,254.75,300,0
2014-12-26,18:45:00,254.81,255.0,254.81,254.81,2448,0
2014-12-26,18:55:00,254.88,254.88,254.75,254.75,1000,0
2014-12-26,19:15:00,254.09,255.0,254.04,254.04,3060,0
2014-12-26,19:20:00,254.07,254.07,254.07,254.07,1000,0
2014-12-26,20:15:00,254.65,254.65,254.23,254.23,1200,0
2014-12-26,21:00:00,255.0,255.0,254.95,254.95,1000,0
2014-12-26,21:50:00,254.76,254.96,254.63,254.75,2500,0
2014-12-26,21:55:00,254.855,254.855,254.855,254.855,400,0
2014-12-26,22:00:00,254.96,255.0,254.66,254.89,2000,0
2014-12-29,15:35:00,254.67,254.67,254.67,254.67,200,0
2014-12-29,15:40:00,254.79,254.84,254.79,254.84,1400,0
2014-12-29,16:10:00,255.0,255.0,254.99,254.99,6198,0
2014-12-29,16:20:00,255.0,255.0,254.98,254.98,2100,0
2014-12-29,16:25:00,254.98,254.98,254.98,254.98,200,0
2014-12-29,16:30:00,254.97,256.03,254.97,255.6,5000,0
2014-12-29,16:35:00,256.0,256.0,255.15,255.15,400,0
2014-12-29,16:40:00,255.53,255.62,255.0,255.0001,4280,0
2014-12-29,17:00:00,255.97,256.0,255.34,255.34,1500,0
2014-12-29,17:05:00,255.3601,258.24,255.3601,258.24,800,0
2014-12-29,17:15:00,256.845,256.845,256.845,256.845,300,0
2014-12-29,17:25:00,257.0,257.0,255.0,255.0,4500,0
2014-12-29,17:30:00,255.01,255.29,255.01,255.07,800,0
