Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-15,19:55:00,23.340,23.340,23.340,23.340,600,0
2015-01-15,20:00:00,23.31,23.31,23.23,23.26,2300,0
2015-01-15,20:05:00,23.25,23.36,23.16,23.3,2200,0
2015-01-15,20:10:00,23.2,23.36,23.2,23.35,1232,0
2015-01-15,20:15:00,23.4,23.4,23.31,23.31,300,0
2015-01-15,20:20:00,23.25,23.3,23.25,23.3,2600,0
2015-01-15,20:25:00,23.31,23.31,23.31,23.31,1400,0
2015-01-15,20:30:00,23.3099,23.31,23.29,23.29,600,0
2015-01-15,20:40:00,23.31,23.31,23.31,23.31,1100,0
2015-01-15,20:55:00,23.31,23.31,23.27,23.27,684,0
2015-01-15,21:00:00,23.27,23.27,23.27,23.27,100,0
2015-01-15,21:10:00,23.3,23.3,23.3,23.3,200,0
2015-01-15,21:15:00,23.28,23.28,23.28,23.28,200,0
2015-01-15,21:40:00,23.3,23.3,23.3,23.3,200,0
2015-01-15,21:45:00,23.3,23.3,23.3,23.3,100,0
2015-01-15,21:50:00,23.29,23.29,23.29,23.29,300,0
2015-01-15,21:55:00,23.21,23.26,23.2,23.26,2800,0
2015-01-15,22:00:00,23.2588,23.3,23.25,23.27,6862,0
2015-01-16,15:35:00,23.14,23.24,23.12,23.24,400,0
2015-01-16,15:40:00,23.25,23.44,23.12,23.3,4900,0
2015-01-16,15:45:00,24.25,24.25,23.37,23.37,900,0
2015-01-16,15:50:00,24.08,24.08,24.08,24.08,100,0
2015-01-16,16:15:00,23.31,23.32,23.23,23.29,1350,0
2015-01-16,16:20:00,23.11,23.34,23.11,23.34,800,0
2015-01-16,16:25:00,23.34,23.34,23.24,23.24,200,0
2015-01-16,16:30:00,23.34,23.5,23.34,23.5,4800,0
2015-01-16,16:35:00,23.5,23.99,23.4701,23.4701,1223,0
2015-01-16,17:10:00,23.72,23.72,23.56,23.71,300,0
2015-01-16,17:20:00,23.72,23.72,23.7199,23.7199,400,0
2015-01-16,17:25:00,23.66,23.66,23.66,23.66,200,0
2015-01-16,17:35:00,23.58,23.86,23.58,23.665,7200,0
2015-01-16,17:40:00,23.74,23.91,23.7,23.74,5494,0
2015-01-16,17:45:00,23.9,23.97,23.9,23.97,500,0
2015-01-16,17:55:00,23.99,23.99,23.99,23.99,100,0
2015-01-16,18:25:00,23.9,23.9,23.88,23.88,400,0
2015-01-16,18:30:00,23.9,23.9,23.82,23.82,1000,0
2015-01-16,18:40:00,23.578,23.578,23.578,23.578,100,0
2015-01-16,18:45:00,23.55,23.66,23.51,23.58,6800,0
2015-01-16,18:50:00,23.58,23.87,23.58,23.82,6000,0
2015-01-16,18:55:00,23.86,23.86,23.6,23.6,800,0
2015-01-16,19:00:00,23.73,23.73,23.73,23.73,100,0
2015-01-16,19:30:00,23.5,23.5,23.5,23.5,100,0
2015-01-16,19:55:00,23.53,23.53,23.53,23.53,300,0
2015-01-16,20:20:00,23.53,23.55,23.44,23.55,800,0
2015-01-16,20:25:00,23.55,23.57,23.55,23.57,400,0
2015-01-16,20:30:00,23.55,23.56,23.53,23.56,700,0
2015-01-16,20:35:00,23.4401,23.54,23.4401,23.5,700,0
2015-01-16,20:45:00,23.49,23.54,23.37,23.54,1000,0
2015-01-16,20:50:00,23.58,23.58,23.58,23.58,100,0
2015-01-16,21:05:00,23.555,23.555,23.5,23.5,200,0
2015-01-16,21:10:00,23.56,23.56,23.56,23.56,100,0
2015-01-16,21:15:00,23.51,23.55,23.5,23.5,3000,0
2015-01-16,21:20:00,23.5,23.52,23.5,23.52,200,0
2015-01-16,21:25:00,23.468,23.555,23.468,23.555,200,0
2015-01-16,21:30:00,23.51,23.56,23.5,23.56,400,0
2015-01-16,21:35:00,23.62,23.63,23.49,23.49,3814,0
2015-01-16,21:40:00,23.56,23.56,23.5,23.5,1900,0
2015-01-16,21:45:00,23.5,23.63,23.5,23.55,2700,0
2015-01-16,21:50:00,23.59,23.6,23.51,23.55,2200,0
2015-01-16,21:55:00,23.63,23.63,23.5,23.5,5866,0
2015-01-16,22:00:00,23.6,23.63,23.51,23.53,6800,0
2015-01-20,15:35:00,23.93,23.9587,23.93,23.9587,1000,0
2015-01-20,15:45:00,23.92,23.92,23.92,23.92,600,0
2015-01-20,15:55:00,23.5504,23.5504,23.5504,23.5504,350,0
2015-01-20,16:05:00,23.596,23.596,23.596,23.596,500,0
