Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,20:40:00,26.15,26.20,26.02,26.02,1000,0
2015-02-02,20:45:00,26.07,26.1,25.97,25.97,1400,0
2015-02-02,20:50:00,25.93,25.93,25.75,25.75,1900,0
2015-02-02,20:55:00,25.75,25.91,25.75,25.91,4314,0
2015-02-02,21:00:00,25.82,25.86,25.76,25.76,5036,0
2015-02-02,21:05:00,25.76,25.82,25.7,25.75,1600,0
2015-02-02,21:10:00,25.75,25.75,25.51,25.66,10981,0
2015-02-02,21:15:00,25.71,25.8,25.7,25.79,2500,0
2015-02-02,21:20:00,25.78,25.98,25.76,25.98,2800,0
2015-02-02,21:25:00,25.88,26.05,25.87,25.95,2400,0
2015-02-02,21:30:00,25.96,25.96,25.87,25.89,3200,0
2015-02-02,21:35:00,25.88,25.89,25.85,25.89,2700,0
2015-02-02,21:40:00,25.88,26.13,25.88,26.13,2880,0
2015-02-02,21:45:00,26.03,26.12,26.03,26.11,7150,0
2015-02-02,21:50:00,26.07,26.07,25.93,25.98,5107,0
2015-02-02,21:55:00,25.975,26.22,25.975,26.06,6440,0
2015-02-02,22:00:00,26.11,26.21,26.06,26.1,21546,0
2015-02-03,15:40:00,26.84,26.84,26.84,26.84,200,0
2015-02-03,15:45:00,26.37,26.51,25.62,25.84,5200,0
2015-02-03,15:50:00,25.85,26.09,25.69,26.09,800,0
2015-02-03,15:55:00,25.76,25.76,25.57,25.57,5200,0
2015-02-03,16:00:00,25.5795,25.5795,25.5795,25.5795,3000,0
2015-02-03,16:05:00,25.73,25.73,25.73,25.73,200,0
2015-02-03,16:10:00,25.87,25.87,25.87,25.87,200,0
2015-02-03,16:15:00,25.72,25.89,25.62,25.67,15800,0
2015-02-03,16:20:00,25.51,25.51,25.48,25.48,2000,0
2015-02-03,16:25:00,25.486,25.486,25.2501,25.2501,2700,0
2015-02-03,16:30:00,25.41,25.41,25.15,25.2,7256,0
2015-02-03,16:35:00,25.28,25.28,24.67,24.8,9850,0
2015-02-03,16:40:00,24.85,24.99,24.8001,24.86,12600,0
2015-02-03,16:45:00,25.04,25.04,24.72,24.72,5049,0
2015-02-03,16:50:00,24.6,24.6,24.47,24.52,13827,0
2015-02-03,16:55:00,24.49,24.67,24.42,24.42,3100,0
2015-02-03,17:00:00,24.42,24.54,24.4,24.5,1500,0
2015-02-03,17:05:00,24.51,24.6799,24.51,24.6799,6900,0
2015-02-03,17:10:00,24.67,24.67,24.5,24.65,6700,0
2015-02-03,17:15:00,24.65,24.65,24.52,24.65,3426,0
2015-02-03,17:20:00,24.6261,24.69,24.6,24.61,4700,0
2015-02-03,17:25:00,24.61,24.61,24.5,24.54,9901,0
2015-02-03,17:30:00,24.54,24.54,24.34,24.34,16780,0
2015-02-03,17:35:00,24.39,24.44,24.29,24.36,2300,0
2015-02-03,17:40:00,24.49,24.49,24.31,24.31,400,0
2015-02-03,17:45:00,24.3407,24.3407,24.3275,24.3275,2600,0
2015-02-03,17:50:00,24.32,24.4099,24.32,24.32,300,0
2015-02-03,17:55:00,24.36,24.38,24.24,24.38,3400,0
2015-02-03,18:00:00,24.29,24.3999,24.26,24.38,1000,0
2015-02-03,18:05:00,24.26,24.31,23.97,24.13,5633,0
2015-02-03,18:10:00,24.06,24.18,24.06,24.18,1900,0
2015-02-03,18:15:00,24.185,24.31,24.13,24.31,2300,0
2015-02-03,18:25:00,24.16,24.23,24.0118,24.08,5812,0
2015-02-03,18:30:00,24.0712,24.25,24.06,24.25,3200,0
2015-02-03,18:35:00,24.09,24.21,24.09,24.21,800,0
2015-02-03,18:40:00,24.08,24.12,24.0,24.0,2000,0
2015-02-03,18:45:00,24.04,24.045,23.89,23.95,5661,0
2015-02-03,18:50:00,23.96,24.04,23.91,23.95,6850,0
2015-02-03,18:55:00,23.91,24.03,23.74,23.9,6812,0
2015-02-03,19:00:00,23.83,23.929,23.83,23.912,700,0
2015-02-03,19:05:00,23.92,23.92,23.92,23.92,400,0
2015-02-03,19:10:00,23.98,24.06,23.93,23.94,1880,0
2015-02-03,19:15:00,23.92,23.93,23.9153,23.9153,1000,0
2015-02-03,19:20:00,23.83,23.91,23.75,23.83,6200,0
2015-02-03,19:25:00,23.7652,23.83,23.75,23.77,5693,0
2015-02-03,19:30:00,23.86,23.9,23.78,23.9,1650,0
2015-02-03,19:35:00,23.96,24.22,23.96,24.22,2800,0
2015-02-03,19:40:00,24.165,24.41,24.165,24.37,9844,0
2015-02-03,19:45:00,24.31,24.49,24.31,24.45,11716,0
2015-02-03,19:50:00,24.45,24.56,24.43,24.56,4000,0
2015-02-03,19:55:00,24.57,24.58,24.55,24.56,2242,0
2015-02-03,20:00:00,24.58,24.58,24.53,24.58,4957,0
2015-02-03,20:05:00,24.58,24.58,24.5799,24.5799,1376,0
2015-02-03,20:10:00,24.5799,24.58,24.49,24.5,4166,0
2015-02-03,20:15:00,24.47,24.51,24.47,24.49,6540,0
2015-02-03,20:20:00,24.5,24.53,24.45,24.53,6300,0
2015-02-03,20:25:00,24.484,24.78,24.484,24.6605,8692,0
2015-02-03,20:30:00,24.66,24.66,24.66,24.66,1600,0
2015-02-03,20:35:00,24.6,24.69,24.57,24.69,1900,0
2015-02-03,20:40:00,24.69,24.71,24.63,24.63,1150,0
2015-02-03,20:45:00,24.6201,24.69,24.57,24.6,3100,0
2015-02-03,20:50:00,24.615,24.63,24.59,24.59,3700,0
2015-02-03,20:55:00,24.65,24.67,24.63,24.67,1500,0
2015-02-03,21:00:00,24.64,24.68,24.64,24.65,1000,0
2015-02-03,21:05:00,24.705,24.705,24.67,24.67,200,0
2015-02-03,21:10:00,24.73,24.73,24.73,24.73,500,0
2015-02-03,21:15:00,24.8713,24.9,24.801,24.801,5415,0
2015-02-03,21:20:00,24.77,24.77,24.63,24.66,6059,0
2015-02-03,21:25:00,24.7,24.72,24.695,24.72,1100,0
2015-02-03,21:30:00,24.7,24.72,24.7,24.7,1800,0
2015-02-03,21:35:00,24.7,24.74,24.665,24.74,3662,0
2015-02-03,21:40:00,24.75,24.91,24.74,24.91,3100,0
2015-02-03,21:45:00,24.92,24.92,24.86,24.86,1900,0
2015-02-03,21:50:00,24.78,24.82,24.76,24.805,4100,0
