Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-03-04,21:45:00,16.678,16.678,16.678,16.678,1015,0
2014-03-04,21:50:00,16.678,16.678,16.678,16.678,608,0
2014-03-04,21:55:00,16.678,16.678,16.678,16.678,1015,0
2014-03-04,22:00:00,16.689,16.689,16.689,16.689,608,0
2014-03-05,17:30:00,16.668,16.669,16.668,16.668,2331,0
2014-03-05,21:40:00,16.659,16.659,16.659,16.659,2027,0
2014-03-05,21:50:00,16.659,16.659,16.659,16.659,100,0
2014-03-06,21:35:00,16.659,16.659,16.659,16.659,404,0
2014-03-07,20:50:00,16.668,16.668,16.668,16.668,508,0
2014-03-07,21:00:00,16.661,16.661,16.661,16.661,508,0
2014-03-07,22:00:00,16.639,16.639,16.639,16.639,400,0
2014-03-10,18:30:00,16.561,16.561,16.561,16.561,204,0
2014-03-10,18:40:00,16.561,16.561,16.55,16.56,2027,0
2014-03-10,18:45:00,16.56,16.56,16.55,16.55,1520,0
2014-03-10,19:35:00,16.55,16.55,16.55,16.55,1750,0
2014-03-10,20:00:00,16.224,16.224,16.195,16.195,404,0
2014-03-10,21:00:00,16.461,16.57,16.461,16.55,3087,0
2014-03-13,19:40:00,16.415,16.415,16.415,16.415,912,0
2014-03-13,20:25:00,16.56,16.595,16.56,16.595,1520,0
2014-03-14,16:20:00,16.294,16.294,16.294,16.294,844,0
2014-03-14,18:20:00,16.284,16.284,16.284,16.284,304,0
2014-03-14,18:45:00,16.56,16.56,16.56,16.56,508,0
2014-03-14,20:50:00,16.521,16.521,16.511,16.511,1319,0
2014-03-18,14:45:00,16.364,16.364,16.364,16.364,239,0
2014-03-18,16:35:00,16.402,16.412,16.402,16.412,1623,0
2014-03-20,20:40:00,16.432,16.432,16.432,16.432,1623,0
2014-03-21,16:05:00,16.402,16.402,16.402,16.402,404,0
2014-03-21,16:10:00,16.402,16.402,16.402,16.402,1216,0
2014-03-21,16:15:00,16.422,16.422,16.402,16.422,1355,0
2014-03-21,20:45:00,16.422,16.422,16.422,16.422,404,0
2014-03-21,21:00:00,16.422,16.422,16.422,16.422,304,0
2014-03-24,15:05:00,16.284,16.284,16.284,16.284,404,0
2014-03-24,15:35:00,16.285,16.294,16.284,16.294,1642,0
2014-03-24,16:50:00,16.294,16.294,16.294,16.294,304,0
2014-03-24,17:20:00,16.294,16.294,16.294,16.294,100,0
2014-03-24,18:00:00,16.307,16.307,16.307,16.307,709,0
2014-03-24,18:05:00,16.314,16.314,16.314,16.314,508,0
2014-03-26,17:20:00,16.293,16.314,16.293,16.314,1573,0
2014-03-26,19:00:00,16.408,16.432,16.358,16.432,812,0
2014-03-26,19:30:00,16.284,16.284,16.284,16.284,2231,0
2014-03-26,19:35:00,16.274,16.284,16.274,16.284,4765,0
2014-03-26,19:40:00,16.284,16.284,16.274,16.274,304,0
2014-03-26,19:45:00,16.274,16.274,16.274,16.274,304,0
2014-03-28,15:10:00,16.264,16.264,16.264,16.264,204,0
2014-03-28,15:15:00,16.244,16.431,16.244,16.431,1565,0
2014-03-28,15:25:00,16.126,16.126,16.126,16.126,6739,0
2014-03-28,16:50:00,16.176,16.176,16.176,16.176,100,0
2014-03-28,17:20:00,16.166,16.166,16.166,16.166,508,0
2014-03-28,21:00:00,16.166,16.166,16.166,16.166,100,0
2014-03-31,15:35:00,16.176,16.176,16.176,16.176,799,0
2014-03-31,21:45:00,16.126,16.126,16.126,16.126,508,0
2014-04-01,18:10:00,15.978,15.978,15.978,15.978,204,0
2014-04-01,18:15:00,15.978,15.978,15.978,15.978,1419,0
2014-04-01,18:20:00,15.958,15.978,15.958,15.958,1520,0
2014-04-01,18:35:00,16.01,16.01,16.01,16.01,709,0
2014-04-02,18:20:00,16.156,16.176,16.156,16.176,5069,0
2014-04-02,19:50:00,16.363,16.363,16.363,16.363,100,0
2014-04-04,15:35:00,16.294,16.294,16.294,16.294,204,0
2014-04-08,19:10:00,16.294,16.294,16.294,16.294,508,0
2014-04-09,19:10:00,16.274,16.274,16.274,16.274,129,0
2014-04-09,19:30:00,16.274,16.274,16.274,16.274,508,0
2014-04-09,19:35:00,16.262,16.262,16.262,16.262,508,0
2014-04-09,19:40:00,16.274,16.274,16.176,16.274,3244,0
2014-04-09,19:45:00,16.264,16.264,16.264,16.264,1520,0
2014-04-09,20:30:00,16.152,16.152,16.152,16.152,100,0
2014-04-09,20:45:00,16.028,16.028,16.028,16.028,100,0
2014-04-09,20:55:00,16.166,16.166,16.156,16.166,2129,0
2014-04-09,22:00:00,16.166,16.166,16.156,16.156,2704,0
2014-04-10,21:15:00,16.146,16.146,16.146,16.146,508,0
2014-04-16,16:50:00,16.087,16.087,16.087,16.087,7357,0
2014-04-16,17:25:00,16.096,16.106,16.087,16.087,10557,0
2014-04-16,17:45:00,16.087,16.087,16.028,16.087,6083,0
2014-04-16,20:30:00,16.136,16.136,16.136,16.136,3955,0
2014-04-16,20:40:00,16.398,16.398,16.398,16.398,2027,0
2014-04-16,21:40:00,16.274,16.274,16.274,16.274,100,0
2014-04-16,21:50:00,16.373,16.432,16.373,16.432,744,0
2014-04-17,16:25:00,16.126,16.422,16.126,16.422,404,0
2014-04-17,18:55:00,16.422,16.422,16.421,16.421,204,0
2014-04-21,19:30:00,16.402,16.402,16.402,16.402,204,0
2014-04-21,20:25:00,16.422,16.422,16.422,16.422,100,0
2014-04-21,21:00:00,16.264,16.274,16.264,16.274,404,0
2014-04-21,21:20:00,16.264,16.264,16.264,16.264,212,0
2014-04-21,21:25:00,16.274,16.274,16.274,16.274,102,0
2014-04-22,18:20:00,16.373,16.373,16.087,16.186,1723,0
2014-04-25,16:40:00,15.544,15.781,15.544,15.781,1166,0
2014-04-25,16:45:00,16.087,16.087,16.087,16.087,508,0
2014-04-25,16:55:00,16.146,16.186,16.146,16.176,8766,0
2014-04-25,17:05:00,16.176,16.176,16.176,16.176,1270,0
2014-04-29,16:15:00,14.273,14.273,14.273,14.273,100,0
2014-04-29,16:35:00,16.156,16.176,16.156,16.176,781,0
2014-04-29,19:55:00,16.102,16.176,16.102,16.176,2231,0
2014-04-29,20:15:00,16.176,16.176,16.176,16.176,304,0
2014-05-01,15:50:00,16.254,16.254,16.254,16.254,5800,0
2014-05-01,18:40:00,16.264,16.264,16.264,16.264,100,0
2014-05-01,20:30:00,16.531,16.543,16.521,16.543,1927,0
2014-05-01,20:40:00,16.668,16.668,16.521,16.668,741,0
2014-05-01,20:55:00,16.54,16.54,16.521,16.521,2878,0
2014-05-01,21:45:00,16.521,16.54,16.521,16.521,3036,0
