Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,20:05:00,70.920,70.920,70.780,70.780,1500,0
2015-01-29,20:15:00,70.71,71.0,70.68,70.86,25800,0
2015-01-29,20:20:00,71.07,71.18,71.0,71.02,1500,0
2015-01-29,20:25:00,71.17,71.18,71.15,71.18,1600,0
2015-01-29,20:30:00,71.33,71.47,71.285,71.47,1100,0
2015-01-29,20:35:00,71.57,71.57,71.57,71.57,200,0
2015-01-29,20:40:00,71.43,71.59,71.43,71.59,300,0
2015-01-29,20:45:00,71.445,71.65,71.445,71.46,1400,0
2015-01-29,20:50:00,71.46,71.46,71.07,71.2,4200,0
2015-01-29,20:55:00,71.15,71.15,71.15,71.15,200,0
2015-01-29,21:00:00,71.24,71.24,71.12,71.12,300,0
2015-01-29,21:05:00,71.32,71.45,71.18,71.45,800,0
2015-01-29,21:10:00,71.51,71.62,71.441,71.56,1800,0
2015-01-29,21:15:00,71.56,71.82,71.56,71.82,700,0
2015-01-29,21:20:00,71.74,71.74,71.295,71.37,4800,0
2015-01-29,21:25:00,71.27,71.62,71.27,71.62,1155,0
2015-01-29,21:30:00,71.42,71.68,71.39,71.52,1500,0
2015-01-29,21:35:00,71.67,71.67,71.26,71.26,12800,0
2015-01-29,21:40:00,71.33,71.4,71.25,71.28,1700,0
2015-01-29,21:45:00,71.37,71.5,71.36,71.5,1600,0
2015-01-29,21:50:00,71.51,71.53,71.43,71.43,4000,0
2015-01-29,21:55:00,71.5,71.58,71.46,71.54,9477,0
2015-01-29,22:00:00,71.61,71.61,71.54,71.61,28993,0
2015-01-30,15:35:00,71.05,71.05,70.94,70.95,3846,0
2015-01-30,15:40:00,70.77,70.95,70.77,70.92,1200,0
2015-01-30,15:50:00,71.33,71.38,71.33,71.33,400,0
2015-01-30,15:55:00,71.16,71.16,71.16,71.16,400,0
2015-01-30,16:05:00,71.17,71.17,71.095,71.095,1200,0
2015-01-30,16:10:00,71.12,71.12,71.0,71.0,2100,0
2015-01-30,16:15:00,70.96,71.0,70.93,70.93,1200,0
2015-01-30,16:20:00,70.73,70.9,70.71,70.87,1000,0
2015-01-30,16:25:00,70.645,70.645,70.64,70.64,500,0
2015-01-30,16:30:00,70.615,70.6675,70.48,70.605,1100,0
2015-01-30,16:35:00,70.57,70.57,70.5,70.5,900,0
2015-01-30,16:45:00,70.52,70.52,70.52,70.52,400,0
2015-01-30,16:55:00,70.33,70.33,70.33,70.33,100,0
2015-01-30,17:00:00,70.3,70.3,69.96,69.96,1700,0
2015-01-30,17:05:00,70.05,70.49,70.05,70.24,3300,0
2015-01-30,17:10:00,70.44,70.455,70.37,70.455,1100,0
2015-01-30,17:15:00,70.375,70.375,70.375,70.375,400,0
2015-01-30,17:20:00,70.4517,70.525,70.32,70.52,968,0
2015-01-30,17:25:00,70.54,70.61,70.31,70.4,2016,0
2015-01-30,17:30:00,70.6,70.61,70.41,70.41,700,0
2015-01-30,17:35:00,70.59,70.61,70.4,70.61,1600,0
2015-01-30,17:40:00,70.61,70.695,70.5,70.5,1100,0
2015-01-30,17:45:00,70.52,70.69,70.51,70.68,1600,0
2015-01-30,17:50:00,70.52,70.9,70.52,70.87,5600,0
2015-01-30,17:55:00,70.71,70.9,70.69,70.77,1300,0
2015-01-30,18:00:00,70.9,70.9,70.815,70.9,1000,0
2015-01-30,18:05:00,70.9,71.09,70.9,71.07,2800,0
2015-01-30,18:10:00,70.96,71.0,70.96,70.99,700,0
2015-01-30,18:15:00,70.86,70.87,70.86,70.87,200,0
2015-01-30,18:20:00,70.87,70.97,70.87,70.91,500,0
2015-01-30,18:25:00,70.92,71.09,70.92,71.09,800,0
2015-01-30,18:30:00,71.09,71.09,71.04,71.04,600,0
2015-01-30,18:40:00,71.11,71.11,71.07,71.07,500,0
2015-01-30,18:55:00,71.14,71.14,71.14,71.14,200,0
2015-01-30,19:00:00,71.0,71.0,70.86,70.86,900,0
2015-01-30,19:05:00,71.0,71.0,70.87,71.0,400,0
2015-01-30,19:10:00,70.89,70.935,70.82,70.935,1100,0
2015-01-30,19:15:00,70.81,70.975,70.78,70.87,1300,0
2015-01-30,19:20:00,70.845,70.845,70.835,70.835,211,0
2015-01-30,19:25:00,70.85,70.855,70.75,70.765,1900,0
2015-01-30,19:30:00,70.81,70.905,70.73,70.77,2300,0
2015-01-30,19:35:00,71.0,71.0,71.0,71.0,1000,0
2015-01-30,19:45:00,71.0,71.0,70.945,70.965,1900,0
2015-01-30,19:55:00,70.97,70.99,70.92,70.92,842,0
2015-01-30,20:00:00,71.04,71.23,70.95,71.22,13800,0
2015-01-30,20:05:00,71.01,71.13,70.99,71.03,2700,0
2015-01-30,20:10:00,70.95,70.95,70.95,70.95,200,0
2015-01-30,20:15:00,71.0,71.0,70.88,70.96,1100,0
2015-01-30,20:20:00,71.02,71.1,71.02,71.1,1200,0
2015-01-30,20:25:00,71.14,71.14,71.05,71.05,400,0
2015-01-30,20:30:00,71.14,71.14,71.14,71.14,500,0
2015-01-30,20:35:00,71.235,71.245,71.16,71.245,1200,0
2015-01-30,20:40:00,71.18,71.18,70.95,71.01,4489,0
2015-01-30,20:45:00,71.02,71.02,71.02,71.02,100,0
2015-01-30,20:55:00,71.02,71.128,70.82,70.95,19100,0
2015-01-30,21:00:00,70.99,70.99,70.82,70.95,700,0
2015-01-30,21:05:00,70.99,71.0,70.83,70.83,1600,0
2015-01-30,21:10:00,70.81,70.84,70.78,70.82,1300,0
2015-01-30,21:15:00,70.915,70.915,70.65,70.85,1700,0
2015-01-30,21:20:00,70.89,70.89,70.5,70.5,2500,0
2015-01-30,21:25:00,70.53,70.73,70.44,70.51,2700,0
2015-01-30,21:30:00,70.43,70.53,70.43,70.4525,800,0
2015-01-30,21:35:00,70.52,70.53,70.23,70.42,2500,0
2015-01-30,21:40:00,70.42,70.76,70.3301,70.36,4200,0
2015-01-30,21:45:00,70.36,70.425,70.31,70.39,1300,0
2015-01-30,21:50:00,70.49,70.495,70.28,70.33,4277,0
2015-01-30,21:55:00,70.37,70.48,70.28,70.37,12564,0
2015-01-30,22:00:00,70.31,70.35,70.05,70.1,37297,0
2015-02-02,15:35:00,70.87,70.87,69.984,70.205,5063,0
2015-02-02,15:40:00,70.7,70.76,70.4,70.76,3600,0
2015-02-02,15:45:00,70.75,70.75,70.16,70.16,2400,0
2015-02-02,15:50:00,70.16,70.41,70.15,70.15,804,0
2015-02-02,15:55:00,70.06,70.06,69.98,69.99,1740,0
2015-02-02,16:00:00,69.99,70.0,69.99,70.0,900,0
2015-02-02,16:05:00,69.7,69.7,69.7,69.7,400,0
2015-02-02,16:10:00,69.7,69.8295,69.69,69.8295,3220,0
2015-02-02,16:15:00,69.82,69.82,69.81,69.81,500,0
2015-02-02,16:25:00,69.76,69.86,69.76,69.86,600,0
2015-02-02,16:30:00,70.12,70.14,70.12,70.14,400,0
2015-02-02,16:35:00,70.02,70.08,70.02,70.08,900,0
2015-02-02,16:40:00,69.81,70.28,69.8,70.28,1000,0
2015-02-02,16:45:00,70.4,70.46,70.36,70.36,1200,0
2015-02-02,16:50:00,70.25,70.29,70.25,70.29,3100,0
2015-02-02,16:55:00,70.45,70.56,70.45,70.56,1200,0
2015-02-02,17:00:00,70.49,70.49,70.33,70.33,400,0
2015-02-02,17:10:00,70.4,70.565,70.4,70.565,1600,0
2015-02-02,17:15:00,70.67,70.73,70.67,70.73,300,0
2015-02-02,17:20:00,70.645,70.86,70.645,70.7,1600,0
2015-02-02,17:30:00,70.81,70.81,70.76,70.78,1300,0
2015-02-02,17:35:00,70.76,71.18,70.76,71.18,857,0
2015-02-02,17:40:00,71.01,71.47,71.01,71.25,800,0
2015-02-02,17:45:00,71.33,71.33,71.11,71.26,1600,0
2015-02-02,17:50:00,71.22,71.32,71.11,71.28,1900,0
2015-02-02,17:55:00,71.17,71.18,70.91,70.91,1900,0
2015-02-02,18:00:00,70.92,70.92,70.92,70.92,200,0
2015-02-02,18:10:00,70.73,70.94,70.71,70.77,2700,0
2015-02-02,18:15:00,70.83,70.88,70.83,70.88,408,0
2015-02-02,18:20:00,70.83,70.8799,70.78,70.78,900,0
2015-02-02,18:25:00,70.95,70.95,70.73,70.73,800,0
2015-02-02,18:30:00,70.83,71.19,70.79,70.97,1600,0
2015-02-02,18:35:00,70.99,71.15,70.99,71.15,800,0
2015-02-02,18:40:00,71.14,71.14,70.95,71.12,1500,0
2015-02-02,18:45:00,71.06,71.06,71.01,71.01,400,0
2015-02-02,18:50:00,71.01,71.01,70.82,70.94,1100,0
2015-02-02,19:00:00,70.97,70.97,70.97,70.97,100,0
2015-02-02,19:05:00,70.91,70.98,70.43,70.59,1200,0
2015-02-02,19:15:00,70.46,70.55,70.46,70.55,700,0
2015-02-02,19:25:00,70.62,70.62,70.43,70.43,300,0
2015-02-02,19:30:00,70.64,71.12,70.64,70.93,1400,0
2015-02-02,19:40:00,70.62,70.62,70.37,70.37,1000,0
2015-02-02,19:45:00,70.49,70.49,70.25,70.25,500,0
2015-02-02,19:50:00,70.09,70.2,70.09,70.19,1400,0
2015-02-02,19:55:00,70.35,70.35,70.23,70.35,700,0
2015-02-02,20:00:00,70.23,70.245,70.1,70.1,1900,0
2015-02-02,20:10:00,70.21,70.21,70.21,70.21,200,0
2015-02-02,20:20:00,70.37,70.37,70.37,70.37,1700,0
2015-02-02,20:25:00,70.62,70.66,70.61,70.61,1000,0
2015-02-02,20:35:00,70.78,70.78,70.78,70.78,800,0
2015-02-02,20:40:00,70.69,70.69,70.49,70.61,1800,0
2015-02-02,20:45:00,70.58,70.58,70.58,70.58,100,0
2015-02-02,20:50:00,70.42,70.5,70.42,70.5,200,0
2015-02-02,20:55:00,70.49,70.54,70.49,70.54,1700,0
2015-02-02,21:00:00,70.53,70.575,70.46,70.575,1900,0
2015-02-02,21:10:00,70.48,70.55,70.46,70.55,1400,0
