Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,20:45:00,17.63,17.66,17.63,17.66,287,0
2015-01-29,20:50:00,17.663,17.663,17.653,17.653,806,0
2015-01-29,20:55:00,17.653,17.653,17.633,17.652,1310,0
2015-01-29,21:00:00,17.653,17.663,17.643,17.653,1171,0
2015-01-29,21:05:00,17.633,17.653,17.633,17.653,1512,0
2015-01-29,21:10:00,17.653,17.663,17.653,17.653,1212,0
2015-01-29,21:15:00,17.653,17.653,17.643,17.643,605,0
2015-01-29,21:20:00,17.645,17.653,17.645,17.653,1533,0
2015-01-29,21:25:00,17.653,17.653,17.653,17.653,806,0
2015-01-29,21:30:00,17.653,17.663,17.653,17.653,404,0
2015-01-29,21:35:00,17.653,17.66,17.653,17.66,1610,0
2015-01-29,21:40:00,17.65,17.653,17.65,17.653,3048,0
2015-01-29,21:45:00,17.653,17.653,17.643,17.643,909,0
2015-01-29,21:50:00,17.643,17.663,17.643,17.663,2624,0
2015-01-29,21:55:00,17.663,17.673,17.653,17.663,13919,0
2015-01-29,22:00:00,17.653,17.673,17.653,17.673,17879,0
2015-01-30,15:35:00,17.573,17.573,17.573,17.573,2512,0
2015-01-30,15:40:00,17.573,17.633,17.573,17.593,7856,0
2015-01-30,15:45:00,17.593,17.603,17.544,17.544,2419,0
2015-01-30,15:50:00,17.554,17.554,17.554,17.554,404,0
2015-01-30,15:55:00,17.611,17.613,17.611,17.613,505,0
2015-01-30,16:10:00,17.603,17.603,17.603,17.603,404,0
2015-01-30,16:15:00,17.603,17.603,17.603,17.603,101,0
2015-01-30,16:30:00,17.575,17.575,17.575,17.575,202,0
2015-01-30,16:35:00,17.563,17.583,17.563,17.583,1414,0
2015-01-30,16:50:00,17.544,17.603,17.544,17.603,706,0
2015-01-30,17:00:00,17.603,17.603,17.603,17.603,292,0
2015-01-30,17:05:00,17.563,17.563,17.563,17.563,101,0
2015-01-30,17:10:00,17.573,17.573,17.544,17.544,505,0
2015-01-30,17:15:00,17.563,17.563,17.563,17.563,303,0
2015-01-30,17:20:00,17.563,17.563,17.563,17.563,404,0
2015-01-30,17:25:00,17.573,17.593,17.573,17.593,806,0
2015-01-30,17:30:00,17.593,17.593,17.544,17.544,1312,0
2015-01-30,17:35:00,17.573,17.573,17.573,17.573,101,0
2015-01-30,17:40:00,17.603,17.603,17.564,17.564,1409,0
2015-01-30,17:50:00,17.603,17.603,17.603,17.603,303,0
2015-01-30,17:55:00,17.593,17.593,17.593,17.593,101,0
2015-01-30,18:00:00,17.573,17.593,17.573,17.593,303,0
2015-01-30,18:05:00,17.563,17.563,17.534,17.534,2421,0
2015-01-30,18:15:00,17.573,17.573,17.524,17.524,404,0
2015-01-30,18:25:00,17.554,17.573,17.544,17.573,2018,0
2015-01-30,18:30:00,17.554,17.554,17.554,17.554,202,0
2015-01-30,18:35:00,17.571,17.571,17.571,17.571,151,0
2015-01-30,18:40:00,17.573,17.573,17.573,17.573,202,0
2015-01-30,18:50:00,17.573,17.573,17.573,17.573,303,0
2015-01-30,18:55:00,17.563,17.573,17.554,17.554,1212,0
2015-01-30,19:00:00,17.544,17.544,17.544,17.544,101,0
2015-01-30,19:05:00,17.563,17.563,17.563,17.563,101,0
2015-01-30,19:15:00,17.544,17.554,17.534,17.534,2364,0
2015-01-30,19:20:00,17.534,17.534,17.534,17.534,1411,0
2015-01-30,19:30:00,17.534,17.534,17.524,17.524,599,0
2015-01-30,19:35:00,17.524,17.524,17.504,17.504,1511,0
2015-01-30,19:40:00,17.484,17.514,17.484,17.514,202,0
2015-01-30,19:45:00,17.514,17.524,17.514,17.524,1613,0
2015-01-30,19:50:00,17.494,17.524,17.494,17.524,808,0
2015-01-30,19:55:00,17.514,17.524,17.484,17.484,4233,0
2015-01-30,20:05:00,17.524,17.524,17.524,17.524,603,0
2015-01-30,20:10:00,17.524,17.524,17.524,17.524,808,0
2015-01-30,20:15:00,17.524,17.524,17.524,17.524,186,0
2015-01-30,20:20:00,17.523,17.524,17.523,17.524,2619,0
2015-01-30,20:25:00,17.514,17.524,17.514,17.524,4732,0
2015-01-30,20:30:00,17.524,17.524,17.524,17.524,1010,0
2015-01-30,20:35:00,17.524,17.524,17.524,17.524,808,0
2015-01-30,20:40:00,17.518,17.518,17.494,17.494,4637,0
2015-01-30,20:50:00,17.514,17.514,17.444,17.446,2490,0
2015-01-30,20:55:00,17.444,17.444,17.424,17.424,1319,0
2015-01-30,21:00:00,17.424,17.444,17.415,17.415,806,0
2015-01-30,21:05:00,17.424,17.424,17.405,17.405,2320,0
2015-01-30,21:10:00,17.395,17.395,17.395,17.395,1714,0
2015-01-30,21:15:00,17.375,17.375,17.375,17.375,101,0
2015-01-30,21:20:00,17.375,17.385,17.365,17.365,3915,0
2015-01-30,21:25:00,17.365,17.424,17.365,17.385,1714,0
2015-01-30,21:35:00,17.385,17.385,17.335,17.335,707,0
2015-01-30,21:40:00,17.345,17.365,17.345,17.365,504,0
2015-01-30,21:45:00,17.365,17.415,17.365,17.365,1010,0
2015-01-30,21:50:00,17.415,17.415,17.415,17.415,1212,0
2015-01-30,21:55:00,17.365,17.385,17.295,17.313,3944,0
2015-01-30,22:00:00,17.325,17.325,17.266,17.276,57677,0
2015-02-02,15:35:00,17.314,17.314,17.226,17.226,3720,0
2015-02-02,15:40:00,17.256,17.256,17.206,17.216,576,0
2015-02-02,15:45:00,17.196,17.286,17.196,17.286,202,0
2015-02-02,15:50:00,17.206,17.226,17.128,17.128,14632,0
2015-02-02,15:55:00,17.127,17.186,17.077,17.146,2927,0
2015-02-02,16:00:00,17.077,17.083,16.948,16.994,9317,0
2015-02-02,16:05:00,17.008,17.027,17.008,17.027,1009,0
2015-02-02,16:10:00,17.027,17.027,16.928,16.938,5259,0
2015-02-02,16:15:00,16.968,16.968,16.95,16.968,2133,0
2015-02-02,16:20:00,16.998,17.008,16.978,17.008,2063,0
2015-02-02,16:25:00,17.047,17.127,17.047,17.087,808,0
2015-02-02,16:30:00,17.087,17.104,17.047,17.057,2419,0
2015-02-02,16:35:00,17.067,17.067,17.057,17.057,1461,0
2015-02-02,16:40:00,17.027,17.067,17.027,17.067,1715,0
2015-02-02,16:45:00,17.085,17.085,17.085,17.085,604,0
2015-02-02,16:50:00,17.077,17.077,17.077,17.077,706,0
2015-02-02,16:55:00,17.077,17.117,17.077,17.117,1209,0
2015-02-02,17:00:00,17.137,17.137,17.137,17.137,404,0
2015-02-02,17:05:00,17.127,17.127,17.107,17.117,404,0
2015-02-02,17:10:00,17.119,17.196,17.107,17.196,2420,0
2015-02-02,17:20:00,17.226,17.226,17.216,17.216,505,0
2015-02-02,17:25:00,17.226,17.256,17.216,17.216,1513,0
2015-02-02,17:30:00,17.226,17.254,17.226,17.254,202,0
2015-02-02,17:35:00,17.218,17.218,17.206,17.213,1264,0
2015-02-02,17:40:00,17.236,17.276,17.206,17.266,2626,0
2015-02-02,17:45:00,17.276,17.305,17.276,17.305,907,0
2015-02-02,17:50:00,17.305,17.305,17.256,17.256,1311,0
2015-02-02,18:00:00,17.241,17.241,17.205,17.206,1484,0
2015-02-02,18:05:00,17.188,17.188,17.137,17.137,2235,0
2015-02-02,18:10:00,17.176,17.176,17.176,17.176,202,0
2015-02-02,18:15:00,17.176,17.176,17.176,17.176,505,0
2015-02-02,18:20:00,17.206,17.206,17.206,17.206,101,0
2015-02-02,18:30:00,17.216,17.216,17.216,17.216,101,0
2015-02-02,18:35:00,17.216,17.216,17.216,17.216,202,0
2015-02-02,18:40:00,17.206,17.206,17.206,17.206,706,0
2015-02-02,18:45:00,17.196,17.202,17.196,17.202,908,0
2015-02-02,18:50:00,17.196,17.216,17.186,17.186,784,0
2015-02-02,18:55:00,17.176,17.176,17.176,17.176,202,0
2015-02-02,19:00:00,17.186,17.186,17.186,17.186,303,0
2015-02-02,19:05:00,17.186,17.186,17.186,17.186,505,0
2015-02-02,19:10:00,17.186,17.186,17.186,17.186,101,0
2015-02-02,19:15:00,17.176,17.176,17.147,17.176,707,0
2015-02-02,19:25:00,17.186,17.196,17.186,17.196,605,0
2015-02-02,19:30:00,17.216,17.216,17.206,17.206,606,0
2015-02-02,19:35:00,17.216,17.246,17.216,17.246,303,0
2015-02-02,19:40:00,17.206,17.221,17.176,17.176,404,0
2015-02-02,19:45:00,17.185,17.186,17.185,17.186,202,0
2015-02-02,19:50:00,17.186,17.186,17.147,17.147,404,0
2015-02-02,19:55:00,17.156,17.166,17.147,17.147,2493,0
2015-02-02,20:00:00,17.137,17.137,17.127,17.127,410,0
2015-02-02,20:05:00,17.117,17.117,17.107,17.107,808,0
2015-02-02,20:10:00,17.117,17.137,17.117,17.137,303,0
2015-02-02,20:15:00,17.129,17.166,17.129,17.156,4005,0
2015-02-02,20:20:00,17.161,17.161,17.137,17.137,404,0
2015-02-02,20:25:00,17.186,17.204,17.176,17.204,686,0
2015-02-02,20:30:00,17.206,17.236,17.206,17.236,606,0
2015-02-02,20:35:00,17.219,17.236,17.196,17.227,1713,0
2015-02-02,20:40:00,17.236,17.246,17.236,17.246,606,0
2015-02-02,20:45:00,17.246,17.266,17.246,17.266,2216,0
2015-02-02,21:05:00,17.236,17.236,17.156,17.156,1605,0
2015-02-02,21:10:00,17.176,17.176,17.176,17.176,101,0
2015-02-02,21:15:00,17.186,17.226,17.166,17.226,1212,0
2015-02-02,21:20:00,17.216,17.216,17.216,17.216,606,0
2015-02-02,21:25:00,17.186,17.186,17.186,17.186,606,0
2015-02-02,21:35:00,17.186,17.216,17.186,17.216,707,0
2015-02-02,21:40:00,17.226,17.266,17.216,17.256,2451,0
2015-02-02,21:45:00,17.266,17.266,17.266,17.266,505,0
2015-02-02,21:50:00,17.266,17.276,17.261,17.266,2528,0
2015-02-02,21:55:00,17.266,17.305,17.265,17.276,8118,0
2015-02-02,22:00:00,17.286,17.305,17.276,17.295,13223,0
2015-02-03,15:35:00,17.325,17.341,17.286,17.325,20217,0
2015-02-03,15:40:00,17.315,17.315,17.286,17.286,1977,0
2015-02-03,15:50:00,17.276,17.276,17.266,17.276,2367,0
2015-02-03,15:55:00,17.276,17.286,17.256,17.278,2996,0
2015-02-03,16:05:00,17.305,17.325,17.286,17.295,1815,0
2015-02-03,16:10:00,17.325,17.343,17.325,17.325,1814,0
2015-02-03,16:15:00,17.334,17.334,17.325,17.334,2116,0
2015-02-03,16:20:00,17.325,17.325,17.315,17.315,1156,0
2015-02-03,16:25:00,17.325,17.335,17.325,17.325,1714,0
2015-02-03,16:30:00,17.335,17.335,17.325,17.335,5851,0
2015-02-03,16:35:00,17.355,17.365,17.355,17.365,438,0
2015-02-03,16:40:00,17.336,17.336,17.336,17.336,1007,0
2015-02-03,16:55:00,17.356,17.365,17.355,17.365,3427,0
2015-02-03,17:00:00,17.35,17.355,17.325,17.355,1715,0
2015-02-03,17:05:00,17.355,17.365,17.355,17.355,2240,0
2015-02-03,17:10:00,17.355,17.355,17.355,17.355,302,0
2015-02-03,17:20:00,17.355,17.355,17.355,17.355,202,0
2015-02-03,17:25:00,17.355,17.355,17.355,17.355,101,0
2015-02-03,17:30:00,17.355,17.365,17.355,17.365,604,0
2015-02-03,17:40:00,17.375,17.385,17.375,17.375,6046,0
2015-02-03,17:45:00,17.405,17.405,17.365,17.365,517,0
2015-02-03,17:50:00,17.38,17.38,17.38,17.38,202,0
2015-02-03,17:55:00,17.365,17.385,17.365,17.385,1255,0
2015-02-03,18:00:00,17.375,17.385,17.375,17.385,606,0
2015-02-03,18:05:00,17.365,17.365,17.365,17.365,202,0
2015-02-03,18:10:00,17.385,17.385,17.375,17.375,1511,0
2015-02-03,18:15:00,17.377,17.385,17.375,17.375,303,0
2015-02-03,18:20:00,17.383,17.383,17.383,17.383,695,0
2015-02-03,18:25:00,17.355,17.355,17.355,17.355,101,0
2015-02-03,18:30:00,17.374,17.375,17.374,17.375,504,0
2015-02-03,18:40:00,17.355,17.355,17.355,17.355,419,0
2015-02-03,18:45:00,17.375,17.375,17.375,17.375,303,0
2015-02-03,18:50:00,17.375,17.42,17.375,17.42,5541,0
2015-02-03,18:55:00,17.424,17.424,17.385,17.385,1715,0
2015-02-03,19:00:00,17.41,17.41,17.385,17.385,1512,0
2015-02-03,19:05:00,17.405,17.405,17.405,17.405,403,0
2015-02-03,19:10:00,17.405,17.405,17.375,17.375,404,0
2015-02-03,19:20:00,17.405,17.405,17.395,17.395,296,0
2015-02-03,19:30:00,17.395,17.395,17.375,17.375,302,0
