Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-13,21:50:00,3.7700,3.7700,3.7700,3.7700,900,0
2015-01-13,21:55:00,3.77,3.77,3.77,3.77,200,0
2015-01-13,22:00:00,3.75,3.75,3.75,3.75,300,0
2015-01-14,15:55:00,3.66,3.66,3.66,3.66,200,0
2015-01-14,16:00:00,3.68,3.68,3.68,3.68,100,0
2015-01-14,16:05:00,3.68,3.68,3.68,3.68,560,0
2015-01-14,16:30:00,3.68,3.68,3.68,3.68,100,0
2015-01-14,16:40:00,3.68,3.68,3.68,3.68,200,0
2015-01-14,16:45:00,3.689,3.689,3.68,3.68,350,0
2015-01-14,16:50:00,3.68,3.68,3.68,3.68,100,0
2015-01-14,16:55:00,3.662,3.662,3.662,3.662,100,0
2015-01-14,17:00:00,3.67,3.67,3.67,3.67,100,0
2015-01-14,17:05:00,3.68,3.68,3.68,3.68,200,0
2015-01-14,17:25:00,3.7,3.7,3.7,3.7,300,0
2015-01-14,17:50:00,3.73,3.73,3.62,3.62,3814,0
2015-01-14,17:55:00,3.64,3.64,3.64,3.64,200,0
2015-01-14,18:10:00,3.62,3.62,3.62,3.62,300,0
2015-01-14,18:20:00,3.5751,3.5751,3.5751,3.5751,100,0
2015-01-14,18:25:00,3.5501,3.551,3.55,3.55,1800,0
2015-01-14,18:30:00,3.55,3.55,3.53,3.53,600,0
2015-01-14,18:35:00,3.52,3.52,3.52,3.52,100,0
2015-01-14,18:40:00,3.54,3.5498,3.54,3.5498,1700,0
2015-01-14,19:00:00,3.53,3.53,3.53,3.53,100,0
2015-01-14,19:15:00,3.54,3.54,3.54,3.54,600,0
2015-01-14,19:25:00,3.55,3.55,3.54,3.54,1900,0
2015-01-14,20:15:00,3.55,3.55,3.55,3.55,2200,0
2015-01-14,21:25:00,3.5999,3.5999,3.5999,3.5999,800,0
2015-01-14,22:00:00,3.56,3.56,3.56,3.56,400,0
2015-01-15,15:40:00,3.5401,3.5401,3.5401,3.5401,600,0
2015-01-15,15:45:00,3.54,3.54,3.54,3.54,200,0
2015-01-15,16:15:00,3.5,3.5,3.42,3.42,1714,0
2015-01-15,16:25:00,3.28,3.4,3.28,3.4,1261,0
2015-01-15,16:30:00,3.4,3.45,3.4,3.44,400,0
