Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-15,15:40:00,0.3100,0.3100,0.3100,0.3100,52900,0
2014-12-15,15:40:00,0.31,0.31,0.31,0.31,52900,0
2014-12-17,17:40:00,0.3497,0.3497,0.32,0.32,300,0
2014-12-17,22:00:00,0.32,0.32,0.32,0.32,100,0
2014-12-18,15:35:00,200000.0,200000.0,200000.0,200000.0,300,0
2014-12-18,15:45:00,0.32,0.32,0.32,0.32,200,0
2014-12-18,15:55:00,0.38,0.38,0.32,0.38,400,0
2014-12-18,16:10:00,0.4361,0.4361,0.38,0.38,2400,0
2014-12-18,16:15:00,0.3799,0.3799,0.3799,0.3799,1800,0
2014-12-18,16:20:00,0.3799,0.3799,0.32,0.32,1100,0
2014-12-18,16:25:00,0.3649,0.3649,0.3649,0.3649,1000,0
2014-12-18,18:30:00,0.35,0.35,0.35,0.35,8000,0
2014-12-18,18:40:00,0.35,937.36,0.35,61.11,7000,0
2014-12-18,18:45:00,32.38,32.38,0.361,0.361,13850,0
2014-12-18,19:00:00,0.4999,0.5,0.4999,0.5,400,0
2014-12-18,20:05:00,0.4,0.41,0.4,0.401,4575,0
2014-12-18,20:10:00,0.4,0.4,0.4,0.4,100,0
2014-12-18,20:15:00,0.381,0.381,0.381,0.381,450,0
2014-12-18,20:25:00,0.361,0.361,0.361,0.361,1500,0
2014-12-18,21:25:00,0.4,0.4,0.4,0.4,100,0
2014-12-19,16:20:00,0.35,0.367,0.335,0.35,10200,0
2014-12-19,17:15:00,0.3605,0.3605,0.3605,0.3605,1000,0
2014-12-19,18:30:00,0.3601,0.3601,0.36,0.36,4750,0
2014-12-19,18:55:00,0.3501,0.3501,0.3501,0.3501,5350,0
2014-12-19,21:15:00,0.35,0.35,0.35,0.35,1900,0
2014-12-19,21:50:00,0.35,0.35,0.35,0.35,400,0
2014-12-22,19:00:00,0.345,0.345,0.345,0.345,200,0
2014-12-22,20:20:00,0.345,0.35,0.32,0.35,1000,0
2014-12-24,16:55:00,0.3501,0.3501,0.35,0.3501,8700,0
2014-12-24,17:00:00,0.35,0.35,0.35,0.35,1000,0
2014-12-24,18:00:00,0.37,0.37,0.36,0.3601,4000,0
2014-12-24,18:05:00,0.36,0.3601,0.36,0.36,7000,0
2014-12-26,15:45:00,0.3501,0.3501,0.3501,0.3501,1250,0
2014-12-26,16:20:00,0.3501,0.3501,0.3501,0.3501,1500,0
2014-12-29,16:05:00,0.35,0.35,0.35,0.35,4000,0
2014-12-29,16:10:00,0.35,0.35,0.35,0.35,2750,0
2014-12-29,16:30:00,0.3201,0.3201,0.3201,0.3201,125,0
2014-12-29,17:00:00,0.32,0.32,0.32,0.32,100,0
2015-01-07,18:25:00,0.32,0.3201,0.32,0.32,2500,0
2015-01-07,22:00:00,0.3201,0.3201,0.3201,0.3201,200,0
2015-01-12,22:00:00,0.34,0.34,0.33,0.33,1400,0
2015-01-16,17:20:00,0.33,0.33,0.33,0.33,2000,0
2015-01-16,18:35:00,0.33,0.33,0.33,0.33,2000,0
2015-01-16,20:20:00,0.33,0.33,0.33,0.33,2500,0
2015-01-20,16:20:00,0.33,0.33,0.33,0.33,3600,0
2015-01-20,19:40:00,0.3301,0.3301,0.33,0.33,15000,0
2015-01-20,19:45:00,0.33,0.3301,0.33,0.3301,6000,0
2015-01-20,19:55:00,0.33,0.33,0.33,0.33,2500,0
2015-01-20,20:05:00,0.33,0.3301,0.33,0.33,14750,0
2015-01-20,20:45:00,0.33,0.33,0.33,0.33,10000,0
2015-01-28,18:50:00,0.33,0.33,0.33,0.33,6000,0
2015-01-28,19:00:00,0.33,0.33,0.33,0.33,100,0
2015-01-28,21:25:00,0.33,0.33,0.33,0.33,700,0
2015-01-28,22:00:00,0.33,0.33,0.33,0.33,100,0
2015-01-30,16:00:00,0.0825,0.0825,0.0825,0.0825,200,0
2015-01-30,16:05:00,0.22,0.35,0.22,0.35,2200,0
2015-01-30,21:00:00,0.26,0.26,0.26,0.26,4000,0
2015-02-02,15:45:00,0.26,0.26,0.26,0.26,200,0
2015-02-02,17:55:00,0.279,0.28,0.279,0.28,4600,0
2015-02-02,21:35:00,0.29,0.29,0.29,0.29,2400,0
2015-02-03,15:40:00,0.29,0.29,0.29,0.29,500,0
2015-02-05,19:45:00,0.29,0.33,0.29,0.33,9800,0
2015-02-09,20:20:00,0.27,0.27,0.27,0.27,32000,0
2015-02-09,20:40:00,0.27,0.27,0.27,0.27,200,0
2015-02-09,21:10:00,0.28,0.28,0.28,0.28,1000,0
2015-02-11,16:35:00,0.26,0.26,0.26,0.26,41200,0
2015-02-11,19:00:00,0.28,0.28,0.28,0.28,2000,0
2015-02-12,18:40:00,0.26,0.26,0.26,0.26,1500,0
2015-02-13,17:20:00,0.2792,0.2792,0.2792,0.2792,100,0
2015-02-23,15:35:00,0.26,0.26,0.26,0.26,9000,0
2015-02-23,19:05:00,0.27,0.27,0.27,0.27,4400,0
2015-02-23,19:45:00,0.27,0.27,0.27,0.27,100,0
2015-02-23,19:55:00,0.28,0.28,0.28,0.28,7000,0
