Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,16:30:00,24.670,24.710,24.650,24.650,1800,0
2015-01-29,16:35:00,24.71,24.71,24.65,24.66,1200,0
2015-01-29,16:40:00,24.66,24.74,24.65,24.65,2406,0
2015-01-29,16:45:00,24.65,24.68,24.65,24.68,900,0
2015-01-29,16:50:00,24.65,24.65,24.65,24.65,100,0
2015-01-29,16:55:00,24.65,24.65,24.65,24.65,200,0
2015-01-29,17:00:00,24.66,24.7,24.66,24.67,1100,0
2015-01-29,17:05:00,24.66,24.66,24.66,24.66,100,0
2015-01-29,17:15:00,24.66,24.66,24.66,24.66,100,0
2015-01-29,17:20:00,24.65,24.65,24.65,24.65,100,0
2015-01-29,17:25:00,24.705,24.75,24.66,24.71,500,0
2015-01-29,17:30:00,24.66,24.67,24.66,24.67,200,0
2015-01-29,17:35:00,24.705,24.705,24.705,24.705,100,0
2015-01-29,17:40:00,24.66,24.74,24.66,24.74,500,0
2015-01-29,17:50:00,24.68,24.74,24.68,24.74,200,0
2015-01-29,17:55:00,24.73,24.74,24.69,24.73,1483,0
2015-01-29,18:00:00,24.69,24.71,24.68,24.68,3502,0
2015-01-29,18:10:00,24.71,24.73,24.71,24.73,300,0
2015-01-29,18:15:00,24.715,24.74,24.7,24.72,1100,0
2015-01-29,18:20:00,24.74,24.74,24.72,24.74,1126,0
2015-01-29,18:25:00,24.76,24.76,24.74,24.74,600,0
2015-01-29,18:30:00,24.7499,24.7499,24.72,24.72,300,0
2015-01-29,18:35:00,24.72,24.735,24.72,24.735,400,0
2015-01-29,18:40:00,24.735,24.78,24.735,24.78,1900,0
2015-01-29,18:50:00,24.755,24.755,24.755,24.755,100,0
2015-01-29,19:00:00,24.755,24.755,24.755,24.755,100,0
2015-01-29,19:05:00,24.78,24.81,24.765,24.795,2550,0
2015-01-29,19:10:00,24.8,24.82,24.78,24.78,500,0
2015-01-29,19:15:00,24.79,24.79,24.79,24.79,100,0
2015-01-29,19:20:00,24.82,24.82,24.82,24.82,500,0
2015-01-29,19:25:00,24.78,24.78,24.78,24.78,357,0
2015-01-29,19:30:00,24.82,24.82,24.815,24.815,800,0
2015-01-29,19:35:00,24.805,24.805,24.805,24.805,100,0
2015-01-29,19:40:00,24.84,24.87,24.795,24.835,1400,0
2015-01-29,19:45:00,24.84,24.9,24.84,24.9,1200,0
2015-01-29,19:55:00,24.89,24.91,24.87,24.88,800,0
2015-01-29,20:00:00,24.84,24.84,24.84,24.84,100,0
2015-01-29,20:05:00,24.855,24.855,24.855,24.855,360,0
2015-01-29,20:10:00,24.87,24.87,24.8,24.84,900,0
2015-01-29,20:15:00,24.84,24.85,24.8,24.82,1100,0
2015-01-29,20:20:00,24.81,24.82,24.75,24.75,1200,0
2015-01-29,20:25:00,24.75,24.8,24.75,24.75,1500,0
2015-01-29,20:30:00,24.81,24.82,24.785,24.82,400,0
2015-01-29,20:35:00,24.84,24.84,24.78,24.82,1800,0
2015-01-29,20:40:00,24.82,24.84,24.82,24.82,3300,0
2015-01-29,20:45:00,24.83,24.83,24.78,24.78,1200,0
2015-01-29,20:50:00,24.78,24.78,24.76,24.76,200,0
2015-01-29,20:55:00,24.77,24.8,24.74,24.74,700,0
2015-01-29,21:00:00,24.79,24.79,24.75,24.77,1100,0
2015-01-29,21:05:00,24.78,24.805,24.77,24.77,1097,0
2015-01-29,21:10:00,24.79,24.81,24.79,24.81,1200,0
2015-01-29,21:15:00,24.8,24.8,24.73,24.73,400,0
2015-01-29,21:20:00,24.73,24.76,24.66,24.715,1900,0
2015-01-29,21:25:00,24.68,24.7,24.68,24.68,500,0
2015-01-29,21:30:00,24.68,24.74,24.68,24.705,1808,0
2015-01-29,21:35:00,24.68,24.71,24.68,24.69,1600,0
2015-01-29,21:40:00,24.69,24.72,24.67,24.68,1000,0
2015-01-29,21:45:00,24.72,24.72,24.66,24.66,2400,0
2015-01-29,21:50:00,24.675,24.69,24.65,24.65,1800,0
2015-01-29,21:55:00,24.65,24.69,24.65,24.65,5188,0
2015-01-29,22:00:00,24.665,24.71,24.58,24.68,13918,0
2015-01-30,15:35:00,24.43,24.65,24.43,24.595,3180,0
2015-01-30,15:40:00,24.65,24.91,24.565,24.91,4900,0
2015-01-30,15:45:00,24.8,24.88,24.7,24.85,3900,0
2015-01-30,15:50:00,24.85,24.94,24.85,24.94,2600,0
2015-01-30,15:55:00,24.9,24.91,24.9,24.9,3564,0
2015-01-30,16:00:00,24.9,24.92,24.9,24.92,400,0
2015-01-30,16:05:00,24.9,24.9,24.7,24.7,3185,0
2015-01-30,16:10:00,24.71,24.93,24.66,24.84,7200,0
2015-01-30,16:15:00,24.84,24.84,24.74,24.8,800,0
2015-01-30,16:20:00,24.84,24.84,24.72,24.83,3902,0
2015-01-30,16:25:00,24.85,24.87,24.735,24.78,1600,0
2015-01-30,16:30:00,24.79,24.94,24.77,24.9,3200,0
