Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-29,18:20:00,0.7928,0.7928,0.7833,0.7833,1600,0
2015-01-29,18:25:00,0.7802,0.7802,0.7799,0.7799,1300,0
2015-01-29,18:40:00,0.7799,0.7799,0.7799,0.7799,100,0
2015-01-29,18:45:00,0.7802,0.7802,0.7802,0.7802,200,0
2015-01-29,18:50:00,0.7797,0.8,0.7797,0.7924,10200,0
2015-01-29,18:55:00,0.7797,0.7798,0.7797,0.7798,7000,0
2015-01-29,19:00:00,0.7799,0.7799,0.7799,0.7799,100,0
2015-01-29,19:05:00,0.7891,0.7891,0.7805,0.789,1600,0
2015-01-29,19:10:00,0.7922,0.7922,0.7922,0.7922,6100,0
2015-01-29,19:20:00,0.7814,0.7814,0.7814,0.7814,1000,0
2015-01-29,19:25:00,0.7806,0.786,0.7806,0.786,500,0
2015-01-29,19:35:00,0.7813,0.7899,0.7813,0.7899,1400,0
2015-01-29,19:45:00,0.782,0.782,0.782,0.782,3000,0
2015-01-29,19:50:00,0.7822,0.7941,0.7821,0.7941,10693,0
2015-01-29,19:55:00,0.79,0.79,0.79,0.79,1300,0
2015-01-29,20:20:00,0.79,0.79,0.79,0.79,1500,0
2015-01-29,20:45:00,0.7826,0.79,0.7826,0.785,4475,0
2015-01-29,20:50:00,0.7826,0.7826,0.7826,0.7826,4200,0
2015-01-29,20:55:00,0.7824,0.81,0.7823,0.81,64150,0
2015-01-29,21:00:00,0.81,0.81,0.8097,0.8097,900,0
2015-01-29,21:05:00,0.83,0.84,0.8216,0.822,15216,0
2015-01-29,21:10:00,0.84,0.84,0.84,0.84,115,0
2015-01-29,21:15:00,0.84,0.84,0.84,0.84,8536,0
2015-01-29,21:20:00,0.8403,0.8449,0.838,0.8449,9915,0
2015-01-29,21:25:00,0.8407,0.845,0.83,0.84,11400,0
2015-01-29,21:30:00,0.8398,0.8398,0.8398,0.8398,900,0
2015-01-29,21:35:00,0.838,0.84,0.8304,0.8305,4800,0
2015-01-29,21:40:00,0.8321,0.845,0.83,0.84,66390,0
2015-01-29,21:45:00,0.84,0.8427,0.8303,0.84,6100,0
2015-01-29,21:50:00,0.84,0.87,0.84,0.87,51125,0
2015-01-29,21:55:00,0.8699,0.87,0.8601,0.8699,7800,0
2015-01-29,22:00:00,0.86,0.88,0.86,0.88,50072,0
2015-01-30,15:35:00,0.88,0.88,0.88,0.88,1590,0
