Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,19:40:00,30.840,31.060,30.840,31.060,2403,0
2015-01-30,19:45:00,31.13,31.31,31.13,31.31,1700,0
2015-01-30,19:50:00,31.33,31.54,31.33,31.48,2772,0
2015-01-30,19:55:00,31.42,31.51,31.27,31.4,4628,0
2015-01-30,20:00:00,31.4,31.49,31.28,31.33,1900,0
2015-01-30,20:05:00,31.33,31.33,31.15,31.15,1600,0
2015-01-30,20:10:00,31.12,31.12,31.05,31.0701,1900,0
2015-01-30,20:15:00,31.07,31.08,30.99,31.01,8000,0
2015-01-30,20:20:00,31.025,31.025,30.99,30.99,1600,0
2015-01-30,20:30:00,30.83,31.06,30.83,31.01,800,0
2015-01-30,20:35:00,31.05,31.27,31.05,31.15,1022,0
2015-01-30,20:40:00,30.97,31.22,30.97,31.07,1000,0
2015-01-30,20:45:00,31.26,31.26,31.16,31.23,600,0
2015-01-30,20:50:00,31.21,31.21,31.21,31.21,100,0
2015-01-30,20:55:00,31.15,31.15,30.99,31.06,1200,0
2015-01-30,21:00:00,31.0,31.02,30.98,31.0,1200,0
2015-01-30,21:05:00,30.98,30.98,30.98,30.98,200,0
2015-01-30,21:10:00,31.06,31.06,30.92,30.9767,2095,0
2015-01-30,21:15:00,30.93,30.93,30.93,30.93,700,0
2015-01-30,21:20:00,30.93,30.99,30.84,30.95,1000,0
2015-01-30,21:25:00,30.97,30.97,30.78,30.78,3300,0
2015-01-30,21:30:00,30.82,30.82,30.62,30.62,2500,0
2015-01-30,21:35:00,30.7,30.71,30.6201,30.6201,872,0
2015-01-30,21:40:00,30.71,30.86,30.71,30.76,4200,0
2015-01-30,21:45:00,30.7,30.75,30.53,30.64,900,0
2015-01-30,21:50:00,30.67,30.67,30.57,30.612,2444,0
2015-01-30,21:55:00,30.6497,30.68,30.6,30.63,3550,0
2015-01-30,22:00:00,30.605,30.61,30.51,30.57,8357,0
2015-02-02,15:35:00,30.75,30.75,30.75,30.75,300,0
2015-02-02,15:40:00,30.63,30.77,30.6001,30.6001,1950,0
2015-02-02,15:45:00,30.655,30.655,30.2,30.49,17460,0
2015-02-02,15:55:00,30.25,30.3,30.24,30.24,1300,0
2015-02-02,16:00:00,30.21,30.22,30.05,30.0708,4099,0
2015-02-02,16:05:00,30.01,30.07,30.0,30.025,3990,0
2015-02-02,16:10:00,30.0,30.0,29.7153,29.72,11406,0
2015-02-02,16:15:00,29.75,29.79,29.64,29.79,2100,0
2015-02-02,16:20:00,29.7301,29.755,29.72,29.755,400,0
2015-02-02,16:25:00,29.69,29.75,29.685,29.75,700,0
2015-02-02,16:30:00,29.7,29.705,29.66,29.66,1300,0
2015-02-02,16:35:00,29.66,29.76,29.63,29.68,6000,0
2015-02-02,16:40:00,29.71,30.02,29.71,29.75,10600,0
2015-02-02,16:45:00,29.8,29.82,29.71,29.82,2500,0
2015-02-02,16:50:00,29.76,29.78,29.69,29.74,2100,0
2015-02-02,16:55:00,29.74,29.91,29.74,29.9,3400,0
2015-02-02,17:00:00,29.82,29.83,29.75,29.75,1800,0
2015-02-02,17:05:00,29.75,29.81,29.71,29.81,1100,0
2015-02-02,17:10:00,29.89,29.89,29.89,29.89,500,0
2015-02-02,17:15:00,29.955,30.1,29.955,30.02,1200,0
2015-02-02,17:20:00,30.05,30.18,30.05,30.06,2581,0
2015-02-02,17:25:00,30.05,30.09,29.98,30.05,3530,0
2015-02-02,17:30:00,30.12,30.43,30.06,30.43,2500,0
2015-02-02,17:35:00,30.39,30.43,30.33,30.33,1400,0
2015-02-02,17:40:00,30.33,30.53,30.3,30.53,1200,0
2015-02-02,17:45:00,30.53,30.53,30.27,30.27,1300,0
2015-02-02,17:50:00,30.18,30.25,30.07,30.07,500,0
2015-02-02,17:55:00,30.06,30.2,30.03,30.2,900,0
2015-02-02,18:00:00,30.01,30.06,30.01,30.06,2100,0
2015-02-02,18:05:00,30.09,30.09,30.01,30.01,800,0
2015-02-02,18:10:00,29.92,30.0,29.92,29.965,400,0
2015-02-02,18:15:00,30.045,30.045,29.99,29.99,300,0
2015-02-02,18:20:00,30.02,30.05,29.9153,30.05,1100,0
2015-02-02,18:25:00,30.16,30.16,30.03,30.03,500,0
2015-02-02,18:30:00,30.03,30.093,30.03,30.03,800,0
