Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-27,21:05:00,7.8996,7.8996,7.8996,7.8996,450,0
2014-08-27,21:10:00,7.8999,7.8999,7.8999,7.8999,100,0
2014-08-27,21:15:00,7.8996,7.8996,7.8996,7.8996,300,0
2014-08-27,21:35:00,7.9,7.9,7.9,7.9,100,0
2014-08-27,21:50:00,7.8999,7.8999,7.8999,7.8999,3000,0
2014-08-27,21:55:00,7.8999,7.8999,7.8999,7.8999,600,0
2014-08-27,22:00:00,7.8999,7.9,7.89,7.9,1906,0
2014-08-28,15:40:00,7.7,7.7,7.7,7.7,1400,0
2014-08-28,17:25:00,7.9,7.9,7.9,7.9,963,0
2014-08-28,18:35:00,7.7721,7.7721,7.7721,7.7721,200,0
2014-08-28,20:55:00,7.8799,7.8799,7.8799,7.8799,600,0
2014-08-28,21:10:00,7.87,7.91,7.87,7.91,2200,0
2014-08-28,21:15:00,7.9001,7.91,7.9,7.91,3176,0
2014-08-28,21:20:00,8.12,8.12,8.05,8.05,3748,0
2014-08-28,21:25:00,8.01,8.23,8.0,8.0205,1200,0
2014-08-28,22:00:00,8.04,8.23,8.04,8.23,300,0
2014-08-29,16:25:00,8.29,8.29,8.29,8.29,400,0
2014-08-29,16:45:00,8.27,8.28,8.26,8.28,1100,0
2014-08-29,16:50:00,8.38,8.38,8.35,8.35,400,0
2014-08-29,16:55:00,8.35,8.35,8.3,8.3,1088,0
2014-08-29,17:10:00,8.539,8.539,8.539,8.539,640,0
2014-08-29,17:35:00,8.4886,8.4886,8.4886,8.4886,100,0
2014-08-29,18:55:00,8.4899,8.4899,8.4899,8.4899,500,0
2014-08-29,19:40:00,8.4866,8.4866,8.4866,8.4866,1000,0
2014-08-29,21:55:00,8.5499,8.73,8.54,8.73,4456,0
2014-09-02,16:05:00,8.5,8.5,8.46,8.46,400,0
2014-09-02,16:20:00,8.447,8.45,8.447,8.45,500,0
2014-09-02,16:40:00,8.11,8.11,8.11,8.11,200,0
2014-09-02,16:45:00,8.4267,8.4267,8.37,8.37,800,0
2014-09-02,16:50:00,8.3601,8.3601,8.36,8.36,2036,0
2014-09-02,17:40:00,8.3801,8.3801,8.3801,8.3801,100,0
2014-09-02,18:40:00,8.44,8.59,8.4399,8.59,3208,0
2014-09-02,18:45:00,8.76,8.76,8.75,8.75,784,0
2014-09-02,19:05:00,8.77,8.77,8.75,8.76,900,0
2014-09-02,19:10:00,8.25,8.72,8.25,8.72,1200,0
2014-09-02,19:55:00,8.6341,8.6341,8.6341,8.6341,200,0
2014-09-02,20:05:00,8.26,8.26,8.26,8.26,100,0
2014-09-02,20:10:00,8.6149,8.6149,8.6149,8.6149,180,0
2014-09-02,20:50:00,8.23,8.23,8.23,8.23,100,0
2014-09-02,20:55:00,8.23,8.55,8.23,8.49,500,0
2014-09-02,21:00:00,8.45,8.75,8.45,8.65,3652,0
2014-09-02,21:05:00,8.23,8.23,8.23,8.23,100,0
2014-09-02,21:10:00,8.23,8.23,8.23,8.23,100,0
2014-09-02,21:20:00,8.54,8.61,8.51,8.61,1356,0
2014-09-02,21:25:00,8.63,8.63,8.63,8.63,444,0
2014-09-02,21:30:00,8.56,8.56,8.56,8.56,600,0
2014-09-03,15:40:00,8.45,8.45,8.45,8.45,2000,0
2014-09-03,15:45:00,8.45,8.45,8.33,8.33,500,0
2014-09-03,16:00:00,8.28,8.28,8.28,8.28,100,0
2014-09-03,16:15:00,8.2,8.2,8.2,8.2,200,0
2014-09-03,16:35:00,8.2,8.2,8.2,8.2,100,0
2014-09-03,17:05:00,8.2,8.2,8.2,8.2,100,0
2014-09-03,17:25:00,8.26,8.26,8.26,8.26,200,0
2014-09-03,17:30:00,8.26,8.26,8.26,8.26,100,0
2014-09-03,17:45:00,8.35,8.35,8.35,8.35,300,0
2014-09-03,17:55:00,8.35,8.35,8.35,8.35,720,0
2014-09-03,18:10:00,8.26,8.26,8.26,8.26,100,0
2014-09-03,18:35:00,8.24,8.24,8.24,8.24,300,0
2014-09-03,18:45:00,8.3,8.3,8.3,8.3,100,0
2014-09-03,18:55:00,8.3,8.3,8.2,8.2,580,0
2014-09-03,19:05:00,8.2,8.2,8.2,8.2,100,0
2014-09-03,19:20:00,8.2,8.2,8.2,8.2,700,0
2014-09-03,19:35:00,8.2,8.2,8.2,8.2,100,0
2014-09-03,19:50:00,8.2,8.2,8.2,8.2,300,0
2014-09-03,20:00:00,8.2,8.2,8.2,8.2,100,0
2014-09-03,20:10:00,8.2,8.2,8.15,8.15,500,0
2014-09-03,20:25:00,8.17,8.17,8.17,8.17,100,0
2014-09-03,20:50:00,8.17,8.17,8.16,8.16,200,0
2014-09-03,21:00:00,8.16,8.16,8.16,8.16,400,0
2014-09-03,21:10:00,8.15,8.15,8.15,8.15,100,0
2014-09-03,21:20:00,8.195,8.195,8.15,8.195,1200,0
2014-09-03,21:25:00,8.15,8.15,8.15,8.15,498,0
2014-09-03,21:35:00,8.15,8.17,8.15,8.17,1500,0
2014-09-03,21:50:00,8.16,8.16,8.16,8.16,298,0
2014-09-03,22:00:00,8.19,8.19,8.16,8.16,300,0
2014-09-04,21:25:00,8.25,8.25,8.25,8.25,400,0
2014-09-05,16:35:00,8.24,8.24,8.24,8.24,500,0
2014-09-05,16:40:00,8.24,8.45,8.24,8.45,5332,0
2014-09-05,17:05:00,8.45,8.45,8.4401,8.4401,13100,0
2014-09-05,17:10:00,8.35,8.4,8.35,8.4,2900,0
2014-09-05,17:15:00,8.4,8.4,8.4,8.4,1900,0
2014-09-05,17:40:00,8.22,8.22,8.22,8.22,100,0
2014-09-05,20:05:00,8.36,8.36,8.36,8.36,100,0
2014-09-05,20:20:00,8.4,8.4,8.4,8.4,250,0
2014-09-05,21:40:00,8.25,8.36,8.25,8.36,300,0
2014-09-08,21:00:00,8.5,8.62,8.5,8.62,5400,0
2014-09-08,21:20:00,8.5,8.5,8.5,8.5,100,0
2014-09-08,21:25:00,8.5,8.5,8.5,8.5,100,0
2014-09-08,21:30:00,8.5,8.5,8.5,8.5,200,0
2014-09-08,21:35:00,8.5,8.5,8.5,8.5,300,0
2014-09-08,21:40:00,8.5,8.5,8.5,8.5,200,0
2014-09-08,21:45:00,8.5,8.5,8.5,8.5,300,0
2014-09-08,21:50:00,8.5,8.5,8.5,8.5,200,0
2014-09-08,21:55:00,8.5,8.5,8.5,8.5,200,0
2014-09-08,22:00:00,8.5,8.52,8.5,8.52,3200,0
2014-09-09,15:50:00,8.6,8.6,8.45,8.45,2200,0
2014-09-09,15:55:00,8.3,8.3,8.29,8.29,1500,0
2014-09-09,16:40:00,8.4499,8.45,8.4499,8.45,2800,0
2014-09-09,17:05:00,8.42,8.42,8.42,8.42,100,0
2014-09-09,17:25:00,8.4,8.6,8.4,8.4252,7212,0
2014-09-09,19:05:00,8.5899,8.5899,8.5899,8.5899,600,0
2014-09-09,19:45:00,8.4,8.4,8.4,8.4,1000,0
2014-09-09,20:20:00,8.35,8.35,8.35,8.35,10024,0
2014-09-09,22:00:00,8.26,8.36,8.2501,8.33,956,0
2014-09-10,15:40:00,8.31,8.31,8.31,8.31,100,0
2014-09-10,16:40:00,8.2,8.2,8.2,8.2,600,0
2014-09-10,16:45:00,8.29,8.29,8.29,8.29,300,0
2014-09-10,16:50:00,8.31,8.31,8.2,8.2,4575,0
