Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:40:00,15.22,15.34,15.21,15.32,7749,0
2015-02-02,21:45:00,15.34,15.39,15.34,15.38,8655,0
2015-02-02,21:50:00,15.375,15.41,15.34,15.39,11376,0
2015-02-02,21:55:00,15.39,15.39,15.35,15.35,8719,0
2015-02-02,22:00:00,15.35,15.44,15.33,15.42,22327,0
2015-02-03,15:35:00,15.25,15.51,15.25,15.465,1000,0
2015-02-03,15:40:00,15.43,15.48,15.43,15.48,600,0
2015-02-03,15:45:00,15.43,15.52,15.41,15.51,4100,0
2015-02-03,15:50:00,15.5,15.5,15.38,15.44,5130,0
2015-02-03,15:55:00,15.405,15.49,15.35,15.45,17769,0
2015-02-03,16:00:00,15.47,15.47,15.37,15.46,6700,0
2015-02-03,16:05:00,15.49,15.59,15.49,15.5,4500,0
2015-02-03,16:10:00,15.49,15.51,15.47,15.47,3400,0
2015-02-03,16:15:00,15.48,15.51,15.43,15.48,7600,0
2015-02-03,16:20:00,15.44,15.44,15.3,15.3,2800,0
2015-02-03,16:25:00,15.31,15.33,15.25,15.26,4500,0
2015-02-03,16:30:00,15.25,15.33,15.25,15.33,7030,0
2015-02-03,16:35:00,15.29,15.3,15.22,15.22,14000,0
2015-02-03,16:40:00,15.25,15.3,15.24,15.25,8164,0
2015-02-03,16:45:00,15.27,15.29,15.21,15.21,11700,0
2015-02-03,16:50:00,15.22,15.25,15.1965,15.2,7600,0
2015-02-03,16:55:00,15.19,15.25,15.16,15.21,9500,0
2015-02-03,17:00:00,15.25,15.27,15.24,15.24,4092,0
2015-02-03,17:05:00,15.23,15.29,15.23,15.29,3100,0
2015-02-03,17:10:00,15.27,15.28,15.21,15.25,2800,0
2015-02-03,17:15:00,15.239,15.25,15.237,15.25,2300,0
2015-02-03,17:20:00,15.25,15.25,15.2,15.25,3060,0
2015-02-03,17:25:00,15.23,15.24,15.2,15.21,3959,0
2015-02-03,17:30:00,15.2,15.2,15.12,15.12,3900,0
2015-02-03,17:35:00,15.15,15.15,15.15,15.15,1000,0
2015-02-03,17:40:00,15.13,15.15,15.13,15.14,3089,0
2015-02-03,17:45:00,15.14,15.16,15.13,15.16,2800,0
2015-02-03,17:50:00,15.15,15.15,15.13,15.14,3200,0
2015-02-03,17:55:00,15.12,15.14,15.05,15.05,11240,0
2015-02-03,18:00:00,15.05,15.09,15.05,15.08,2570,0
2015-02-03,18:05:00,15.04,15.06,15.04,15.06,1900,0
2015-02-03,18:10:00,15.06,15.08,15.05,15.08,1900,0
2015-02-03,18:15:00,15.07,15.07,15.04,15.04,6000,0
2015-02-03,18:20:00,15.03,15.13,15.03,15.13,26034,0
2015-02-03,18:25:00,15.15,15.17,15.11,15.11,1500,0
2015-02-03,18:30:00,15.11,15.14,15.11,15.14,1358,0
2015-02-03,18:35:00,15.15,15.161,15.15,15.15,2300,0
2015-02-03,18:40:00,15.1522,15.1522,15.13,15.14,1900,0
2015-02-03,18:45:00,15.17,15.17,15.14,15.14,1100,0
2015-02-03,18:50:00,15.15,15.15,15.14,15.15,1900,0
2015-02-03,18:55:00,15.16,15.16,15.13,15.13,1700,0
2015-02-03,19:00:00,15.14,15.17,15.14,15.15,7725,0
2015-02-03,19:05:00,15.13,15.14,15.12,15.12,3200,0
2015-02-03,19:10:00,15.14,15.17,15.14,15.15,4882,0
2015-02-03,19:15:00,15.15,15.17,15.11,15.13,7235,0
2015-02-03,19:20:00,15.12,15.13,15.11,15.13,5600,0
2015-02-03,19:25:00,15.15,15.17,15.15,15.17,2400,0
2015-02-03,19:30:00,15.18,15.18,15.16,15.17,2500,0
2015-02-03,19:35:00,15.18,15.29,15.15,15.25,5499,0
2015-02-03,19:40:00,15.31,15.31,15.24,15.24,900,0
2015-02-03,19:45:00,15.23,15.25,15.23,15.25,1100,0
2015-02-03,19:50:00,15.3,15.33,15.3,15.3,700,0
2015-02-03,19:55:00,15.29,15.3499,15.29,15.335,3400,0
2015-02-03,20:00:00,15.35,15.36,15.31,15.32,7429,0
2015-02-03,20:05:00,15.32,15.37,15.32,15.32,2700,0
2015-02-03,20:10:00,15.31,15.31,15.25,15.27,5300,0
2015-02-03,20:15:00,15.27,15.28,15.26,15.26,1562,0
2015-02-03,20:20:00,15.28,15.28,15.23,15.24,2500,0
2015-02-03,20:25:00,15.23,15.25,15.22,15.22,3585,0
2015-02-03,20:30:00,15.22,15.22,15.2,15.21,2100,0
2015-02-03,20:35:00,15.22,15.24,15.21,15.24,4300,0
2015-02-03,20:40:00,15.24,15.3,15.24,15.3,3300,0
2015-02-03,20:45:00,15.29,15.31,15.29,15.31,1600,0
2015-02-03,20:50:00,15.33,15.34,15.29,15.29,3645,0
2015-02-03,20:55:00,15.28,15.34,15.28,15.3,5000,0
2015-02-03,21:00:00,15.29,15.34,15.27,15.33,4400,0
2015-02-03,21:05:00,15.35,15.35,15.3,15.3,4100,0
2015-02-03,21:10:00,15.28,15.33,15.28,15.33,4200,0
2015-02-03,21:15:00,15.33,15.33,15.27,15.29,3572,0
2015-02-03,21:20:00,15.32,15.35,15.27,15.28,11325,0
2015-02-03,21:25:00,15.27,15.3,15.25,15.27,4300,0
2015-02-03,21:30:00,15.26,15.27,15.23,15.26,8085,0
2015-02-03,21:35:00,15.27,15.31,15.27,15.29,5900,0
2015-02-03,21:40:00,15.28,15.32,15.26,15.32,6900,0
2015-02-03,21:45:00,15.33,15.43,15.32,15.42,11400,0
2015-02-03,21:50:00,15.42,15.42,15.39,15.4,6450,0
2015-02-03,21:55:00,15.41,15.49,15.41,15.47,15610,0
2015-02-03,22:00:00,15.47,15.55,15.43,15.48,34231,0
2015-02-04,15:35:00,15.36,15.36,15.12,15.29,2294,0
2015-02-04,15:40:00,15.11,15.125,14.87,15.125,30418,0
2015-02-04,15:45:00,15.12,15.15,15.07,15.085,4000,0
2015-02-04,15:50:00,15.06,15.08,14.94,15.02,20902,0
2015-02-04,15:55:00,14.97,15.01,14.89,14.93,18297,0
2015-02-04,16:00:00,14.87,14.94,14.81,14.85,6150,0
2015-02-04,16:05:00,14.93,14.98,14.87,14.87,1500,0
2015-02-04,16:10:00,14.85,14.9,14.83,14.9,2900,0
2015-02-04,16:15:00,14.89,14.94,14.8727,14.94,4998,0
2015-02-04,16:20:00,14.93,15.07,14.93,15.07,4000,0
2015-02-04,16:25:00,15.1,15.1,15.04,15.08,7400,0
2015-02-04,16:30:00,15.07,15.07,14.99,15.02,21082,0
2015-02-04,16:35:00,15.03,15.03,14.99,15.03,11588,0
2015-02-04,16:40:00,15.0,15.01,14.975,15.01,3098,0
2015-02-04,16:45:00,15.01,15.04,15.0,15.03,5402,0
2015-02-04,16:50:00,15.04,15.06,15.0,15.03,11502,0
2015-02-04,16:55:00,15.04,15.04,15.04,15.04,400,0
2015-02-04,17:00:00,15.06,15.065,15.01,15.01,1700,0
2015-02-04,17:05:00,14.98,15.07,14.95,15.07,7702,0
2015-02-04,17:10:00,15.07,15.11,15.06,15.11,3575,0
2015-02-04,17:15:00,15.115,15.21,15.1,15.21,29400,0
2015-02-04,17:20:00,15.195,15.195,15.16,15.18,4700,0
2015-02-04,17:25:00,15.21,15.24,15.21,15.22,2000,0
2015-02-04,17:30:00,15.23,15.3,15.23,15.295,3700,0
2015-02-04,17:35:00,15.315,15.37,15.28,15.37,3607,0
2015-02-04,17:40:00,15.4001,15.45,15.4001,15.42,5600,0
2015-02-04,17:45:00,15.41,15.41,15.25,15.25,5300,0
2015-02-04,17:50:00,15.25,15.26,15.2,15.22,5430,0
2015-02-04,17:55:00,15.22,15.23,15.14,15.14,2700,0
2015-02-04,18:00:00,15.13,15.19,15.13,15.17,3979,0
2015-02-04,18:05:00,15.17,15.17,15.15,15.15,800,0
2015-02-04,18:10:00,15.16,15.16,15.1,15.11,4100,0
2015-02-04,18:15:00,15.1,15.11,15.09,15.11,3985,0
2015-02-04,18:20:00,15.15,15.1699,15.14,15.1699,3100,0
2015-02-04,18:25:00,15.16,15.16,15.12,15.12,700,0
2015-02-04,18:30:00,15.12,15.12,15.07,15.07,3350,0
2015-02-04,18:35:00,15.05,15.14,15.05,15.12,3500,0
2015-02-04,18:40:00,15.14,15.19,15.14,15.19,894,0
2015-02-04,18:45:00,15.19,15.19,15.14,15.16,7224,0
2015-02-04,18:50:00,15.15,15.22,15.14,15.21,5697,0
2015-02-04,18:55:00,15.2096,15.21,15.17,15.17,610,0
2015-02-04,19:00:00,15.18,15.18,15.15,15.15,700,0
2015-02-04,19:05:00,15.13,15.18,15.1,15.17,3100,0
2015-02-04,19:10:00,15.18,15.18,15.18,15.18,300,0
2015-02-04,19:15:00,15.18,15.22,15.18,15.22,2300,0
2015-02-04,19:20:00,15.2,15.2,15.155,15.155,1500,0
2015-02-04,19:25:00,15.14,15.14,15.1,15.11,2300,0
2015-02-04,19:30:00,15.14,15.25,15.11,15.21,22860,0
2015-02-04,19:35:00,15.26,15.28,15.15,15.19,6481,0
2015-02-04,19:40:00,15.2,15.21,15.15,15.15,1600,0
2015-02-04,19:45:00,15.14,15.22,15.12,15.2,4160,0
2015-02-04,19:50:00,15.2,15.2,15.2,15.2,2700,0
2015-02-04,19:55:00,15.16,15.23,15.16,15.23,2600,0
2015-02-04,20:00:00,15.24,15.26,15.22,15.22,1000,0
2015-02-04,20:05:00,15.22,15.31,15.22,15.29,9453,0
