Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-07-15,17:00:00,26.339,26.340,26.336,26.339,1992,0
2014-07-15,20:45:00,26.4,26.4,26.4,26.4,201,0
2014-07-15,21:05:00,26.363,26.363,26.363,26.363,101,0
2014-07-16,18:35:00,26.539,26.549,26.539,26.539,3016,0
2014-07-16,19:00:00,26.506,26.539,26.506,26.539,212,0
2014-07-16,19:05:00,26.501,26.549,26.501,26.505,505,0
2014-07-16,20:50:00,26.563,26.563,26.563,26.563,618,0
2014-07-16,21:20:00,26.539,26.539,26.539,26.539,856,0
2014-07-16,21:45:00,26.569,26.569,26.569,26.569,503,0
2014-07-17,15:50:00,26.509,26.509,26.509,26.509,789,0
2014-07-17,16:30:00,26.569,26.569,26.569,26.569,241,0
2014-07-17,17:25:00,26.529,26.529,26.529,26.529,1609,0
2014-07-17,17:30:00,26.521,26.521,26.521,26.521,377,0
2014-07-17,17:35:00,26.519,26.519,26.509,26.509,1886,0
2014-07-17,18:10:00,26.44,26.44,26.44,26.44,753,0
2014-07-17,19:00:00,26.449,26.449,26.449,26.449,115,0
2014-07-17,19:05:00,26.5,26.5,26.5,26.5,910,0
2014-07-17,19:10:00,26.5,26.5,26.436,26.436,943,0
2014-07-17,19:25:00,26.539,26.539,26.539,26.539,1023,0
2014-07-17,20:10:00,26.45,26.45,26.45,26.45,101,0
2014-07-17,20:20:00,26.495,26.509,26.495,26.5,1308,0
2014-07-17,20:50:00,26.417,26.417,26.417,26.417,402,0
2014-07-17,21:45:00,26.343,26.355,26.301,26.355,1408,0
2014-07-17,21:50:00,26.281,26.281,26.281,26.281,402,0
2014-07-18,18:40:00,26.41,26.41,26.41,26.41,101,0
2014-07-21,15:40:00,26.281,26.281,26.281,26.281,805,0
2014-07-21,16:50:00,26.241,26.241,26.241,26.241,603,0
2014-07-21,18:30:00,26.34,26.34,26.34,26.34,228,0
2014-07-21,19:20:00,26.34,26.34,26.34,26.34,204,0
2014-07-21,20:20:00,26.397,26.397,26.397,26.397,251,0
2014-07-21,20:50:00,26.337,26.337,26.337,26.337,101,0
2014-07-21,21:55:00,26.313,26.313,26.313,26.313,302,0
2014-07-22,16:00:00,26.514,26.514,26.514,26.514,1292,0
2014-07-22,16:40:00,26.501,26.516,26.501,26.516,603,0
2014-07-22,17:50:00,26.482,26.482,26.482,26.482,229,0
2014-07-22,22:00:00,26.49,26.529,26.42,26.42,879,0
2014-07-23,15:50:00,26.47,26.48,26.47,26.48,462,0
2014-07-23,16:55:00,26.4,26.4,26.4,26.4,201,0
2014-07-23,17:00:00,26.49,26.49,26.484,26.484,603,0
2014-07-23,17:50:00,26.39,26.39,26.39,26.39,201,0
2014-07-23,18:05:00,26.39,26.39,26.39,26.39,202,0
2014-07-23,18:45:00,26.38,26.38,26.38,26.38,201,0
2014-07-23,19:05:00,26.39,26.39,26.39,26.39,201,0
2014-07-23,19:25:00,26.39,26.39,26.39,26.39,302,0
2014-07-23,21:10:00,26.408,26.408,26.408,26.408,101,0
2014-07-24,15:35:00,26.251,26.589,26.251,26.589,486,0
2014-07-24,18:25:00,26.385,26.41,26.385,26.395,2817,0
2014-07-24,19:55:00,26.358,26.358,26.358,26.358,402,0
2014-07-24,21:10:00,26.277,26.277,26.277,26.277,281,0
2014-07-24,21:20:00,26.36,26.36,26.36,26.36,2113,0
2014-07-24,21:55:00,26.271,26.271,26.271,26.271,603,0
2014-07-25,15:35:00,26.181,26.181,26.181,26.181,1038,0
2014-07-25,18:05:00,26.261,26.261,26.261,26.261,1147,0
2014-07-25,20:40:00,26.291,26.299,26.291,26.299,1207,0
2014-07-25,20:50:00,26.291,26.291,26.291,26.291,755,0
2014-07-25,20:55:00,26.291,26.291,26.291,26.291,101,0
2014-07-25,21:00:00,26.249,26.291,26.249,26.261,1077,0
2014-07-28,16:05:00,26.35,26.35,26.35,26.35,201,0
2014-07-28,19:35:00,26.301,26.301,26.301,26.301,348,0
2014-07-28,19:50:00,26.32,26.32,26.32,26.32,101,0
2014-07-28,20:05:00,26.291,26.291,26.291,26.291,503,0
2014-07-28,21:45:00,26.291,26.291,26.291,26.291,1648,0
2014-07-28,21:50:00,26.291,26.291,26.291,26.291,2017,0
2014-07-29,16:15:00,26.321,26.321,26.321,26.321,503,0
2014-07-29,17:10:00,26.32,26.32,26.32,26.32,2013,0
2014-07-29,17:40:00,26.291,26.291,26.291,26.291,1006,0
2014-07-29,17:45:00,26.29,26.29,26.29,26.29,377,0
2014-07-29,21:50:00,26.201,26.201,26.201,26.201,603,0
2014-07-29,21:55:00,26.201,26.271,26.201,26.201,1107,0
2014-07-29,22:00:00,26.251,26.251,26.251,26.251,201,0
2014-07-30,15:35:00,26.092,26.092,26.092,26.092,1006,0
2014-07-30,16:00:00,26.127,26.127,26.127,26.127,1509,0
2014-07-30,16:05:00,26.131,26.131,26.131,26.131,765,0
2014-07-30,16:10:00,26.102,26.102,26.102,26.102,201,0
