Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-11,18:50:00,21.628,21.628,21.628,21.628,101,0
2014-12-11,18:55:00,21.628,21.628,21.628,21.628,303,0
2014-12-11,19:05:00,21.628,21.628,21.628,21.628,101,0
2014-12-11,19:10:00,21.628,21.628,21.628,21.628,202,0
2014-12-11,19:15:00,21.628,21.628,21.628,21.628,303,0
2014-12-11,19:25:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,19:35:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,19:40:00,21.648,21.648,21.648,21.648,202,0
2014-12-11,19:45:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,19:50:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,19:55:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:00:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:05:00,21.648,21.648,21.648,21.648,202,0
2014-12-11,20:10:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:15:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:25:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:30:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:35:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:40:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:45:00,21.648,21.648,21.648,21.648,101,0
2014-12-11,20:50:00,21.648,21.648,21.44,21.44,1484,0
2014-12-11,20:55:00,21.519,21.519,21.519,21.519,101,0
2014-12-11,21:00:00,21.529,21.529,21.529,21.529,101,0
2014-12-11,21:10:00,21.559,21.559,21.539,21.539,303,0
2014-12-11,21:15:00,21.539,21.569,21.539,21.569,303,0
2014-12-11,21:20:00,21.569,21.579,21.549,21.579,404,0
2014-12-11,21:25:00,21.579,21.579,21.529,21.579,909,0
2014-12-11,21:30:00,21.589,21.589,21.589,21.589,535,0
2014-12-11,21:35:00,21.589,21.589,21.589,21.589,606,0
2014-12-11,21:40:00,21.589,21.589,21.589,21.589,404,0
2014-12-11,21:45:00,21.589,21.609,21.589,21.609,808,0
2014-12-11,21:50:00,21.609,21.609,21.608,21.609,707,0
2014-12-11,21:55:00,21.608,21.609,21.608,21.609,808,0
2014-12-11,22:00:00,21.589,21.589,21.48,21.529,1818,0
2014-12-12,17:35:00,21.43,21.43,21.43,21.43,101,0
2014-12-12,17:50:00,21.178,21.178,21.178,21.178,101,0
2014-12-12,18:20:00,21.43,21.43,21.43,21.43,101,0
2014-12-12,18:35:00,21.341,21.341,21.282,21.282,384,0
2014-12-12,18:55:00,21.46,21.46,21.46,21.46,101,0
2014-12-12,19:05:00,21.411,21.411,21.411,21.411,930,0
2014-12-12,19:25:00,21.49,21.49,21.49,21.49,101,0
2014-12-12,19:40:00,21.49,21.49,21.49,21.49,101,0
2014-12-12,19:55:00,21.49,21.49,21.49,21.49,101,0
2014-12-12,20:15:00,21.411,21.411,21.391,21.391,404,0
2014-12-12,20:50:00,21.519,21.519,21.519,21.519,101,0
2014-12-12,20:55:00,21.519,21.549,21.519,21.549,707,0
2014-12-12,21:00:00,21.46,21.549,21.46,21.46,707,0
2014-12-12,21:15:00,21.5,21.5,21.5,21.5,101,0
2014-12-12,21:55:00,21.43,21.43,21.421,21.421,303,0
2014-12-12,22:00:00,21.411,21.411,21.411,21.411,505,0
2014-12-15,15:35:00,21.599,21.599,21.599,21.599,404,0
2014-12-15,16:15:00,21.658,21.658,21.658,21.658,404,0
2014-12-15,19:15:00,21.519,21.519,21.519,21.519,303,0
2014-12-15,21:10:00,21.371,21.411,21.341,21.411,505,0
2014-12-15,21:30:00,21.445,21.445,21.445,21.445,252,0
2014-12-15,21:40:00,21.371,21.371,21.371,21.371,202,0
2014-12-16,15:35:00,21.173,21.173,20.985,20.985,2548,0
2014-12-16,15:40:00,20.985,21.074,20.985,21.074,1616,0
2014-12-16,15:50:00,20.991,20.991,20.991,20.991,146,0
2014-12-16,16:05:00,21.044,21.044,21.044,21.044,808,0
2014-12-16,16:15:00,21.034,21.034,21.015,21.015,1385,0
