Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:50:00,12.53,12.54,12.47,12.47,52689,0
2015-02-03,16:55:00,12.47,12.47,12.42,12.45,40224,0
2015-02-03,17:00:00,12.45,12.5,12.43,12.43,47211,0
2015-02-03,17:05:00,12.44,12.48,12.43,12.435,32750,0
2015-02-03,17:10:00,12.43,12.46,12.43,12.44,20718,0
2015-02-03,17:15:00,12.43,12.45,12.4207,12.4243,21120,0
2015-02-03,17:20:00,12.43,12.46,12.424,12.46,32431,0
2015-02-03,17:25:00,12.46,12.46,12.43,12.45,11759,0
2015-02-03,17:30:00,12.46,12.48,12.46,12.46,11226,0
2015-02-03,17:35:00,12.47,12.47,12.45,12.45,22296,0
2015-02-03,17:40:00,12.45,12.45,12.4,12.41,58537,0
2015-02-03,17:45:00,12.415,12.44,12.41,12.43,19393,0
2015-02-03,17:50:00,12.42,12.42,12.37,12.38,26599,0
2015-02-03,17:55:00,12.37,12.375,12.34,12.345,25612,0
2015-02-03,18:00:00,12.34,12.37,12.331,12.3601,28493,0
2015-02-03,18:05:00,12.35,12.3501,12.325,12.3501,17139,0
2015-02-03,18:10:00,12.36,12.36,12.34,12.35,14850,0
2015-02-03,18:15:00,12.35,12.37,12.34,12.37,14300,0
2015-02-03,18:20:00,12.37,12.37,12.345,12.345,7856,0
2015-02-03,18:25:00,12.35,12.36,12.33,12.33,9792,0
2015-02-03,18:30:00,12.34,12.36,12.33,12.345,11429,0
2015-02-03,18:35:00,12.34,12.34,12.31,12.32,18258,0
2015-02-03,18:40:00,12.31,12.32,12.3,12.31,29050,0
2015-02-03,18:45:00,12.315,12.38,12.31,12.38,29744,0
2015-02-03,18:50:00,12.38,12.41,12.37,12.38,37423,0
2015-02-03,18:55:00,12.37,12.39,12.355,12.39,19338,0
2015-02-03,19:00:00,12.395,12.41,12.38,12.38,17797,0
2015-02-03,19:05:00,12.38,12.42,12.37,12.42,80408,0
2015-02-03,19:10:00,12.41,12.43,12.41,12.43,13756,0
2015-02-03,19:15:00,12.44,12.45,12.41,12.45,22943,0
2015-02-03,19:20:00,12.44,12.45,12.43,12.43,10788,0
2015-02-03,19:25:00,12.44,12.47,12.44,12.46,28625,0
2015-02-03,19:30:00,12.455,12.47,12.45,12.455,16650,0
2015-02-03,19:35:00,12.46,12.46,12.44,12.45,13118,0
2015-02-03,19:40:00,12.4523,12.46,12.41,12.41,20390,0
2015-02-03,19:45:00,12.41,12.455,12.405,12.445,21682,0
2015-02-03,19:50:00,12.445,12.45,12.405,12.41,15800,0
2015-02-03,19:55:00,12.4,12.4,12.37,12.4,19549,0
2015-02-03,20:00:00,12.4,12.4,12.37,12.385,15566,0
2015-02-03,20:05:00,12.385,12.4,12.375,12.38,30325,0
2015-02-03,20:10:00,12.38,12.3866,12.35,12.35,34923,0
2015-02-03,20:15:00,12.35,12.35,12.32,12.33,48272,0
2015-02-03,20:20:00,12.33,12.335,12.3,12.31,29195,0
2015-02-03,20:25:00,12.309,12.31,12.29,12.295,58103,0
2015-02-03,20:30:00,12.29,12.32,12.28,12.28,56161,0
2015-02-03,20:35:00,12.29,12.31,12.285,12.3,39102,0
2015-02-03,20:40:00,12.305,12.31,12.26,12.31,58876,0
2015-02-03,20:45:00,12.31,12.34,12.301,12.33,28203,0
2015-02-03,20:50:00,12.33,12.34,12.325,12.34,9595,0
2015-02-03,20:55:00,12.34,12.39,12.335,12.39,35013,0
2015-02-03,21:00:00,12.39,12.4,12.38,12.4,28394,0
2015-02-03,21:05:00,12.4,12.415,12.38,12.41,61492,0
2015-02-03,21:10:00,12.4,12.45,12.4,12.45,69819,0
2015-02-03,21:15:00,12.45,12.45,12.42,12.44,57391,0
2015-02-03,21:20:00,12.44,12.47,12.435,12.45,58699,0
2015-02-03,21:25:00,12.45,12.47,12.44,12.47,49982,0
2015-02-03,21:30:00,12.47,12.48,12.445,12.46,67260,0
2015-02-03,21:35:00,12.46,12.52,12.445,12.51,276127,0
2015-02-03,21:40:00,12.51,12.51,12.5,12.51,38028,0
2015-02-03,21:45:00,12.505,12.54,12.5,12.54,54861,0
2015-02-03,21:50:00,12.53,12.55,12.53,12.55,59389,0
2015-02-03,21:55:00,12.55,12.57,12.541,12.56,132258,0
2015-02-03,22:00:00,12.56,12.57,12.55,12.56,443592,0
2015-02-04,15:35:00,12.46,12.61,12.46,12.58,61649,0
2015-02-04,15:40:00,12.58,12.64,12.55,12.62,32826,0
2015-02-04,15:45:00,12.63,12.7,12.62,12.65,35481,0
2015-02-04,15:50:00,12.64,12.64,12.57,12.61,42809,0
2015-02-04,15:55:00,12.62,12.63,12.57,12.5999,31368,0
2015-02-04,16:00:00,12.61,12.62,12.59,12.62,24819,0
2015-02-04,16:05:00,12.62,12.655,12.62,12.63,68972,0
2015-02-04,16:10:00,12.64,12.655,12.62,12.62,44384,0
2015-02-04,16:15:00,12.62,12.64,12.59,12.6,53537,0
2015-02-04,16:20:00,12.6,12.625,12.56,12.56,45444,0
2015-02-04,16:25:00,12.57,12.57,12.52,12.53,34481,0
2015-02-04,16:30:00,12.53,12.54,12.5249,12.54,20097,0
2015-02-04,16:35:00,12.535,12.54,12.518,12.53,35654,0
2015-02-04,16:40:00,12.54,12.56,12.52,12.54,30739,0
2015-02-04,16:45:00,12.54,12.58,12.52,12.56,134580,0
2015-02-04,16:50:00,12.56,12.57,12.56,12.56,14605,0
2015-02-04,16:55:00,12.5652,12.5652,12.52,12.52,20156,0
2015-02-04,17:00:00,12.52,12.5255,12.5,12.5,42972,0
2015-02-04,17:05:00,12.5,12.525,12.5,12.525,20464,0
2015-02-04,17:10:00,12.52,12.525,12.51,12.515,7722,0
2015-02-04,17:15:00,12.51,12.515,12.48,12.5,47179,0
2015-02-04,17:20:00,12.5,12.5,12.46,12.47,21902,0
2015-02-04,17:25:00,12.46,12.49,12.46,12.49,23567,0
2015-02-04,17:30:00,12.49,12.53,12.49,12.53,49585,0
2015-02-04,17:35:00,12.5249,12.55,12.5249,12.55,18560,0
2015-02-04,17:40:00,12.55,12.55,12.54,12.55,32582,0
2015-02-04,17:45:00,12.54,12.55,12.54,12.54,31976,0
2015-02-04,17:50:00,12.54,12.545,12.51,12.51,40008,0
2015-02-04,17:55:00,12.515,12.515,12.48,12.48,16240,0
2015-02-04,18:00:00,12.48,12.49,12.47,12.47,49972,0
2015-02-04,18:05:00,12.475,12.49,12.46,12.46,45618,0
2015-02-04,18:10:00,12.46,12.47,12.45,12.45,20760,0
2015-02-04,18:15:00,12.45,12.48,12.45,12.475,51168,0
2015-02-04,18:20:00,12.47,12.48,12.47,12.47,22052,0
2015-02-04,18:25:00,12.47,12.48,12.47,12.47,31248,0
2015-02-04,18:30:00,12.47,12.48,12.44,12.445,57641,0
2015-02-04,18:35:00,12.44,12.45,12.43,12.44,63719,0
2015-02-04,18:40:00,12.43,12.43,12.41,12.4143,42368,0
2015-02-04,18:45:00,12.41,12.45,12.41,12.44,74368,0
2015-02-04,18:50:00,12.44,12.455,12.43,12.439,40540,0
2015-02-04,18:55:00,12.43,12.45,12.43,12.43,24479,0
2015-02-04,19:00:00,12.44,12.45,12.43,12.43,30584,0
2015-02-04,19:05:00,12.43,12.46,12.43,12.46,24572,0
2015-02-04,19:10:00,12.465,12.49,12.465,12.49,42510,0
2015-02-04,19:15:00,12.495,12.52,12.495,12.5,28153,0
2015-02-04,19:20:00,12.51,12.53,12.51,12.53,20118,0
2015-02-04,19:25:00,12.53,12.53,12.51,12.53,28876,0
2015-02-04,19:30:00,12.53,12.56,12.53,12.5599,22515,0
