Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,15:45:00,5.95,5.95,5.92,5.93,4845,0
2015-02-03,15:50:00,5.95,5.95,5.95,5.95,100,0
2015-02-03,15:55:00,5.95,6.03,5.945,6.0,7213,0
2015-02-03,16:00:00,6.04,6.04,6.0,6.01,5935,0
2015-02-03,16:05:00,6.03,6.04,6.01,6.01,3800,0
2015-02-03,16:10:00,6.0,6.03,6.0,6.01,3300,0
2015-02-03,16:15:00,6.02,6.05,6.02,6.05,10399,0
2015-02-03,16:20:00,6.05,6.05,6.04,6.05,2196,0
2015-02-03,16:25:00,6.05,6.05,6.04,6.04,2200,0
2015-02-03,16:30:00,6.025,6.025,6.02,6.02,6866,0
2015-02-03,16:35:00,6.035,6.04,6.01,6.03,4640,0
2015-02-03,16:40:00,6.02,6.03,6.02,6.02,2100,0
2015-02-03,16:45:00,6.02,6.02,6.02,6.02,1000,0
2015-02-03,16:50:00,6.02,6.02,6.0,6.01,1600,0
2015-02-03,16:55:00,5.99,6.0,5.99,5.99,1200,0
2015-02-03,17:00:00,5.98,5.99,5.98,5.99,1300,0
2015-02-03,17:05:00,5.99,6.0,5.99,6.0,4900,0
2015-02-03,17:10:00,6.005,6.02,6.0,6.0,4600,0
2015-02-03,17:15:00,6.0,6.0,6.0,6.0,2600,0
2015-02-03,17:20:00,6.0,6.0,6.0,6.0,400,0
2015-02-03,17:25:00,6.0023,6.0023,6.0023,6.0023,1444,0
2015-02-03,17:30:00,6.0,6.0,6.0,6.0,300,0
2015-02-03,17:35:00,6.0,6.0,5.97,5.97,5300,0
2015-02-03,17:40:00,5.97,5.98,5.96,5.98,2000,0
2015-02-03,17:45:00,5.98,5.98,5.98,5.98,1796,0
2015-02-03,17:50:00,5.98,5.98,5.96,5.96,2000,0
2015-02-03,17:55:00,5.96,5.99,5.96,5.99,2500,0
2015-02-03,18:00:00,5.9955,5.9955,5.99,5.99,550,0
2015-02-03,18:05:00,5.99,5.99,5.97,5.98,3200,0
2015-02-03,18:10:00,5.965,5.98,5.965,5.98,1500,0
2015-02-03,18:15:00,5.99,5.995,5.985,5.995,1700,0
2015-02-03,18:20:00,5.995,6.0,5.98,5.98,1543,0
2015-02-03,18:25:00,5.98,5.98,5.98,5.98,1100,0
2015-02-03,18:30:00,5.98,6.0,5.98,5.989,11760,0
2015-02-03,18:35:00,5.99,6.0,5.98,5.98,2234,0
2015-02-03,18:40:00,5.99,6.0,5.9892,5.9892,2200,0
2015-02-03,18:45:00,5.98,5.985,5.98,5.985,600,0
2015-02-03,18:50:00,5.98,5.99,5.98,5.99,900,0
2015-02-03,18:55:00,5.99,5.99,5.985,5.99,1900,0
2015-02-03,19:00:00,5.995,6.0,5.995,6.0,1200,0
2015-02-03,19:05:00,5.995,6.0,5.995,6.0,300,0
2015-02-03,19:10:00,5.995,6.0,5.995,6.0,200,0
2015-02-03,19:15:00,5.995,5.995,5.97,5.97,5300,0
2015-02-03,19:20:00,5.97,5.97,5.94,5.945,1100,0
2015-02-03,19:25:00,5.95,5.95,5.93,5.95,8103,0
2015-02-03,19:35:00,5.94,5.94,5.94,5.94,200,0
2015-02-03,19:40:00,5.95,5.96,5.945,5.95,2900,0
2015-02-03,19:45:00,5.945,5.95,5.94,5.94,900,0
2015-02-03,19:50:00,5.95,5.95,5.945,5.95,700,0
2015-02-03,19:55:00,5.95,5.95,5.94,5.94,3100,0
2015-02-03,20:00:00,5.94,5.94,5.855,5.88,41365,0
2015-02-03,20:05:00,5.89,5.91,5.89,5.8979,2000,0
2015-02-03,20:10:00,5.9,5.92,5.9,5.91,4200,0
2015-02-03,20:15:00,5.91,5.91,5.91,5.91,1200,0
2015-02-03,20:25:00,5.91,5.91,5.91,5.91,200,0
2015-02-03,20:35:00,5.91,5.92,5.905,5.92,5500,0
2015-02-03,20:40:00,5.92,5.92,5.9001,5.905,1800,0
2015-02-03,20:45:00,5.91,5.93,5.91,5.93,7000,0
2015-02-03,20:50:00,5.93,5.94,5.93,5.94,4200,0
2015-02-03,20:55:00,5.94,5.97,5.94,5.96,5682,0
2015-02-03,21:00:00,5.96,5.975,5.955,5.97,8800,0
2015-02-03,21:05:00,5.969,5.97,5.965,5.97,809,0
2015-02-03,21:10:00,5.97,5.97,5.97,5.97,800,0
2015-02-03,21:15:00,5.97,5.97,5.97,5.97,700,0
2015-02-03,21:20:00,5.965,5.97,5.96,5.96,1600,0
2015-02-03,21:25:00,5.96,5.97,5.96,5.97,800,0
2015-02-03,21:30:00,5.965,5.97,5.96,5.965,706,0
