Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,20:00:00,16.25,16.27,16.20,16.21,2500,0
2015-02-02,20:05:00,16.24,16.24,16.2,16.23,3700,0
2015-02-02,20:10:00,16.24,16.24,16.24,16.24,2074,0
2015-02-02,20:15:00,16.255,16.26,16.21,16.24,2500,0
2015-02-02,20:20:00,16.26,16.26,16.22,16.24,1100,0
2015-02-02,20:25:00,16.24,16.28,16.24,16.28,2300,0
2015-02-02,20:30:00,16.31,16.31,16.295,16.295,600,0
2015-02-02,20:35:00,16.335,16.335,16.3,16.31,1500,0
2015-02-02,20:40:00,16.29,16.3,16.29,16.3,400,0
2015-02-02,20:45:00,16.29,16.29,16.29,16.29,400,0
2015-02-02,20:50:00,16.29,16.3,16.25,16.25,2793,0
2015-02-02,20:55:00,16.28,16.32,16.28,16.32,1200,0
2015-02-02,21:00:00,16.31,16.31,16.25,16.25,5700,0
2015-02-02,21:05:00,16.29,16.29,16.29,16.29,300,0
2015-02-02,21:10:00,16.285,16.31,16.25,16.31,5800,0
2015-02-02,21:15:00,16.31,16.31,16.26,16.26,4200,0
2015-02-02,21:20:00,16.28,16.3,16.21,16.23,2100,0
2015-02-02,21:25:00,16.22,16.27,16.22,16.27,2400,0
2015-02-02,21:30:00,16.28,16.29,16.265,16.28,3200,0
2015-02-02,21:35:00,16.28,16.42,16.27,16.36,21097,0
2015-02-02,21:40:00,16.33,16.37,16.32,16.37,2800,0
2015-02-02,21:45:00,16.37,16.41,16.37,16.39,3200,0
2015-02-02,21:50:00,16.38,16.38,16.32,16.32,5500,0
2015-02-02,21:55:00,16.32,16.36,16.31,16.355,9213,0
2015-02-02,22:00:00,16.36,16.4,16.34,16.4,16701,0
2015-02-03,15:35:00,16.44,16.49,16.44,16.46,1800,0
2015-02-03,15:45:00,16.47,16.47,16.41,16.41,200,0
2015-02-03,15:50:00,16.48,16.53,16.48,16.51,5600,0
2015-02-03,15:55:00,16.51,16.51,16.492,16.492,1800,0
2015-02-03,16:00:00,16.51,16.62,16.51,16.58,3100,0
2015-02-03,16:05:00,16.59,16.61,16.56,16.56,1900,0
2015-02-03,16:10:00,16.57,16.6,16.54,16.57,3500,0
2015-02-03,16:15:00,16.55,16.6,16.55,16.57,1400,0
2015-02-03,16:20:00,16.54,16.553,16.5,16.52,2400,0
2015-02-03,16:25:00,16.53,16.54,16.5,16.54,2347,0
2015-02-03,16:30:00,16.56,16.59,16.54,16.56,8028,0
2015-02-03,16:35:00,16.55,16.55,16.5,16.5266,3800,0
2015-02-03,16:40:00,16.49,16.49,16.49,16.49,200,0
2015-02-03,16:45:00,16.46,16.48,16.45,16.47,1300,0
2015-02-03,16:50:00,16.46,16.46,16.43,16.43,700,0
