Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,19:45:00,44.330,44.330,44.250,44.250,4906,0
2015-02-02,19:50:00,44.264,44.3,44.264,44.3,1600,0
2015-02-02,19:55:00,44.3,44.33,44.27,44.3,30217,0
2015-02-02,20:00:00,44.28,44.34,44.27,44.31,9551,0
2015-02-02,20:05:00,44.35,44.46,44.29,44.425,9322,0
2015-02-02,20:10:00,44.4225,44.4225,44.3,44.34,22226,0
2015-02-02,20:15:00,44.34,44.3599,44.27,44.32,2737,0
2015-02-02,20:20:00,44.33,44.515,44.32,44.48,5698,0
2015-02-02,20:25:00,44.54,44.58,44.54,44.58,800,0
2015-02-02,20:30:00,44.58,44.72,44.58,44.68,6100,0
2015-02-02,20:35:00,44.75,44.75,44.66,44.66,2900,0
2015-02-02,20:40:00,44.69,44.7,44.64,44.64,8560,0
2015-02-02,20:45:00,44.61,44.7,44.55,44.66,9500,0
2015-02-02,20:50:00,44.6718,44.6718,44.49,44.49,5137,0
2015-02-02,20:55:00,44.5,44.66,44.5,44.62,6631,0
2015-02-02,21:00:00,44.61,44.69,44.61,44.69,5500,0
2015-02-02,21:05:00,44.66,44.79,44.66,44.79,7490,0
2015-02-02,21:10:00,44.78,44.85,44.78,44.85,6100,0
2015-02-02,21:15:00,44.88,44.95,44.88,44.945,4134,0
2015-02-02,21:20:00,44.94,44.975,44.86,44.86,3700,0
2015-02-02,21:25:00,44.86,44.91,44.86,44.91,3688,0
2015-02-02,21:30:00,44.93,44.97,44.92,44.94,4500,0
2015-02-02,21:35:00,44.94,44.94,44.91,44.92,6900,0
2015-02-02,21:40:00,44.92,45.13,44.91,45.13,7200,0
2015-02-02,21:45:00,45.16,45.24,45.16,45.235,11300,0
2015-02-02,21:50:00,45.235,45.24,45.07,45.07,9787,0
2015-02-02,21:55:00,45.11,45.12,45.0,45.09,14636,0
2015-02-02,22:00:00,45.11,45.23,45.03,45.12,27555,0
2015-02-03,15:35:00,45.37,46.07,45.11,45.81,2594,0
2015-02-03,15:40:00,45.62,45.62,45.62,45.62,1000,0
2015-02-03,15:45:00,45.67,45.67,45.67,45.67,900,0
2015-02-03,15:55:00,45.71,45.71,45.71,45.71,200,0
2015-02-03,16:00:00,45.73,45.73,45.67,45.72,1800,0
2015-02-03,16:05:00,45.67,45.73,45.67,45.72,500,0
2015-02-03,16:10:00,45.8499,45.86,45.73,45.78,6908,0
2015-02-03,16:15:00,45.8,46.16,45.76,45.93,30100,0
2015-02-03,16:20:00,45.93,46.01,45.93,45.93,2000,0
2015-02-03,16:25:00,46.12,46.19,46.08,46.15,2700,0
2015-02-03,16:30:00,46.2,46.29,46.175,46.29,1600,0
2015-02-03,16:35:00,46.34,46.35,46.28,46.335,3613,0
2015-02-03,16:40:00,46.39,46.39,46.36,46.36,1100,0
2015-02-03,16:45:00,46.38,46.39,46.29,46.29,2955,0
2015-02-03,16:50:00,46.35,46.41,46.3434,46.3434,1850,0
2015-02-03,16:55:00,46.35,46.43,46.35,46.43,1200,0
2015-02-03,17:00:00,46.4299,46.43,46.31,46.31,7500,0
2015-02-03,17:05:00,46.33,46.38,46.33,46.36,8200,0
2015-02-03,17:10:00,46.42,46.42,46.42,46.42,300,0
2015-02-03,17:15:00,46.42,46.42,46.42,46.42,4800,0
2015-02-03,17:20:00,46.37,46.47,46.37,46.47,600,0
2015-02-03,17:25:00,46.41,46.58,46.41,46.55,11600,0
