Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-03,16:25:00,66.00,66.19,66.00,66.11,5000,0
2015-02-03,16:30:00,66.11,66.43,66.11,66.42,2750,0
2015-02-03,16:35:00,66.4,66.4,66.22,66.22,9811,0
2015-02-03,16:40:00,66.32,66.37,66.2,66.3,6100,0
2015-02-03,16:45:00,66.31,66.45,66.26,66.26,6703,0
2015-02-03,16:50:00,66.36,66.44,66.25,66.44,9529,0
2015-02-03,16:55:00,66.35,66.47,66.29,66.38,6400,0
2015-02-03,17:00:00,66.31,66.41,66.31,66.395,7600,0
2015-02-03,17:05:00,66.41,66.47,66.34,66.345,7300,0
2015-02-03,17:10:00,66.345,66.43,66.23,66.43,18332,0
2015-02-03,17:15:00,66.55,66.65,66.5,66.59,11952,0
2015-02-03,17:20:00,66.6,66.88,66.595,66.78,12000,0
2015-02-03,17:25:00,66.81,66.81,66.66,66.66,7300,0
2015-02-03,17:30:00,66.68,66.74,66.5,66.5,9000,0
2015-02-03,17:35:00,66.59,66.71,66.59,66.71,1800,0
2015-02-03,17:40:00,66.7,66.94,66.7,66.94,15503,0
2015-02-03,17:45:00,66.92,66.98,66.88,66.98,5500,0
2015-02-03,17:50:00,66.95,66.98,66.86,66.88,5000,0
2015-02-03,17:55:00,66.87,66.87,66.76,66.76,5500,0
2015-02-03,18:00:00,66.71,66.71,66.63,66.63,3309,0
2015-02-03,18:05:00,66.6,66.61,66.52,66.61,4900,0
2015-02-03,18:10:00,66.59,66.62,66.57,66.57,3600,0
2015-02-03,18:15:00,66.6,66.68,66.59,66.6,5100,0
2015-02-03,18:20:00,66.57,66.585,66.51,66.51,3400,0
2015-02-03,18:25:00,66.55,66.59,66.55,66.56,1700,0
2015-02-03,18:30:00,66.58,66.6,66.555,66.555,3600,0
2015-02-03,18:35:00,66.54,66.54,66.46,66.46,4300,0
2015-02-03,18:40:00,66.46,66.5,66.44,66.48,2800,0
2015-02-03,18:45:00,66.51,66.6,66.51,66.6,3300,0
2015-02-03,18:50:00,66.65,66.67,66.55,66.57,2518,0
2015-02-03,18:55:00,66.55,66.55,66.48,66.48,3300,0
2015-02-03,19:00:00,66.54,66.57,66.51,66.51,1300,0
2015-02-03,19:05:00,66.51,66.58,66.5,66.56,2700,0
2015-02-03,19:10:00,66.6,66.62,66.6,66.61,1400,0
2015-02-03,19:15:00,66.65,66.77,66.62,66.76,1800,0
2015-02-03,19:20:00,66.8,66.85,66.8,66.815,1000,0
2015-02-03,19:25:00,66.86,66.98,66.84,66.98,10838,0
2015-02-03,19:30:00,66.98,67.04,66.97,67.04,8033,0
2015-02-03,19:35:00,67.1,67.26,67.1,67.26,2900,0
2015-02-03,19:40:00,67.31,67.31,67.17,67.17,2050,0
2015-02-03,19:45:00,67.18,67.2,67.09,67.11,3400,0
2015-02-03,19:50:00,67.12,67.13,67.1,67.1,4400,0
2015-02-03,19:55:00,67.05,67.15,67.05,67.15,2200,0
2015-02-03,20:00:00,67.15,67.23,67.15,67.18,3200,0
2015-02-03,20:05:00,67.19,67.23,67.11,67.13,3500,0
2015-02-03,20:10:00,67.12,67.17,67.05,67.07,3428,0
2015-02-03,20:15:00,67.02,67.07,67.01,67.01,4700,0
2015-02-03,20:20:00,67.02,67.16,67.01,67.1,8542,0
2015-02-03,20:25:00,67.1,67.17,67.08,67.1,7061,0
2015-02-03,20:30:00,67.1,67.12,66.98,67.08,9915,0
2015-02-03,20:35:00,67.1,67.12,67.05,67.06,4850,0
2015-02-03,20:40:00,67.05,67.09,66.98,67.08,3800,0
2015-02-03,20:45:00,67.11,67.23,67.08,67.21,4700,0
2015-02-03,20:50:00,67.18,67.255,67.17,67.255,1800,0
2015-02-03,20:55:00,67.26,67.4,67.24,67.35,4500,0
2015-02-03,21:00:00,67.35,67.5,67.35,67.5,6381,0
2015-02-03,21:05:00,67.53,67.55,67.46,67.46,8088,0
2015-02-03,21:10:00,67.45,67.46,67.34,67.41,6200,0
2015-02-03,21:15:00,67.38,67.39,67.31,67.37,7748,0
2015-02-03,21:20:00,67.38,67.395,67.37,67.39,6322,0
2015-02-03,21:25:00,67.4,67.44,67.39,67.43,8312,0
2015-02-03,21:30:00,67.43,67.46,67.4,67.46,9368,0
2015-02-03,21:35:00,67.45,67.46,67.41,67.41,5648,0
2015-02-03,21:40:00,67.4,67.51,67.4,67.51,7900,0
2015-02-03,21:45:00,67.51,67.64,67.5,67.62,6600,0
2015-02-03,21:50:00,67.635,67.78,67.635,67.76,8300,0
2015-02-03,21:55:00,67.78,67.985,67.78,67.98,20439,0
2015-02-03,22:00:00,67.97,67.98,67.79,67.96,54028,0
2015-02-04,15:35:00,67.76,68.2,67.5,67.5,4005,0
2015-02-04,15:40:00,67.5,67.58,67.3699,67.48,3222,0
2015-02-04,15:45:00,67.695,68.03,67.695,67.825,2855,0
2015-02-04,15:50:00,68.14,68.29,68.06,68.28,4200,0
2015-02-04,15:55:00,68.22,68.22,68.08,68.08,2100,0
2015-02-04,16:00:00,68.21,68.21,68.15,68.15,1000,0
2015-02-04,16:05:00,68.21,68.28,68.09,68.11,2700,0
