Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:00:00,7.780,7.790,7.760,7.760,1700,0
2015-02-02,21:05:00,7.76,7.765,7.76,7.76,1200,0
2015-02-02,21:10:00,7.765,7.8,7.76,7.78,4500,0
2015-02-02,21:15:00,7.78,7.8,7.78,7.79,3720,0
2015-02-02,21:20:00,7.79,7.79,7.76,7.77,1901,0
2015-02-02,21:25:00,7.78,7.78,7.75,7.76,6000,0
2015-02-02,21:30:00,7.755,7.775,7.75,7.765,6500,0
2015-02-02,21:35:00,7.76,7.775,7.75,7.765,8700,0
2015-02-02,21:40:00,7.765,7.84,7.76,7.84,9400,0
2015-02-02,21:45:00,7.84,7.85,7.79,7.79,9131,0
2015-02-02,21:50:00,7.79,7.84,7.79,7.81,6600,0
2015-02-02,21:55:00,7.83,7.83,7.8,7.81,8997,0
2015-02-02,22:00:00,7.81,7.88,7.79,7.84,32072,0
2015-02-03,15:35:00,7.99,8.0,7.93,7.95,2500,0
2015-02-03,15:40:00,7.98,8.13,7.97,8.13,5259,0
2015-02-03,15:45:00,8.13,8.15,8.1,8.1,4900,0
2015-02-03,15:50:00,8.11,8.16,8.11,8.16,3730,0
2015-02-03,15:55:00,8.22,8.22,8.13,8.16,3997,0
2015-02-03,16:00:00,8.16,8.25,8.16,8.25,5900,0
2015-02-03,16:10:00,8.21,8.22,8.21,8.21,5700,0
2015-02-03,16:15:00,8.22,8.23,8.215,8.22,2900,0
2015-02-03,16:20:00,8.21,8.22,8.21,8.22,1600,0
2015-02-03,16:25:00,8.22,8.225,8.19,8.19,3670,0
2015-02-03,16:30:00,8.21,8.225,8.17,8.18,5400,0
2015-02-03,16:35:00,8.18,8.24,8.18,8.2244,6500,0
2015-02-03,16:40:00,8.22,8.22,8.196,8.2,1800,0
2015-02-03,16:45:00,8.19,8.21,8.19,8.21,2437,0
2015-02-03,16:50:00,8.21,8.22,8.2,8.22,1400,0
2015-02-03,16:55:00,8.2002,8.2002,8.19,8.2,2700,0
2015-02-03,17:00:00,8.21,8.23,8.21,8.2248,950,0
2015-02-03,17:05:00,8.22,8.24,8.22,8.22,1400,0
2015-02-03,17:10:00,8.2,8.23,8.2,8.23,1300,0
2015-02-03,17:15:00,8.23,8.25,8.23,8.23,1700,0
2015-02-03,17:20:00,8.24,8.24,8.2378,8.2378,720,0
2015-02-03,17:30:00,8.25,8.31,8.245,8.27,50585,0
2015-02-03,17:35:00,8.28,8.28,8.27,8.28,4200,0
2015-02-03,17:40:00,8.29,8.29,8.29,8.29,300,0
2015-02-03,17:45:00,8.3,8.31,8.3,8.31,1504,0
2015-02-03,17:50:00,8.3,8.3,8.29,8.29,1250,0
2015-02-03,17:55:00,8.3,8.35,8.3,8.33,3800,0
2015-02-03,18:00:00,8.34,8.34,8.34,8.34,700,0
2015-02-03,18:05:00,8.34,8.34,8.32,8.34,9170,0
2015-02-03,18:10:00,8.35,8.37,8.34,8.37,4112,0
2015-02-03,18:15:00,8.37,8.37,8.37,8.37,850,0
2015-02-03,18:20:00,8.38,8.38,8.38,8.38,200,0
2015-02-03,18:25:00,8.38,8.39,8.38,8.38,1450,0
2015-02-03,18:30:00,8.38,8.41,8.38,8.38,5596,0
2015-02-03,18:35:00,8.39,8.41,8.39,8.41,1900,0
2015-02-03,18:40:00,8.42,8.42,8.41,8.41,600,0
2015-02-03,18:45:00,8.42,8.45,8.42,8.45,3100,0
2015-02-03,18:50:00,8.46,8.51,8.46,8.49,6765,0
2015-02-03,18:55:00,8.48,8.49,8.48,8.4898,821,0
2015-02-03,19:00:00,8.4798,8.5,8.47,8.48,4900,0
2015-02-03,19:05:00,8.48,8.48,8.47,8.48,523,0
2015-02-03,19:10:00,8.47,8.48,8.47,8.48,1600,0
2015-02-03,19:15:00,8.47,8.47,8.43,8.45,4000,0
2015-02-03,19:20:00,8.44,8.44,8.41,8.41,900,0
2015-02-03,19:25:00,8.42,8.43,8.42,8.43,300,0
2015-02-03,19:30:00,8.42,8.43,8.42,8.43,1100,0
2015-02-03,19:35:00,8.42,8.43,8.42,8.43,1100,0
2015-02-03,19:45:00,8.44,8.44,8.42,8.43,2750,0
2015-02-03,19:50:00,8.44,8.49,8.44,8.48,3383,0
2015-02-03,19:55:00,8.45,8.46,8.43,8.46,2380,0
2015-02-03,20:00:00,8.47,8.47,8.47,8.47,200,0
2015-02-03,20:05:00,8.479,8.48,8.47,8.47,2512,0
2015-02-03,20:10:00,8.48,8.48,8.44,8.46,2300,0
2015-02-03,20:15:00,8.46,8.46,8.46,8.46,100,0
2015-02-03,20:20:00,8.46,8.46,8.46,8.46,300,0
2015-02-03,20:25:00,8.46,8.46,8.43,8.43,2900,0
2015-02-03,20:30:00,8.43,8.43,8.41,8.41,4283,0
2015-02-03,20:35:00,8.395,8.42,8.395,8.42,400,0
2015-02-03,20:40:00,8.41,8.43,8.41,8.43,1100,0
2015-02-03,20:50:00,8.45,8.46,8.44,8.45,3500,0
2015-02-03,20:55:00,8.44,8.47,8.44,8.45,1700,0
2015-02-03,21:00:00,8.47,8.47,8.43,8.43,1600,0
2015-02-03,21:05:00,8.43,8.45,8.43,8.44,4200,0
2015-02-03,21:10:00,8.43,8.46,8.43,8.45,3300,0
2015-02-03,21:15:00,8.46,8.46,8.425,8.43,7132,0
2015-02-03,21:20:00,8.43,8.438,8.42,8.438,1576,0
2015-02-03,21:25:00,8.43,8.44,8.43,8.4316,5841,0
2015-02-03,21:30:00,8.43,8.435,8.43,8.43,2900,0
2015-02-03,21:35:00,8.44,8.44,8.43,8.43,4400,0
2015-02-03,21:40:00,8.41,8.4116,8.39,8.39,6113,0
2015-02-03,21:45:00,8.3916,8.43,8.3916,8.41,10046,0
2015-02-03,21:50:00,8.41,8.42,8.41,8.41,14771,0
2015-02-03,21:55:00,8.42,8.425,8.41,8.41,14060,0
2015-02-03,22:00:00,8.41,8.43,8.41,8.42,62634,0
2015-02-04,15:35:00,8.39,8.58,8.39,8.4,1564,0
2015-02-04,15:40:00,8.38,8.39,8.38,8.39,1458,0
2015-02-04,15:45:00,8.38,8.38,8.37,8.37,1000,0
2015-02-04,15:50:00,8.33,8.39,8.31,8.39,6900,0
2015-02-04,15:55:00,8.35,8.37,8.26,8.37,10308,0
2015-02-04,16:00:00,8.32,8.39,8.285,8.37,5524,0
2015-02-04,16:05:00,8.39,8.47,8.39,8.47,7468,0
2015-02-04,16:10:00,8.47,8.47,8.41,8.425,10594,0
2015-02-04,16:15:00,8.43,8.45,8.37,8.37,3500,0
2015-02-04,16:20:00,8.36,8.39,8.29,8.295,4315,0
2015-02-04,16:25:00,8.295,8.36,8.295,8.35,3100,0
2015-02-04,16:30:00,8.34,8.34,8.29,8.33,4600,0
2015-02-04,16:35:00,8.32,8.32,8.26,8.305,3700,0
2015-02-04,16:40:00,8.33,8.33,8.26,8.27,1900,0
2015-02-04,16:45:00,8.27,8.29,8.27,8.29,2000,0
2015-02-04,16:50:00,8.3,8.3,8.25,8.25,4450,0
2015-02-04,16:55:00,8.24,8.26,8.2275,8.26,6631,0
2015-02-04,17:00:00,8.23,8.27,8.22,8.27,4600,0
2015-02-04,17:05:00,8.27,8.27,8.23,8.26,3800,0
2015-02-04,17:10:00,8.24,8.27,8.24,8.26,1400,0
2015-02-04,17:15:00,8.25,8.26,8.24,8.26,2600,0
2015-02-04,17:20:00,8.26,8.26,8.26,8.26,600,0
2015-02-04,17:25:00,8.26,8.26,8.24,8.25,2000,0
2015-02-04,17:30:00,8.265,8.28,8.25,8.25,2000,0
2015-02-04,17:35:00,8.26,8.28,8.26,8.27,3400,0
2015-02-04,17:40:00,8.26,8.27,8.25,8.25,700,0
