Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,21:45:00,125.55,126.23,125.54,125.85,7228,0
2015-02-02,21:50:00,125.77,126.05,125.68,125.73,9400,0
2015-02-02,21:55:00,125.68,125.78,125.42,125.48,8824,0
2015-02-02,22:00:00,125.51,125.54,125.28,125.43,23900,0
2015-02-03,15:35:00,125.82,125.82,125.2,125.2,2100,0
2015-02-03,15:40:00,125.69,125.8,125.22,125.8,1400,0
2015-02-03,15:45:00,125.49,125.915,125.4,125.51,3100,0
2015-02-03,15:50:00,125.92,126.31,125.77,125.95,8200,0
2015-02-03,15:55:00,125.64,126.0099,125.64,125.88,3500,0
2015-02-03,16:00:00,125.86,126.46,125.86,126.32,7508,0
2015-02-03,16:05:00,126.25,126.44,125.88,125.965,8945,0
2015-02-03,16:10:00,125.8,126.38,125.8,126.25,4430,0
2015-02-03,16:15:00,126.28,126.28,126.1575,126.175,5600,0
2015-02-03,16:20:00,125.835,126.025,125.435,125.82,8620,0
2015-02-03,16:25:00,125.81,126.04,125.79,126.015,9100,0
2015-02-03,16:30:00,125.96,125.96,125.678,125.82,4626,0
2015-02-03,16:35:00,125.89,125.95,125.13,125.16,4100,0
2015-02-03,16:40:00,125.0,125.0,124.7701,124.78,2221,0
2015-02-03,16:45:00,124.8,124.82,124.59,124.59,1228,0
2015-02-03,16:50:00,124.37,124.66,124.32,124.66,7600,0
2015-02-03,16:55:00,124.62,125.64,124.62,125.32,9900,0
2015-02-03,17:00:00,125.49,125.49,125.44,125.44,1195,0
2015-02-03,17:05:00,125.31,125.545,125.185,125.545,2052,0
2015-02-03,17:10:00,125.29,125.36,124.93,125.36,3450,0
2015-02-03,17:15:00,125.4,125.655,125.27,125.655,4000,0
2015-02-03,17:20:00,125.74,126.1,125.74,125.85,2300,0
2015-02-03,17:25:00,125.83,125.95,125.42,125.78,3697,0
2015-02-03,17:30:00,125.7,126.09,125.62,125.78,3411,0
2015-02-03,17:35:00,125.74,125.88,125.49,125.88,700,0
2015-02-03,17:40:00,125.79,125.92,125.76,125.9,1800,0
2015-02-03,17:45:00,126.0,126.51,125.96,126.51,2400,0
2015-02-03,17:50:00,126.542,126.542,126.31,126.47,2800,0
2015-02-03,17:55:00,126.09,126.13,125.97,125.98,1900,0
2015-02-03,18:00:00,126.02,126.17,125.88,126.15,1900,0
2015-02-03,18:05:00,126.09,126.2,125.8,126.175,9400,0
2015-02-03,18:10:00,126.25,126.47,126.25,126.47,2100,0
2015-02-03,18:15:00,126.6,126.97,126.6,126.97,2500,0
2015-02-03,18:20:00,126.98,127.31,126.55,126.55,5674,0
2015-02-03,18:25:00,126.7,126.86,126.6,126.6,2200,0
2015-02-03,18:30:00,126.6,126.96,126.6,126.94,5900,0
2015-02-03,18:35:00,126.61,126.61,126.38,126.38,1100,0
2015-02-03,18:40:00,126.35,126.35,126.16,126.32,1100,0
2015-02-03,18:45:00,126.33,126.67,126.26,126.26,6400,0
2015-02-03,18:50:00,126.43,126.51,126.37,126.41,8100,0
2015-02-03,18:55:00,126.48,126.6399,126.4,126.4,2030,0
2015-02-03,19:00:00,126.6,126.815,126.44,126.44,2400,0
2015-02-03,19:05:00,126.5,126.57,126.3001,126.3001,17600,0
2015-02-03,19:10:00,126.475,126.65,126.35,126.65,4200,0
2015-02-03,19:15:00,126.43,126.68,126.35,126.625,5072,0
2015-02-03,19:20:00,126.65,126.84,126.63,126.84,600,0
2015-02-03,19:25:00,126.86,127.32,126.86,127.32,4400,0
2015-02-03,19:30:00,127.0702,127.0702,126.8,126.9005,5400,0
2015-02-03,19:35:00,127.04,127.05,126.95,126.95,500,0
2015-02-03,19:40:00,127.14,127.31,126.73,126.77,8929,0
2015-02-03,19:45:00,126.81,126.94,126.71,126.86,2700,0
2015-02-03,19:50:00,126.81,126.93,126.7,126.82,3400,0
2015-02-03,19:55:00,127.02,127.16,126.89,127.16,1920,0
2015-02-03,20:00:00,127.0,127.27,127.0,127.27,700,0
2015-02-03,20:05:00,127.29,127.51,126.97,126.97,6388,0
2015-02-03,20:10:00,126.94,126.94,126.93,126.93,500,0
2015-02-03,20:15:00,126.885,127.38,126.75,127.3,10900,0
2015-02-03,20:20:00,127.19,127.21,126.92,126.95,4400,0
2015-02-03,20:25:00,127.05,127.27,126.95,127.13,9100,0
2015-02-03,20:30:00,127.06,127.51,126.93,127.2,6889,0
2015-02-03,20:35:00,127.3,127.6,127.3,127.5705,3460,0
2015-02-03,20:40:00,127.54,127.67,127.4,127.58,4600,0
2015-02-03,20:45:00,127.63,127.71,127.53,127.61,6600,0
2015-02-03,20:50:00,127.6,127.71,127.6,127.6716,3056,0
2015-02-03,20:55:00,127.62,127.62,127.62,127.62,500,0
2015-02-03,21:00:00,127.67,127.82,127.67,127.8,1800,0
2015-02-03,21:05:00,127.81,127.84,127.755,127.84,5627,0
2015-02-03,21:10:00,127.775,128.03,127.76,128.03,7200,0
2015-02-03,21:15:00,128.01,128.18,127.91,128.08,6500,0
2015-02-03,21:20:00,128.1,128.13,127.99,127.99,2400,0
2015-02-03,21:25:00,128.005,128.06,127.99,127.99,1800,0
2015-02-03,21:30:00,128.14,128.27,128.04,128.21,5700,0
2015-02-03,21:35:00,128.455,128.52,128.1,128.29,13500,0
2015-02-03,21:40:00,128.29,128.94,128.23,128.67,18924,0
2015-02-03,21:45:00,128.67,128.87,128.61,128.81,3700,0
2015-02-03,21:50:00,128.825,129.17,128.825,128.99,28200,0
2015-02-03,21:55:00,129.03,129.13,128.8675,128.88,29108,0
2015-02-03,22:00:00,128.87,129.26,128.7,129.26,55634,0
2015-02-04,15:35:00,128.71,128.71,127.11,128.28,7018,0
2015-02-04,15:40:00,128.38,128.97,128.38,128.97,2806,0
2015-02-04,15:45:00,128.98,129.14,128.98,128.98,1800,0
2015-02-04,15:50:00,129.09,129.09,128.49,128.5,2850,0
2015-02-04,15:55:00,128.68,128.68,128.08,128.08,2800,0
2015-02-04,16:00:00,127.77,128.01,127.46,127.81,1900,0
2015-02-04,16:05:00,128.16,128.82,128.04,128.04,3100,0
2015-02-04,16:10:00,128.08,128.368,127.98,128.22,6252,0
2015-02-04,16:15:00,128.3,128.3,127.8,127.8,1600,0
2015-02-04,16:20:00,127.81,128.05,127.775,128.05,1800,0
2015-02-04,16:25:00,128.05,128.05,127.895,127.925,2700,0
2015-02-04,16:30:00,127.94,128.16,127.83,128.11,7500,0
2015-02-04,16:35:00,128.06,128.06,127.78,127.79,2921,0
2015-02-04,16:40:00,127.815,127.88,127.555,127.7466,3533,0
2015-02-04,16:45:00,127.835,128.22,127.73,128.22,6300,0
2015-02-04,16:50:00,128.2,128.22,128.2,128.22,1000,0
2015-02-04,16:55:00,128.22,128.5,128.0,128.48,5000,0
2015-02-04,17:00:00,128.52,128.88,128.52,128.88,3500,0
2015-02-04,17:05:00,128.87,128.87,128.56,128.765,4100,0
2015-02-04,17:10:00,128.55,129.09,128.55,129.0,8078,0
