Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,17:10:00,34.87,34.91,34.86,34.86,900,0
2015-02-02,17:15:00,34.91,34.98,34.91,34.95,5200,0
2015-02-02,17:20:00,34.94,34.94,34.92,34.94,1200,0
2015-02-02,17:25:00,34.91,34.93,34.88,34.93,800,0
2015-02-02,17:30:00,34.89,34.9899,34.87,34.96,2725,0
2015-02-02,17:35:00,34.98,35.1,34.95,35.1,2400,0
2015-02-02,17:40:00,35.16,35.16,35.15,35.15,400,0
2015-02-02,17:45:00,35.07,35.08,35.05,35.08,400,0
2015-02-02,17:50:00,35.08,35.08,35.02,35.03,2200,0
2015-02-02,17:55:00,35.06,35.12,35.06,35.1,889,0
2015-02-02,18:00:00,35.09,35.09,35.05,35.05,3200,0
2015-02-02,18:05:00,35.05,35.19,35.05,35.19,16922,0
2015-02-02,18:10:00,35.14,35.15,35.13,35.15,600,0
2015-02-02,18:15:00,35.14,35.14,35.11,35.11,1600,0
2015-02-02,18:20:00,35.17,35.17,35.17,35.17,700,0
2015-02-02,18:25:00,35.15,35.16,35.12,35.12,1400,0
2015-02-02,18:30:00,35.13,35.23,35.12,35.22,6822,0
2015-02-02,18:35:00,35.24,35.27,35.23,35.27,1506,0
2015-02-02,18:40:00,35.26,35.32,35.23,35.32,7952,0
2015-02-02,18:45:00,35.32,35.35,35.32,35.35,500,0
2015-02-02,18:50:00,35.31,35.31,35.27,35.27,1300,0
2015-02-02,18:55:00,35.24,35.24,35.23,35.23,400,0
2015-02-02,19:00:00,35.25,35.27,35.2,35.26,1500,0
2015-02-02,19:05:00,35.23,35.28,35.23,35.28,1100,0
2015-02-02,19:10:00,35.27,35.27,35.21,35.25,1400,0
2015-02-02,19:15:00,35.27,35.27,35.17,35.2,1300,0
2015-02-02,19:20:00,35.21,35.22,35.19,35.19,4400,0
2015-02-02,19:25:00,35.23,35.28,35.22,35.28,400,0
2015-02-02,19:30:00,35.26,35.26,35.2,35.2,1100,0
2015-02-02,19:35:00,35.23,35.27,35.16,35.175,6700,0
2015-02-02,19:40:00,35.18,35.2,35.1,35.1,7900,0
2015-02-02,19:45:00,35.11,35.155,35.08,35.08,2500,0
2015-02-02,19:50:00,35.02,35.02,35.01,35.02,1000,0
2015-02-02,19:55:00,35.05,35.05,34.98,34.98,2400,0
2015-02-02,20:00:00,35.02,35.02,34.86,34.86,1700,0
2015-02-02,20:05:00,34.9,35.0,34.9,35.0,1700,0
2015-02-02,20:10:00,34.99,35.05,34.98,35.05,2800,0
2015-02-02,20:15:00,35.04,35.04,34.99,34.99,1571,0
2015-02-02,20:20:00,35.02,35.045,34.99,35.0,4700,0
2015-02-02,20:25:00,35.0,35.04,34.98,35.04,7600,0
2015-02-02,20:30:00,35.045,35.045,35.01,35.01,800,0
2015-02-02,20:35:00,35.02,35.11,35.02,35.09,2100,0
2015-02-02,20:40:00,35.15,35.15,34.9,34.97,16599,0
2015-02-02,20:45:00,35.0,35.07,34.98,35.05,4000,0
2015-02-02,20:50:00,35.02,35.04,34.94,34.97,1100,0
2015-02-02,20:55:00,35.0,35.1,35.0,35.05,1400,0
2015-02-02,21:00:00,35.02,35.04,34.98,34.99,2000,0
2015-02-02,21:05:00,35.03,35.1,35.03,35.1,2700,0
2015-02-02,21:10:00,35.06,35.1,35.04,35.1,2200,0
2015-02-02,21:15:00,35.12,35.21,35.12,35.18,2600,0
2015-02-02,21:20:00,35.19,35.21,35.12,35.15,2400,0
2015-02-02,21:25:00,35.18,35.25,35.18,35.25,3000,0
2015-02-02,21:30:00,35.24,35.28,35.21,35.21,3600,0
2015-02-02,21:35:00,35.28,35.34,35.28,35.3,2200,0
2015-02-02,21:40:00,35.27,35.31,35.19,35.2,25812,0
2015-02-02,21:45:00,35.22,35.35,35.12,35.295,34115,0
2015-02-02,21:50:00,35.3,35.37,35.3,35.37,12707,0
2015-02-02,21:55:00,35.4,35.48,35.4,35.44,7935,0
2015-02-02,22:00:00,35.44,35.57,35.43,35.51,36883,0
2015-02-03,15:35:00,35.8,36.09,35.8,36.09,3442,0
2015-02-03,15:40:00,36.01,36.08,35.96,36.04,2500,0
2015-02-03,15:45:00,36.02,36.11,35.98,36.11,4300,0
2015-02-03,15:50:00,36.02,36.19,36.011,36.011,2450,0
2015-02-03,15:55:00,36.06,36.11,35.96,36.11,3200,0
