Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-17,20:05:00,10.830,10.830,10.830,10.830,100,0
2014-12-17,20:20:00,10.7101,10.712,10.71,10.71,1700,0
2014-12-17,20:45:00,10.81,10.81,10.81,10.81,200,0
2014-12-17,21:10:00,10.702,10.702,10.702,10.702,200,0
2014-12-17,21:20:00,10.7,10.7,10.65,10.65,400,0
2014-12-17,21:55:00,10.59,10.6,10.51,10.58,700,0
2014-12-18,15:55:00,10.43,10.43,10.42,10.42,500,0
2014-12-18,16:15:00,10.43,10.4596,10.18,10.18,1900,0
2014-12-18,16:20:00,10.3125,10.36,10.141,10.141,1100,0
2014-12-18,16:25:00,10.32,10.33,10.16,10.16,2200,0
2014-12-18,16:30:00,10.33,10.38,10.25,10.25,2000,0
2014-12-18,16:35:00,10.52,10.52,10.31,10.51,1627,0
2014-12-18,16:40:00,10.5,10.96,10.5,10.96,415,0
2014-12-18,16:50:00,10.9,10.9,10.9,10.9,100,0
2014-12-18,17:05:00,10.93,10.93,10.93,10.93,900,0
2014-12-18,17:10:00,10.7,10.7,10.7,10.7,400,0
2014-12-18,17:20:00,10.93,10.93,10.93,10.93,100,0
2014-12-18,17:25:00,10.78,10.82,10.67,10.67,1100,0
2014-12-18,18:25:00,10.75,10.75,10.75,10.75,1500,0
2014-12-18,19:05:00,10.79,10.79,10.79,10.79,100,0
2014-12-18,19:20:00,10.8899,10.8899,10.8899,10.8899,500,0
2014-12-18,20:00:00,10.85,10.85,10.85,10.85,100,0
2014-12-18,21:40:00,10.695,10.73,10.695,10.73,400,0
2014-12-18,21:55:00,10.585,10.585,10.58,10.58,500,0
2014-12-18,22:00:00,10.33,10.34,10.33,10.34,600,0
2014-12-19,16:10:00,10.26,10.33,10.18,10.29,2500,0
2014-12-19,16:15:00,10.19,10.7,10.19,10.7,1500,0
2014-12-19,16:20:00,10.69,10.81,10.66,10.81,3388,0
2014-12-19,16:30:00,10.86,10.86,10.7,10.7,1600,0
2014-12-19,16:35:00,10.71,10.77,10.7,10.77,600,0
2014-12-19,16:45:00,10.82,10.82,10.82,10.82,200,0
2014-12-19,17:15:00,10.75,10.81,10.75,10.81,2000,0
2014-12-19,17:25:00,10.75,10.81,10.75,10.81,2300,0
2014-12-19,17:30:00,10.785,10.795,10.71,10.77,4800,0
2014-12-19,17:35:00,10.69,10.77,10.63,10.63,900,0
2014-12-19,17:40:00,10.53,10.53,10.53,10.53,200,0
2014-12-19,17:45:00,10.48,10.48,10.43,10.43,1300,0
2014-12-19,17:55:00,10.57,10.63,10.53,10.53,2094,0
2014-12-19,18:05:00,10.612,10.6299,10.612,10.62,1000,0
2014-12-19,18:10:00,10.65,10.65,10.53,10.54,900,0
2014-12-19,18:15:00,10.68,10.69,10.56,10.56,1900,0
2014-12-19,18:25:00,10.68,10.73,10.68,10.73,1794,0
2014-12-19,18:30:00,10.63,10.63,10.63,10.63,2186,0
2014-12-19,18:45:00,10.89,10.89,10.89,10.89,100,0
2014-12-19,18:50:00,10.867,10.867,10.867,10.867,300,0
2014-12-19,19:10:00,10.84,10.84,10.84,10.84,100,0
2014-12-19,19:30:00,10.9,10.9,10.9,10.9,100,0
2014-12-19,19:55:00,10.9,10.9,10.9,10.9,100,0
2014-12-19,20:15:00,10.86,10.86,10.86,10.86,100,0
2014-12-19,20:35:00,10.877,10.9,10.877,10.9,1200,0
2014-12-19,20:50:00,10.9,10.9,10.9,10.9,2110,0
2014-12-19,20:55:00,10.9,10.9,10.89,10.89,300,0
2014-12-19,21:05:00,10.785,10.785,10.785,10.785,100,0
2014-12-19,21:10:00,10.9,10.9,10.79,10.79,200,0
2014-12-19,21:25:00,10.9,10.9,10.8,10.8,200,0
2014-12-19,21:35:00,10.9,10.9,10.9,10.9,100,0
2014-12-19,21:45:00,10.88,10.88,10.88,10.88,100,0
2014-12-19,21:50:00,10.89,10.89,10.89,10.89,300,0
2014-12-19,21:55:00,10.81,10.81,10.81,10.81,1100,0
2014-12-19,22:00:00,10.81,10.81,10.81,10.81,400,0
2014-12-22,16:00:00,10.28,10.28,10.28,10.28,2100,0
