Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-07-22,21:55:00,9.4291,9.4291,9.4291,9.4291,300,0
2014-07-23,16:35:00,9.4391,9.4391,9.4291,9.4291,300,0
2014-07-23,17:00:00,9.3045,9.3094,9.2895,9.3094,1003,0
2014-07-23,17:15:00,9.4291,9.4291,9.4291,9.4291,200,0
2014-07-23,20:25:00,9.3693,9.4191,9.3693,9.4191,703,0
2014-07-23,22:00:00,9.3792,9.3792,9.3792,9.3792,331,0
2014-07-24,15:35:00,9.4191,9.4291,9.4191,9.4291,853,0
2014-07-24,19:10:00,9.3792,9.4291,9.3494,9.3494,1936,0
2014-07-24,21:50:00,9.3494,9.3494,9.3494,9.3494,200,0
2014-07-25,15:35:00,9.2895,9.2895,9.2895,9.2895,100,0
2014-07-25,15:45:00,9.3094,9.4191,9.1899,9.1899,3459,0
2014-07-25,15:50:00,9.4091,9.4091,9.4091,9.4091,212,0
2014-07-25,17:25:00,9.1899,9.3892,9.1899,9.2696,5797,0
2014-07-25,18:20:00,9.2297,9.2597,9.2297,9.2297,300,0
2014-07-25,19:25:00,9.2696,9.2696,9.2696,9.2696,603,0
2014-07-25,19:30:00,9.2597,9.2696,9.2597,9.2696,723,0
2014-07-25,19:35:00,9.3194,9.3194,9.3194,9.3194,603,0
2014-07-25,19:40:00,9.3194,9.3194,9.3194,9.3194,660,0
2014-07-25,19:50:00,9.3194,9.3194,9.3194,9.3194,1003,0
2014-07-25,19:55:00,9.3124,9.3194,9.3124,9.3194,3512,0
2014-07-25,21:30:00,9.4141,9.4291,9.4141,9.4291,200,0
2014-07-25,21:50:00,9.3792,9.3792,9.3792,9.3792,422,0
2014-07-28,16:00:00,9.3786,9.3786,9.3786,9.3786,300,0
2014-07-28,17:05:00,9.4291,9.4291,9.4291,9.4291,100,0
2014-07-28,17:25:00,9.4191,9.4191,9.3991,9.3991,603,0
2014-07-28,21:40:00,9.3891,9.3891,9.3891,9.3891,503,0
2014-07-29,15:35:00,9.1899,9.1899,9.1899,9.1899,1125,0
2014-07-29,20:05:00,9.2696,9.2696,9.2696,9.2696,119,0
2014-07-29,20:10:00,9.2796,9.2856,9.2696,9.2696,1830,0
2014-07-29,20:15:00,9.2696,9.2856,9.2696,9.2856,703,0
2014-07-29,21:05:00,9.4191,9.4191,9.4191,9.4191,100,0
2014-07-29,21:30:00,9.4141,9.4141,9.4141,9.4141,100,0
2014-07-30,16:20:00,9.2521,9.2521,9.2521,9.2521,2006,0
2014-07-30,17:30:00,9.4191,9.4191,9.2497,9.3344,2106,0
2014-07-30,17:35:00,9.2497,9.2497,9.2197,9.2197,1477,0
2014-07-30,21:50:00,9.2796,9.3159,9.2796,9.3159,300,0
2014-07-31,17:40:00,9.1899,9.2197,9.17,9.17,8222,0
2014-07-31,19:40:00,9.17,9.17,9.17,9.17,2206,0
2014-07-31,21:20:00,9.2197,9.2197,9.2197,9.2197,100,0
2014-07-31,21:40:00,9.2995,9.2995,9.2397,9.2397,2105,0
2014-07-31,22:00:00,9.2895,9.2895,9.2895,9.2895,300,0
2014-08-01,15:50:00,9.3593,9.3593,9.3593,9.3593,300,0
2014-08-01,16:30:00,9.2297,9.2297,9.2297,9.2297,1261,0
2014-08-01,16:50:00,9.2197,9.2197,9.2197,9.2197,7148,0
2014-08-01,20:55:00,9.2197,9.2197,9.2197,9.2197,100,0
2014-08-01,21:25:00,9.2197,9.2197,9.2197,9.2197,200,0
2014-08-01,21:30:00,9.2197,9.2197,9.2197,9.2197,300,0
2014-08-05,19:35:00,9.2397,9.2397,9.2197,9.2262,2147,0
2014-08-05,20:05:00,9.2297,9.2297,9.2098,9.2297,1202,0
2014-08-05,20:10:00,9.2297,9.2297,9.12,9.124,502,0
2014-08-05,21:15:00,9.1299,9.2197,9.0801,9.2197,1804,0
2014-08-06,21:50:00,9.1799,9.1799,9.1799,9.1799,200,0
2014-08-06,21:55:00,9.1799,9.1799,9.1799,9.1799,240,0
2014-08-07,15:55:00,9.1699,9.1799,9.1699,9.1799,484,0
2014-08-07,17:00:00,9.1799,9.1799,9.1699,9.1699,802,0
2014-08-07,19:35:00,9.1455,9.1455,9.1455,9.1455,1323,0
2014-08-07,21:20:00,9.1699,9.2197,9.1699,9.2098,2525,0
2014-08-08,19:05:00,9.2098,9.2098,9.2098,9.2098,200,0
2014-08-08,19:55:00,9.2297,9.2297,9.2197,9.2197,200,0
2014-08-08,21:15:00,9.2397,9.2397,9.2397,9.2397,200,0
2014-08-08,21:20:00,9.2397,9.2477,9.2397,9.2397,602,0
2014-08-08,21:50:00,9.2297,9.2297,9.2297,9.2297,300,0
2014-08-11,18:00:00,9.1349,9.1349,9.1349,9.1349,100,0
2014-08-11,19:40:00,9.1899,9.1899,9.1299,9.1299,1404,0
2014-08-11,20:45:00,9.1299,9.1299,9.1299,9.1299,200,0
2014-08-11,21:20:00,9.1299,9.1299,9.1299,9.1299,200,0
2014-08-11,22:00:00,9.2098,9.2148,9.2098,9.2148,200,0
2014-08-12,15:35:00,9.1269,9.1269,9.0601,9.0601,802,0
2014-08-12,15:40:00,9.2297,9.2297,9.1799,9.1799,300,0
2014-08-12,16:05:00,9.2697,9.2697,9.2697,9.2697,200,0
2014-08-12,16:10:00,9.2497,9.2497,9.2497,9.2497,100,0
2014-08-12,19:20:00,9.23,9.23,9.23,9.23,100,0
2014-08-12,20:45:00,9.2297,9.2297,9.2297,9.2297,1302,0
2014-08-12,20:50:00,9.2298,9.2298,9.2298,9.2298,400,0
2014-08-12,21:20:00,9.2597,9.2597,9.2597,9.2597,100,0
2014-08-12,21:35:00,9.2697,9.2797,9.2697,9.2797,200,0
2014-08-12,21:40:00,9.2797,9.2798,9.2797,9.2798,902,0
2014-08-12,22:00:00,9.2797,9.2797,9.2797,9.2797,200,0
2014-08-13,16:45:00,9.3695,9.559,9.3695,9.559,6464,0
2014-08-13,17:35:00,9.4792,9.4792,9.4792,9.4792,2204,0
2014-08-13,17:40:00,9.4792,9.4792,9.4792,9.4792,1504,0
2014-08-13,18:45:00,9.4792,9.4792,9.4792,9.4792,300,0
2014-08-13,21:20:00,9.529,9.529,9.529,9.529,200,0
2014-08-13,21:30:00,9.529,9.529,9.529,9.529,300,0
2014-08-13,21:50:00,9.4792,9.539,9.4792,9.539,6215,0
2014-08-13,21:55:00,9.4987,9.519,9.4891,9.4987,2104,0
2014-08-13,22:00:00,9.4987,9.536,9.4792,9.536,5211,0
2014-08-14,18:00:00,9.1899,9.1899,9.1899,9.1899,802,0
