Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-30,17:30:00,1.42,1.42,1.42,1.42,400,0
2015-01-30,17:35:00,1.4201,1.43,1.42,1.43,17000,0
2015-01-30,17:40:00,1.42,1.42,1.42,1.42,1748,0
2015-01-30,17:45:00,1.4299,1.4299,1.42,1.42,2700,0
2015-01-30,18:00:00,1.42,1.42,1.42,1.42,100,0
2015-01-30,18:05:00,1.4201,1.44,1.4201,1.44,4914,0
2015-01-30,18:10:00,1.43,1.4399,1.4277,1.4277,3179,0
2015-01-30,18:20:00,1.4201,1.43,1.4201,1.43,1300,0
2015-01-30,18:25:00,1.42,1.44,1.42,1.42,25800,0
2015-01-30,18:30:00,1.42,1.42,1.42,1.42,400,0
2015-01-30,18:45:00,1.421,1.43,1.42,1.43,1200,0
2015-01-30,18:50:00,1.42,1.43,1.42,1.42,6100,0
2015-01-30,18:55:00,1.4201,1.4201,1.42,1.42,2453,0
2015-01-30,19:00:00,1.42,1.42,1.42,1.42,12900,0
2015-01-30,19:05:00,1.425,1.425,1.42,1.42,17900,0
2015-01-30,19:10:00,1.41,1.42,1.41,1.41,1900,0
2015-01-30,19:15:00,1.4,1.4,1.4,1.4,100,0
2015-01-30,19:20:00,1.4,1.41,1.4,1.407,12780,0
2015-01-30,19:30:00,1.4,1.4,1.4,1.4,300,0
2015-01-30,19:35:00,1.4,1.4,1.4,1.4,1300,0
2015-01-30,19:45:00,1.4,1.4,1.38,1.3801,7723,0
2015-01-30,19:50:00,1.38,1.3801,1.38,1.38,1921,0
2015-01-30,20:00:00,1.3801,1.3801,1.38,1.38,400,0
2015-01-30,20:05:00,1.38,1.38,1.38,1.38,100,0
2015-01-30,20:10:00,1.38,1.39,1.38,1.3899,20454,0
2015-01-30,20:15:00,1.3899,1.3899,1.3899,1.3899,110,0
2015-01-30,20:20:00,1.387,1.3899,1.385,1.385,840,0
2015-01-30,20:25:00,1.39,1.39,1.39,1.39,600,0
2015-01-30,20:30:00,1.3849,1.3849,1.3849,1.3849,3550,0
2015-01-30,20:35:00,1.383,1.39,1.37,1.37,42337,0
2015-01-30,20:40:00,1.3636,1.3636,1.33,1.35,9300,0
2015-01-30,20:45:00,1.35,1.35,1.33,1.34,19710,0
2015-01-30,20:50:00,1.35,1.35,1.344,1.344,1400,0
2015-01-30,20:55:00,1.35,1.35,1.34,1.34,1600,0
2015-01-30,21:00:00,1.34,1.3499,1.32,1.3499,12453,0
2015-01-30,21:05:00,1.33,1.33,1.31,1.31,32500,0
2015-01-30,21:10:00,1.3101,1.32,1.3,1.32,45863,0
2015-01-30,21:15:00,1.3191,1.33,1.315,1.33,4857,0
2015-01-30,21:20:00,1.32,1.3399,1.32,1.3399,11953,0
2015-01-30,21:30:00,1.3201,1.3201,1.3201,1.3201,2000,0
2015-01-30,21:40:00,1.32,1.34,1.32,1.34,7350,0
2015-01-30,21:45:00,1.3499,1.3502,1.34,1.3405,11400,0
2015-01-30,21:50:00,1.3599,1.3599,1.35,1.35,2700,0
2015-01-30,21:55:00,1.3401,1.3401,1.3401,1.3401,2000,0
2015-01-30,22:00:00,1.34,1.36,1.34,1.35,14207,0
2015-02-02,15:35:00,1.3701,1.38,1.35,1.35,23500,0
2015-02-02,15:40:00,1.3501,1.37,1.33,1.34,13976,0
2015-02-02,15:45:00,1.34,1.34,1.3301,1.34,4700,0
2015-02-02,15:50:00,1.33,1.33,1.33,1.33,100,0
2015-02-02,16:00:00,1.35,1.36,1.33,1.3499,8254,0
2015-02-02,16:15:00,1.34,1.35,1.34,1.35,815,0
2015-02-02,16:20:00,1.346,1.346,1.346,1.346,300,0
2015-02-02,16:25:00,1.36,1.37,1.35,1.3556,7400,0
2015-02-02,16:30:00,1.35,1.35,1.35,1.35,100,0
2015-02-02,16:40:00,1.38,1.39,1.375,1.375,2800,0
2015-02-02,16:45:00,1.3732,1.3732,1.3701,1.3701,3000,0
2015-02-02,16:50:00,1.3701,1.3701,1.37,1.37,5800,0
2015-02-02,16:55:00,1.3795,1.3799,1.361,1.372,6750,0
2015-02-02,17:10:00,1.3699,1.3699,1.3699,1.3699,750,0
2015-02-02,17:15:00,1.36,1.36,1.34,1.34,2100,0
2015-02-02,17:25:00,1.34,1.34,1.34,1.34,300,0
2015-02-02,17:45:00,1.341,1.341,1.341,1.341,2000,0
2015-02-02,17:55:00,1.36,1.36,1.36,1.36,300,0
2015-02-02,18:00:00,1.35,1.35,1.35,1.35,300,0
2015-02-02,18:05:00,1.36,1.36,1.3499,1.3499,2400,0
2015-02-02,18:15:00,1.35,1.357,1.35,1.357,3473,0
2015-02-02,18:30:00,1.355,1.36,1.355,1.36,4800,0
2015-02-02,18:35:00,1.3699,1.38,1.36,1.38,1439,0
2015-02-02,18:40:00,1.36,1.36,1.36,1.36,100,0
2015-02-02,18:45:00,1.36,1.36,1.36,1.36,200,0
2015-02-02,18:50:00,1.3699,1.37,1.3592,1.3592,6700,0
2015-02-02,19:00:00,1.36,1.36,1.36,1.36,500,0
2015-02-02,19:05:00,1.366,1.37,1.36,1.37,1400,0
2015-02-02,19:10:00,1.37,1.37,1.37,1.37,1500,0
2015-02-02,19:20:00,1.37,1.37,1.37,1.37,500,0
2015-02-02,19:30:00,1.361,1.361,1.361,1.361,4000,0
2015-02-02,19:40:00,1.37,1.3799,1.37,1.37,2900,0
2015-02-02,19:55:00,1.37,1.37,1.3628,1.3628,1700,0
2015-02-02,20:05:00,1.3699,1.3699,1.3699,1.3699,500,0
2015-02-02,20:15:00,1.36,1.36,1.36,1.36,100,0
2015-02-02,20:40:00,1.36,1.36,1.36,1.36,200,0
2015-02-02,20:50:00,1.3601,1.3601,1.3601,1.3601,650,0
2015-02-02,21:05:00,1.37,1.37,1.37,1.37,200,0
2015-02-02,21:15:00,1.36,1.36,1.36,1.36,200,0
2015-02-02,21:20:00,1.37,1.37,1.37,1.37,100,0
2015-02-02,21:25:00,1.3601,1.3601,1.36,1.36,5100,0
2015-02-02,21:30:00,1.36,1.37,1.35,1.37,6800,0
2015-02-02,21:40:00,1.36,1.36,1.36,1.36,200,0
2015-02-02,21:50:00,1.3601,1.37,1.3601,1.37,15200,0
2015-02-02,21:55:00,1.37,1.38,1.37,1.37,3700,0
2015-02-02,22:00:00,1.375,1.3899,1.3701,1.3701,13186,0
2015-02-03,15:35:00,1.35,1.65,1.35,1.5746,223751,0
2015-02-03,15:40:00,1.56,1.5899,1.45,1.48,162367,0
2015-02-03,15:45:00,1.4701,1.5,1.46,1.48,76835,0
2015-02-03,15:50:00,1.47,1.48,1.405,1.4399,101304,0
2015-02-03,15:55:00,1.43,1.45,1.41,1.4499,36083,0
2015-02-03,16:00:00,1.44,1.45,1.41,1.4298,41267,0
2015-02-03,16:05:00,1.4299,1.43,1.4146,1.4205,5800,0
2015-02-03,16:10:00,1.42,1.4399,1.4101,1.4399,14780,0
2015-02-03,16:15:00,1.435,1.4498,1.4301,1.4498,13511,0
2015-02-03,16:20:00,1.43,1.435,1.43,1.43,6000,0
2015-02-03,16:25:00,1.4301,1.45,1.4301,1.44,9700,0
2015-02-03,16:30:00,1.45,1.46,1.4499,1.46,2802,0
2015-02-03,16:35:00,1.46,1.49,1.46,1.49,19652,0
2015-02-03,16:40:00,1.475,1.49,1.44,1.44,21435,0
2015-02-03,16:45:00,1.461,1.461,1.43,1.43,14090,0
2015-02-03,16:50:00,1.43,1.43,1.405,1.41,19100,0
2015-02-03,16:55:00,1.4195,1.42,1.415,1.4199,7500,0
2015-02-03,17:05:00,1.415,1.419,1.4,1.4,13500,0
2015-02-03,17:10:00,1.4,1.41,1.4,1.4,1550,0
2015-02-03,17:15:00,1.4,1.401,1.4,1.4,10000,0
2015-02-03,17:20:00,1.4,1.4001,1.4,1.4001,2222,0
2015-02-03,17:25:00,1.39,1.4,1.39,1.3999,3550,0
2015-02-03,17:30:00,1.4,1.41,1.395,1.41,13850,0
2015-02-03,17:35:00,1.418,1.42,1.4,1.4,6500,0
2015-02-03,17:40:00,1.4,1.42,1.4,1.41,600,0
2015-02-03,17:45:00,1.4101,1.4101,1.4101,1.4101,1000,0
2015-02-03,17:55:00,1.4,1.4,1.4,1.4,100,0
2015-02-03,18:00:00,1.41,1.41,1.41,1.41,500,0
2015-02-03,18:10:00,1.42,1.42,1.42,1.42,300,0
2015-02-03,18:15:00,1.43,1.43,1.42,1.43,1000,0
2015-02-03,18:20:00,1.42,1.43,1.41,1.41,20627,0
2015-02-03,18:25:00,1.4101,1.4101,1.41,1.41,8600,0
2015-02-03,18:30:00,1.4101,1.4101,1.4101,1.4101,2500,0
2015-02-03,18:35:00,1.41,1.41,1.41,1.41,200,0
2015-02-03,18:40:00,1.4199,1.42,1.39,1.4,22522,0
2015-02-03,18:45:00,1.41,1.41,1.41,1.41,400,0
2015-02-03,18:55:00,1.4101,1.42,1.4101,1.42,750,0
2015-02-03,19:00:00,1.42,1.42,1.42,1.42,100,0
2015-02-03,19:05:00,1.43,1.46,1.42,1.42,17184,0
2015-02-03,19:10:00,1.4299,1.4299,1.4299,1.4299,180,0
2015-02-03,19:15:00,1.42,1.43,1.42,1.43,7200,0
2015-02-03,19:20:00,1.42,1.4299,1.42,1.42,320,0
2015-02-03,19:25:00,1.4201,1.43,1.42,1.42,9900,0
2015-02-03,19:30:00,1.41,1.4101,1.41,1.4101,3000,0
2015-02-03,19:35:00,1.42,1.42,1.42,1.42,1000,0
2015-02-03,19:40:00,1.42,1.42,1.42,1.42,350,0
2015-02-03,19:45:00,1.411,1.411,1.411,1.411,960,0
2015-02-03,19:50:00,1.41,1.41,1.4,1.4033,13551,0
2015-02-03,19:55:00,1.41,1.41,1.41,1.41,200,0
2015-02-03,20:00:00,1.41,1.41,1.41,1.41,600,0
2015-02-03,20:05:00,1.41,1.41,1.41,1.41,100,0
2015-02-03,20:20:00,1.41,1.41,1.41,1.41,300,0
2015-02-03,20:25:00,1.43,1.43,1.4298,1.4298,260,0
2015-02-03,20:40:00,1.42,1.42,1.42,1.42,4900,0
2015-02-03,20:45:00,1.42,1.42,1.42,1.42,600,0
2015-02-03,20:50:00,1.41,1.41,1.41,1.41,100,0
2015-02-03,20:55:00,1.42,1.42,1.41,1.4101,3600,0
2015-02-03,21:00:00,1.42,1.42,1.419,1.419,1100,0
2015-02-03,21:05:00,1.4299,1.43,1.429,1.4299,2800,0
2015-02-03,21:10:00,1.4101,1.4101,1.4101,1.4101,100,0
2015-02-03,21:15:00,1.41,1.4201,1.41,1.4201,4000,0
2015-02-03,21:20:00,1.42,1.45,1.42,1.4499,10600,0
2015-02-03,21:25:00,1.43,1.4401,1.42,1.43,2000,0
2015-02-03,21:30:00,1.4499,1.45,1.4499,1.45,2000,0
2015-02-03,21:35:00,1.4499,1.4499,1.4499,1.4499,500,0
2015-02-03,21:40:00,1.4499,1.4499,1.42,1.42,400,0
2015-02-03,21:45:00,1.43,1.43,1.41,1.41,2300,0
2015-02-03,21:50:00,1.42,1.44,1.42,1.44,1400,0
2015-02-03,21:55:00,1.44,1.44,1.43,1.439,1500,0
2015-02-03,22:00:00,1.44,1.44,1.41,1.41,4200,0
2015-02-04,15:35:00,1.41,1.4199,1.4001,1.4001,19342,0
2015-02-04,15:40:00,1.4,1.4,1.38,1.399,2900,0
2015-02-04,15:45:00,1.393,1.45,1.393,1.44,18655,0
2015-02-04,15:50:00,1.449,1.449,1.42,1.42,17500,0
2015-02-04,15:55:00,1.44,1.44,1.44,1.44,20000,0
2015-02-04,16:00:00,1.4385,1.4385,1.4385,1.4385,1875,0
2015-02-04,16:05:00,1.42,1.42,1.42,1.42,1000,0
2015-02-04,16:10:00,1.42,1.42,1.4105,1.4105,1500,0
2015-02-04,16:15:00,1.415,1.415,1.415,1.415,140,0
2015-02-04,16:20:00,1.4199,1.422,1.419,1.422,11400,0
2015-02-04,16:25:00,1.4202,1.4202,1.4202,1.4202,2000,0
2015-02-04,16:35:00,1.44,1.45,1.4399,1.44,14250,0
2015-02-04,16:45:00,1.4456,1.4456,1.4456,1.4456,2000,0
2015-02-04,16:50:00,1.44,1.44,1.44,1.44,2000,0
2015-02-04,17:00:00,1.432,1.432,1.43,1.432,1700,0
2015-02-04,17:05:00,1.4201,1.4201,1.4201,1.4201,6000,0
2015-02-04,17:20:00,1.42,1.42,1.4199,1.4199,6900,0
2015-02-04,17:25:00,1.41,1.41,1.41,1.41,100,0
2015-02-04,17:35:00,1.4101,1.4101,1.4101,1.4101,2800,0
2015-02-04,17:40:00,1.4101,1.4101,1.4101,1.4101,100,0
2015-02-04,17:45:00,1.41,1.411,1.41,1.4102,5920,0
2015-02-04,17:50:00,1.4295,1.4295,1.4295,1.4295,1000,0
2015-02-04,17:55:00,1.41,1.41,1.41,1.41,100,0
2015-02-04,18:10:00,1.41,1.42,1.41,1.42,2000,0
2015-02-04,18:20:00,1.4299,1.43,1.4299,1.43,1200,0
2015-02-04,18:30:00,1.42,1.42,1.4,1.402,5650,0
2015-02-04,18:40:00,1.4101,1.42,1.4101,1.42,200,0
2015-02-04,18:45:00,1.42,1.42,1.42,1.42,1300,0
2015-02-04,18:50:00,1.41,1.4199,1.41,1.4199,245,0
2015-02-04,18:55:00,1.42,1.42,1.42,1.42,500,0
2015-02-04,19:00:00,1.42,1.42,1.42,1.42,100,0
2015-02-04,19:05:00,1.4101,1.4101,1.41,1.41,2410,0
2015-02-04,19:10:00,1.42,1.42,1.42,1.42,100,0
2015-02-04,19:15:00,1.42,1.42,1.42,1.42,100,0
2015-02-04,19:20:00,1.42,1.42,1.41,1.42,300,0
2015-02-04,19:25:00,1.427,1.427,1.427,1.427,2190,0
2015-02-04,19:30:00,1.43,1.43,1.43,1.43,200,0
2015-02-04,19:35:00,1.42,1.42,1.42,1.42,100,0
2015-02-04,19:50:00,1.42,1.42,1.4104,1.4104,800,0
2015-02-04,19:55:00,1.4181,1.42,1.415,1.42,1900,0
