Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-15,16:20:00,5.05,5.05,5.05,5.05,1000,0
2014-12-15,16:30:00,5.0548,5.0548,5.0548,5.0548,500,0
2014-12-15,16:35:00,5.0799,5.0799,5.0799,5.0799,200,0
2014-12-15,16:40:00,5.09,5.09,5.08,5.08,200,0
2014-12-15,17:05:00,5.0602,5.0602,5.0602,5.0602,400,0
2014-12-15,17:10:00,5.06,5.074,5.05,5.05,3550,0
2014-12-15,17:25:00,5.05,5.06,5.05,5.05,2600,0
2014-12-15,17:30:00,5.05,5.05,5.05,5.05,100,0
2014-12-15,17:40:00,5.05,5.06,5.05,5.05,500,0
2014-12-15,18:10:00,5.07,5.07,5.07,5.07,200,0
2014-12-15,18:15:00,5.07,5.07,5.07,5.07,100,0
2014-12-15,18:20:00,5.06,5.08,5.05,5.0501,4280,0
2014-12-15,18:45:00,5.08,5.08,5.08,5.08,100,0
2014-12-15,18:55:00,5.08,5.08,5.08,5.08,100,0
2014-12-15,20:10:00,5.0715,5.0715,5.0715,5.0715,300,0
2014-12-15,21:45:00,5.05,5.08,5.05,5.08,6400,0
2014-12-15,22:00:00,5.08,5.08,5.08,5.08,300,0
2014-12-16,15:35:00,5.0,5.07,5.0,5.07,2500,0
2014-12-16,16:00:00,5.07,5.07,5.01,5.07,4200,0
2014-12-16,16:05:00,5.05,5.06,5.05,5.06,4700,0
2014-12-16,16:15:00,5.06,5.06,5.06,5.06,100,0
2014-12-16,16:20:00,5.08,5.08,5.08,5.08,100,0
2014-12-16,16:40:00,5.05,5.05,5.05,5.05,200,0
2014-12-16,17:10:00,5.07,5.07,5.07,5.07,227,0
2014-12-16,17:25:00,5.08,5.08,5.07,5.07,400,0
2014-12-16,17:35:00,5.07,5.07,5.07,5.07,100,0
2014-12-16,18:00:00,5.07,5.07,5.07,5.07,100,0
2014-12-16,18:05:00,5.06,5.0601,5.06,5.0601,200,0
2014-12-16,18:10:00,5.0264,5.0264,5.0264,5.0264,100,0
2014-12-16,18:15:00,5.0164,5.0164,5.01,5.01,200,0
2014-12-16,18:25:00,5.05,5.05,5.05,5.05,100,0
2014-12-16,18:30:00,5.0164,5.0164,5.0164,5.0164,100,0
2014-12-16,19:10:00,5.05,5.06,5.05,5.06,300,0
2014-12-16,19:30:00,5.041,5.046,5.04,5.046,400,0
2014-12-16,19:40:00,5.01,5.01,5.01,5.01,100,0
2014-12-16,20:15:00,5.07,5.07,5.07,5.07,200,0
2014-12-16,20:40:00,5.08,5.08,5.08,5.08,100,0
2014-12-16,20:45:00,5.08,5.08,5.08,5.08,100,0
2014-12-16,21:00:00,5.08,5.1,5.08,5.1,5100,0
2014-12-16,21:05:00,5.1,5.1,5.1,5.1,300,0
2014-12-16,21:20:00,5.11,5.14,5.1,5.14,5000,0
2014-12-16,21:30:00,5.16,5.16,5.16,5.16,100,0
2014-12-16,21:40:00,5.16,5.16,5.16,5.16,100,0
2014-12-16,21:45:00,5.15,5.15,5.15,5.15,100,0
2014-12-16,21:50:00,5.1416,5.1416,5.1,5.13,2794,0
2014-12-16,21:55:00,5.1064,5.1064,5.1064,5.1064,100,0
2014-12-16,22:00:00,5.13,5.13,5.1,5.13,700,0
2014-12-17,15:40:00,5.1,5.1,5.1,5.1,100,0
