Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-07,17:10:00,3.7000,3.7005,3.6901,3.7005,400,0
2015-01-07,17:15:00,3.6901,3.6901,3.6901,3.6901,100,0
2015-01-07,17:20:00,3.69,3.72,3.67,3.7,2300,0
2015-01-07,17:25:00,3.6701,3.685,3.65,3.6501,2100,0
2015-01-07,17:30:00,3.65,3.67,3.65,3.6501,1100,0
2015-01-07,17:35:00,3.6501,3.6501,3.6501,3.6501,100,0
2015-01-07,17:40:00,3.6635,3.68,3.66,3.66,700,0
2015-01-07,17:45:00,3.69,3.69,3.675,3.675,300,0
2015-01-07,17:50:00,3.6601,3.7201,3.6601,3.72,16723,0
2015-01-07,18:00:00,3.73,3.73,3.73,3.73,300,0
2015-01-07,18:05:00,3.7482,3.7482,3.73,3.73,600,0
2015-01-07,18:10:00,3.7218,3.7218,3.72,3.72,200,0
2015-01-07,18:20:00,3.755,3.76,3.75,3.75,1200,0
2015-01-07,18:25:00,3.76,3.76,3.7,3.7,7382,0
2015-01-07,18:30:00,3.6901,3.6901,3.6901,3.6901,250,0
2015-01-07,18:40:00,3.6701,3.6701,3.6701,3.6701,100,0
2015-01-07,19:00:00,3.663,3.663,3.663,3.663,100,0
2015-01-07,19:05:00,3.7,3.7,3.66,3.66,200,0
2015-01-07,19:10:00,3.68,3.69,3.66,3.69,1000,0
2015-01-07,19:15:00,3.675,3.675,3.675,3.675,100,0
2015-01-07,19:20:00,3.6601,3.69,3.66,3.69,2078,0
2015-01-07,19:30:00,3.6601,3.6688,3.6601,3.6688,700,0
2015-01-07,19:40:00,3.6618,3.6618,3.6618,3.6618,100,0
2015-01-07,19:45:00,3.6601,3.6601,3.6601,3.6601,100,0
2015-01-07,19:55:00,3.6601,3.6601,3.6601,3.6601,100,0
2015-01-07,20:00:00,3.66,3.6747,3.66,3.66,1000,0
2015-01-07,20:10:00,3.6501,3.6501,3.6501,3.6501,100,0
2015-01-07,20:15:00,3.6501,3.6501,3.6501,3.6501,100,0
2015-01-07,20:20:00,3.6753,3.6753,3.65,3.66,2100,0
2015-01-07,20:25:00,3.67,3.67,3.67,3.67,200,0
2015-01-07,20:30:00,3.65,3.6623,3.65,3.65,2300,0
2015-01-07,20:35:00,3.6501,3.6501,3.6501,3.6501,100,0
2015-01-07,20:40:00,3.66,3.6817,3.66,3.68,1100,0
2015-01-07,20:45:00,3.68,3.68,3.65,3.65,1500,0
2015-01-07,20:50:00,3.651,3.651,3.651,3.651,100,0
2015-01-07,20:55:00,3.6682,3.6682,3.65,3.6501,4757,0
2015-01-07,21:00:00,3.62,3.62,3.6,3.612,5900,0
2015-01-07,21:05:00,3.6001,3.6001,3.6001,3.6001,100,0
2015-01-07,21:10:00,3.61,3.6101,3.6,3.6,3200,0
2015-01-07,21:15:00,3.5905,3.6,3.59,3.59,10700,0
2015-01-07,21:20:00,3.5701,3.6,3.57,3.6,2900,0
2015-01-07,21:25:00,3.6399,3.6399,3.61,3.61,1700,0
2015-01-07,21:30:00,3.61,3.61,3.61,3.61,700,0
2015-01-07,21:35:00,3.61,3.61,3.61,3.61,500,0
2015-01-07,21:40:00,3.61,3.615,3.61,3.615,900,0
2015-01-07,21:45:00,3.62,3.65,3.62,3.62,2300,0
2015-01-07,21:50:00,3.63,3.64,3.62,3.62,3000,0
2015-01-07,21:55:00,3.64,3.64,3.54,3.57,19425,0
2015-01-07,22:00:00,3.57,3.6,3.54,3.54,8600,0
2015-01-08,15:35:00,3.7,3.7,3.7,3.7,5000,0
2015-01-08,15:40:00,3.745,3.745,3.6878,3.6878,1600,0
2015-01-08,15:45:00,3.72,3.72,3.72,3.72,300,0
2015-01-08,15:50:00,3.7,3.7,3.7,3.7,3000,0
2015-01-08,15:55:00,3.7082,3.75,3.7,3.75,3000,0
2015-01-08,16:00:00,3.76,3.76,3.7536,3.76,1300,0
