Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-05,21:35:00,12.175,12.175,12.175,12.175,100,0
2015-01-05,21:40:00,12.195,12.228,12.195,12.2,1307,0
2015-01-05,21:45:00,12.2,12.215,12.2,12.215,700,0
2015-01-05,21:50:00,12.208,12.4,12.208,12.31,9401,0
2015-01-05,21:55:00,12.3,12.31,12.3,12.31,1896,0
2015-01-05,22:00:00,12.31,12.37,12.16,12.24,10414,0
2015-01-06,15:35:00,12.15,12.15,12.03,12.03,1351,0
2015-01-06,15:40:00,12.1,12.24,12.1,12.23,1872,0
2015-01-06,15:45:00,12.16,12.225,12.16,12.225,300,0
2015-01-06,15:50:00,12.15,12.15,12.15,12.15,200,0
2015-01-06,15:55:00,12.15,12.16,12.15,12.16,300,0
2015-01-06,16:00:00,12.15,12.15,12.15,12.15,1300,0
2015-01-06,16:05:00,12.28,12.28,12.17,12.175,900,0
2015-01-06,16:25:00,12.15,12.185,12.15,12.17,5800,0
2015-01-06,16:30:00,12.195,12.195,12.15,12.15,1382,0
2015-01-06,16:35:00,12.15,12.19,12.15,12.18,2036,0
2015-01-06,16:40:00,12.16,12.185,12.11,12.14,2000,0
2015-01-06,16:45:00,12.2,12.2,12.2,12.2,200,0
2015-01-06,16:50:00,12.19,12.2,12.19,12.2,3800,0
2015-01-06,16:55:00,12.19,12.19,12.18,12.18,1100,0
2015-01-06,17:00:00,12.17,12.17,12.17,12.17,100,0
2015-01-06,17:05:00,12.17,12.17,12.15,12.15,300,0
2015-01-06,17:20:00,12.1,12.1,12.06,12.06,300,0
2015-01-06,17:25:00,12.05,12.05,12.05,12.05,500,0
2015-01-06,17:30:00,12.05,12.05,12.02,12.02,800,0
2015-01-06,17:35:00,12.02,12.02,12.0,12.0,700,0
2015-01-06,17:40:00,11.86,12.1,11.86,12.08,2600,0
2015-01-06,17:50:00,12.06,12.06,12.06,12.06,100,0
2015-01-06,17:55:00,12.06,12.06,12.06,12.06,400,0
2015-01-06,18:00:00,12.06,12.1,12.06,12.1,200,0
2015-01-06,18:05:00,12.05,12.05,12.05,12.05,100,0
2015-01-06,18:10:00,12.06,12.06,12.05,12.05,400,0
2015-01-06,18:20:00,12.05,12.06,12.0,12.06,466,0
2015-01-06,19:10:00,12.01,12.01,12.0,12.0,200,0
2015-01-06,19:20:00,11.91,11.95,11.91,11.94,1200,0
2015-01-06,19:30:00,11.8,11.8,11.8,11.8,100,0
2015-01-06,19:50:00,11.88,11.88,11.88,11.88,300,0
2015-01-06,20:05:00,11.89,11.91,11.89,11.89,466,0
2015-01-06,20:10:00,11.95,11.96,11.95,11.96,400,0
2015-01-06,20:15:00,11.965,11.965,11.965,11.965,100,0
2015-01-06,20:20:00,11.97,11.97,11.97,11.97,100,0
2015-01-06,20:35:00,12.0,12.07,12.0,12.02,1100,0
2015-01-06,20:40:00,12.02,12.02,12.02,12.02,100,0
2015-01-06,20:45:00,12.02,12.02,12.02,12.02,100,0
2015-01-06,20:50:00,12.02,12.02,12.02,12.02,100,0
2015-01-06,20:55:00,12.02,12.02,12.02,12.02,200,0
2015-01-06,21:00:00,12.02,12.02,12.02,12.02,300,0
2015-01-06,21:05:00,12.03,12.03,12.03,12.03,100,0
2015-01-06,21:10:00,12.03,12.03,12.03,12.03,100,0
2015-01-06,21:25:00,12.02,12.02,12.02,12.02,300,0
2015-01-06,21:30:00,12.02,12.02,12.02,12.02,200,0
2015-01-06,21:35:00,12.02,12.02,12.02,12.02,100,0
2015-01-06,21:40:00,12.02,12.02,12.02,12.02,100,0
2015-01-06,21:45:00,12.02,12.02,12.02,12.02,700,0
2015-01-06,21:50:00,12.02,12.03,12.02,12.02,300,0
2015-01-06,21:55:00,12.02,12.02,12.02,12.02,100,0
2015-01-06,22:00:00,12.02,12.03,11.95,12.03,2034,0
2015-01-07,15:35:00,12.08,12.13,12.08,12.13,200,0
2015-01-07,15:40:00,12.05,12.05,12.0,12.0,600,0
2015-01-07,15:50:00,11.96,11.96,11.95,11.95,200,0
2015-01-07,16:05:00,11.94,11.97,11.94,11.97,200,0
2015-01-07,16:15:00,11.96,11.96,11.96,11.96,400,0
2015-01-07,16:20:00,11.96,12.0,11.96,11.98,2200,0
2015-01-07,16:25:00,11.98,11.99,11.98,11.99,200,0
2015-01-07,16:30:00,11.98,11.98,11.95,11.95,900,0
2015-01-07,16:40:00,11.95,11.95,11.9,11.9,700,0
2015-01-07,16:55:00,11.99,11.99,11.99,11.99,100,0
2015-01-07,17:10:00,11.91,11.91,11.9,11.9,700,0
2015-01-07,17:35:00,11.9,11.9,11.9,11.9,100,0
2015-01-07,17:50:00,11.87,11.87,11.87,11.87,662,0
2015-01-07,17:55:00,11.89,11.89,11.89,11.89,300,0
2015-01-07,18:10:00,11.9,11.9,11.9,11.9,900,0
2015-01-07,18:15:00,11.9,11.9,11.9,11.9,300,0
2015-01-07,19:00:00,11.89,11.89,11.86,11.86,4880,0
2015-01-07,19:10:00,11.9,11.9,11.9,11.9,200,0
2015-01-07,19:20:00,11.87,11.9,11.87,11.9,300,0
2015-01-07,19:25:00,11.87,11.98,11.85,11.8601,1800,0
2015-01-07,19:30:00,11.9,11.9,11.9,11.9,100,0
2015-01-07,19:40:00,11.87,11.95,11.81,11.8601,2600,0
2015-01-07,19:50:00,11.83,11.83,11.775,11.8,1400,0
2015-01-07,20:00:00,11.7772,11.79,11.7772,11.79,1500,0
2015-01-07,20:20:00,11.8,11.8,11.8,11.8,100,0
2015-01-07,20:25:00,11.76,11.76,11.68,11.68,200,0
2015-01-07,20:30:00,11.79,11.79,11.79,11.79,200,0
2015-01-07,20:45:00,11.71,11.79,11.71,11.79,500,0
2015-01-07,20:50:00,11.83,11.83,11.83,11.83,100,0
2015-01-07,21:15:00,11.89,11.89,11.78,11.84,700,0
2015-01-07,21:20:00,11.78,11.78,11.78,11.78,100,0
2015-01-07,21:25:00,11.8,11.8,11.79,11.79,500,0
2015-01-07,21:40:00,11.86,11.86,11.86,11.86,100,0
2015-01-07,21:50:00,11.77,11.77,11.77,11.77,300,0
2015-01-07,21:55:00,11.85,11.85,11.85,11.85,400,0
2015-01-07,22:00:00,11.9,11.9,11.84,11.84,664,0
2015-01-08,15:35:00,11.85,11.85,11.85,11.85,360,0
2015-01-08,16:05:00,11.71,11.73,11.71,11.73,400,0
2015-01-08,16:10:00,11.74,11.74,11.74,11.74,100,0
2015-01-08,16:25:00,11.95,11.95,11.95,11.95,100,0
2015-01-08,16:50:00,11.955,11.955,11.955,11.955,200,0
2015-01-08,16:55:00,11.95,11.95,11.95,11.95,100,0
2015-01-08,17:05:00,11.9,11.9,11.9,11.9,100,0
2015-01-08,17:20:00,11.9021,11.9021,11.9021,11.9021,1000,0
2015-01-08,17:50:00,11.8,11.8,11.8,11.8,100,0
2015-01-08,18:20:00,11.91,11.91,11.89,11.89,300,0
2015-01-08,19:10:00,11.84,11.84,11.84,11.84,100,0
2015-01-08,20:20:00,11.9012,11.9012,11.9012,11.9012,100,0
2015-01-08,20:35:00,11.89,11.9,11.8801,11.9,988,0
2015-01-08,21:00:00,11.88,11.88,11.88,11.88,100,0
2015-01-08,21:15:00,11.9,11.9,11.9,11.9,587,0
2015-01-08,21:20:00,11.86,11.86,11.85,11.85,538,0
2015-01-08,21:25:00,11.85,11.88,11.85,11.88,1100,0
2015-01-08,21:30:00,11.89,11.89,11.89,11.89,100,0
2015-01-08,21:35:00,11.87,11.87,11.87,11.87,200,0
2015-01-08,21:45:00,11.8,11.83,11.77,11.8,1500,0
2015-01-08,21:50:00,11.78,11.95,11.78,11.95,1450,0
