Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-02-02,16:50:00,2.70,2.70,2.67,2.68,2000,0
2015-02-02,16:55:00,2.68,2.7,2.68,2.7,1100,0
2015-02-02,17:00:00,2.71,2.71,2.699,2.699,11300,0
2015-02-02,17:05:00,2.7,2.71,2.7,2.71,500,0
2015-02-02,17:10:00,2.71,2.75,2.71,2.75,2767,0
2015-02-02,17:15:00,2.76,2.76,2.75,2.75,200,0
2015-02-02,17:20:00,2.75,2.75,2.75,2.75,100,0
2015-02-02,17:25:00,2.75,2.7501,2.75,2.75,1050,0
2015-02-02,17:30:00,2.75,2.76,2.75,2.76,3663,0
2015-02-02,17:35:00,2.77,2.79,2.77,2.785,12200,0
2015-02-02,17:40:00,2.79,2.79,2.78,2.79,11092,0
2015-02-02,17:45:00,2.79,2.79,2.7899,2.79,1900,0
2015-02-02,17:50:00,2.8,2.83,2.8,2.83,3800,0
2015-02-02,17:55:00,2.81,2.83,2.81,2.81,5739,0
2015-02-02,18:00:00,2.815,2.82,2.81,2.81,2200,0
2015-02-02,18:05:00,2.815,2.815,2.78,2.78,6277,0
2015-02-02,18:10:00,2.78,2.78,2.78,2.78,100,0
2015-02-02,18:15:00,2.78,2.78,2.77,2.77,700,0
2015-02-02,18:20:00,2.7701,2.78,2.77,2.78,880,0
2015-02-02,18:30:00,2.78,2.78,2.7761,2.78,850,0
2015-02-02,18:35:00,2.78,2.8,2.78,2.8,2400,0
2015-02-02,18:40:00,2.81,2.82,2.81,2.815,1600,0
2015-02-02,18:45:00,2.81,2.81,2.81,2.81,200,0
2015-02-02,18:50:00,2.81,2.82,2.81,2.82,8559,0
2015-02-02,18:55:00,2.815,2.815,2.81,2.815,4600,0
2015-02-02,19:00:00,2.81,2.82,2.81,2.82,400,0
2015-02-02,19:05:00,2.81,2.81,2.81,2.81,2000,0
2015-02-02,19:10:00,2.8,2.8,2.77,2.78,4616,0
2015-02-02,19:20:00,2.7701,2.775,2.74,2.75,4700,0
2015-02-02,19:25:00,2.76,2.775,2.76,2.775,1200,0
2015-02-02,19:30:00,2.77,2.775,2.755,2.76,1703,0
2015-02-02,19:35:00,2.755,2.76,2.75,2.76,700,0
2015-02-02,19:40:00,2.755,2.755,2.72,2.725,3775,0
2015-02-02,19:45:00,2.73,2.735,2.725,2.725,900,0
2015-02-02,19:50:00,2.725,2.75,2.72,2.75,4200,0
2015-02-02,19:55:00,2.75,2.75,2.745,2.745,500,0
2015-02-02,20:00:00,2.74,2.745,2.74,2.74,1400,0
2015-02-02,20:05:00,2.74,2.74,2.72,2.72,1400,0
2015-02-02,20:10:00,2.72,2.74,2.712,2.7301,9289,0
2015-02-02,20:15:00,2.7301,2.75,2.73,2.75,18557,0
2015-02-02,20:20:00,2.75,2.75,2.75,2.75,700,0
2015-02-02,20:25:00,2.75,2.76,2.75,2.76,300,0
2015-02-02,20:30:00,2.76,2.76,2.76,2.76,1800,0
2015-02-02,20:35:00,2.76,2.76,2.76,2.76,1800,0
2015-02-02,20:40:00,2.76,2.76,2.76,2.76,900,0
2015-02-02,20:45:00,2.76,2.76,2.76,2.76,400,0
2015-02-02,20:50:00,2.76,2.79,2.755,2.76,20465,0
2015-02-02,20:55:00,2.76,2.78,2.76,2.78,2400,0
2015-02-02,21:00:00,2.78,2.78,2.78,2.78,800,0
2015-02-02,21:05:00,2.7884,2.79,2.785,2.79,600,0
2015-02-02,21:10:00,2.785,2.79,2.783,2.7884,1900,0
2015-02-02,21:15:00,2.79,2.79,2.7884,2.79,1200,0
2015-02-02,21:20:00,2.79,2.79,2.785,2.79,1000,0
2015-02-02,21:25:00,2.79,2.7984,2.78,2.7984,10600,0
2015-02-02,21:30:00,2.8,2.8,2.7984,2.7984,700,0
2015-02-02,21:35:00,2.795,2.8,2.795,2.795,1800,0
2015-02-02,21:40:00,2.8,2.8084,2.8,2.8084,1400,0
2015-02-02,21:45:00,2.8084,2.815,2.8084,2.815,4200,0
2015-02-02,21:50:00,2.815,2.82,2.803,2.81,13800,0
2015-02-02,21:55:00,2.81,2.81,2.805,2.81,5317,0
2015-02-02,22:00:00,2.8084,2.81,2.79,2.8,37444,0
2015-02-03,15:35:00,2.75,2.77,2.74,2.74,2500,0
2015-02-03,15:40:00,2.75,2.81,2.75,2.79,1400,0
2015-02-03,15:45:00,2.79,2.8,2.79,2.8,7977,0
2015-02-03,15:50:00,2.8,2.8,2.79,2.8,3300,0
2015-02-03,15:55:00,2.8,2.8,2.79,2.79,1300,0
2015-02-03,16:00:00,2.8,2.8,2.795,2.8,5300,0
2015-02-03,16:05:00,2.8,2.8,2.7901,2.8,1150,0
2015-02-03,16:10:00,2.8,2.8,2.79,2.7901,1400,0
2015-02-03,16:15:00,2.8,2.8,2.78,2.78,3600,0
2015-02-03,16:20:00,2.78,2.78,2.76,2.77,3000,0
2015-02-03,16:30:00,2.77,2.778,2.77,2.77,1100,0
2015-02-03,16:35:00,2.78,2.78,2.76,2.77,5832,0
2015-02-03,16:40:00,2.77,2.77,2.765,2.77,4600,0
2015-02-03,16:45:00,2.79,2.79,2.79,2.79,300,0
2015-02-03,16:50:00,2.79,2.79,2.79,2.79,500,0
2015-02-03,16:55:00,2.785,2.79,2.77,2.775,3600,0
2015-02-03,17:00:00,2.779,2.779,2.75,2.75,5900,0
2015-02-03,17:05:00,2.77,2.77,2.75,2.77,4393,0
2015-02-03,17:10:00,2.75,2.77,2.75,2.77,1700,0
2015-02-03,17:15:00,2.78,2.78,2.78,2.78,1100,0
2015-02-03,17:25:00,2.771,2.771,2.771,2.771,400,0
2015-02-03,17:30:00,2.79,2.79,2.77,2.78,1300,0
2015-02-03,17:35:00,2.78,2.79,2.78,2.79,500,0
2015-02-03,17:40:00,2.79,2.79,2.7701,2.79,1225,0
2015-02-03,17:45:00,2.77,2.79,2.77,2.79,2000,0
2015-02-03,17:50:00,2.8,2.8,2.8,2.8,300,0
2015-02-03,17:55:00,2.79,2.79,2.785,2.79,5500,0
2015-02-03,18:00:00,2.79,2.8,2.79,2.79,19996,0
2015-02-03,18:05:00,2.79,2.8,2.79,2.8,400,0
2015-02-03,18:10:00,2.8,2.815,2.8,2.815,3304,0
2015-02-03,18:15:00,2.81,2.81,2.8,2.8,1600,0
2015-02-03,18:20:00,2.8,2.8,2.8,2.8,100,0
2015-02-03,18:25:00,2.8,2.8,2.79,2.79,300,0
2015-02-03,18:30:00,2.8,2.8,2.79,2.8,400,0
2015-02-03,18:35:00,2.795,2.84,2.795,2.84,31064,0
2015-02-03,18:40:00,2.84,2.84,2.84,2.84,200,0
2015-02-03,18:45:00,2.84,2.84,2.83,2.84,1200,0
2015-02-03,18:55:00,2.84,2.84,2.84,2.84,400,0
2015-02-03,19:00:00,2.84,2.85,2.84,2.85,2551,0
2015-02-03,19:05:00,2.85,2.85,2.85,2.85,300,0
2015-02-03,19:10:00,2.8499,2.85,2.8499,2.85,500,0
2015-02-03,19:15:00,2.845,2.86,2.845,2.86,9574,0
2015-02-03,19:20:00,2.86,2.86,2.8549,2.86,2738,0
2015-02-03,19:25:00,2.86,2.88,2.86,2.8702,6300,0
