Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-11-05,21:50:00,47.26,47.34,47.25,47.34,4346,0
2014-11-05,21:55:00,47.586,47.586,47.586,47.586,303,0
2014-11-05,22:00:00,47.943,47.943,47.923,47.923,809,0
2014-11-06,15:35:00,47.537,47.537,47.537,47.537,2123,0
2014-11-06,17:05:00,47.586,47.586,47.586,47.586,404,0
2014-11-06,18:35:00,46.706,46.706,46.518,46.518,404,0
2014-11-06,19:15:00,46.791,47.023,46.791,47.023,733,0
2014-11-06,19:40:00,46.993,46.993,46.993,46.993,1516,0
2014-11-06,20:40:00,47.586,47.586,47.586,47.586,303,0
2014-11-06,20:50:00,47.191,47.191,47.191,47.191,303,0
2014-11-06,20:55:00,47.191,47.577,47.141,47.141,1303,0
2014-11-06,21:00:00,47.171,47.339,47.141,47.141,809,0
2014-11-06,21:25:00,47.131,47.131,47.131,47.131,101,0
2014-11-06,21:30:00,47.181,47.191,47.181,47.191,505,0
2014-11-06,21:35:00,47.191,47.309,46.518,47.29,4699,0
2014-11-06,21:55:00,47.577,47.577,46.597,46.597,505,0
2014-11-06,22:00:00,47.586,47.586,46.755,47.507,1516,0
2014-11-07,16:00:00,47.885,47.885,47.755,47.885,1112,0
2014-11-07,16:05:00,47.755,47.755,47.755,47.755,505,0
2014-11-07,19:45:00,47.3,47.3,47.3,47.3,202,0
2014-11-07,19:50:00,47.389,47.488,47.389,47.488,606,0
2014-11-07,21:30:00,47.586,47.586,47.586,47.586,2022,0
2014-11-07,21:50:00,47.359,47.557,47.359,47.557,1718,0
2014-11-07,22:00:00,47.586,47.586,47.586,47.586,6368,0
2014-11-10,16:55:00,46.874,47.359,46.874,47.359,809,0
2014-11-10,17:00:00,47.359,47.567,47.359,47.527,1902,0
2014-11-10,17:05:00,47.507,47.507,47.389,47.438,3639,0
2014-11-10,22:00:00,47.478,47.745,47.193,47.745,3613,0
2014-11-11,16:40:00,47.438,47.438,47.398,47.398,910,0
2014-11-11,16:55:00,47.408,47.408,47.408,47.408,202,0
2014-11-11,18:25:00,47.339,47.539,47.339,47.389,2123,0
2014-11-11,18:30:00,47.389,47.389,47.389,47.389,404,0
2014-11-11,20:40:00,47.319,47.448,47.319,47.448,910,0
2014-11-11,20:45:00,47.567,47.606,46.993,47.349,2346,0
2014-11-11,20:50:00,47.488,47.577,47.488,47.537,1819,0
2014-11-11,21:10:00,47.354,47.354,47.354,47.354,404,0
2014-11-11,21:20:00,47.438,47.478,47.438,47.478,910,0
2014-11-11,21:30:00,47.458,47.586,47.458,47.586,2702,0
2014-11-11,21:45:00,47.854,48.16,47.854,48.16,1718,0
