Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-12-31,21:35:00,0.3300,0.3399,0.3300,0.3300,2650,0
2014-12-31,21:55:00,0.33,0.33,0.33,0.33,10139,0
2014-12-31,22:00:00,0.34,0.34,0.32,0.325,28100,0
2015-01-02,15:35:00,0.295,0.31,0.295,0.295,6500,0
2015-01-02,16:00:00,0.32,0.32,0.32,0.32,400,0
2015-01-02,16:05:00,0.32,0.32,0.32,0.32,200,0
2015-01-02,16:10:00,0.325,0.329,0.325,0.329,1900,0
2015-01-02,16:30:00,0.325,0.33,0.325,0.33,1634,0
2015-01-02,16:35:00,0.33,0.33,0.33,0.33,200,0
2015-01-02,16:40:00,0.34,0.35,0.34,0.345,500,0
2015-01-02,16:45:00,0.3415,0.3415,0.3367,0.3367,400,0
2015-01-02,16:50:00,0.33,0.3367,0.33,0.3367,400,0
2015-01-02,17:15:00,0.33,0.33,0.33,0.33,900,0
2015-01-02,17:20:00,0.325,0.325,0.325,0.325,300,0
2015-01-02,17:25:00,0.325,0.325,0.325,0.325,100,0
2015-01-02,17:30:00,0.32,0.32,0.32,0.32,300,0
2015-01-02,17:45:00,0.325,0.335,0.325,0.335,400,0
2015-01-02,17:50:00,0.335,0.335,0.335,0.335,100,0
2015-01-02,18:30:00,0.335,0.335,0.335,0.335,2000,0
2015-01-02,18:35:00,0.335,0.3351,0.335,0.3351,4000,0
2015-01-02,18:40:00,0.35,0.35,0.33,0.33,300,0
2015-01-02,18:55:00,0.338,0.338,0.338,0.338,1000,0
2015-01-02,19:30:00,0.35,0.35,0.3465,0.3465,5100,0
2015-01-02,19:35:00,0.33,0.33,0.33,0.33,200,0
2015-01-02,20:05:00,0.3351,0.3465,0.335,0.335,4700,0
2015-01-02,20:25:00,0.35,0.35,0.35,0.35,1300,0
2015-01-02,20:30:00,0.335,0.335,0.335,0.335,100,0
2015-01-02,21:20:00,0.349,0.349,0.349,0.349,100,0
2015-01-02,21:35:00,0.349,0.35,0.3405,0.3405,7000,0
2015-01-02,21:40:00,0.3493,0.3493,0.3493,0.3493,100,0
2015-01-02,21:50:00,0.3412,0.3412,0.3412,0.3412,300,0
2015-01-02,21:55:00,0.3404,0.3412,0.3404,0.3412,600,0
2015-01-05,15:40:00,0.3465,0.3465,0.3465,0.3465,150,0
2015-01-05,15:50:00,0.353,0.353,0.353,0.353,1000,0
2015-01-05,15:55:00,0.353,0.37,0.353,0.3665,4300,0
2015-01-05,16:00:00,0.359,0.359,0.353,0.353,2100,0
2015-01-05,16:05:00,0.353,0.353,0.353,0.353,533,0
2015-01-05,16:20:00,0.34,0.38,0.34,0.355,9232,0
2015-01-05,16:25:00,0.33,0.38,0.33,0.38,700,0
2015-01-05,16:30:00,0.3699,0.3699,0.34,0.34,3100,0
2015-01-05,16:40:00,0.3401,0.3401,0.34,0.34,600,0
2015-01-05,16:50:00,0.34,0.3665,0.34,0.3665,28628,0
2015-01-05,17:00:00,0.34,0.35,0.34,0.35,400,0
2015-01-05,17:10:00,0.34,0.34,0.34,0.34,100,0
2015-01-05,17:15:00,0.35,0.35,0.34,0.34,2725,0
2015-01-05,17:20:00,0.34,0.35,0.34,0.35,200,0
2015-01-05,17:25:00,0.34,0.34,0.34,0.34,1000,0
2015-01-05,17:30:00,0.3401,0.3401,0.3301,0.3301,1899,0
2015-01-05,17:35:00,0.34,0.365,0.34,0.365,200,0
2015-01-05,17:55:00,0.34,0.34,0.34,0.34,100,0
2015-01-05,18:00:00,0.34,0.365,0.34,0.365,15975,0
2015-01-05,18:15:00,0.33,0.33,0.33,0.33,100,0
2015-01-05,18:20:00,0.34,0.34,0.34,0.34,1000,0
2015-01-05,18:25:00,0.36,0.36,0.34,0.34,200,0
2015-01-05,18:30:00,0.3448,0.3448,0.3448,0.3448,400,0
2015-01-05,18:35:00,0.35,0.3501,0.34,0.34,10275,0
2015-01-05,18:40:00,0.3515,0.3515,0.3515,0.3515,100,0
2015-01-05,19:35:00,0.35,0.35,0.35,0.35,3000,0
2015-01-05,19:40:00,0.3499,0.3499,0.3499,0.3499,100,0
